feature,period,band,n,extenders,stoppers,tp2_rate
green_rate,REF,Q1_LOW,20,18,2,0.9
green_rate,REF,Q2,28,25,3,0.8928571428571429
green_rate,REF,Q3,38,35,3,0.9210526315789473
green_rate,REF,Q4_HIGH,40,39,1,0.975
green_rate,REF,NA,52,45,7,0.8653846153846154
max_close_pullback_r,DEV,Q1_LOW,52,41,11,0.7884615384615384
max_close_pullback_r,DEV,Q2,52,46,6,0.8846153846153846
max_close_pullback_r,DEV,Q3,51,43,8,0.8431372549019608
max_close_pullback_r,DEV,Q4_HIGH,52,41,11,0.7884615384615384
max_close_pullback_r,DEV,NA,81,70,11,0.8641975308641975
max_close_pullback_r,REF,Q1_LOW,30,29,1,0.9666666666666667
max_close_pullback_r,REF,Q2,53,52,1,0.9811320754716981
max_close_pullback_r,REF,Q3,22,18,4,0.8181818181818182
max_close_pullback_r,REF,Q4_HIGH,21,18,3,0.8571428571428571
max_close_pullback_r,REF,NA,52,45,7,0.8653846153846154
last1_progress_r,DEV,Q1_LOW,52,44,8,0.8461538461538461
last1_progress_r,DEV,Q2,52,43,9,0.8269230769230769
last1_progress_r,DEV,Q3,51,46,5,0.9019607843137255
last1_progress_r,DEV,Q4_HIGH,52,38,14,0.7307692307692307
last1_progress_r,DEV,NA,81,70,11,0.8641975308641975
last1_progress_r,REF,Q1_LOW,24,20,4,0.8333333333333334
last1_progress_r,REF,Q2,33,33,0,1.0
last1_progress_r,REF,Q3,36,35,1,0.9722222222222222
last1_progress_r,REF,Q4_HIGH,33,29,4,0.8787878787878788
last1_progress_r,REF,NA,52,45,7,0.8653846153846154
last3_progress_r,DEV,Q1_LOW,52,45,7,0.8653846153846154
last3_progress_r,DEV,Q2,52,45,7,0.8653846153846154
last3_progress_r,DEV,Q3,51,41,10,0.803921568627451
last3_progress_r,DEV,Q4_HIGH,52,40,12,0.7692307692307693
last3_progress_r,DEV,NA,81,70,11,0.8641975308641975
last3_progress_r,REF,Q1_LOW,31,28,3,0.9032258064516129
last3_progress_r,REF,Q2,41,40,1,0.975609756097561
last3_progress_r,REF,Q3,28,26,2,0.9285714285714286
last3_progress_r,REF,Q4_HIGH,26,23,3,0.8846153846153846
last3_progress_r,REF,NA,52,45,7,0.8653846153846154
last3_green_rate,DEV,Q1_LOW,133,114,19,0.8571428571428571
last3_green_rate,DEV,Q3,74,57,17,0.7702702702702703
last3_green_rate,DEV,NA,81,70,11,0.8641975308641975
last3_green_rate,REF,Q1_LOW,71,64,7,0.9014084507042254
last3_green_rate,REF,Q3,55,53,2,0.9636363636363636
last3_green_rate,REF,NA,52,45,7,0.8653846153846154
tp1_r,DEV,Q1_LOW,72,66,6,0.9166666666666666
tp1_r,DEV,Q2,72,56,16,0.7777777777777778
tp1_r,DEV,Q3,72,58,14,0.8055555555555556
tp1_r,DEV,Q4_HIGH,72,61,11,0.8472222222222222
tp1_r,REF,Q1_LOW,61,56,5,0.9180327868852459
tp1_r,REF,Q2,40,36,4,0.9
tp1_r,REF,Q3,37,34,3,0.918918918918919
tp1_r,REF,Q4_HIGH,40,36,4,0.9
tp2_r,DEV,Q1_LOW,72,69,3,0.9583333333333334
tp2_r,DEV,Q2,72,66,6,0.9166666666666666
tp2_r,DEV,Q3,72,57,15,0.7916666666666666
tp2_r,DEV,Q4_HIGH,72,49,23,0.6805555555555556
tp2_r,REF,Q1_LOW,65,62,3,0.9538461538461539
tp2_r,REF,Q2,33,32,1,0.9696969696969697
tp2_r,REF,Q3,43,40,3,0.9302325581395349
tp2_r,REF,Q4_HIGH,37,28,9,0.7567567567567568
extension_gap_r,DEV,Q1_LOW,72,69,3,0.9583333333333334
extension_gap_r,DEV,Q2,72,69,3,0.9583333333333334
extension_gap_r,DEV,Q3,72,59,13,0.8194444444444444
extension_gap_r,DEV,Q4_HIGH,72,44,28,0.6111111111111112
extension_gap_r,REF,Q1_LOW,45,45,0,1.0
extension_gap_r,REF,Q2,56,52,4,0.9285714285714286
extension_gap_r,REF,Q3,40,36,4,0.9
extension_gap_r,REF,Q4_HIGH,37,29,8,0.7837837837837838
extension_gap_ratio,DEV,Q1_LOW,72,69,3,0.9583333333333334
extension_gap_ratio,DEV,Q2,72,61,11,0.8472222222222222
extension_gap_ratio,DEV,Q3,72,62,10,0.8611111111111112
extension_gap_ratio,DEV,Q4_HIGH,72,49,23,0.6805555555555556
extension_gap_ratio,REF,Q1_LOW,38,38,0,1.0
extension_gap_ratio,REF,Q2,42,39,3,0.9285714285714286
extension_gap_ratio,REF,Q3,58,51,7,0.8793103448275862
extension_gap_ratio,REF,Q4_HIGH,40,34,6,0.85
known_target_count,DEV,Q1_LOW,91,69,22,0.7582417582417582
known_target_count,DEV,Q2,58,49,9,0.8448275862068966
known_target_count,DEV,Q3,70,59,11,0.8428571428571429
known_target_count,DEV,Q4_HIGH,69,64,5,0.927536231884058
known_target_count,REF,Q1_LOW,50,44,6,0.88
known_target_count,REF,Q2,39,33,6,0.8461538461538461
known_target_count,REF,Q3,37,35,2,0.9459459459459459
known_target_count,REF,Q4_HIGH,52,50,2,0.9615384615384616
