hour_wib,character_rule,lookback_min,hold_min,trades,wr,net,exp,pf,dd,ls,H1_exp,H1_pf,H2_exp,H2_pf,min_half_exp,positive_anchors,local_cell_count,strict_support_count,economic_support_count,economic_support_ratio,support_floor_exp,support_mean_exp
16,EFF_LOW__RV_MID,360,120,83,0.6144578313253012,80.00125167093879,0.9638705020595034,1.7077451268521449,39.66760872425289,6,0.5581524569735269,1.9774206045715832,1.084318046694403,1.679111849693233,0.5581524569735269,4,3,1,1,0.3333333333333333,0.9638705020595034,0.9638705020595034
16,EFF_LOW__RANGE_LOW,180,240,183,0.5519125683060109,183.70342851936852,1.0038438716905385,1.5503754424259302,117.14048057694102,11,0.2218232827006482,1.1114055488287085,1.3948541661854836,1.8014920707990376,0.2218232827006482,4,5,1,2,0.4,0.7018365219025354,0.8528401967965369
16,EFF_LOW__RANGE_MID,180,120,81,0.654320987654321,65.73390837887625,0.8115297330725463,1.6564185018338575,29.659872923470672,6,0.9055854424080132,1.7924257124573144,0.7241922886896128,1.547337434240834,0.7241922886896128,3,4,1,1,0.25,0.8115297330725463,0.8115297330725463
16,EFF_LOW__RANGE_MID,360,120,70,0.6428571428571429,114.38408130865209,1.634058304409315,2.170519280715792,47.50104603829364,7,1.7529218936639548,2.6977046689236106,1.5865128687074594,2.0292633509271045,1.5865128687074594,4,3,2,2,0.6666666666666666,1.634058304409315,2.1287777817124454
16,EFF_LOW__RANGE_MID,360,240,70,0.5571428571428572,183.64480813109031,2.623497259015576,1.974775776047179,119.82171260477224,13,3.9732898088394912,3.0265378283410733,2.08358023908601,1.6983238308232758,2.08358023908601,4,4,3,3,0.75,1.634058304409315,2.626883135823725
16,EFF_LOW__RANGE_MID,360,360,70,0.5857142857142857,253.6165690832399,3.623093844046284,2.48614987220674,64.1230682229373,7,1.6341388759149715,1.433037093710214,4.418675831298811,3.3212198513069104,1.6341388759149715,4,4,3,3,0.75,2.623497259015576,3.0057438276980513
16,EFF_LOW__RANGE_MID,360,480,70,0.6,193.94482660226063,2.7706403800322947,1.7538581384150052,117.93212741765062,8,0.8483093868677566,1.1500398050989555,3.53957277729811,2.227383957494385,0.8483093868677566,4,3,2,2,0.6666666666666666,2.7706403800322947,3.196867112039289
16,EFF_MID__RANGE_HIGH,180,240,74,0.5540540540540541,126.69679664244744,1.712118873546587,1.6495903263933025,57.8406927330304,8,0.9644380863379342,1.2794232701334554,2.4204480403758373,2.299368206883696,0.9644380863379342,4,5,2,2,0.4,1.1368357974004677,1.4244773354735274
16,EFF_MID__RANGE_HIGH,240,240,63,0.5555555555555556,71.62065523622947,1.1368357974004677,1.325371185687155,57.66704563787002,6,0.1908916159893113,1.0467798330305689,1.943670540368807,1.6492822425144251,0.1908916159893113,4,5,2,3,0.6,1.1368357974004677,2.3431365278729497
16,EFF_HIGH__RANGE_LOW,60,240,66,0.5757575757575758,87.8094097321994,1.330445602003021,1.763730856046614,37.53397519194391,6,2.20691238533908,2.977985680245921,0.892212210334992,1.434127801778312,0.892212210334992,4,4,1,1,0.25,1.330445602003021,1.330445602003021
16,EFF_LOW__EXT_LOW,60,240,171,0.5672514619883041,185.4843550372567,1.0847038306272323,1.4890280925181762,51.27987362645907,6,0.1154576440752198,1.050504539255023,1.7403703685888876,1.801246596834589,0.1154576440752198,3,4,1,1,0.25,1.0847038306272323,1.0847038306272323
16,EFF_LOW__EXT_MID,120,120,75,0.5733333333333334,89.86080004291455,1.198144000572194,2.469567097239988,13.724599965187302,5,1.8983804782047573,3.4212004046682507,0.6174600922915316,1.7340151529313992,0.6174600922915316,3,4,1,1,0.25,1.198144000572194,1.198144000572194
16,RV_LOW__RANGE_MID,360,240,71,0.647887323943662,154.63876576075984,2.178010785362815,2.3988227918986853,34.92979939923714,4,2.484789843000097,2.4506007378007078,1.9661871503275488,2.356570260561615,1.9661871503275488,3,4,1,1,0.25,2.178010785362815,2.178010785362815
16,RV_MID__RANGE_LOW,60,120,66,0.5909090909090909,63.33294620654083,0.9595900940384976,1.9781034615565287,16.813910167472123,4,0.7942442786332327,2.269208052484119,1.0670648740519195,1.8804075029496672,0.7942442786332327,3,3,2,2,0.6666666666666666,0.9595900940384976,1.2975859089965867
16,RV_MID__RANGE_LOW,60,240,66,0.6212121212121212,107.94839378100858,1.6355817239546755,1.9606750906092651,23.50123842545981,4,0.8904964000584312,1.577169268618399,2.1198871844872333,2.1735971055800576,0.8904964000584312,3,4,3,3,0.75,0.9595900940384976,1.7722319892113205
16,RV_MID__RANGE_LOW,60,360,66,0.6515151515151515,179.62059387629202,2.7215241496407883,2.041138388749872,84.86631484959682,5,0.5179435744799477,1.1284074865719935,4.153851523495336,3.4560895048819216,0.5179435744799477,4,4,2,2,0.5,1.6355817239546755,2.1785529367977317
16,DRIVE_UP__RV_LOW,240,360,199,0.5527638190954773,391.8088338295279,1.9688886122086828,1.8142353622662728,89.7772647568446,11,2.90464598716511,2.4824134340387904,1.504527809598726,1.5686694588560035,1.504527809598726,4,5,1,1,0.2,1.9688886122086828,1.9688886122086828
16,DRIVE_UP__EXT_LOW,60,240,155,0.567741935483871,275.7006028838099,1.778713566992322,1.8918865810777323,51.16795484906666,6,0.8869299053757942,1.347109488258075,2.3893915091862485,2.483854962592771,0.8869299053757942,4,4,1,1,0.25,1.778713566992322,1.778713566992322
16,DRIVE_UP__STR_B0_20,60,240,99,0.5858585858585859,119.09340375973484,1.202963674340756,1.5164289373077553,80.23329306344912,8,1.4338936302764138,1.736702336963845,1.0710036995203798,1.4202886195095978,1.0710036995203798,3,4,1,2,0.5,0.8568722387035336,1.0299179565221448
16,DRIVE_UP__STR_B20_40,240,360,79,0.5822784810126582,69.02056639584374,0.8736780556435917,1.291782189679975,56.84797915454624,6,0.9935358962768892,1.2541481246813293,0.8181883146096571,1.3182780116106012,0.8181883146096571,3,5,1,1,0.2,0.8736780556435917,0.8736780556435917
16,DRIVE_UP__STR_B20_40,360,120,80,0.6125,76.48728295855067,0.9560910369818834,2.0468261508121213,10.961106657620686,5,0.3490672771745835,1.3721414797913298,1.404760772491627,2.569411889550384,0.3490672771745835,4,3,1,1,0.3333333333333333,0.9560910369818834,0.9560910369818834
16,DRIVE_DOWN__EFF_LOW,120,240,155,0.5806451612903226,196.3156905377756,1.2665528421791974,1.6568821743827122,55.64787294252302,9,1.0357356073668238,1.462782140117053,1.433254178432579,1.840970539972683,1.0357356073668238,4,5,1,1,0.2,1.2665528421791974,1.2665528421791974
16,DRIVE_DOWN__STR_B0_20,120,240,99,0.5757575757575758,99.34445445495804,1.003479337928869,1.5354025463492924,36.136632899290326,6,1.3589456414843908,1.6773722255261676,0.8090837031719429,1.4489691768177315,0.8090837031719429,3,5,2,2,0.4,0.9783186585777732,0.9908989982533211
16,DRIVE_DOWN__STR_B0_20,180,240,102,0.5882352941176471,99.78850317493286,0.9783186585777732,1.4426109172525017,67.89324837534117,8,0.1442553477498432,1.064455321256501,1.2785814504758282,1.5810803725640572,0.1442553477498432,3,5,2,2,0.4,0.9783186585777732,0.9908989982533211
16,DRIVE_DOWN__STR_B20_40,180,120,93,0.5591397849462365,63.30358474059173,0.6806837068880831,1.5600433833218723,35.03584212400536,9,0.0258324329545012,1.020824452891729,1.040851907551553,1.866205580124629,0.0258324329545012,3,4,1,1,0.25,0.6806837068880831,0.6806837068880831
17,EFF_LOW__RV_HIGH,360,240,74,0.6081081081081081,254.26261014458856,3.435981218170116,2.260371103360402,58.58742153695147,8,4.0474945774973,2.3702753154297973,2.8566527724917314,2.1378682493444674,2.8566527724917314,4,4,1,1,0.25,3.435981218170116,3.435981218170116
17,EFF_LOW__RANGE_MID,360,240,74,0.5675675675675675,204.20225837577505,2.759489978051014,2.128796602429562,104.67979794156284,12,2.7271646692044618,1.7500683055659203,2.780321843752124,2.6579832065544284,2.7271646692044618,4,4,1,1,0.25,2.759489978051014,2.759489978051014
17,EFF_LOW__RANGE_HIGH,120,120,60,0.55,113.98716102614556,1.899786017102426,1.9131858011524252,48.71141350137383,8,3.0681631547778125,2.308260868306983,0.147220310589347,1.0874671258964554,0.147220310589347,3,4,2,2,0.5,1.899786017102426,3.6969809700000447
17,EFF_LOW__RANGE_HIGH,120,240,60,0.6,329.65055537385973,5.494175922897663,3.019203006606318,41.67503988002898,5,3.0473496890297,1.9109037141160907,9.164415273699603,6.136180247560539,3.0473496890297,3,5,2,2,0.4,1.899786017102426,3.6969809700000447
17,EFF_LOW__EXT_MID,120,360,83,0.5903614457831325,299.3879799541384,3.607084095832992,2.104215981585464,44.97390613837692,4,2.052278233044427,1.605831481088103,4.685928980216894,2.472283518249938,2.052278233044427,4,5,2,2,0.4,2.791079968272243,3.1990820320526177
17,EFF_LOW__EXT_MID,120,480,83,0.5662650602409639,231.65963736659617,2.791079968272243,1.655824685059499,88.96148170003951,3,1.7948386331513044,1.478029445555196,3.4823494661112626,1.7564431448207911,1.7948386331513044,3,4,2,2,0.5,2.791079968272243,3.1990820320526177
17,DRIVE_UP__EXT_LOW,360,240,135,0.5555555555555556,374.7933622391428,2.776247127697354,2.33300890623597,44.20788396808803,10,0.6448016370597315,1.261238784717367,4.2871451970101,3.3693897247744875,0.6448016370597315,4,4,2,2,0.5,2.776247127697354,3.2005748493409696
17,DRIVE_UP__EXT_LOW,360,360,135,0.5703703703703704,489.361847082919,3.624902570984585,2.24154835211505,74.41282231290762,9,2.82655603706721,2.0250753159381616,4.1908191013563965,2.380977743951504,2.82655603706721,4,4,3,3,0.75,2.342596504408934,2.914582067696958
17,DRIVE_UP__EXT_LOW,360,480,135,0.5555555555555556,316.2505280952061,2.342596504408934,1.6632193568049545,88.76506459168286,7,2.5100340356882915,1.7323794131603971,2.223906608818504,1.6166318804172168,2.223906608818504,4,3,2,2,0.6666666666666666,2.342596504408934,2.9837495376967595
17,DRIVE_UP__STR_B0_20,360,120,92,0.5760869565217391,124.64178984217654,1.354802063501919,1.9820354600009455,33.97788919041059,6,1.4951155139140582,1.998700264379308,1.3024462984227625,1.9750663176121737,1.3024462984227625,4,3,1,1,0.3333333333333333,1.354802063501919,1.354802063501919
17,DRIVE_DOWN__STR_B40_60,60,120,78,0.5769230769230769,62.40424948794679,0.8000544806147024,1.5413187170465616,27.57734479690203,4,0.8204887418453881,1.5638888848354833,0.786576563632761,1.5268112447471849,0.786576563632761,3,3,1,1,0.3333333333333333,0.8000544806147024,0.8000544806147024
18,EFF_LOW__RV_HIGH,120,240,68,0.5588235294117647,95.402914713135,1.402984039899044,1.3489254068885144,92.905610658328,4,2.10077104215092,1.5992525629373218,0.7051970376471696,1.1554636419040822,0.7051970376471696,3,5,1,1,0.2,1.402984039899044,1.402984039899044
18,EFF_LOW__RV_HIGH,240,120,85,0.5529411764705883,134.2659841809465,1.5795998138934884,1.8691233024581857,67.36983873648653,6,0.5112839745791035,1.2073611634665735,2.5750759368909835,3.122104698847046,0.5112839745791035,3,4,1,1,0.25,1.5795998138934884,1.5795998138934884
18,RV_HIGH__RANGE_MID,360,360,61,0.6229508196721312,76.54667072531979,1.2548634545134392,1.464155530384479,59.44034220242442,5,0.2492851533513576,1.0712794836920727,2.2280037459606143,2.151188217046784,0.2492851533513576,3,4,2,3,0.75,0.90474401169328,1.6932232541825734
18,RV_HIGH__RANGE_MID,360,480,61,0.5901639344262295,178.12380007680107,2.920062296341001,1.6639360999707855,82.84591816837269,5,1.5299236694004898,1.3056561448841295,4.265357741767302,2.119390424398893,1.5299236694004898,4,3,2,2,0.6666666666666666,1.2548634545134392,2.08746287542722
18,DRIVE_DOWN__EFF_HIGH,120,120,127,0.5669291338582677,105.48065655789432,0.8305563508495616,1.3854921902541952,71.57203669664057,8,0.0976776809862185,1.0422795679282204,1.4465992907346907,1.7148579626279152,0.0976776809862185,4,4,1,2,0.5,0.8305563508495616,0.9634489858721662
18,DRIVE_DOWN__RANGE_HIGH,120,240,124,0.5806451612903226,332.11820526880746,2.678372623135544,1.9535555153200308,115.69123673694384,12,1.926013341621317,1.8409397072093368,3.318439474573021,2.02107307979917,1.926013341621317,4,5,1,2,0.4,1.3384148811655263,2.008393752150535
18,DRIVE_DOWN__EXT_HIGH,120,120,126,0.5555555555555556,128.8876593043334,1.022917930986773,1.5790754543990804,53.62954653448461,5,0.740680681032392,1.3311441391397163,1.263649703006686,1.925506982443238,0.740680681032392,4,4,2,4,1.0,0.7851407355930472,1.1127980760325666
18,DRIVE_DOWN__EXT_HIGH,120,240,126,0.5714285714285714,233.0804984946712,1.849845226148184,1.633625533111848,82.4329089682823,6,1.5435421038953128,1.545034577233156,2.1111037715991623,1.7050987367562371,1.5435421038953128,4,5,3,4,0.8,1.022917930986773,1.496562340250724
18,DRIVE_DOWN__EXT_HIGH,180,240,119,0.5630252100840336,168.03143103099842,1.412028832193264,1.446519923625356,80.91746174412745,7,2.2871692050033188,2.094290912149501,0.5799281498492781,1.1386800319510912,0.5799281498492781,4,5,2,3,0.6,0.793288411402262,1.3517208232479032
18,DRIVE_DOWN__STR_B60_80,120,240,64,0.609375,100.99482822833892,1.5780441910677956,1.671826489539963,49.81808332349091,5,0.206333538055828,1.0599636404763275,2.6449302545215483,2.7638954559024453,0.206333538055828,4,5,1,1,0.2,1.5780441910677956,1.5780441910677956
18,DRIVE_DOWN__STR_B80_100,60,120,79,0.5822784810126582,108.3348896664239,1.371327717296505,1.6362750810726838,64.86016362392425,4,0.1390865960714092,1.0504149070048112,2.8431712787598142,2.982295141760566,0.1390865960714092,4,3,3,3,1.0,1.371327717296505,1.8138054959727326
