partition,entry_tf,higher_tf,higher_state_at_entry,signal_ts,entry_ts,exit_ts,entry_px,exit_px,return,mfe,mae,bars_held,strong_bars,healthy_bars,strong_frac,healthy_frac,exit_reason
external,5m,1h,STRONG_BEAR,2020-10-16 23:10:00+00:00,2020-10-16 23:15:00+00:00,2020-10-16 23:25:00+00:00,11341.71,11328.81,-0.0011373946256780787,3.9676556709666855e-05,-0.001184124792469432,2,1,0,0.5,0.0,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2020-10-17 02:50:00+00:00,2020-10-17 02:55:00+00:00,2020-10-17 03:05:00+00:00,11341.17,11329.27,-0.0010492744575735236,0.00016135901322344992,-0.0010501562008152776,2,1,0,0.5,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-10-29 00:10:00+00:00,2020-10-29 00:15:00+00:00,2020-10-29 00:35:00+00:00,13290.0,13247.0,-0.0032355154251316742,0.0004394281414596968,-0.0032693754702785016,4,1,2,0.25,0.5,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-10-29 04:30:00+00:00,2020-10-29 04:35:00+00:00,2020-10-29 04:45:00+00:00,13259.25,13244.06,-0.0011456153251504508,0.0003031845692629265,-0.0015649452269170805,2,1,0,0.5,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-11-08 05:35:00+00:00,2020-11-08 05:40:00+00:00,2020-11-08 06:20:00+00:00,15033.73,15014.68,-0.0012671506006824984,0.0030052422120125932,-0.0016848779378104695,8,6,1,0.75,0.125,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-11-10 19:05:00+00:00,2020-11-10 19:10:00+00:00,2020-11-10 20:15:00+00:00,15299.16,15283.67,-0.0010124738874552897,0.0027635504171470426,-0.001694864293203091,13,11,1,0.8461538461538461,0.07692307692307693,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-11-10 21:10:00+00:00,2020-11-10 21:15:00+00:00,2020-11-10 22:20:00+00:00,15336.02,15334.42,-0.00010432954573613706,0.0038458478796976614,-0.001362804691177999,13,10,2,0.7692307692307693,0.15384615384615385,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-11-22 14:50:00+00:00,2020-11-22 14:55:00+00:00,2020-11-22 15:00:00+00:00,18217.72,18201.4,-0.0008958310919258139,0.0009721304312504397,-0.0009726793473607831,1,0,0,0.0,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-11-22 15:05:00+00:00,2020-11-22 15:10:00+00:00,2020-11-22 18:55:00+00:00,18278.0,18541.93,0.014439763650289983,0.02094977568661771,-0.0024351679614836863,45,29,15,0.6444444444444445,0.3333333333333333,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-11-23 23:00:00+00:00,2020-11-23 23:05:00+00:00,2020-11-23 23:10:00+00:00,18436.16,18380.31,-0.0030293727110199953,0.0,-0.005447446756808416,1,0,0,0.0,0.0,CLOSE_BELOW_EMA50
