hold_min,period,slippage_bps_per_side,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,max_win_streak
720,2025,0,25,0.6,31.74500577989969,1.2698002311959875,1.4006415392521352,28.156098671567015,6,4
720,2022,2,33,0.5757575757575758,65.58979029980118,1.987569403024278,1.706742603545526,32.29178816509446,3,6
720,2022-2025,2,113,0.5752212389380531,275.1712419455227,2.435143734031174,1.9316589845795578,35.044474096374216,6,6
720,2023,2,31,0.5161290322580645,55.88901719313106,1.8028715223590666,1.63207566030362,35.04447409637421,5,4
720,2024,2,24,0.6666666666666666,126.94742867269082,5.2894761946954505,4.865977478468176,13.61223745553194,2,5
720,2025,2,25,0.56,26.7450057798997,1.069800231195988,1.3289995301820776,28.81259279013822,6,4
720,2022,5,33,0.5151515151515151,55.68979029980118,1.6875694030242783,1.571770998756197,33.18678257149028,5,6
720,2022-2025,5,113,0.5398230088495575,241.27124194552275,2.1351437340311747,1.7770805466076336,37.144474096374225,6,6
720,2023,5,31,0.4838709677419355,46.58901719313105,1.502871522359066,1.500108706317834,37.14447409637422,5,4
720,2024,5,24,0.6666666666666666,119.7474286726908,4.98947619469545,4.398335327077545,13.912237455531937,2,5
720,2025,5,25,0.52,19.24500577989969,0.7698002311959875,1.2272390339050447,30.01259279013822,6,3
720,2022,10,33,0.48484848484848486,39.189790299801174,1.187569403024278,1.37061768608708,36.01777983673441,5,4
720,2022-2025,10,113,0.5221238938053098,184.77124194552277,1.635143734031175,1.5485018961054264,44.434227358514555,6,5
720,2023,10,31,0.45161290322580644,31.089017193131035,1.0028715223590656,1.307216522635099,40.644474096374225,5,4
720,2024,10,24,0.6666666666666666,107.7474286726908,4.48947619469545,3.7460610382881807,14.412237455531937,2,5
720,2025,10,25,0.52,6.745005779899692,0.26980023119598767,1.0743738292829619,32.200129926035636,6,3
960,2022,0,33,0.6666666666666666,36.520079172522415,1.1066690658340126,1.2417982063884294,72.45874828843368,2,6
960,2022-2025,0,113,0.6106194690265486,316.4219376677972,2.8001941386530724,1.9062531571314507,72.45874828843368,5,6
960,2023,0,31,0.4838709677419355,37.7179844021159,1.2167091742618033,1.4041973929381044,33.320000158439456,5,4
960,2024,0,24,0.7083333333333334,200.06267041303724,8.335944600543218,10.42874512396448,7.039586120102442,2,5
960,2025,0,25,0.6,42.121203680121624,1.6848481472048649,1.503935376515295,33.79035979893592,3,5
960,2022,2,33,0.6666666666666666,29.920079172522406,0.9066690658340123,1.1952557109123771,75.65874828843369,2,6
960,2022-2025,2,113,0.6017699115044248,293.8219376677972,2.6001941386530727,1.8207630124301417,75.65874828843369,5,6
960,2023,2,31,0.4838709677419355,31.517984402115896,1.016709174261803,1.3265579261866085,34.320000158439456,5,4
960,2024,2,24,0.7083333333333334,195.26267041303726,8.135944600543219,9.632921311007529,7.439586120102447,2,5
960,2025,2,25,0.56,37.12120368012164,1.4848481472048656,1.4335736362985079,33.99035979893592,3,5
960,2022,5,33,0.6666666666666666,20.02007917252241,0.6066690658340125,1.127894931600136,80.4587482884337,2,6
960,2022-2025,5,113,0.6017699115044248,259.9219376677972,2.3001941386530724,1.699681031275621,80.4587482884337,5,6
960,2023,5,31,0.4838709677419355,22.217984402115903,0.7167091742618034,1.2192944687367147,37.159951766695215,5,4
960,2024,5,24,0.7083333333333334,188.06267041303724,7.835944600543218,8.608212667536913,8.039586120102442,2,5
960,2025,5,25,0.56,29.621203680121624,1.1848481472048649,1.3331337958384615,34.29035979893592,3,5
960,2022,10,33,0.6666666666666666,3.520079172522413,0.10666906583401252,1.0217241420047438,88.4587482884337,2,6
960,2022-2025,10,113,0.5929203539823009,203.42193766779718,1.8001941386530724,1.5160040980750615,88.4587482884337,5,6
960,2023,10,31,0.4838709677419355,6.717984402115886,0.21670917426180278,1.061454860522661,46.65995176669522,5,4
960,2024,10,24,0.6666666666666666,176.06267041303724,7.335944600543218,7.186868197514889,9.039586120102442,2,5
960,2025,10,25,0.56,17.121203680121624,0.684848147204865,1.1813363387779547,34.79035979893592,3,5
