rule,need,partition,date_utc,signal_ts,entry_bar_start,entry_px,H,L,range,F15,F65,E20_DOWN,frozen_h2_bar_start,session_end,baseline_exit_reason,baseline_net_pnl_usd,baseline_loser,frozen_h2_failure,persistence_exit,persistence_bar_start,persistence_run,max_pre_h2_run_seen,exit_bar_start,exit_ts,exit_px,exit_reason,net_pnl_usd,win,h2_before_exit
P2,2,development,2022-04-15,2022-04-15 14:00:00+00:00,2022-04-15 14:10:00+00:00,40064.76,40400.0,40005.6,394.4000000000015,40064.76,40261.96,39926.72,2022-04-15 14:25:00+00:00,2022-04-15 20:00:00+00:00,TP,1.3227109310027174,False,False,True,2022-04-15 14:15:00+00:00,2,2,2022-04-15 14:15:00+00:00,2022-04-15 14:20:00+00:00,40081.0,PERSISTENCE_P2,-0.6026718742355871,False,False
P3,3,development,2022-04-15,2022-04-15 14:00:00+00:00,2022-04-15 14:10:00+00:00,40064.76,40400.0,40005.6,394.4000000000015,40064.76,40261.96,39926.72,2022-04-15 14:25:00+00:00,2022-04-15 20:00:00+00:00,TP,1.3227109310027174,False,False,False,,0,2,2022-04-15 14:25:00+00:00,2022-04-15 14:25:00+00:00,39926.72,TP_E20_DOWN,1.3227109310027174,True,False
P1,1,development,2022-05-03,2022-05-03 13:35:00+00:00,2022-05-03 13:40:00+00:00,38311.455,38659.7,38250.0,409.6999999999971,38311.455,38516.305,38168.06,2022-05-03 13:45:00+00:00,2022-05-03 20:00:00+00:00,TP,1.4714376679246983,False,False,False,,0,0,2022-05-03 13:45:00+00:00,2022-05-03 13:45:00+00:00,38168.06,TP_E20_DOWN,1.4714376679246985,True,False
P2,2,development,2022-05-03,2022-05-03 13:35:00+00:00,2022-05-03 13:40:00+00:00,38311.455,38659.7,38250.0,409.6999999999971,38311.455,38516.305,38168.06,2022-05-03 13:45:00+00:00,2022-05-03 20:00:00+00:00,TP,1.4714376679246983,False,False,False,,0,0,2022-05-03 13:45:00+00:00,2022-05-03 13:45:00+00:00,38168.06,TP_E20_DOWN,1.4714376679246985,True,False
P3,3,development,2022-05-03,2022-05-03 13:35:00+00:00,2022-05-03 13:40:00+00:00,38311.455,38659.7,38250.0,409.6999999999971,38311.455,38516.305,38168.06,2022-05-03 13:45:00+00:00,2022-05-03 20:00:00+00:00,TP,1.4714376679246983,False,False,False,,0,0,2022-05-03 13:45:00+00:00,2022-05-03 13:45:00+00:00,38168.06,TP_E20_DOWN,1.4714376679246985,True,False
P1,1,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 14:00:00+00:00,29547.905,30288.0,29417.3,870.7000000000007,29547.905,29983.255,29243.16,2022-05-16 15:35:00+00:00,2022-05-16 20:00:00+00:00,TP,4.756795380247754,False,False,True,2022-05-16 14:00:00+00:00,1,1,2022-05-16 14:00:00+00:00,2022-05-16 14:05:00+00:00,29584.9,PERSISTENCE_P1,-1.0260173098566994,False,False
P2,2,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 14:00:00+00:00,29547.905,30288.0,29417.3,870.7000000000007,29547.905,29983.255,29243.16,2022-05-16 15:35:00+00:00,2022-05-16 20:00:00+00:00,TP,4.756795380247754,False,False,True,2022-05-16 14:05:00+00:00,2,2,2022-05-16 14:05:00+00:00,2022-05-16 14:10:00+00:00,29682.9,PERSISTENCE_P2,-2.6843413094769764,False,False
P3,3,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 14:00:00+00:00,29547.905,30288.0,29417.3,870.7000000000007,29547.905,29983.255,29243.16,2022-05-16 15:35:00+00:00,2022-05-16 20:00:00+00:00,TP,4.756795380247754,False,False,True,2022-05-16 14:10:00+00:00,3,3,2022-05-16 14:10:00+00:00,2022-05-16 14:15:00+00:00,29618.9,PERSISTENCE_P3,-1.6013542076841425,False,False
P1,1,development,2022-06-10,2022-06-10 13:35:00+00:00,2022-06-10 13:45:00+00:00,29418.01,30177.4,29284.0,893.4000000000015,29418.01,29864.71,29105.32,2022-06-10 14:00:00+00:00,2022-06-10 20:00:00+00:00,TP,4.914601497518056,False,False,False,,0,0,2022-06-10 16:25:00+00:00,2022-06-10 16:25:00+00:00,29105.32,TP_E20_DOWN,4.914601497517995,True,True
P2,2,development,2022-06-10,2022-06-10 13:35:00+00:00,2022-06-10 13:45:00+00:00,29418.01,30177.4,29284.0,893.4000000000015,29418.01,29864.71,29105.32,2022-06-10 14:00:00+00:00,2022-06-10 20:00:00+00:00,TP,4.914601497518056,False,False,False,,0,0,2022-06-10 16:25:00+00:00,2022-06-10 16:25:00+00:00,29105.32,TP_E20_DOWN,4.914601497517995,True,True
P3,3,development,2022-06-10,2022-06-10 13:35:00+00:00,2022-06-10 13:45:00+00:00,29418.01,30177.4,29284.0,893.4000000000015,29418.01,29864.71,29105.32,2022-06-10 14:00:00+00:00,2022-06-10 20:00:00+00:00,TP,4.914601497518056,False,False,False,,0,0,2022-06-10 16:25:00+00:00,2022-06-10 16:25:00+00:00,29105.32,TP_E20_DOWN,4.914601497517995,True,True
P1,1,development,2022-06-13,2022-06-13 13:45:00+00:00,2022-06-13 13:50:00+00:00,23579.06,24934.3,23339.9,1594.3999999999978,23579.06,24376.26,23021.02,2022-06-13 14:10:00+00:00,2022-06-13 20:00:00+00:00,TP,11.433380974474826,False,False,True,2022-06-13 13:50:00+00:00,1,1,2022-06-13 13:50:00+00:00,2022-06-13 13:55:00+00:00,23622.1,PERSISTENCE_P1,-1.3126742117793762,False,False
P2,2,development,2022-06-13,2022-06-13 13:45:00+00:00,2022-06-13 13:50:00+00:00,23579.06,24934.3,23339.9,1594.3999999999978,23579.06,24376.26,23021.02,2022-06-13 14:10:00+00:00,2022-06-13 20:00:00+00:00,TP,11.433380974474826,False,False,True,2022-06-13 13:55:00+00:00,2,2,2022-06-13 13:55:00+00:00,2022-06-13 14:00:00+00:00,23642.7,PERSISTENCE_P2,-1.7495024822872374,False,False
P3,3,development,2022-06-13,2022-06-13 13:45:00+00:00,2022-06-13 13:50:00+00:00,23579.06,24934.3,23339.9,1594.3999999999978,23579.06,24376.26,23021.02,2022-06-13 14:10:00+00:00,2022-06-13 20:00:00+00:00,TP,11.433380974474826,False,False,False,,0,2,2022-06-13 14:40:00+00:00,2022-06-13 14:40:00+00:00,23021.02,TP_E20_DOWN,11.433380974474826,True,True
P1,1,development,2022-07-05,2022-07-05 13:35:00+00:00,2022-07-05 13:40:00+00:00,19436.38,20209.2,19300.0,909.2000000000008,19436.38,19890.98,19118.16,,2022-07-05 20:00:00+00:00,CLOSE_INVALIDATION,-12.802515283195714,True,True,True,2022-07-05 13:40:00+00:00,1,1,2022-07-05 13:40:00+00:00,2022-07-05 13:45:00+00:00,19437.8,PERSISTENCE_P1,-0.4365294360369126,False,False
P2,2,development,2022-07-05,2022-07-05 13:35:00+00:00,2022-07-05 13:40:00+00:00,19436.38,20209.2,19300.0,909.2000000000008,19436.38,19890.98,19118.16,,2022-07-05 20:00:00+00:00,CLOSE_INVALIDATION,-12.802515283195714,True,True,True,2022-07-05 13:45:00+00:00,2,2,2022-07-05 13:45:00+00:00,2022-07-05 13:50:00+00:00,19479.2,PERSISTENCE_P2,-1.5015425711989505,False,False
P3,3,development,2022-07-05,2022-07-05 13:35:00+00:00,2022-07-05 13:40:00+00:00,19436.38,20209.2,19300.0,909.2000000000008,19436.38,19890.98,19118.16,,2022-07-05 20:00:00+00:00,CLOSE_INVALIDATION,-12.802515283195714,True,True,True,2022-07-05 14:20:00+00:00,3,3,2022-07-05 14:20:00+00:00,2022-07-05 14:25:00+00:00,19471.5,PERSISTENCE_P3,-1.3034604180407818,False,False
P1,1,development,2022-07-15,2022-07-15 16:05:00+00:00,2022-07-15 16:10:00+00:00,20768.105,21090.0,20711.3,378.7000000000007,20768.105,20957.455,20635.56,2022-07-15 16:20:00+00:00,2022-07-15 20:00:00+00:00,TP,2.791071116021464,False,False,False,,0,0,2022-07-15 16:25:00+00:00,2022-07-15 16:25:00+00:00,20635.56,TP_E20_DOWN,2.7910711160213766,True,True
P2,2,development,2022-07-15,2022-07-15 16:05:00+00:00,2022-07-15 16:10:00+00:00,20768.105,21090.0,20711.3,378.7000000000007,20768.105,20957.455,20635.56,2022-07-15 16:20:00+00:00,2022-07-15 20:00:00+00:00,TP,2.791071116021464,False,False,False,,0,0,2022-07-15 16:25:00+00:00,2022-07-15 16:25:00+00:00,20635.56,TP_E20_DOWN,2.7910711160213766,True,True
P3,3,development,2022-07-15,2022-07-15 16:05:00+00:00,2022-07-15 16:10:00+00:00,20768.105,21090.0,20711.3,378.7000000000007,20768.105,20957.455,20635.56,2022-07-15 16:20:00+00:00,2022-07-15 20:00:00+00:00,TP,2.791071116021464,False,False,False,,0,0,2022-07-15 16:25:00+00:00,2022-07-15 16:25:00+00:00,20635.56,TP_E20_DOWN,2.7910711160213766,True,True
P1,1,development,2022-07-25,2022-07-25 13:40:00+00:00,2022-07-25 13:45:00+00:00,21841.19,22095.0,21796.4,298.59999999999854,21841.19,21990.49,21736.68,2022-07-25 14:05:00+00:00,2022-07-25 20:00:00+00:00,TP,1.9924978446687664,False,False,True,2022-07-25 13:45:00+00:00,1,1,2022-07-25 13:45:00+00:00,2022-07-25 13:50:00+00:00,21862.0,PERSISTENCE_P1,-0.8763934565836686,False,False
P2,2,development,2022-07-25,2022-07-25 13:40:00+00:00,2022-07-25 13:45:00+00:00,21841.19,22095.0,21796.4,298.59999999999854,21841.19,21990.49,21736.68,2022-07-25 14:05:00+00:00,2022-07-25 20:00:00+00:00,TP,1.9924978446687664,False,False,True,2022-07-25 13:50:00+00:00,2,2,2022-07-25 13:50:00+00:00,2022-07-25 13:55:00+00:00,21902.0,PERSISTENCE_P2,-1.7920944783686537,False,False
P3,3,development,2022-07-25,2022-07-25 13:40:00+00:00,2022-07-25 13:45:00+00:00,21841.19,22095.0,21796.4,298.59999999999854,21841.19,21990.49,21736.68,2022-07-25 14:05:00+00:00,2022-07-25 20:00:00+00:00,TP,1.9924978446687664,False,False,True,2022-07-25 13:55:00+00:00,3,3,2022-07-25 13:55:00+00:00,2022-07-25 14:00:00+00:00,21890.3,PERSISTENCE_P3,-1.524251929496529,False,False
P1,1,development,2022-09-01,2022-09-01 14:20:00+00:00,2022-09-01 14:35:00+00:00,19855.85,20115.1,19810.1,305.0,19855.85,20008.35,19749.1,2022-09-01 14:45:00+00:00,2022-09-01 20:00:00+00:00,TP,2.2881246584759656,False,False,True,2022-09-01 14:35:00+00:00,1,1,2022-09-01 14:35:00+00:00,2022-09-01 14:40:00+00:00,19875.9,PERSISTENCE_P1,-0.9048889873765896,False,False
P2,2,development,2022-09-01,2022-09-01 14:20:00+00:00,2022-09-01 14:35:00+00:00,19855.85,20115.1,19810.1,305.0,19855.85,20008.35,19749.1,2022-09-01 14:45:00+00:00,2022-09-01 20:00:00+00:00,TP,2.2881246584759656,False,False,True,2022-09-01 14:40:00+00:00,2,2,2022-09-01 14:40:00+00:00,2022-09-01 14:45:00+00:00,19864.2,PERSISTENCE_P2,-0.6102654885084795,False,False
P3,3,development,2022-09-01,2022-09-01 14:20:00+00:00,2022-09-01 14:35:00+00:00,19855.85,20115.1,19810.1,305.0,19855.85,20008.35,19749.1,2022-09-01 14:45:00+00:00,2022-09-01 20:00:00+00:00,TP,2.2881246584759656,False,False,False,,0,2,2022-09-01 14:45:00+00:00,2022-09-01 14:45:00+00:00,19749.1,TP_E20_DOWN,2.2881246584759656,True,False
P1,1,development,2022-09-27,2022-09-27 14:05:00+00:00,2022-09-27 14:10:00+00:00,20120.85,20375.0,20076.0,299.0,20120.85,20270.35,20016.2,2022-09-27 15:40:00+00:00,2022-09-27 20:00:00+00:00,TP,2.2005362596510043,False,False,True,2022-09-27 14:10:00+00:00,1,1,2022-09-27 14:10:00+00:00,2022-09-27 14:15:00+00:00,20144.3,PERSISTENCE_P1,-0.982728860858282,False,False
P2,2,development,2022-09-27,2022-09-27 14:05:00+00:00,2022-09-27 14:10:00+00:00,20120.85,20375.0,20076.0,299.0,20120.85,20270.35,20016.2,2022-09-27 15:40:00+00:00,2022-09-27 20:00:00+00:00,TP,2.2005362596510043,False,False,True,2022-09-27 14:15:00+00:00,2,2,2022-09-27 14:15:00+00:00,2022-09-27 14:20:00+00:00,20160.3,PERSISTENCE_P2,-1.3803263778617885,False,False
P3,3,development,2022-09-27,2022-09-27 14:05:00+00:00,2022-09-27 14:10:00+00:00,20120.85,20375.0,20076.0,299.0,20120.85,20270.35,20016.2,2022-09-27 15:40:00+00:00,2022-09-27 20:00:00+00:00,TP,2.2005362596510043,False,False,True,2022-09-27 14:20:00+00:00,3,3,2022-09-27 14:20:00+00:00,2022-09-27 14:25:00+00:00,20197.9,PERSISTENCE_P3,-2.3146805428200823,False,False
P1,1,development,2022-10-10,2022-10-10 16:25:00+00:00,2022-10-10 16:50:00+00:00,19161.145,19430.0,19113.7,316.2999999999993,19161.145,19319.295,19050.44,,2022-10-10 20:00:00+00:00,CLOSE_INVALIDATION,-5.0619082523512775,True,True,True,2022-10-10 17:10:00+00:00,1,1,2022-10-10 17:10:00+00:00,2022-10-10 17:15:00+00:00,19190.0,PERSISTENCE_P1,-1.1529560472508185,False,False
P2,2,development,2022-10-10,2022-10-10 16:25:00+00:00,2022-10-10 16:50:00+00:00,19161.145,19430.0,19113.7,316.2999999999993,19161.145,19319.295,19050.44,,2022-10-10 20:00:00+00:00,CLOSE_INVALIDATION,-5.0619082523512775,True,True,True,2022-10-10 17:15:00+00:00,2,2,2022-10-10 17:15:00+00:00,2022-10-10 17:20:00+00:00,19184.9,PERSISTENCE_P2,-1.0198742298542447,False,False
P3,3,development,2022-10-10,2022-10-10 16:25:00+00:00,2022-10-10 16:50:00+00:00,19161.145,19430.0,19113.7,316.2999999999993,19161.145,19319.295,19050.44,,2022-10-10 20:00:00+00:00,CLOSE_INVALIDATION,-5.0619082523512775,True,True,True,2022-10-10 17:20:00+00:00,3,3,2022-10-10 17:20:00+00:00,2022-10-10 17:25:00+00:00,19181.2,PERSISTENCE_P3,-0.9233246760566838,False,False
P1,1,development,2022-10-24,2022-10-24 13:45:00+00:00,2022-10-24 14:00:00+00:00,19310.26,19439.8,19287.4,152.39999999999782,19310.26,19386.46,19256.92,2022-10-24 14:05:00+00:00,2022-10-24 20:00:00+00:00,TP,0.9811310671114768,False,False,False,,0,0,2022-10-24 14:15:00+00:00,2022-10-24 14:15:00+00:00,19256.92,TP_E20_DOWN,0.9811310671114771,True,True
P2,2,development,2022-10-24,2022-10-24 13:45:00+00:00,2022-10-24 14:00:00+00:00,19310.26,19439.8,19287.4,152.39999999999782,19310.26,19386.46,19256.92,2022-10-24 14:05:00+00:00,2022-10-24 20:00:00+00:00,TP,0.9811310671114768,False,False,False,,0,0,2022-10-24 14:15:00+00:00,2022-10-24 14:15:00+00:00,19256.92,TP_E20_DOWN,0.9811310671114771,True,True
P3,3,development,2022-10-24,2022-10-24 13:45:00+00:00,2022-10-24 14:00:00+00:00,19310.26,19439.8,19287.4,152.39999999999782,19310.26,19386.46,19256.92,2022-10-24 14:05:00+00:00,2022-10-24 20:00:00+00:00,TP,0.9811310671114768,False,False,False,,0,0,2022-10-24 14:15:00+00:00,2022-10-24 14:15:00+00:00,19256.92,TP_E20_DOWN,0.9811310671114771,True,True
P1,1,development,2022-10-27,2022-10-27 13:55:00+00:00,2022-10-27 16:25:00+00:00,20498.465,20773.1,20450.0,323.09999999999854,20498.465,20660.015,20385.38,,2022-10-27 20:00:00+00:00,TIME_EXIT,-3.3644902679298148,True,True,True,2022-10-27 16:30:00+00:00,1,1,2022-10-27 16:30:00+00:00,2022-10-27 16:35:00+00:00,20527.3,PERSISTENCE_P1,-1.1033453480540891,False,False
P2,2,development,2022-10-27,2022-10-27 13:55:00+00:00,2022-10-27 16:25:00+00:00,20498.465,20773.1,20450.0,323.09999999999854,20498.465,20660.015,20385.38,,2022-10-27 20:00:00+00:00,TIME_EXIT,-3.3644902679298148,True,True,True,2022-10-27 16:35:00+00:00,2,2,2022-10-27 16:35:00+00:00,2022-10-27 16:40:00+00:00,20537.7,PERSISTENCE_P2,-1.3570228795180659,False,False
P3,3,development,2022-10-27,2022-10-27 13:55:00+00:00,2022-10-27 16:25:00+00:00,20498.465,20773.1,20450.0,323.09999999999854,20498.465,20660.015,20385.38,,2022-10-27 20:00:00+00:00,TIME_EXIT,-3.3644902679298148,True,True,True,2022-10-27 16:40:00+00:00,3,3,2022-10-27 16:40:00+00:00,2022-10-27 16:45:00+00:00,20545.6,PERSISTENCE_P3,-1.5497202351492758,False,False
P1,1,development,2022-12-15,2022-12-15 13:50:00+00:00,2022-12-15 14:00:00+00:00,17489.989999999998,17716.6,17450.0,266.59999999999854,17489.989999999998,17623.29,17396.68,2022-12-15 14:55:00+00:00,2022-12-15 20:00:00+00:00,TP,2.2675258247717034,False,False,True,2022-12-15 14:00:00+00:00,1,1,2022-12-15 14:00:00+00:00,2022-12-15 14:05:00+00:00,17517.6,PERSISTENCE_P1,-1.1893086273920277,False,False
P2,2,development,2022-12-15,2022-12-15 13:50:00+00:00,2022-12-15 14:00:00+00:00,17489.989999999998,17716.6,17450.0,266.59999999999854,17489.989999999998,17623.29,17396.68,2022-12-15 14:55:00+00:00,2022-12-15 20:00:00+00:00,TP,2.2675258247717034,False,False,True,2022-12-15 14:05:00+00:00,2,2,2022-12-15 14:05:00+00:00,2022-12-15 14:10:00+00:00,17519.0,PERSISTENCE_P2,-1.2293315204869197,False,False
P3,3,development,2022-12-15,2022-12-15 13:50:00+00:00,2022-12-15 14:00:00+00:00,17489.989999999998,17716.6,17450.0,266.59999999999854,17489.989999999998,17623.29,17396.68,2022-12-15 14:55:00+00:00,2022-12-15 20:00:00+00:00,TP,2.2675258247717034,False,False,True,2022-12-15 14:10:00+00:00,3,3,2022-12-15 14:10:00+00:00,2022-12-15 14:15:00+00:00,17505.2,PERSISTENCE_P3,-0.8348201456948451,False,False
P1,1,development,2022-12-16,2022-12-16 14:20:00+00:00,2022-12-16 14:25:00+00:00,17000.075,17510.5,16910.0,600.5,17000.075,17300.325,16789.9,2022-12-16 15:30:00+00:00,2022-12-16 20:00:00+00:00,TP,5.781590375336557,False,False,True,2022-12-16 14:25:00+00:00,1,1,2022-12-16 14:25:00+00:00,2022-12-16 14:30:00+00:00,17028.6,PERSISTENCE_P1,-1.2389668869107289,False,False
P2,2,development,2022-12-16,2022-12-16 14:20:00+00:00,2022-12-16 14:25:00+00:00,17000.075,17510.5,16910.0,600.5,17000.075,17300.325,16789.9,2022-12-16 15:30:00+00:00,2022-12-16 20:00:00+00:00,TP,5.781590375336557,False,False,True,2022-12-16 14:30:00+00:00,2,2,2022-12-16 14:30:00+00:00,2022-12-16 14:35:00+00:00,17015.3,PERSISTENCE_P2,-0.847792142093448,False,False
P3,3,development,2022-12-16,2022-12-16 14:20:00+00:00,2022-12-16 14:25:00+00:00,17000.075,17510.5,16910.0,600.5,17000.075,17300.325,16789.9,2022-12-16 15:30:00+00:00,2022-12-16 20:00:00+00:00,TP,5.781590375336557,False,False,True,2022-12-16 14:35:00+00:00,3,3,2022-12-16 14:35:00+00:00,2022-12-16 14:40:00+00:00,17010.1,PERSISTENCE_P3,-0.694851640360346,False,False
P1,1,development,2023-01-05,2023-01-05 13:40:00+00:00,2023-01-05 13:50:00+00:00,16783.335,16830.0,16775.1,54.900000000001455,16783.335,16810.785,16764.12,2023-01-05 13:55:00+00:00,2023-01-05 20:00:00+00:00,TP,0.1724428428557299,False,False,True,2023-01-05 13:50:00+00:00,1,1,2023-01-05 13:50:00+00:00,2023-01-05 13:55:00+00:00,16784.6,PERSISTENCE_P1,-0.4376861928811949,False,False
P2,2,development,2023-01-05,2023-01-05 13:40:00+00:00,2023-01-05 13:50:00+00:00,16783.335,16830.0,16775.1,54.900000000001455,16783.335,16810.785,16764.12,2023-01-05 13:55:00+00:00,2023-01-05 20:00:00+00:00,TP,0.1724428428557299,False,False,False,,0,1,2023-01-05 14:00:00+00:00,2023-01-05 14:00:00+00:00,16764.12,TP_E20_DOWN,0.17244284285572997,True,True
