anchor_hour_wib,local_date,weekday,reference_start_utc,reference_end_utc,execution_start_utc,execution_end_utc,H,L,R,qualified,reason,hi_visits,lo_visits,k1_start,k1_signal,leave,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2
14,2022-02-08,Tuesday,2022-02-08 07:00:00+00:00,2022-02-08 11:00:00+00:00,2022-02-08 11:00:00+00:00,2022-02-08 15:00:00+00:00,440.0,420.8,19.19999999999999,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-02-08 12:20:00+00:00,
14,2022-02-09,Wednesday,2022-02-09 07:00:00+00:00,2022-02-09 11:00:00+00:00,2022-02-09 11:00:00+00:00,2022-02-09 15:00:00+00:00,417.99,411.82,6.170000000000016,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-02-09 11:25:00+00:00,
14,2022-02-10,Thursday,2022-02-10 07:00:00+00:00,2022-02-10 11:00:00+00:00,2022-02-10 11:00:00+00:00,2022-02-10 15:00:00+00:00,428.61,418.13,10.480000000000018,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-02-10 11:25:00+00:00,
14,2022-02-11,Friday,2022-02-11 07:00:00+00:00,2022-02-11 11:00:00+00:00,2022-02-11 11:00:00+00:00,2022-02-11 15:00:00+00:00,418.6,411.55,7.050000000000011,False,NO_K1,0,0,,,False,,,NO_K1,,
14,2022-02-12,Saturday,2022-02-12 07:00:00+00:00,2022-02-12 11:00:00+00:00,2022-02-12 11:00:00+00:00,2022-02-12 15:00:00+00:00,403.0,394.76,8.240000000000009,False,NO_K1,0,0,,,False,,,NO_K1,,
14,2022-02-13,Sunday,2022-02-13 07:00:00+00:00,2022-02-13 11:00:00+00:00,2022-02-13 11:00:00+00:00,2022-02-13 15:00:00+00:00,404.2,401.03,3.170000000000016,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-02-13 11:25:00+00:00,
14,2022-02-14,Monday,2022-02-14 07:00:00+00:00,2022-02-14 11:00:00+00:00,2022-02-14 11:00:00+00:00,2022-02-14 15:00:00+00:00,397.3,392.72,4.579999999999984,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-02-14 11:40:00+00:00,
14,2022-02-15,Tuesday,2022-02-15 07:00:00+00:00,2022-02-15 11:00:00+00:00,2022-02-15 11:00:00+00:00,2022-02-15 15:00:00+00:00,443.3,423.36,19.939999999999998,False,NO_K1,0,0,,,False,,,NO_K1,,
14,2022-02-16,Wednesday,2022-02-16 07:00:00+00:00,2022-02-16 11:00:00+00:00,2022-02-16 11:00:00+00:00,2022-02-16 15:00:00+00:00,433.3,427.49,5.810000000000002,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-02-16 13:30:00+00:00,
14,2022-02-17,Thursday,2022-02-17 07:00:00+00:00,2022-02-17 11:00:00+00:00,2022-02-17 11:00:00+00:00,2022-02-17 15:00:00+00:00,428.18,420.0,8.180000000000007,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-02-17 13:20:00+00:00,
14,2022-02-18,Friday,2022-02-18 07:00:00+00:00,2022-02-18 11:00:00+00:00,2022-02-18 11:00:00+00:00,2022-02-18 15:00:00+00:00,410.96,405.56,5.399999999999977,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-02-18 11:10:00+00:00,
14,2022-02-19,Saturday,2022-02-19 07:00:00+00:00,2022-02-19 11:00:00+00:00,2022-02-19 11:00:00+00:00,2022-02-19 15:00:00+00:00,405.95,398.05,7.899999999999977,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-02-19 11:30:00+00:00,
