tf,tolerance,transition,partition,direction,high_retests,low_retests,n,share_within_group
15m,TOL_0.10,ASIA_TO_LONDON,external,BEAR,1,2,2,0.011695906432748537
15m,TOL_0.10,ASIA_TO_LONDON,external,BULL,0,0,88,0.49162011173184356
15m,TOL_0.10,ASIA_TO_LONDON,external,BULL,0,1,6,0.0335195530726257
15m,TOL_0.10,ASIA_TO_LONDON,external,BULL,1,0,56,0.3128491620111732
15m,TOL_0.10,ASIA_TO_LONDON,external,BULL,1,1,2,0.0111731843575419
15m,TOL_0.10,ASIA_TO_LONDON,external,BULL,1,2,1,0.00558659217877095
15m,TOL_0.10,ASIA_TO_LONDON,external,BULL,2,0,22,0.12290502793296089
15m,TOL_0.10,ASIA_TO_LONDON,external,BULL,3,0,3,0.01675977653631285
15m,TOL_0.10,ASIA_TO_LONDON,external,BULL,5,0,1,0.00558659217877095
15m,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,0,0,89,0.5144508670520231
15m,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,0,1,16,0.09248554913294797
15m,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,0,2,11,0.06358381502890173
15m,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,0,3,4,0.023121387283236993
15m,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,1,0,26,0.15028901734104047
15m,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,1,1,6,0.03468208092485549
15m,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,2,0,11,0.06358381502890173
15m,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,2,2,2,0.011560693641618497
15m,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,3,0,6,0.03468208092485549
15m,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,3,1,1,0.005780346820809248
15m,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,4,0,1,0.005780346820809248
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BEAR,0,0,33,0.25384615384615383
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BEAR,0,1,60,0.46153846153846156
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BEAR,0,2,21,0.16153846153846155
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BEAR,0,3,4,0.03076923076923077
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BEAR,1,0,3,0.023076923076923078
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BEAR,1,1,5,0.038461538461538464
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BEAR,1,2,3,0.023076923076923078
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BEAR,3,0,1,0.007692307692307693
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BULL,0,0,46,0.35658914728682173
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BULL,0,1,1,0.007751937984496124
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BULL,1,0,62,0.4806201550387597
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BULL,1,1,3,0.023255813953488372
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BULL,2,0,12,0.09302325581395349
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BULL,2,1,2,0.015503875968992248
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BULL,2,2,1,0.007751937984496124
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,BULL,3,0,2,0.015503875968992248
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,NO_BREAK,0,0,69,0.45394736842105265
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,NO_BREAK,0,1,24,0.15789473684210525
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,NO_BREAK,0,2,8,0.05263157894736842
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,NO_BREAK,0,4,2,0.013157894736842105
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,NO_BREAK,1,0,22,0.14473684210526316
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,NO_BREAK,1,1,7,0.046052631578947366
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,NO_BREAK,1,2,1,0.006578947368421052
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,NO_BREAK,2,0,12,0.07894736842105263
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,NO_BREAK,2,1,1,0.006578947368421052
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,NO_BREAK,2,2,2,0.013157894736842105
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,NO_BREAK,3,0,3,0.019736842105263157
15m,TOL_0.10,ASIA_TO_LONDON,reference_validation,NO_BREAK,4,0,1,0.006578947368421052
15m,TOL_0.10,LONDON_TO_NEWYORK,august,BEAR,0,0,1,0.3333333333333333
15m,TOL_0.10,LONDON_TO_NEWYORK,august,BEAR,0,1,2,0.6666666666666666
15m,TOL_0.10,LONDON_TO_NEWYORK,august,BULL,0,0,1,0.1111111111111111
15m,TOL_0.10,LONDON_TO_NEWYORK,august,BULL,1,0,4,0.4444444444444444
15m,TOL_0.10,LONDON_TO_NEWYORK,august,BULL,1,1,2,0.2222222222222222
15m,TOL_0.10,LONDON_TO_NEWYORK,august,BULL,1,2,1,0.1111111111111111
15m,TOL_0.10,LONDON_TO_NEWYORK,august,BULL,2,0,1,0.1111111111111111
15m,TOL_0.10,LONDON_TO_NEWYORK,august,NO_BREAK,1,0,1,0.5
15m,TOL_0.10,LONDON_TO_NEWYORK,august,NO_BREAK,1,1,1,0.5
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BEAR,0,0,131,0.3659217877094972
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BEAR,0,1,130,0.36312849162011174
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BEAR,0,2,27,0.07541899441340782
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BEAR,0,3,4,0.0111731843575419
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BEAR,0,4,1,0.002793296089385475
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BEAR,1,0,25,0.06983240223463687
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BEAR,1,1,21,0.05865921787709497
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BEAR,1,2,7,0.019553072625698324
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BEAR,1,3,3,0.008379888268156424
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BEAR,2,0,4,0.0111731843575419
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BEAR,2,1,3,0.008379888268156424
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BEAR,2,2,1,0.002793296089385475
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BEAR,3,1,1,0.002793296089385475
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,0,0,121,0.37577639751552794
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,0,1,16,0.049689440993788817
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,0,2,6,0.018633540372670808
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,1,0,107,0.33229813664596275
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,1,1,26,0.08074534161490683
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,1,2,4,0.012422360248447204
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,1,3,2,0.006211180124223602
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,2,0,22,0.06832298136645963
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,2,1,3,0.009316770186335404
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,2,2,3,0.009316770186335404
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,3,0,6,0.018633540372670808
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,3,1,2,0.006211180124223602
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,3,3,2,0.006211180124223602
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,4,0,1,0.003105590062111801
15m,TOL_0.10,LONDON_TO_NEWYORK,development,BULL,6,1,1,0.003105590062111801
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,0,0,34,0.3333333333333333
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,0,1,10,0.09803921568627451
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,0,2,10,0.09803921568627451
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,0,4,2,0.0196078431372549
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,1,0,21,0.20588235294117646
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,1,1,5,0.049019607843137254
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,1,2,2,0.0196078431372549
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,1,3,1,0.00980392156862745
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,1,4,2,0.0196078431372549
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,2,0,7,0.06862745098039216
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,2,2,2,0.0196078431372549
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,2,3,1,0.00980392156862745
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,2,4,1,0.00980392156862745
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,3,0,3,0.029411764705882353
15m,TOL_0.10,LONDON_TO_NEWYORK,development,NO_BREAK,4,0,1,0.00980392156862745
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BEAR,0,0,73,0.44242424242424244
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BEAR,0,1,65,0.3939393939393939
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BEAR,0,2,12,0.07272727272727272
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BEAR,0,3,4,0.024242424242424242
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BEAR,0,4,1,0.006060606060606061
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BEAR,1,0,3,0.01818181818181818
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BEAR,1,1,3,0.01818181818181818
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BEAR,1,2,2,0.012121212121212121
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BEAR,2,0,1,0.006060606060606061
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BEAR,3,2,1,0.006060606060606061
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BULL,0,0,109,0.48444444444444446
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BULL,0,1,4,0.017777777777777778
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BULL,1,0,72,0.32
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BULL,1,1,4,0.017777777777777778
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BULL,2,0,21,0.09333333333333334
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BULL,2,1,1,0.0044444444444444444
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BULL,2,2,1,0.0044444444444444444
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BULL,3,0,6,0.02666666666666667
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BULL,3,1,1,0.0044444444444444444
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BULL,4,0,4,0.017777777777777778
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BULL,5,0,1,0.0044444444444444444
15m,TOL_0.10,LONDON_TO_NEWYORK,external,BULL,5,1,1,0.0044444444444444444
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,0,0,69,0.518796992481203
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,0,1,16,0.12030075187969924
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,0,2,5,0.03759398496240601
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,0,3,2,0.015037593984962405
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,0,4,1,0.007518796992481203
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,0,5,1,0.007518796992481203
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,1,0,23,0.17293233082706766
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,1,1,3,0.022556390977443608
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,1,2,2,0.015037593984962405
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,2,0,5,0.03759398496240601
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,3,0,2,0.015037593984962405
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,3,1,1,0.007518796992481203
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,4,0,1,0.007518796992481203
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,4,2,1,0.007518796992481203
15m,TOL_0.10,LONDON_TO_NEWYORK,external,NO_BREAK,5,0,1,0.007518796992481203
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BEAR,0,0,79,0.4010152284263959
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BEAR,0,1,56,0.28426395939086296
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BEAR,0,2,15,0.07614213197969544
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BEAR,0,3,3,0.015228426395939087
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BEAR,0,4,1,0.005076142131979695
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BEAR,0,5,1,0.005076142131979695
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BEAR,1,0,8,0.04060913705583756
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BEAR,1,1,22,0.1116751269035533
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BEAR,1,2,5,0.025380710659898477
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BEAR,1,3,1,0.005076142131979695
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BEAR,1,4,2,0.01015228426395939
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BEAR,2,0,1,0.005076142131979695
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BEAR,2,1,2,0.01015228426395939
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BEAR,2,2,1,0.005076142131979695
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BULL,0,0,67,0.3621621621621622
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BULL,0,1,7,0.03783783783783784
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BULL,0,2,1,0.005405405405405406
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BULL,1,0,55,0.2972972972972973
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BULL,1,1,14,0.07567567567567568
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BULL,1,2,5,0.02702702702702703
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BULL,2,0,21,0.11351351351351352
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BULL,2,1,7,0.03783783783783784
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BULL,2,2,2,0.010810810810810811
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BULL,3,0,1,0.005405405405405406
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,BULL,3,1,5,0.02702702702702703
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,0,0,5,0.1724137931034483
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,0,1,7,0.2413793103448276
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,0,2,1,0.034482758620689655
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,0,3,3,0.10344827586206896
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,1,0,1,0.034482758620689655
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,1,1,1,0.034482758620689655
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,1,2,3,0.10344827586206896
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,1,3,1,0.034482758620689655
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,1,4,1,0.034482758620689655
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,2,0,1,0.034482758620689655
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,2,1,1,0.034482758620689655
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,3,0,1,0.034482758620689655
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,3,2,2,0.06896551724137931
15m,TOL_0.10,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,4,0,1,0.034482758620689655
15m,TOL_0.20,ASIA_TO_LONDON,august,BEAR,0,0,1,0.3333333333333333
15m,TOL_0.20,ASIA_TO_LONDON,august,BEAR,0,1,1,0.3333333333333333
15m,TOL_0.20,ASIA_TO_LONDON,august,BEAR,1,2,1,0.3333333333333333
15m,TOL_0.20,ASIA_TO_LONDON,august,BULL,0,0,1,0.2
15m,TOL_0.20,ASIA_TO_LONDON,august,BULL,0,1,1,0.2
15m,TOL_0.20,ASIA_TO_LONDON,august,BULL,1,0,3,0.6
15m,TOL_0.20,ASIA_TO_LONDON,august,NO_BREAK,0,0,1,0.16666666666666666
15m,TOL_0.20,ASIA_TO_LONDON,august,NO_BREAK,0,3,1,0.16666666666666666
15m,TOL_0.20,ASIA_TO_LONDON,august,NO_BREAK,1,0,1,0.16666666666666666
15m,TOL_0.20,ASIA_TO_LONDON,august,NO_BREAK,1,1,1,0.16666666666666666
15m,TOL_0.20,ASIA_TO_LONDON,august,NO_BREAK,1,2,2,0.3333333333333333
15m,TOL_0.20,ASIA_TO_LONDON,development,BEAR,0,0,42,0.2131979695431472
15m,TOL_0.20,ASIA_TO_LONDON,development,BEAR,0,1,93,0.4720812182741117
15m,TOL_0.20,ASIA_TO_LONDON,development,BEAR,0,2,31,0.15736040609137056
15m,TOL_0.20,ASIA_TO_LONDON,development,BEAR,0,3,5,0.025380710659898477
15m,TOL_0.20,ASIA_TO_LONDON,development,BEAR,0,4,1,0.005076142131979695
15m,TOL_0.20,ASIA_TO_LONDON,development,BEAR,0,5,2,0.01015228426395939
15m,TOL_0.20,ASIA_TO_LONDON,development,BEAR,1,0,6,0.030456852791878174
15m,TOL_0.20,ASIA_TO_LONDON,development,BEAR,1,1,6,0.030456852791878174
15m,TOL_0.20,ASIA_TO_LONDON,development,BEAR,1,2,2,0.01015228426395939
15m,TOL_0.20,ASIA_TO_LONDON,development,BEAR,1,4,1,0.005076142131979695
15m,TOL_0.20,ASIA_TO_LONDON,development,BEAR,2,0,2,0.01015228426395939
15m,TOL_0.20,ASIA_TO_LONDON,development,BEAR,2,1,4,0.02030456852791878
15m,TOL_0.20,ASIA_TO_LONDON,development,BEAR,2,3,1,0.005076142131979695
15m,TOL_0.20,ASIA_TO_LONDON,development,BEAR,3,1,1,0.005076142131979695
15m,TOL_0.20,ASIA_TO_LONDON,development,BULL,0,0,48,0.19433198380566802
15m,TOL_0.20,ASIA_TO_LONDON,development,BULL,0,1,5,0.020242914979757085
15m,TOL_0.20,ASIA_TO_LONDON,development,BULL,0,2,1,0.004048582995951417
15m,TOL_0.20,ASIA_TO_LONDON,development,BULL,0,3,1,0.004048582995951417
15m,TOL_0.20,ASIA_TO_LONDON,development,BULL,1,0,105,0.4251012145748988
15m,TOL_0.20,ASIA_TO_LONDON,development,BULL,1,1,15,0.06072874493927125
15m,TOL_0.20,ASIA_TO_LONDON,development,BULL,1,2,4,0.016194331983805668
15m,TOL_0.20,ASIA_TO_LONDON,development,BULL,1,3,1,0.004048582995951417
15m,TOL_0.20,ASIA_TO_LONDON,development,BULL,2,0,42,0.1700404858299595
15m,TOL_0.20,ASIA_TO_LONDON,development,BULL,2,1,8,0.032388663967611336
15m,TOL_0.20,ASIA_TO_LONDON,development,BULL,3,0,12,0.048582995951417005
15m,TOL_0.20,ASIA_TO_LONDON,development,BULL,3,3,1,0.004048582995951417
15m,TOL_0.20,ASIA_TO_LONDON,development,BULL,4,0,4,0.016194331983805668
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,0,0,111,0.32840236686390534
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,0,1,37,0.10946745562130178
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,0,2,21,0.0621301775147929
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,0,3,21,0.0621301775147929
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,0,4,2,0.005917159763313609
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,0,7,1,0.0029585798816568047
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,1,0,38,0.11242603550295859
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,1,1,12,0.03550295857988166
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,1,2,4,0.011834319526627219
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,1,3,3,0.008875739644970414
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,1,4,2,0.005917159763313609
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,2,0,31,0.09171597633136094
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,2,1,18,0.05325443786982249
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,2,2,4,0.011834319526627219
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,2,3,1,0.0029585798816568047
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,2,4,1,0.0029585798816568047
