candidate_id,partition,source,entry2_type,entry1_ts,entry1_px,entry2_ts,entry2_px,execution_end,H,L,R,F35,entry1_depth_R,entry2_depth_R,entry1_reward_H_R,entry2_reward_H_R,entry1_risk_F35_R,entry2_risk_F35_R,entry1_exit_ts,entry1_exit_px,entry1_exit_reason,entry1_h2,entry2_exit_ts,entry2_exit_px,entry2_exit_reason,entry2_h2,entry1_pnl_0bps,entry2_pnl_0bps,entry1_pnl_2bps,entry2_pnl_2bps,entry1_pnl_5bps,entry2_pnl_5bps,entry1_pnl_10bps,entry2_pnl_10bps,entry1_pnl,entry2_pnl
development|LONG|RAW_0530|2022-04-18T11:40:00+00:00,development,RAW_0530,ACCEPT_BELOW_RERECLAIM,2022-04-18 11:40:00+00:00,402.36,2022-04-18 12:05:00+00:00,402.37,2022-04-18 17:30:00+00:00,403.42,396.01,7.410000000000025,398.6035,0.8569500674763835,0.8582995951416994,0.14304993252361656,0.14170040485830065,0.5069500674763838,0.5082995951416998,2022-04-18 12:15:00+00:00,403.42,H2,True,2022-04-18 12:15:00+00:00,403.42,H2,True,0.9172283527189687,0.9047692422397672,0.7167415587366447,0.704287430905071,0.41616165771380975,0.40371500011866546,-0.08440447116246885,-0.09683868831415998,0.9172283527189687,0.9047692422397672
development|LONG|ALT_0330|2022-06-08T10:10:00+00:00,development,ALT_0330,ACCEPT_BELOW_RERECLAIM,2022-06-08 10:10:00+00:00,291.57,2022-06-08 11:20:00+00:00,291.75,2022-06-08 15:30:00+00:00,292.8,283.73,9.069999999999991,286.90450000000004,0.864388092613008,0.8842337375964707,0.13561190738699222,0.11576626240352948,0.5143880926130051,0.5342337375964679,2022-06-08 13:35:00+00:00,292.8,H2,True,2022-06-08 13:35:00+00:00,292.8,H2,True,1.7092705010803404,1.3994858611825038,1.5084669535894828,1.1988062027697537,1.2074121597500214,0.8979371496771863,0.7060551754039638,0.3968894858355613,1.7092705010803404,1.3994858611825038
development|LONG|ALT_0330|2022-06-28T09:25:00+00:00,development,ALT_0330,ACCEPT_BELOW_RERECLAIM,2022-06-28 09:25:00+00:00,239.31,2022-06-28 11:35:00+00:00,239.45,2022-06-28 15:30:00+00:00,240.4,232.96,7.439999999999998,235.564,0.8534946236559134,0.8723118279569869,0.14650537634408653,0.12768817204301308,0.5034946236559154,0.5223118279569888,2022-06-28 12:15:00+00:00,240.4,H2,True,2022-06-28 12:15:00+00:00,240.4,H2,True,1.877380803142326,1.5837126748799562,1.6765100249767744,1.3829593404768974,1.3753544355231244,1.0819798286282993,0.8738295927465781,0.5807482139911894,1.877380803142326,1.5837126748799562
development|LONG|RAW_0530|2022-07-06T14:10:00+00:00,development,RAW_0530,ACCEPT_BELOW_RERECLAIM,2022-07-06 14:10:00+00:00,238.33,2022-07-06 14:45:00+00:00,237.96,2022-07-06 17:30:00+00:00,238.99,231.44,7.550000000000011,234.0825,0.9125827814569543,0.8635761589403974,0.08741721854304578,0.1364238410596026,0.5625827814569531,0.5135761589403963,2022-07-06 17:30:00+00:00,237.67,PRE_H2_TIME_EXIT,False,2022-07-06 17:30:00+00:00,237.67,PRE_H2_TIME_EXIT,False,-1.784634750136393,-1.0093461085897033,-1.9840410149833283,-1.2090624268826118,-2.2830009322951534,-1.5084871919394,-2.7808692461400604,-2.0071296328482586,-1.784634750136393,-1.0093461085897033
development|LONG|ALT_0330|2022-07-25T10:30:00+00:00,development,ALT_0330,FIRST_HOLD,2022-07-25 10:30:00+00:00,256.76,2022-07-25 10:45:00+00:00,256.97,2022-07-25 15:30:00+00:00,257.08,252.73,4.349999999999994,254.2525,0.9264367816091968,0.9747126436781708,0.07356321839080313,0.025287356321829182,0.5764367816091945,0.6247126436781685,2022-07-25 11:00:00+00:00,257.08,H2,True,2022-07-25 11:00:00+00:00,257.08,H2,True,0.22315002336810197,-0.18596723352930467,0.022940805202331993,-0.3860128375150925,-0.27722294017344906,-0.6859312842704021,-0.7770960306245241,-1.1853958704251983,0.22315002336810197,-0.18596723352930467
development|LONG|RAW_0530|2022-08-03T11:20:00+00:00,development,RAW_0530,ACCEPT_BELOW_RERECLAIM,2022-08-03 11:20:00+00:00,291.39,2022-08-03 12:10:00+00:00,291.86,2022-08-03 17:30:00+00:00,292.79,283.51,9.28000000000003,286.758,0.8491379310344795,0.8997844827586202,0.15086206896552043,0.10021551724137973,0.49913793103448173,0.5497844827586225,2022-08-03 12:15:00+00:00,292.79,H2,True,2022-08-03 12:15:00+00:00,292.79,H2,True,2.0022787329696095,1.193229630644788,1.801358005621934,0.9926324582270721,1.5001275298382581,0.6918870722934626,0.9984779762603594,0.1910453556585704,2.0022787329696095,1.193229630644788
development|LONG|ALT_0330|2022-08-05T09:25:00+00:00,development,ALT_0330,ACCEPT_BELOW_RERECLAIM,2022-08-05 09:25:00+00:00,319.55,2022-08-05 10:15:00+00:00,319.65,2022-08-05 15:30:00+00:00,320.86,311.99,8.870000000000005,315.09450000000004,0.8523111612175872,0.8635851183765462,0.14768883878241282,0.13641488162345386,0.502311161217584,0.513585118376543,2022-08-05 10:40:00+00:00,320.86,H2,True,2022-08-05 10:40:00+00:00,320.86,H2,True,1.6497574714442025,1.4926951353043232,1.4489777244050654,1.2919782006371565,1.1479586134019564,0.9910532611062232,0.6466610529199505,0.48991252764147875,1.6497574714442025,1.4926951353043232
development|LONG|RAW_0530|2022-11-24T13:05:00+00:00,development,RAW_0530,ACCEPT_BELOW_RERECLAIM,2022-11-24 13:05:00+00:00,298.64,2022-11-24 15:35:00+00:00,298.61,2022-11-24 17:30:00+00:00,299.27,293.45,5.819999999999993,295.487,0.8917525773195882,0.8865979381443352,0.10824742268041172,0.11340206185566476,0.5417525773195819,0.5365979381443289,2022-11-24 16:15:00+00:00,299.27,H2,True,2022-11-24 16:15:00+00:00,299.27,H2,True,0.6547816769354012,0.7051203911456309,0.4543998406319586,0.5047184233827998,0.153977297448327,0.20426569810101414,-0.3463267779634679,-0.2960886406048632,0.6547816769354012,0.7051203911456309
development|LONG|ALT_0330|2022-11-29T09:50:00+00:00,development,ALT_0330,ACCEPT_BELOW_RERECLAIM,2022-11-29 09:50:00+00:00,303.49,2022-11-29 10:35:00+00:00,303.77,2022-11-29 15:30:00+00:00,304.86,295.61,9.25,298.8475,0.8518918918918914,0.8821621621621587,0.1481081081081086,0.11783783783784128,0.5018918918918902,0.5321621621621575,2022-11-29 15:05:00+00:00,298.84,PRE_H2_F35_INVALIDATION,False,2022-11-29 15:05:00+00:00,298.84,PRE_H2_F35_INVALIDATION,False,-8.06087844739538,-8.514692036738314,-8.257774716762578,-8.711406816967571,-8.552971522410402,-9.006331524957433,-9.044572995951894,-9.497479864836722,-8.06087844739538,-8.514692036738314
development|LONG|ALT_0330|2023-01-09T11:30:00+00:00,development,ALT_0330,ACCEPT_BELOW_RERECLAIM,2023-01-09 11:30:00+00:00,279.41,2023-01-09 13:25:00+00:00,279.28,2023-01-09 15:30:00+00:00,279.69,276.53,3.160000000000025,277.636,0.9113924050633004,0.8702531645569551,0.08860759493669952,0.12974683544304486,0.561392405063287,0.5202531645569416,2023-01-09 13:40:00+00:00,279.69,H2,True,2023-01-09 13:40:00+00:00,279.69,H2,True,0.10105579614179161,0.33403036379260376,-0.0991045940984977,0.13377680235944245,-0.3991951341891117,-0.16645342467684865,-0.8989463133409644,-0.6664372293417761,0.10105579614179161,0.33403036379260376
