partition,regime,clock_block,obs_start,obs_end,reclaim_complete_ts,H,L,R4,entry_fraction,entry_level,T10,filled,fill_ts,cancel_reason,rebreak_confirmed,rebreak_complete_ts,t10_reached,t10_ts,high_failure,high_failure_ts,unresolved,minutes_reclaim_to_fill,minutes_fill_to_rebreak,minutes_fill_to_t10
development,BULL,08-12,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,2022-01-29 09:25:00+00:00,37939.0,37575.06,363.9400000000023,0.1,37611.454,37538.666,True,2022-01-29 09:25:00+00:00,,False,,False,,True,2022-01-29 13:35:00+00:00,False,0.0,,
development,BULL,08-12,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,2022-01-29 09:25:00+00:00,37939.0,37575.06,363.9400000000023,0.15,37629.651,37538.666,True,2022-01-29 09:25:00+00:00,,False,,False,,True,2022-01-29 13:35:00+00:00,False,0.0,,
development,BULL,08-12,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,2022-01-29 09:25:00+00:00,37939.0,37575.06,363.9400000000023,0.25,37666.045,37538.666,True,2022-01-29 09:30:00+00:00,,False,,False,,True,2022-01-29 13:35:00+00:00,False,5.0,,
development,BULL,08-12,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,2022-01-29 09:25:00+00:00,37939.0,37575.06,363.9400000000023,0.5,37757.03,37538.666,True,2022-01-29 10:40:00+00:00,,False,,False,,True,2022-01-29 13:35:00+00:00,False,75.0,,
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 08:45:00+00:00,41752.46,41352.85,399.6100000000006,0.05,41372.8305,41312.888999999996,True,2022-02-05 08:45:00+00:00,,True,2022-02-05 09:50:00+00:00,True,2022-02-05 09:55:00+00:00,False,,False,0.0,65.0,70.0
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 08:45:00+00:00,41752.46,41352.85,399.6100000000006,0.1,41392.811,41312.888999999996,True,2022-02-05 08:45:00+00:00,,True,2022-02-05 09:50:00+00:00,True,2022-02-05 09:55:00+00:00,False,,False,0.0,65.0,70.0
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 08:45:00+00:00,41752.46,41352.85,399.6100000000006,0.15,41412.7915,41312.888999999996,True,2022-02-05 08:45:00+00:00,,True,2022-02-05 09:50:00+00:00,True,2022-02-05 09:55:00+00:00,False,,False,0.0,65.0,70.0
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 08:45:00+00:00,41752.46,41352.85,399.6100000000006,0.25,41452.7525,41312.888999999996,True,2022-02-05 08:45:00+00:00,,True,2022-02-05 09:50:00+00:00,True,2022-02-05 09:55:00+00:00,False,,False,0.0,65.0,70.0
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 08:45:00+00:00,41752.46,41352.85,399.6100000000006,0.5,41552.655,41312.888999999996,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:40:00+00:00,45600.0,44063.38,1536.6200000000026,0.05,44140.210999999996,43909.71799999999,True,2022-02-08 08:40:00+00:00,,True,2022-02-08 08:55:00+00:00,True,2022-02-08 09:10:00+00:00,False,,False,0.0,15.0,30.0
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:40:00+00:00,45600.0,44063.38,1536.6200000000026,0.1,44217.042,43909.71799999999,True,2022-02-08 08:45:00+00:00,,True,2022-02-08 08:55:00+00:00,True,2022-02-08 09:10:00+00:00,False,,False,5.0,10.0,25.0
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:40:00+00:00,45600.0,44063.38,1536.6200000000026,0.15,44293.873,43909.71799999999,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:40:00+00:00,45600.0,44063.38,1536.6200000000026,0.25,44447.534999999996,43909.71799999999,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:40:00+00:00,45600.0,44063.38,1536.6200000000026,0.5,44831.69,43909.71799999999,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 17:40:00+00:00,43978.64,42822.0,1156.6399999999994,0.05,42879.832,42706.336,True,2022-02-08 17:40:00+00:00,,True,2022-02-08 19:30:00+00:00,True,2022-02-08 19:35:00+00:00,False,,False,0.0,110.0,115.0
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 17:40:00+00:00,43978.64,42822.0,1156.6399999999994,0.1,42937.664,42706.336,True,2022-02-08 17:40:00+00:00,,True,2022-02-08 19:30:00+00:00,True,2022-02-08 19:35:00+00:00,False,,False,0.0,110.0,115.0
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 17:40:00+00:00,43978.64,42822.0,1156.6399999999994,0.15,42995.496,42706.336,True,2022-02-08 17:40:00+00:00,,True,2022-02-08 19:30:00+00:00,True,2022-02-08 19:35:00+00:00,False,,False,0.0,110.0,115.0
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 17:40:00+00:00,43978.64,42822.0,1156.6399999999994,0.25,43111.16,42706.336,True,2022-02-08 18:10:00+00:00,,True,2022-02-08 19:30:00+00:00,True,2022-02-08 19:35:00+00:00,False,,False,30.0,80.0,85.0
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 17:40:00+00:00,43978.64,42822.0,1156.6399999999994,0.5,43400.32,42706.336,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BEAR,20-00,2022-02-11 20:00:00+00:00,2022-02-12 00:00:00+00:00,2022-02-11 23:15:00+00:00,43746.52,42046.11,1700.4099999999962,0.05,42131.1305,41876.069,True,2022-02-11 23:15:00+00:00,,False,,False,,False,,True,0.0,,
development,BEAR,20-00,2022-02-11 20:00:00+00:00,2022-02-12 00:00:00+00:00,2022-02-11 23:15:00+00:00,43746.52,42046.11,1700.4099999999962,0.1,42216.151,41876.069,True,2022-02-11 23:15:00+00:00,,False,,False,,False,,True,0.0,,
development,BEAR,20-00,2022-02-11 20:00:00+00:00,2022-02-12 00:00:00+00:00,2022-02-11 23:15:00+00:00,43746.52,42046.11,1700.4099999999962,0.15,42301.1715,41876.069,True,2022-02-11 23:15:00+00:00,,False,,False,,False,,True,0.0,,
development,BEAR,20-00,2022-02-11 20:00:00+00:00,2022-02-12 00:00:00+00:00,2022-02-11 23:15:00+00:00,43746.52,42046.11,1700.4099999999962,0.25,42471.2125,41876.069,False,,NO_FILL_BEFORE_BLOCK_END,False,,False,,False,,False,,,
development,BEAR,20-00,2022-02-11 20:00:00+00:00,2022-02-12 00:00:00+00:00,2022-02-11 23:15:00+00:00,43746.52,42046.11,1700.4099999999962,0.5,42896.315,41876.069,False,,NO_FILL_BEFORE_BLOCK_END,False,,False,,False,,False,,,
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 17:20:00+00:00,42755.97,42158.01,597.9599999999991,0.05,42187.908,42098.214,True,2022-02-13 17:20:00+00:00,,True,2022-02-13 18:40:00+00:00,True,2022-02-13 18:45:00+00:00,False,,False,0.0,80.0,85.0
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 17:20:00+00:00,42755.97,42158.01,597.9599999999991,0.1,42217.806000000004,42098.214,True,2022-02-13 17:20:00+00:00,,True,2022-02-13 18:40:00+00:00,True,2022-02-13 18:45:00+00:00,False,,False,0.0,80.0,85.0
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 17:20:00+00:00,42755.97,42158.01,597.9599999999991,0.15,42247.704000000005,42098.214,True,2022-02-13 17:30:00+00:00,,True,2022-02-13 18:40:00+00:00,True,2022-02-13 18:45:00+00:00,False,,False,10.0,70.0,75.0
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 17:20:00+00:00,42755.97,42158.01,597.9599999999991,0.25,42307.5,42098.214,True,2022-02-13 18:00:00+00:00,,True,2022-02-13 18:40:00+00:00,True,2022-02-13 18:45:00+00:00,False,,False,40.0,40.0,45.0
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 17:20:00+00:00,42755.97,42158.01,597.9599999999991,0.5,42456.990000000005,42098.214,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BULL,00-04,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,2022-02-16 02:40:00+00:00,44777.0,43939.2,837.8000000000029,0.05,43981.09,43855.42,True,2022-02-16 02:40:00+00:00,,True,2022-02-16 04:10:00+00:00,True,2022-02-16 04:20:00+00:00,False,,False,0.0,90.0,100.0
development,BULL,00-04,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,2022-02-16 02:40:00+00:00,44777.0,43939.2,837.8000000000029,0.1,44022.979999999996,43855.42,True,2022-02-16 02:45:00+00:00,,True,2022-02-16 04:10:00+00:00,True,2022-02-16 04:20:00+00:00,False,,False,5.0,85.0,95.0
development,BULL,00-04,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,2022-02-16 02:40:00+00:00,44777.0,43939.2,837.8000000000029,0.15,44064.869999999995,43855.42,True,2022-02-16 02:55:00+00:00,,True,2022-02-16 04:10:00+00:00,True,2022-02-16 04:20:00+00:00,False,,False,15.0,75.0,85.0
development,BULL,00-04,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,2022-02-16 02:40:00+00:00,44777.0,43939.2,837.8000000000029,0.25,44148.649999999994,43855.42,False,,NO_FILL_BEFORE_BLOCK_END,False,,False,,False,,False,,,
development,BULL,00-04,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,2022-02-16 02:40:00+00:00,44777.0,43939.2,837.8000000000029,0.5,44358.1,43855.42,False,,NO_FILL_BEFORE_BLOCK_END,False,,False,,False,,False,,,
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 14:55:00+00:00,40938.0,40073.1,864.9000000000015,0.05,40116.345,39986.61,True,2022-02-18 14:55:00+00:00,,True,2022-02-18 15:35:00+00:00,True,2022-02-18 15:40:00+00:00,False,,False,0.0,40.0,45.0
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 14:55:00+00:00,40938.0,40073.1,864.9000000000015,0.1,40159.59,39986.61,True,2022-02-18 14:55:00+00:00,,True,2022-02-18 15:35:00+00:00,True,2022-02-18 15:40:00+00:00,False,,False,0.0,40.0,45.0
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 14:55:00+00:00,40938.0,40073.1,864.9000000000015,0.15,40202.835,39986.61,True,2022-02-18 14:55:00+00:00,,True,2022-02-18 15:35:00+00:00,True,2022-02-18 15:40:00+00:00,False,,False,0.0,40.0,45.0
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 14:55:00+00:00,40938.0,40073.1,864.9000000000015,0.25,40289.325,39986.61,True,2022-02-18 14:55:00+00:00,,True,2022-02-18 15:35:00+00:00,True,2022-02-18 15:40:00+00:00,False,,False,0.0,40.0,45.0
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 14:55:00+00:00,40938.0,40073.1,864.9000000000015,0.5,40505.55,39986.61,True,2022-02-18 14:55:00+00:00,,True,2022-02-18 15:35:00+00:00,True,2022-02-18 15:40:00+00:00,False,,False,0.0,40.0,45.0
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:40:00+00:00,40119.0,39777.0,342.0,0.05,39794.1,39742.8,True,2022-02-20 03:40:00+00:00,,True,2022-02-20 03:45:00+00:00,True,2022-02-20 03:50:00+00:00,False,,False,0.0,5.0,10.0
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:40:00+00:00,40119.0,39777.0,342.0,0.1,39811.2,39742.8,True,2022-02-20 03:40:00+00:00,,True,2022-02-20 03:45:00+00:00,True,2022-02-20 03:50:00+00:00,False,,False,0.0,5.0,10.0
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:40:00+00:00,40119.0,39777.0,342.0,0.15,39828.3,39742.8,True,2022-02-20 03:40:00+00:00,,True,2022-02-20 03:45:00+00:00,True,2022-02-20 03:50:00+00:00,False,,False,0.0,5.0,10.0
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:40:00+00:00,40119.0,39777.0,342.0,0.25,39862.5,39742.8,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:40:00+00:00,40119.0,39777.0,342.0,0.5,39948.0,39742.8,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BULL,16-20,2022-03-01 16:00:00+00:00,2022-03-01 20:00:00+00:00,2022-03-01 17:10:00+00:00,44935.0,43324.8,1610.199999999997,0.05,43405.310000000005,43163.780000000006,True,2022-03-01 17:10:00+00:00,,False,,False,,False,,True,0.0,,
development,BULL,16-20,2022-03-01 16:00:00+00:00,2022-03-01 20:00:00+00:00,2022-03-01 17:10:00+00:00,44935.0,43324.8,1610.199999999997,0.1,43485.82,43163.780000000006,True,2022-03-01 17:10:00+00:00,,False,,False,,False,,True,0.0,,
development,BULL,16-20,2022-03-01 16:00:00+00:00,2022-03-01 20:00:00+00:00,2022-03-01 17:10:00+00:00,44935.0,43324.8,1610.199999999997,0.15,43566.33,43163.780000000006,True,2022-03-01 17:15:00+00:00,,False,,False,,False,,True,5.0,,
development,BULL,16-20,2022-03-01 16:00:00+00:00,2022-03-01 20:00:00+00:00,2022-03-01 17:10:00+00:00,44935.0,43324.8,1610.199999999997,0.25,43727.350000000006,43163.780000000006,True,2022-03-01 17:45:00+00:00,,False,,False,,False,,True,35.0,,
development,BULL,16-20,2022-03-01 16:00:00+00:00,2022-03-01 20:00:00+00:00,2022-03-01 17:10:00+00:00,44935.0,43324.8,1610.199999999997,0.5,44129.9,43163.780000000006,False,,NO_FILL_BEFORE_BLOCK_END,False,,False,,False,,False,,,
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:15:00+00:00,44345.0,43661.8,683.1999999999971,0.05,43695.96000000001,43593.48,True,2022-03-03 02:15:00+00:00,,True,2022-03-03 02:35:00+00:00,True,2022-03-03 02:40:00+00:00,False,,False,0.0,20.0,25.0
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:15:00+00:00,44345.0,43661.8,683.1999999999971,0.1,43730.12,43593.48,True,2022-03-03 02:15:00+00:00,,True,2022-03-03 02:35:00+00:00,True,2022-03-03 02:40:00+00:00,False,,False,0.0,20.0,25.0
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:15:00+00:00,44345.0,43661.8,683.1999999999971,0.15,43764.28,43593.48,True,2022-03-03 02:20:00+00:00,,True,2022-03-03 02:35:00+00:00,True,2022-03-03 02:40:00+00:00,False,,False,5.0,15.0,20.0
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:15:00+00:00,44345.0,43661.8,683.1999999999971,0.25,43832.600000000006,43593.48,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:15:00+00:00,44345.0,43661.8,683.1999999999971,0.5,44003.4,43593.48,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,2022-03-13 08:20:00+00:00,39300.0,39051.6,248.40000000000146,0.05,39064.02,39026.759999999995,True,2022-03-13 08:20:00+00:00,,True,2022-03-13 08:25:00+00:00,True,2022-03-13 08:30:00+00:00,False,,False,0.0,5.0,10.0
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,2022-03-13 08:20:00+00:00,39300.0,39051.6,248.40000000000146,0.1,39076.44,39026.759999999995,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,2022-03-13 08:20:00+00:00,39300.0,39051.6,248.40000000000146,0.15,39088.86,39026.759999999995,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,2022-03-13 08:20:00+00:00,39300.0,39051.6,248.40000000000146,0.25,39113.7,39026.759999999995,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,2022-03-13 08:20:00+00:00,39300.0,39051.6,248.40000000000146,0.5,39175.8,39026.759999999995,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BULL,16-20,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,2022-03-16 16:35:00+00:00,41188.0,40232.3,955.6999999999971,0.05,40280.08500000001,40136.73,True,2022-03-16 16:35:00+00:00,,True,2022-03-16 17:05:00+00:00,True,2022-03-16 17:10:00+00:00,False,,False,0.0,30.0,35.0
development,BULL,16-20,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,2022-03-16 16:35:00+00:00,41188.0,40232.3,955.6999999999971,0.1,40327.87,40136.73,True,2022-03-16 16:40:00+00:00,,True,2022-03-16 17:05:00+00:00,True,2022-03-16 17:10:00+00:00,False,,False,5.0,25.0,30.0
development,BULL,16-20,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,2022-03-16 16:35:00+00:00,41188.0,40232.3,955.6999999999971,0.15,40375.655,40136.73,True,2022-03-16 16:40:00+00:00,,True,2022-03-16 17:05:00+00:00,True,2022-03-16 17:10:00+00:00,False,,False,5.0,25.0,30.0
development,BULL,16-20,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,2022-03-16 16:35:00+00:00,41188.0,40232.3,955.6999999999971,0.25,40471.225000000006,40136.73,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BULL,16-20,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,2022-03-16 16:35:00+00:00,41188.0,40232.3,955.6999999999971,0.5,40710.15,40136.73,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BULL,08-12,2022-03-20 08:00:00+00:00,2022-03-20 12:00:00+00:00,2022-03-20 09:45:00+00:00,41998.0,41728.8,269.1999999999971,0.05,41742.26,41701.880000000005,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BULL,08-12,2022-03-20 08:00:00+00:00,2022-03-20 12:00:00+00:00,2022-03-20 09:45:00+00:00,41998.0,41728.8,269.1999999999971,0.1,41755.72,41701.880000000005,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BULL,08-12,2022-03-20 08:00:00+00:00,2022-03-20 12:00:00+00:00,2022-03-20 09:45:00+00:00,41998.0,41728.8,269.1999999999971,0.15,41769.18,41701.880000000005,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BULL,08-12,2022-03-20 08:00:00+00:00,2022-03-20 12:00:00+00:00,2022-03-20 09:45:00+00:00,41998.0,41728.8,269.1999999999971,0.25,41796.100000000006,41701.880000000005,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BULL,08-12,2022-03-20 08:00:00+00:00,2022-03-20 12:00:00+00:00,2022-03-20 09:45:00+00:00,41998.0,41728.8,269.1999999999971,0.5,41863.4,41701.880000000005,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
