scenario,slippage_bps_per_taker_leg,component,n,mean_r,median_r,pf_r,cum_r,win_rate,max_dd_r,max_loss_streak,median_cost_r
REGULAR_FEE_PLUS_FUNDING,1.0,SCORE3_SELL_SIDE_LONG,143,-0.03518645075194058,0.10399252659402787,0.9215432242217486,-5.031662457527503,0.5384615384615384,15.432305070650877,8,0.0653379810344854
REGULAR_FEE_PLUS_FUNDING,1.0,SCORE4_SELL_SIDE_LONG,28,0.4488359062707175,0.5919465935913044,2.063654241189702,12.56740537558009,0.6071428571428571,2.216676337928549,2,0.060072699597321644
REGULAR_FEE_PLUS_FUNDING,2.0,ALL,302,0.03839541260190153,0.15829346520791576,1.0912272991097978,11.595414605774263,0.5562913907284768,9.543260516377401,6,0.07334447998840381
REGULAR_FEE_PLUS_FUNDING,2.0,BUY_SIDE,131,0.04772377692847208,0.16727101172839182,1.1249507470644107,6.251814777629843,0.5725190839694656,6.230540000424296,4,0.07080349349112447
REGULAR_FEE_PLUS_FUNDING,2.0,SELL_SIDE,171,0.031249121802014126,0.12666438668648491,1.0693339871481118,5.3435998281444155,0.543859649122807,7.980827661128926,5,0.0748834025943681
REGULAR_FEE_PLUS_FUNDING,2.0,SCORE3_ALL,274,-0.0027001582333954764,0.12703772491587678,0.9935770657839338,-0.7398433559503605,0.551094890510949,11.651212279840204,6,0.07375091185899792
REGULAR_FEE_PLUS_FUNDING,2.0,SCORE3_BUY_SIDE_SHORT,131,0.04772377692847208,0.16727101172839182,1.1249507470644107,6.251814777629843,0.5725190839694656,6.230540000424296,4,0.07080349349112447
REGULAR_FEE_PLUS_FUNDING,2.0,SCORE3_SELL_SIDE_LONG,143,-0.0488927142208406,0.1021783542372878,0.8926894788027988,-6.991658133580206,0.5314685314685315,17.03734609451083,8,0.07622768620689624
REGULAR_FEE_PLUS_FUNDING,2.0,SCORE4_SELL_SIDE_LONG,28,0.4405449272044507,0.5823296054190387,2.035105830701339,12.33525796172462,0.6071428571428571,2.2646417098263196,2,0.067588743034668
REGULAR_FEE_PLUS_FUNDING,3.0,ALL,302,0.025892087028245657,0.1386293535798011,1.0606548559577011,7.819410282530188,0.5562913907284768,10.108447829840319,6,0.08382224812072482
REGULAR_FEE_PLUS_FUNDING,3.0,BUY_SIDE,131,0.03563323316254875,0.1567753447530904,1.0920479359962756,4.667953544293886,0.5725190839694656,6.579537203489451,4,0.08091825798816604
REGULAR_FEE_PLUS_FUNDING,3.0,SELL_SIDE,171,0.01842957156863332,0.11877756071323864,1.04029775593897,3.151456738236298,0.543859649122807,8.474515431220942,5,0.08558106725070602
REGULAR_FEE_PLUS_FUNDING,3.0,SCORE3_ALL,274,-0.015633942574229592,0.11881832621496656,0.9633552231374368,-4.283700265338909,0.551094890510949,14.212965943019375,6,0.08428674729251623
REGULAR_FEE_PLUS_FUNDING,3.0,SCORE3_BUY_SIDE_SHORT,131,0.03563323316254875,0.1567753447530904,1.0920479359962756,4.667953544293886,0.5725190839694656,6.579537203489451,4,0.08091825798816604
REGULAR_FEE_PLUS_FUNDING,3.0,SCORE3_SELL_SIDE_LONG,143,-0.06259897768973982,0.10036418188054895,0.8647495794346902,-8.951653809632795,0.5314685314685315,18.64238711837056,8,0.08711739137930685
REGULAR_FEE_PLUS_FUNDING,3.0,SCORE4_SELL_SIDE_LONG,28,0.432253948138182,0.572712617246789,2.007040069123865,12.103110547869097,0.6071428571428571,2.3126070817240887,2,0.07510478647201058
REGULAR_FEE_PLUS_FUNDING,5.0,ALL,302,0.000885435880935201,0.11747362221370816,1.002017486290485,0.2674016360424307,0.5529801324503312,11.238822456766131,6,0.10467743845800678
REGULAR_FEE_PLUS_FUNDING,5.0,BUY_SIDE,131,0.011452145630703835,0.13578401080247882,1.0288118058515892,1.5002310776222023,0.5648854961832062,7.701619295140237,4,0.10114778698224908
REGULAR_FEE_PLUS_FUNDING,5.0,SELL_SIDE,171,-0.007209528898127329,0.10177423617511916,0.984680014563235,-1.2328294415797734,0.543859649122807,10.832169827034441,5,0.10687857225433468
REGULAR_FEE_PLUS_FUNDING,5.0,SCORE3_ALL,274,-0.04150151125589677,0.10176469251733695,0.9054904744727494,-11.371414084115715,0.5474452554744526,19.344385004499053,6,0.10535841815956849
REGULAR_FEE_PLUS_FUNDING,5.0,SCORE3_BUY_SIDE_SHORT,131,0.011452145630703835,0.13578401080247882,1.0288118058515892,1.5002310776222023,0.5648854961832062,7.701619295140237,4,0.10114778698224908
REGULAR_FEE_PLUS_FUNDING,5.0,SCORE3_SELL_SIDE_LONG,143,-0.09001150462753787,0.08125008928570746,0.8114052510932886,-12.871645161737916,0.5314685314685315,21.852469166090046,8,0.10889680172413452
REGULAR_FEE_PLUS_FUNDING,5.0,SCORE4_SELL_SIDE_LONG,28,0.4156719900056479,0.5534786409022578,1.9523083477198095,11.638815720158142,0.6071428571428571,2.4085378255196472,2,0.09013687334669951
REGULAR_FEE_ONLY_NO_FUNDING,0.0,ALL,302,0.063402063749212,0.17695977991088752,1.1550147300863132,19.147423252262026,0.5662251655629139,8.412885889451612,6,0.052679240991946874
REGULAR_FEE_ONLY_NO_FUNDING,0.0,BUY_SIDE,131,0.07190486446031619,0.17787261146496827,1.1934679178765517,9.41953724430142,0.5801526717557252,5.899217995156681,4,0.050573964497041435
REGULAR_FEE_ONLY_NO_FUNDING,0.0,SELL_SIDE,171,0.056888222268775476,0.14243803863299434,1.1299960380048224,9.727886007960606,0.5555555555555556,6.99345212094491,5,0.054448275862068796
REGULAR_FEE_ONLY_NO_FUNDING,0.0,SCORE3_ALL,274,0.02316741044827159,0.14025483593540816,1.056775602117642,6.347870462826416,0.5620437956204379,9.021066905735415,6,0.052679240991946874
REGULAR_FEE_ONLY_NO_FUNDING,0.0,SCORE3_BUY_SIDE_SHORT,131,0.07190486446031619,0.17787261146496827,1.1934679178765517,9.41953724430142,0.5801526717557252,5.899217995156681,4,0.050573964497041435
REGULAR_FEE_ONLY_NO_FUNDING,0.0,SCORE3_SELL_SIDE_LONG,143,-0.021480187283041987,0.10841040462427785,0.9513348876987089,-3.0716667814750043,0.5454545454545454,13.827264046791205,8,0.054448275862068796
REGULAR_FEE_ONLY_NO_FUNDING,0.0,SCORE4_SELL_SIDE_LONG,28,0.45712688533698603,0.6015635817635699,2.092697858792945,12.799552789435609,0.6071428571428571,2.1757801927011977,2,0.052556656159979176
BNB_DISCOUNT_FEE_ONLY_NO_FUNDING,0.0,ALL,302,0.06980678258381845,0.18119197392422443,1.1719333635872546,21.081648340313173,0.5695364238410596,8.119687156989954,6,0.04741131689275219
BNB_DISCOUNT_FEE_ONLY_NO_FUNDING,0.0,BUY_SIDE,131,0.07795013965221846,0.18191643192488183,1.2111640067735756,10.211468294440618,0.5877862595419847,5.816387620612628,4,0.04551656804733728
