feature,dev_q33,dev_q67,partition,tercile,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,max_win_streak
raw_range,0.04428408500877388,0.057174689922960584,reference_validation,LOW,59,0.4745762711864407,-128.32026798960803,-2.1749197964340343,0.4916822501361524,152.2005105588729,6,6
raw_range,0.04428408500877388,0.057174689922960584,reference_validation,MID,11,0.45454545454545453,-2.057222119492682,-0.18702019268115289,0.9600884067118927,48.7758413855551,5,4
raw_range,0.04428408500877388,0.057174689922960584,reference_validation,HIGH,14,0.7142857142857143,43.652710282579335,3.1180507344699526,1.7039282692349906,56.672613785646945,3,6
drive_return,-0.003660895448034353,0.004571905765037201,external,LOW,41,0.8292682926829268,444.74356250736764,10.847403963594333,2.978535341448072,106.13178135782289,3,20
drive_return,-0.003660895448034353,0.004571905765037201,external,MID,17,0.6470588235294118,33.53385307588362,1.9725795926990364,1.506818106491849,58.850656969398145,3,7
drive_return,-0.003660895448034353,0.004571905765037201,external,HIGH,44,0.5909090909090909,-47.99676475299405,-1.0908355625680466,0.9068242954943146,198.94538807173907,5,7
drive_return,-0.003660895448034353,0.004571905765037201,development,LOW,67,0.7014925373134329,282.46728350041906,4.2159296044838666,2.2363826181428528,126.61772706232479,4,15
drive_return,-0.003660895448034353,0.004571905765037201,development,MID,67,0.5074626865671642,64.87387589965334,0.968266804472438,1.2797848119869741,63.695340717399176,10,5
drive_return,-0.003660895448034353,0.004571905765037201,development,HIGH,67,0.6567164179104478,233.41045767383295,3.4837381742363127,2.0904948678258917,66.0631345593994,3,12
drive_return,-0.003660895448034353,0.004571905765037201,reference_validation,LOW,26,0.5,-25.836267208021546,-0.9937025849239056,0.8240679875301606,93.5154745045761,7,6
drive_return,-0.003660895448034353,0.004571905765037201,reference_validation,MID,34,0.35294117647058826,-104.43317238584369,-3.071563893701285,0.3504128548591197,120.56786957063615,6,4
drive_return,-0.003660895448034353,0.004571905765037201,reference_validation,HIGH,24,0.75,43.54465976734385,1.8143608236393272,1.745930414930016,31.79731127034571,3,6
eff_pct,0.11666666666666667,0.21666666666666667,external,LOW,43,0.5813953488372093,-246.315366269257,-5.728264331843186,0.5164630938712391,405.1320609586852,4,8
eff_pct,0.11666666666666667,0.21666666666666667,external,MID,26,0.6923076923076923,14.785161609207034,0.5686600618925782,1.0631296147800693,182.86823506749096,4,10
eff_pct,0.11666666666666667,0.21666666666666667,external,HIGH,33,0.8484848484848485,661.8108554903072,20.054874408797186,11.595072750478945,36.65650401626934,2,17
eff_pct,0.11666666666666667,0.21666666666666667,development,LOW,74,0.581081081081081,163.2446540902467,2.206008839057388,1.6108866531847756,76.7934676886967,5,5
eff_pct,0.11666666666666667,0.21666666666666667,development,MID,63,0.6984126984126984,260.4564199589706,4.134228888237629,2.4534139758998545,54.00857651854109,4,6
eff_pct,0.11666666666666667,0.21666666666666667,development,HIGH,64,0.59375,157.05054302468804,2.4539147347607506,1.688983788854964,69.79431728298503,5,5
eff_pct,0.11666666666666667,0.21666666666666667,reference_validation,LOW,29,0.4482758620689655,-23.649885709761676,-0.8155133003366095,0.8069588794396613,82.40659712578628,6,4
eff_pct,0.11666666666666667,0.21666666666666667,reference_validation,MID,18,0.3888888888888889,-65.69901781602299,-3.649945434223499,0.4086798381748857,72.33014297011263,4,2
eff_pct,0.11666666666666667,0.21666666666666667,reference_validation,HIGH,37,0.6216216216216216,2.6241236992632873,0.070922262142251,1.019822553450243,55.13311982044929,4,9
range_pct,0.75,0.85,external,LOW,40,0.725,15.274428613699882,0.38186071534249705,1.042413428260245,209.53015468934439,5,10
range_pct,0.75,0.85,external,MID,24,0.7083333333333334,161.614253234493,6.733927218103875,4.399463294197821,36.23300117733122,2,10
range_pct,0.75,0.85,external,HIGH,38,0.6578947368421053,253.39196898206438,6.668209710054326,1.6360276628898067,251.0041016248436,7,9
range_pct,0.75,0.85,development,LOW,80,0.5375,84.28412999732015,1.0535516249665018,1.3297824090209094,105.76262363330522,9,8
range_pct,0.75,0.85,development,MID,61,0.6885245901639344,240.0092389864072,3.9345776883017574,2.0981153846217375,76.79346768869668,3,16
range_pct,0.75,0.85,development,HIGH,60,0.6666666666666666,256.458248090178,4.2743041348363,2.280789541219106,77.42752837654675,5,13
range_pct,0.75,0.85,reference_validation,LOW,36,0.5833333333333334,27.905244292128458,0.7751456747813461,1.3070162835222439,59.939251426710605,5,4
range_pct,0.75,0.85,reference_validation,MID,23,0.30434782608695654,-123.32621247333832,-5.362009237971231,0.16689005303047683,131.47477096671108,8,3
range_pct,0.75,0.85,reference_validation,HIGH,25,0.6,8.696188354688493,0.3478475341875397,1.068433155065913,100.20240334886304,6,7
ret_24h,-0.019672578431039624,0.017225681117162273,external,LOW,47,0.723404255319149,313.96772566665186,6.68016437588621,1.7405782291710323,200.97537922772,4,9
ret_24h,-0.019672578431039624,0.017225681117162273,external,MID,8,0.75,14.690412950104033,1.8363016187630041,1.1685862927971165,87.13883380651278,2,6
