effective_ts,partition,a,b,c,pattern
2020-08-16 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-08-29 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-08-30 00:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-09-08 00:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2020-09-21 04:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2020-09-27 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-09-29 12:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2020-09-30 00:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2020-10-15 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-10-30 08:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-11-04 08:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-11-09 16:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-11-10 16:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-11-15 00:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2020-11-15 04:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-11-15 08:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2020-11-15 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-11-15 16:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2020-11-22 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-11-23 16:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-11-24 04:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-12-02 04:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-12-07 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-12-07 16:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2020-12-07 20:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-12-23 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2021-01-04 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2021-01-10 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2021-01-10 16:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2021-01-22 20:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-02-01 16:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2021-02-01 20:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2021-02-02 00:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2021-02-08 00:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2021-02-08 04:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2021-03-02 20:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2021-03-18 20:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2021-05-07 08:00:00+00:00,external,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2021-05-25 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2021-05-25 16:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2021-05-25 20:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2021-05-30 12:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-06-24 00:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-06-30 16:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2021-07-06 08:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-07-09 16:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-07-09 20:00:00+00:00,external,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2021-07-18 04:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-08-17 12:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-08-29 04:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2021-08-29 08:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2021-08-29 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2021-08-30 20:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-09-01 12:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-09-01 16:00:00+00:00,external,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2021-09-12 12:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-09-13 00:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-09-18 00:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2021-09-29 08:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-10-29 04:00:00+00:00,external,BEAR,BULL,BEAR,BEAR->BULL->BEAR
2021-10-29 08:00:00+00:00,external,BULL,BEAR,BULL,BULL->BEAR->BULL
2021-11-01 00:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-11-01 04:00:00+00:00,external,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2021-11-03 16:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2021-11-13 16:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-11-21 04:00:00+00:00,external,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2021-11-21 08:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-12-03 12:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-12-08 12:00:00+00:00,external,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2021-12-08 16:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-12-08 20:00:00+00:00,external,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2021-12-09 00:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-12-11 16:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2021-12-11 20:00:00+00:00,external,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2021-12-15 16:00:00+00:00,external,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2021-12-23 08:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-01-02 00:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-01-03 12:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-01-04 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-01-09 20:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-01-14 12:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2022-01-16 04:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-01-16 08:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2022-01-16 12:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-01-16 16:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2022-01-16 20:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-01-25 08:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2022-01-28 12:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-01-30 20:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-01-31 00:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2022-02-14 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-02-14 20:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2022-03-08 12:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-03-11 12:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-03-14 08:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-03-14 12:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2022-03-14 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-03-15 00:00:00+00:00,development,BEAR,BULL,BEAR,BEAR->BULL->BEAR
2022-03-20 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-03-20 20:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2022-04-02 12:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2022-04-10 20:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-04-16 00:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-05-02 12:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2022-05-02 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-05-13 04:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-05-13 08:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2022-05-13 12:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-05-15 00:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-06-03 04:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-06-08 04:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-06-09 08:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-06-20 04:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2022-06-20 16:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2022-06-20 20:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-06-27 00:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-07-03 20:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-07-18 00:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-07-24 08:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-07-24 12:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2022-08-12 12:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-08-15 04:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2022-08-29 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-08-29 20:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2022-08-31 16:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2022-08-31 20:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-09-02 16:00:00+00:00,development,BEAR,BULL,BEAR,BEAR->BULL->BEAR
2022-09-05 00:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-09-08 12:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-09-08 16:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2022-09-18 00:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-09-18 04:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2022-09-18 08:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-09-22 12:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-09-22 16:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2022-09-29 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-10-07 00:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-10-07 04:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2022-10-07 08:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-10-17 00:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2022-10-17 04:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-11-01 08:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-11-15 12:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2022-11-18 12:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2022-11-22 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2022-11-22 20:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2022-11-25 08:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-12-04 00:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-12-21 20:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-12-24 00:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2022-12-26 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-01-03 20:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-01-06 12:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-01-25 08:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2023-01-27 04:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-02-04 20:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-02-12 20:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-02-20 00:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-02-21 20:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2023-02-27 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-02-27 20:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2023-02-28 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-03-01 20:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-03-02 16:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2023-03-06 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-03-23 04:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2023-03-23 08:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-03-24 12:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-03-24 16:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2023-03-28 20:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-03-30 20:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-04-03 12:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-04-04 12:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-04-04 16:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2023-04-05 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-04-05 20:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2023-04-08 08:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-04-09 04:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-04-16 12:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-04-26 20:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-05-03 04:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2023-05-03 08:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-05-10 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-05-14 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-06-02 12:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-06-02 16:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2023-06-08 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-06-09 12:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-06-14 04:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-06-14 08:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2023-06-16 00:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-06-26 04:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-07-01 00:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2023-07-01 04:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-07-05 04:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2023-07-09 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-07-22 08:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-07-23 08:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-07-26 20:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-07-27 00:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2023-07-28 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-07-29 04:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-07-30 16:00:00+00:00,development,BEAR,BULL,BEAR,BEAR->BULL->BEAR
2023-08-04 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-08-07 04:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-08-09 20:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-08-13 20:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-08-14 08:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-08-14 20:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-08-28 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-08-28 20:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2023-09-07 04:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-09-09 00:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2023-09-10 00:00:00+00:00,development,BEAR,BULL,BEAR,BEAR->BULL->BEAR
2023-09-20 20:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-09-27 12:00:00+00:00,development,BEAR,BULL,BEAR,BEAR->BULL->BEAR
2023-10-04 12:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2023-10-04 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
