clock_min,reference_start_utc,execution_start_utc,execution_end_utc,partition,days,k1_opp0,clean_windows,f15_touches,h2_after_f15_touch_rate,same_bar_confirmations,trades,wins,wr,pf,expectancy,total_net,tp_rate,time_exit_rate,dev_eligible,is_london_baseline
960,16:00,21:30,04:00+1d,development,781,105,79,47,0.7021276595744681,21,21,11,0.5238095238095238,0.7917915187231576,-0.42592967319158315,-8.944523137023246,0.47619047619047616,0.2857142857142857,False,False
90,01:30,07:00,13:30,development,782,167,123,82,0.7926829268292683,29,29,19,0.6551724137931034,0.7911405797271532,-0.31738825593426506,-9.204259422093687,0.6551724137931034,0.13793103448275862,False,False
840,14:00,19:30,02:00+1d,development,781,114,83,52,0.6153846153846154,23,23,13,0.5652173913043478,0.7803573272057631,-0.35703177297331445,-8.211730778386233,0.5652173913043478,0.34782608695652173,False,False
480,08:00,13:30,20:00,development,782,194,137,80,0.75,25,25,15,0.6,0.7715709681430254,-0.33057159106862,-8.2642897767155,0.6,0.16,False,True
450,07:30,13:00,19:30,development,782,199,145,77,0.8051948051948052,25,25,14,0.56,0.7200310409070149,-0.5016014596111757,-12.540036490279395,0.56,0.12,False,False
720,12:00,17:30,00:00+1d,development,782,121,90,54,0.6296296296296297,22,22,10,0.45454545454545453,0.718755301738768,-0.6688971101106558,-14.715736422434427,0.4090909090909091,0.4090909090909091,False,False
30,00:30,06:00,12:30,development,782,170,123,77,0.7272727272727273,33,33,20,0.6060606060606061,0.7090558875295934,-0.4095445926306914,-13.514971556812815,0.6060606060606061,0.24242424242424243,False,False
540,09:00,14:30,21:00,development,782,186,132,87,0.7126436781609196,28,28,16,0.5714285714285714,0.7063367961050094,-0.4901456464462594,-13.724078100495264,0.5357142857142857,0.32142857142857145,False,False
240,04:00,09:30,16:00,development,782,200,146,99,0.7676767676767676,43,43,30,0.6976744186046512,0.6948678356350535,-0.4875003942620532,-20.96251695326829,0.6744186046511628,0.20930232558139536,False,False
360,06:00,11:30,18:00,development,782,208,148,96,0.8125,37,37,25,0.6756756756756757,0.6487361610305333,-0.6794157075807932,-25.138381180489347,0.6756756756756757,0.08108108108108109,False,False
1140,19:00,00:30+1d,07:00+1d,development,782,132,86,57,0.631578947368421,29,29,15,0.5172413793103449,0.6132379977823141,-0.663337798896014,-19.236796167984405,0.4827586206896552,0.2413793103448276,False,False
420,07:00,12:30,19:00,development,782,203,148,86,0.7906976744186046,35,35,24,0.6857142857142857,0.611601143475409,-0.775642459019879,-27.147486065695766,0.6857142857142857,0.08571428571428572,False,False
780,13:00,18:30,01:00+1d,development,781,123,93,65,0.5230769230769231,28,28,12,0.42857142857142855,0.603601296138368,-1.0994230260307558,-30.783844728861162,0.39285714285714285,0.35714285714285715,False,False
1380,23:00,04:30+1d,11:00+1d,development,782,159,104,67,0.6716417910447762,26,26,12,0.46153846153846156,0.5537193789186852,-0.6727503843459472,-17.49150999299463,0.46153846153846156,0.3076923076923077,False,False
810,13:30,19:00,01:30+1d,development,781,116,81,57,0.5263157894736842,24,24,9,0.375,0.5145478400675862,-1.1127648797604983,-26.70635711425196,0.375,0.4166666666666667,False,False
870,14:30,20:00,02:30+1d,development,781,114,86,57,0.6666666666666666,30,30,14,0.4666666666666667,0.47539785941725504,-1.176578921397712,-35.29736764193136,0.43333333333333335,0.43333333333333335,False,False
510,08:30,14:00,20:30,development,782,198,143,91,0.7582417582417582,27,27,13,0.48148148148148145,0.4565472996049781,-1.2405010741578009,-33.49352900226062,0.4444444444444444,0.2222222222222222,False,False
690,11:30,17:00,23:30,development,782,136,102,62,0.532258064516129,22,22,10,0.45454545454545453,0.41100411456288866,-1.86393133102318,-41.00648928250996,0.45454545454545453,0.22727272727272727,False,False
390,06:30,12:00,18:30,development,782,212,153,103,0.7475728155339806,40,39,22,0.5641025641025641,0.405985123014353,-1.456676559505533,-56.810385820715794,0.5384615384615384,0.1282051282051282,False,False
750,12:30,18:00,00:30+1d,development,781,126,90,54,0.46296296296296297,22,22,8,0.36363636363636365,0.36871793157050314,-2.1405094643637437,-47.09120821600236,0.3181818181818182,0.36363636363636365,False,False
1170,19:30,01:00+1d,07:30+1d,development,782,123,86,52,0.5769230769230769,19,19,8,0.42105263157894735,0.27976946982130885,-1.4316292414334422,-27.200955587235402,0.42105263157894735,0.2631578947368421,False,False
