partition,entry_tf,higher_tf,entry_type,higher_state,n,soft_fail_n,hard_fail_n,median_bars_soft_uncensored,median_bars_hard_uncensored,soft_n_at_risk_1,soft_survival_1,hard_n_at_risk_1,hard_survival_1,soft_n_at_risk_2,soft_survival_2,hard_n_at_risk_2,hard_survival_2,soft_n_at_risk_3,soft_survival_3,hard_n_at_risk_3,hard_survival_3,soft_n_at_risk_4,soft_survival_4,hard_n_at_risk_4,hard_survival_4,soft_n_at_risk_6,soft_survival_6,hard_n_at_risk_6,hard_survival_6,soft_n_at_risk_12,soft_survival_12,hard_n_at_risk_12,hard_survival_12,soft_n_at_risk_24,soft_survival_24,hard_n_at_risk_24,hard_survival_24,soft_n_at_risk_48,soft_survival_48,hard_n_at_risk_48,hard_survival_48
external,1h,4h,PULLBACK_RECLAIM,STRONG_BULL,80,80,80,7.0,17.5,80,0.925,80,0.9875,80,0.85,80,0.9625,80,0.8,80,0.925,80,0.7,80,0.875,80,0.55,80,0.8,80,0.2875,80,0.6125,80,0.125,80,0.3875,80,0.0375,80,0.175
external,5m,1h,CROSSOVER_INIT,NEUTRAL,1204,1204,1204,10.0,13.0,1204,0.9443521594684385,1204,0.9460132890365448,1204,0.8812292358803987,1204,0.8911960132890365,1204,0.8172757475083057,1204,0.8338870431893688,1204,0.7541528239202658,1204,0.7857142857142857,1204,0.6478405315614618,1204,0.7026578073089701,1204,0.40448504983388706,1204,0.521594684385382,1204,0.1511627906976744,1204,0.3014950166112957,1204,0.018272425249169437,1204,0.11710963455149502
external,5m,1h,CROSSOVER_INIT,STRONG_BEAR,589,589,589,10.0,15.0,589,0.9643463497453311,589,0.966044142614601,589,0.9015280135823429,589,0.9066213921901528,589,0.8438030560271647,589,0.8624787775891342,589,0.7741935483870968,589,0.8098471986417657,589,0.6604414261460102,589,0.7283531409168081,589,0.43463497453310695,589,0.5568760611205433,589,0.17147707979626486,589,0.34295415959252973,589,0.03395585738539898,589,0.15959252971137522
external,5m,1h,CROSSOVER_INIT,STRONG_BULL,300,300,300,8.0,11.0,300,0.9433333333333334,300,0.9466666666666667,300,0.84,300,0.8566666666666667,300,0.7633333333333333,300,0.7866666666666666,300,0.7,300,0.7466666666666667,300,0.59,300,0.68,300,0.32,300,0.45,300,0.10666666666666667,300,0.25,300,0.013333333333333334,300,0.07666666666666666
external,5m,1h,PULLBACK_RECLAIM,NEUTRAL,1652,1652,1652,7.0,13.0,1652,0.9013317191283293,1652,0.9546004842615012,1652,0.8062953995157385,1652,0.9085956416464891,1652,0.7167070217917676,1652,0.8619854721549637,1652,0.6531476997578692,1652,0.8038740920096852,1652,0.5139225181598063,1652,0.7106537530266344,1652,0.2947941888619855,1652,0.5102905569007264,1652,0.1059322033898305,1652,0.29782082324455206,1652,0.020581113801452784,1652,0.12953995157384987
external,5m,1h,PULLBACK_RECLAIM,STRONG_BEAR,294,294,294,7.0,11.0,294,0.9013605442176871,294,0.9625850340136054,294,0.8163265306122449,294,0.9183673469387755,294,0.717687074829932,294,0.8435374149659864,294,0.6462585034013606,294,0.7755102040816326,294,0.54421768707483,294,0.6870748299319728,294,0.2925170068027211,294,0.47959183673469385,294,0.08843537414965986,294,0.2653061224489796,294,0.0,294,0.12244897959183673
external,5m,1h,PULLBACK_RECLAIM,STRONG_BULL,1032,1032,1032,7.0,13.0,1032,0.9089147286821705,1032,0.9670542635658915,1032,0.7994186046511628,1032,0.9234496124031008,1032,0.7160852713178295,1032,0.872093023255814,1032,0.6308139534883721,1032,0.812015503875969,1032,0.502906976744186,1032,0.7170542635658915,1032,0.2606589147286822,1032,0.5251937984496124,1032,0.09786821705426356,1032,0.3226744186046512,1032,0.014534883720930232,1032,0.14437984496124032
reference_validation,1h,4h,CROSSOVER_INIT,NEUTRAL,117,117,117,9.0,14.0,117,0.9658119658119658,117,0.9658119658119658,117,0.9230769230769231,117,0.9316239316239316,117,0.8547008547008547,117,0.8547008547008547,117,0.8034188034188035,117,0.8205128205128205,117,0.6666666666666666,117,0.6923076923076923,117,0.39316239316239315,117,0.5213675213675214,116,0.14655172413793102,116,0.33620689655172414,116,0.02586206896551724,116,0.1206896551724138
reference_validation,1h,4h,CROSSOVER_INIT,STRONG_BEAR,2,2,2,18.0,23.5,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,0.5,2,0.5,2,0.5,2,0.5,2,0.0,2,0.0
reference_validation,1h,4h,CROSSOVER_INIT,STRONG_BULL,8,8,8,24.5,42.0,8,1.0,8,1.0,8,1.0,8,1.0,8,0.875,8,0.875,8,0.875,8,0.875,8,0.875,8,0.875,8,0.75,8,0.75,8,0.5,8,0.75,8,0.125,8,0.375
reference_validation,1h,4h,PULLBACK_RECLAIM,NEUTRAL,90,90,90,6.5,15.0,90,0.9111111111111111,90,0.9555555555555556,90,0.7777777777777778,90,0.8777777777777778,90,0.6888888888888889,90,0.8222222222222222,90,0.6444444444444445,90,0.7777777777777778,90,0.5,90,0.7222222222222222,90,0.3111111111111111,90,0.5555555555555556,90,0.06666666666666667,90,0.28888888888888886,90,0.044444444444444446,90,0.1
reference_validation,1h,4h,PULLBACK_RECLAIM,STRONG_BULL,61,61,61,7.0,15.0,61,0.9508196721311475,61,1.0,61,0.8032786885245902,61,0.9836065573770492,61,0.7540983606557377,61,0.9344262295081968,61,0.6721311475409836,61,0.8852459016393442,61,0.5573770491803278,61,0.7868852459016393,61,0.3442622950819672,61,0.5901639344262295,61,0.09836065573770492,61,0.36065573770491804,61,0.03278688524590164,61,0.14754098360655737
reference_validation,5m,1h,CROSSOVER_INIT,NEUTRAL,895,895,895,10.0,12.0,895,0.9452513966480447,895,0.9452513966480447,895,0.8815642458100559,895,0.8938547486033519,895,0.8178770949720671,895,0.8391061452513966,895,0.7653631284916201,895,0.7955307262569833,895,0.6424581005586593,895,0.6983240223463687,895,0.3865921787709497,895,0.4972067039106145,895,0.1340782122905028,895,0.30726256983240224,895,0.01899441340782123,895,0.12960893854748604
reference_validation,5m,1h,CROSSOVER_INIT,STRONG_BEAR,522,521,521,10.0,14.0,522,0.9597701149425287,522,0.9616858237547893,522,0.9137931034482759,522,0.9233716475095786,522,0.8467432950191571,522,0.8601532567049809,522,0.7796934865900383,522,0.8045977011494253,522,0.6551724137931034,522,0.7318007662835249,522,0.39846743295019155,522,0.5421455938697318,521,0.13051823416506717,521,0.3397312859884837,521,0.01727447216890595,521,0.15738963531669867
reference_validation,5m,1h,CROSSOVER_INIT,STRONG_BULL,224,224,224,9.0,11.0,224,0.9464285714285714,224,0.9464285714285714,224,0.8883928571428571,224,0.8928571428571429,224,0.7946428571428571,224,0.8258928571428571,224,0.7053571428571429,224,0.75,224,0.59375,224,0.65625,224,0.38839285714285715,224,0.4642857142857143,224,0.13392857142857142,224,0.26785714285714285,224,0.008928571428571428,224,0.09821428571428571
reference_validation,5m,1h,PULLBACK_RECLAIM,NEUTRAL,1048,1048,1048,8.0,15.0,1048,0.9103053435114504,1048,0.9656488549618321,1048,0.8263358778625954,1048,0.9188931297709924,1048,0.7538167938931297,1048,0.8816793893129771,1048,0.6803435114503816,1048,0.8301526717557252,1048,0.5515267175572519,1048,0.7461832061068703,1048,0.30248091603053434,1048,0.5467557251908397,1048,0.10782442748091603,1048,0.3291984732824427,1048,0.01812977099236641,1048,0.14694656488549618
reference_validation,5m,1h,PULLBACK_RECLAIM,STRONG_BEAR,226,226,226,7.0,11.0,226,0.8672566371681416,226,0.9513274336283186,226,0.7699115044247787,226,0.8805309734513275,226,0.6991150442477876,226,0.8230088495575221,226,0.6238938053097345,226,0.7654867256637168,226,0.5132743362831859,226,0.6902654867256637,226,0.2920353982300885,226,0.4646017699115044,226,0.10619469026548672,226,0.2920353982300885,226,0.008849557522123894,226,0.09734513274336283
reference_validation,5m,1h,PULLBACK_RECLAIM,STRONG_BULL,608,608,608,8.0,16.0,608,0.9210526315789473,608,0.975328947368421,608,0.8273026315789473,608,0.9243421052631579,608,0.75,608,0.8881578947368421,608,0.6842105263157895,608,0.8256578947368421,608,0.569078947368421,608,0.7483552631578947,608,0.3256578947368421,608,0.5805921052631579,608,0.09539473684210527,608,0.34375,608,0.009868421052631578,608,0.14967105263157895
