partition,anchor_date_utc,clock_min,reference_start,reference_end,execution_start,execution_end,case_status,k1_signal_ts,leave_ts,blind_filled,h2_after_fill,same_bar_confirmed,entry_executed,fixed_net_pnl_usd,fixed_exit_reason,fixed_e20_reached,window_status,H,L,range,F15,F65,E20_DOWN,blind_touch_bar_start,confirmation_bar_start,entry_start,entry_px,entry_fraction,fixed_exit_px,fixed_hold_minutes,fixed_h2_seen,fixed_breakdown_accepted
development,2024-02-11,1180,2024-02-11 19:40:00+00:00,2024-02-12 01:10:00+00:00,2024-02-12 01:10:00+00:00,2024-02-12 07:40:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-11,1190,2024-02-11 19:50:00+00:00,2024-02-12 01:20:00+00:00,2024-02-12 01:20:00+00:00,2024-02-12 07:50:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-11,1200,2024-02-11 20:00:00+00:00,2024-02-12 01:30:00+00:00,2024-02-12 01:30:00+00:00,2024-02-12 08:00:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-11,1210,2024-02-11 20:10:00+00:00,2024-02-12 01:40:00+00:00,2024-02-12 01:40:00+00:00,2024-02-12 08:10:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-11,1220,2024-02-11 20:20:00+00:00,2024-02-12 01:50:00+00:00,2024-02-12 01:50:00+00:00,2024-02-12 08:20:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-11,1230,2024-02-11 20:30:00+00:00,2024-02-12 02:00:00+00:00,2024-02-12 02:00:00+00:00,2024-02-12 08:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-12,1170,2024-02-12 19:30:00+00:00,2024-02-13 01:00:00+00:00,2024-02-13 01:00:00+00:00,2024-02-13 07:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-12,1180,2024-02-12 19:40:00+00:00,2024-02-13 01:10:00+00:00,2024-02-13 01:10:00+00:00,2024-02-13 07:40:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-12,1190,2024-02-12 19:50:00+00:00,2024-02-13 01:20:00+00:00,2024-02-13 01:20:00+00:00,2024-02-13 07:50:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-12,1200,2024-02-12 20:00:00+00:00,2024-02-13 01:30:00+00:00,2024-02-13 01:30:00+00:00,2024-02-13 08:00:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-12,1210,2024-02-12 20:10:00+00:00,2024-02-13 01:40:00+00:00,2024-02-13 01:40:00+00:00,2024-02-13 08:10:00+00:00,NO_BLIND_F15_OPPORTUNITY,2024-02-13 03:45:00+00:00,,False,False,False,False,,NO_TRADE,False,NO_WINDOW_LOW_BREAK_DURING_K1,50428.8,49800.0,628.8000000000029,49894.32,50208.72,49674.24,,,,,,,,False,False
