partition,date_utc,signal_ts,entry_ts,entry_px,H,L,range,h2_bar_start,target_name,target_extension,target_px,stop_name,stop_distance,stop_fraction,invalidation_boundary_px,nominal_rr,exit_bar_start,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,hold_minutes,h2_before_exit,accepted_close_above_H_before_exit
external,2020-07-16,2020-07-16 16:20:00+00:00,2020-07-16 16:25:00+00:00,9126.436,9140.98,9044.02,96.95999999999913,2020-07-16 18:20:00+00:00,E10,0.1,9150.676,D30,0.3,0.55,9097.348,0.8333333333333334,2020-07-16 20:00:00+00:00,2020-07-16 20:00:00+00:00,9126.01,TIME_EXIT_SESSION_END,-4.667758586152093e-05,-0.4233387929307605,215.0,True,True
external,2020-07-16,2020-07-16 16:20:00+00:00,2020-07-16 16:25:00+00:00,9126.436,9140.98,9044.02,96.95999999999913,2020-07-16 18:20:00+00:00,E10,0.1,9150.676,D40,0.4,0.44999999999999996,9087.652,0.625,2020-07-16 20:00:00+00:00,2020-07-16 20:00:00+00:00,9126.01,TIME_EXIT_SESSION_END,-4.667758586152093e-05,-0.4233387929307605,215.0,True,True
external,2020-07-16,2020-07-16 16:20:00+00:00,2020-07-16 16:25:00+00:00,9126.436,9140.98,9044.02,96.95999999999913,2020-07-16 18:20:00+00:00,E10,0.1,9150.676,D50,0.5,0.35,9077.956,0.5,2020-07-16 20:00:00+00:00,2020-07-16 20:00:00+00:00,9126.01,TIME_EXIT_SESSION_END,-4.667758586152093e-05,-0.4233387929307605,215.0,True,True
external,2020-07-16,2020-07-16 16:20:00+00:00,2020-07-16 16:25:00+00:00,9126.436,9140.98,9044.02,96.95999999999913,2020-07-16 18:20:00+00:00,E10,0.1,9150.676,D60,0.6,0.25,9068.26,0.4166666666666667,2020-07-16 20:00:00+00:00,2020-07-16 20:00:00+00:00,9126.01,TIME_EXIT_SESSION_END,-4.667758586152093e-05,-0.4233387929307605,215.0,True,True
external,2020-07-16,2020-07-16 16:20:00+00:00,2020-07-16 16:25:00+00:00,9126.436,9140.98,9044.02,96.95999999999913,2020-07-16 18:20:00+00:00,E15,0.15,9155.524,D30,0.3,0.55,9097.348,1.0,2020-07-16 20:00:00+00:00,2020-07-16 20:00:00+00:00,9126.01,TIME_EXIT_SESSION_END,-4.667758586152093e-05,-0.4233387929307605,215.0,True,True
external,2020-07-16,2020-07-16 16:20:00+00:00,2020-07-16 16:25:00+00:00,9126.436,9140.98,9044.02,96.95999999999913,2020-07-16 18:20:00+00:00,E15,0.15,9155.524,D40,0.4,0.44999999999999996,9087.652,0.75,2020-07-16 20:00:00+00:00,2020-07-16 20:00:00+00:00,9126.01,TIME_EXIT_SESSION_END,-4.667758586152093e-05,-0.4233387929307605,215.0,True,True
external,2020-07-16,2020-07-16 16:20:00+00:00,2020-07-16 16:25:00+00:00,9126.436,9140.98,9044.02,96.95999999999913,2020-07-16 18:20:00+00:00,E15,0.15,9155.524,D50,0.5,0.35,9077.956,0.6,2020-07-16 20:00:00+00:00,2020-07-16 20:00:00+00:00,9126.01,TIME_EXIT_SESSION_END,-4.667758586152093e-05,-0.4233387929307605,215.0,True,True
external,2020-07-16,2020-07-16 16:20:00+00:00,2020-07-16 16:25:00+00:00,9126.436,9140.98,9044.02,96.95999999999913,2020-07-16 18:20:00+00:00,E15,0.15,9155.524,D60,0.6,0.25,9068.26,0.5,2020-07-16 20:00:00+00:00,2020-07-16 20:00:00+00:00,9126.01,TIME_EXIT_SESSION_END,-4.667758586152093e-05,-0.4233387929307605,215.0,True,True
external,2020-07-16,2020-07-16 16:20:00+00:00,2020-07-16 16:25:00+00:00,9126.436,9140.98,9044.02,96.95999999999913,2020-07-16 18:20:00+00:00,E20,0.2,9160.372,D30,0.3,0.55,9097.348,1.1666666666666667,2020-07-16 20:00:00+00:00,2020-07-16 20:00:00+00:00,9126.01,TIME_EXIT_SESSION_END,-4.667758586152093e-05,-0.4233387929307605,215.0,True,True
external,2020-07-16,2020-07-16 16:20:00+00:00,2020-07-16 16:25:00+00:00,9126.436,9140.98,9044.02,96.95999999999913,2020-07-16 18:20:00+00:00,E20,0.2,9160.372,D40,0.4,0.44999999999999996,9087.652,0.875,2020-07-16 20:00:00+00:00,2020-07-16 20:00:00+00:00,9126.01,TIME_EXIT_SESSION_END,-4.667758586152093e-05,-0.4233387929307605,215.0,True,True
external,2020-07-16,2020-07-16 16:20:00+00:00,2020-07-16 16:25:00+00:00,9126.436,9140.98,9044.02,96.95999999999913,2020-07-16 18:20:00+00:00,E20,0.2,9160.372,D50,0.5,0.35,9077.956,0.7,2020-07-16 20:00:00+00:00,2020-07-16 20:00:00+00:00,9126.01,TIME_EXIT_SESSION_END,-4.667758586152093e-05,-0.4233387929307605,215.0,True,True
external,2020-07-16,2020-07-16 16:20:00+00:00,2020-07-16 16:25:00+00:00,9126.436,9140.98,9044.02,96.95999999999913,2020-07-16 18:20:00+00:00,E20,0.2,9160.372,D60,0.6,0.25,9068.26,0.5833333333333334,2020-07-16 20:00:00+00:00,2020-07-16 20:00:00+00:00,9126.01,TIME_EXIT_SESSION_END,-4.667758586152093e-05,-0.4233387929307605,215.0,True,True
external,2020-07-22,2020-07-22 15:05:00+00:00,2020-07-22 15:35:00+00:00,9345.634,9355.0,9292.56,62.44000000000051,2020-07-22 17:25:00+00:00,E10,0.1,9361.244,D30,0.3,0.55,9326.902,0.8333333333333657,2020-07-22 17:35:00+00:00,2020-07-22 17:35:00+00:00,9361.244,TP_E10,0.0016702986656658148,0.43514933283290735,120.0,True,True
external,2020-07-22,2020-07-22 15:05:00+00:00,2020-07-22 15:35:00+00:00,9345.634,9355.0,9292.56,62.44000000000051,2020-07-22 17:25:00+00:00,E10,0.1,9361.244,D40,0.4,0.44999999999999996,9320.658,0.6250000000000091,2020-07-22 17:35:00+00:00,2020-07-22 17:35:00+00:00,9361.244,TP_E10,0.0016702986656658148,0.43514933283290735,120.0,True,True
external,2020-07-22,2020-07-22 15:05:00+00:00,2020-07-22 15:35:00+00:00,9345.634,9355.0,9292.56,62.44000000000051,2020-07-22 17:25:00+00:00,E10,0.1,9361.244,D50,0.5,0.35,9314.413999999999,0.5,2020-07-22 17:35:00+00:00,2020-07-22 17:35:00+00:00,9361.244,TP_E10,0.0016702986656658148,0.43514933283290735,120.0,True,True
external,2020-07-22,2020-07-22 15:05:00+00:00,2020-07-22 15:35:00+00:00,9345.634,9355.0,9292.56,62.44000000000051,2020-07-22 17:25:00+00:00,E10,0.1,9361.244,D60,0.6,0.25,9308.17,0.41666666666668284,2020-07-22 17:35:00+00:00,2020-07-22 17:35:00+00:00,9361.244,TP_E10,0.0016702986656658148,0.43514933283290735,120.0,True,True
external,2020-07-22,2020-07-22 15:05:00+00:00,2020-07-22 15:35:00+00:00,9345.634,9355.0,9292.56,62.44000000000051,2020-07-22 17:25:00+00:00,E15,0.15,9364.366,D30,0.3,0.55,9326.902,1.0,2020-07-22 17:35:00+00:00,2020-07-22 17:35:00+00:00,9364.366,TP_E15,0.0020043583987987557,0.6021791993993778,120.0,True,True
external,2020-07-22,2020-07-22 15:05:00+00:00,2020-07-22 15:35:00+00:00,9345.634,9355.0,9292.56,62.44000000000051,2020-07-22 17:25:00+00:00,E15,0.15,9364.366,D40,0.4,0.44999999999999996,9320.658,0.7499999999999818,2020-07-22 17:35:00+00:00,2020-07-22 17:35:00+00:00,9364.366,TP_E15,0.0020043583987987557,0.6021791993993778,120.0,True,True
external,2020-07-22,2020-07-22 15:05:00+00:00,2020-07-22 15:35:00+00:00,9345.634,9355.0,9292.56,62.44000000000051,2020-07-22 17:25:00+00:00,E15,0.15,9364.366,D50,0.5,0.35,9314.413999999999,0.5999999999999767,2020-07-22 17:35:00+00:00,2020-07-22 17:35:00+00:00,9364.366,TP_E15,0.0020043583987987557,0.6021791993993778,120.0,True,True
external,2020-07-22,2020-07-22 15:05:00+00:00,2020-07-22 15:35:00+00:00,9345.634,9355.0,9292.56,62.44000000000051,2020-07-22 17:25:00+00:00,E15,0.15,9364.366,D60,0.6,0.25,9308.17,0.5,2020-07-22 17:35:00+00:00,2020-07-22 17:35:00+00:00,9364.366,TP_E15,0.0020043583987987557,0.6021791993993778,120.0,True,True
external,2020-07-22,2020-07-22 15:05:00+00:00,2020-07-22 15:35:00+00:00,9345.634,9355.0,9292.56,62.44000000000051,2020-07-22 17:25:00+00:00,E20,0.2,9367.488,D30,0.3,0.55,9326.902,1.1666666666666343,2020-07-22 17:40:00+00:00,2020-07-22 17:40:00+00:00,9367.488,TP_E20,0.0023384181319319186,0.7692090659659593,125.0,True,True
external,2020-07-22,2020-07-22 15:05:00+00:00,2020-07-22 15:35:00+00:00,9345.634,9355.0,9292.56,62.44000000000051,2020-07-22 17:25:00+00:00,E20,0.2,9367.488,D40,0.4,0.44999999999999996,9320.658,0.8749999999999545,2020-07-22 17:40:00+00:00,2020-07-22 17:40:00+00:00,9367.488,TP_E20,0.0023384181319319186,0.7692090659659593,125.0,True,True
external,2020-07-22,2020-07-22 15:05:00+00:00,2020-07-22 15:35:00+00:00,9345.634,9355.0,9292.56,62.44000000000051,2020-07-22 17:25:00+00:00,E20,0.2,9367.488,D50,0.5,0.35,9314.413999999999,0.6999999999999534,2020-07-22 17:40:00+00:00,2020-07-22 17:40:00+00:00,9367.488,TP_E20,0.0023384181319319186,0.7692090659659593,125.0,True,True
external,2020-07-22,2020-07-22 15:05:00+00:00,2020-07-22 15:35:00+00:00,9345.634,9355.0,9292.56,62.44000000000051,2020-07-22 17:25:00+00:00,E20,0.2,9367.488,D60,0.6,0.25,9308.17,0.5833333333333172,2020-07-22 17:40:00+00:00,2020-07-22 17:40:00+00:00,9367.488,TP_E20,0.0023384181319319186,0.7692090659659593,125.0,True,True
external,2020-07-24,2020-07-24 15:50:00+00:00,2020-07-24 15:55:00+00:00,9553.75,9565.0,9490.0,75.0,2020-07-24 16:50:00+00:00,E10,0.1,9572.5,D30,0.3,0.55,9531.25,0.8333333333333334,2020-07-24 16:20:00+00:00,2020-07-24 16:25:00+00:00,9527.02,CLOSE_INVALIDATION,-0.0027978542457149924,-1.7989271228574961,30.0,False,False
external,2020-07-24,2020-07-24 15:50:00+00:00,2020-07-24 15:55:00+00:00,9553.75,9565.0,9490.0,75.0,2020-07-24 16:50:00+00:00,E10,0.1,9572.5,D40,0.4,0.44999999999999996,9523.75,0.625,2020-07-24 16:50:00+00:00,2020-07-24 16:50:00+00:00,9572.5,TP_E10,0.0019625801386891073,0.5812900693445536,55.0,True,False
external,2020-07-24,2020-07-24 15:50:00+00:00,2020-07-24 15:55:00+00:00,9553.75,9565.0,9490.0,75.0,2020-07-24 16:50:00+00:00,E10,0.1,9572.5,D50,0.5,0.35,9516.25,0.5,2020-07-24 16:50:00+00:00,2020-07-24 16:50:00+00:00,9572.5,TP_E10,0.0019625801386891073,0.5812900693445536,55.0,True,False
external,2020-07-24,2020-07-24 15:50:00+00:00,2020-07-24 15:55:00+00:00,9553.75,9565.0,9490.0,75.0,2020-07-24 16:50:00+00:00,E10,0.1,9572.5,D60,0.6,0.25,9508.75,0.4166666666666667,2020-07-24 16:50:00+00:00,2020-07-24 16:50:00+00:00,9572.5,TP_E10,0.0019625801386891073,0.5812900693445536,55.0,True,False
external,2020-07-24,2020-07-24 15:50:00+00:00,2020-07-24 15:55:00+00:00,9553.75,9565.0,9490.0,75.0,2020-07-24 16:50:00+00:00,E15,0.15,9576.25,D30,0.3,0.55,9531.25,1.0,2020-07-24 16:20:00+00:00,2020-07-24 16:25:00+00:00,9527.02,CLOSE_INVALIDATION,-0.0027978542457149924,-1.7989271228574961,30.0,False,False
