visits_reached,first_break_visit,break_i,first_visit_delay_min,h1_h2_min,h2_h3_min,h3_h4_min,h4_h5_min,break_delay_min,break_close_excess_R,extension_before_reclaim_R,ext15_R,ext30_R,ext60_R,ext120_R,reclaim_min,reclaim15,reclaim30,reclaim60,reach_E05,reach_E10,reach_E15,reach_E20,reach_E30,reach_E40,partition,ref_min,hour,execution_start,dev_block,H,L,R,role
1,1,100405,245.0,,,,,250.0,0.03148366784730358,0.0,0.09071231798504507,0.09071231798504507,0.22884691066509213,0.2504919323101137,5.0,True,True,True,False,False,False,False,False,False,external,240,18,2021-08-28 18:00:00+00:00,,96.607,91.525,5.081999999999994,CENTRAL
4,4,100656,25.0,10.0,15.0,10.0,,65.0,0.03757961783439331,0.0,0.09554140127388443,0.2866242038216578,0.2866242038216578,0.31847133757961776,5.0,True,True,True,False,False,False,False,False,False,external,240,18,2021-08-29 18:00:00+00:00,,93.5,90.36,3.1400000000000006,CENTRAL
1,1,100935,10.0,,,,,20.0,0.09021354345095256,1.2525979216626684,0.16877926230444143,0.36176772867420237,0.9252026949868659,0.9252026949868659,,False,False,False,True,True,True,True,True,True,external,240,18,2021-08-30 18:00:00+00:00,,108.498,99.741,8.757000000000005,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-08-31 18:00:00+00:00,,127.0,107.708,19.292,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-09-01 18:00:00+00:00,,118.959,113.3,5.659000000000006,CENTRAL
1,1,101832,180.0,,,,,185.0,0.014734500973032319,0.23714206283013656,0.23714206283013656,0.23714206283013656,0.23714206283013656,0.23714206283013656,30.0,False,True,True,True,True,True,True,False,False,external,240,18,2021-09-02 18:00:00+00:00,,128.888,114.5,14.388000000000005,CENTRAL
1,1,102108,120.0,,,,,125.0,0.07166194728816788,0.2833805271182717,0.2833805271182717,0.2833805271182717,0.2833805271182717,1.1546504029623128,25.0,False,True,True,True,True,True,True,False,False,external,240,18,2021-09-03 18:00:00+00:00,,143.699,139.108,4.591000000000008,CENTRAL
1,1,102457,425.0,,,,,430.0,0.11413326392503663,0.19338885996876504,0.19338885996876504,0.19338885996876504,0.19338885996876504,0.19338885996876504,25.0,False,True,True,True,True,True,False,False,False,external,240,18,2021-09-04 18:00:00+00:00,,143.722,136.038,7.6839999999999975,CENTRAL
1,1,102700,200.0,,,,,205.0,0.09403126480340847,1.3344386546660292,0.5260540028422547,0.5260540028422547,1.2946470866887658,1.3344386546660292,,False,False,False,True,True,True,True,True,True,external,240,18,2021-09-05 18:00:00+00:00,,139.222,135.0,4.222000000000008,CENTRAL
1,1,102963,75.0,,,,,80.0,0.06536250082611884,2.010508228140904,0.3799484502015745,0.3799484502015745,0.3799484502015745,0.3799484502015745,,False,False,False,True,True,True,True,True,True,external,240,18,2021-09-06 18:00:00+00:00,,158.89,143.759,15.131,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-09-07 18:00:00+00:00,,190.8,130.0,60.80000000000001,CENTRAL
1,1,103526,10.0,,,,,15.0,0.05874999999999986,1.6704166666666656,0.17499999999999952,0.34791666666666643,0.39016666666666566,0.9080833333333326,,False,False,False,True,True,True,True,True,True,external,240,18,2021-09-08 18:00:00+00:00,,176.3,152.3,24.0,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-09-09 18:00:00+00:00,,203.815,190.3,13.514999999999986,CENTRAL
1,1,104108,40.0,,,,,45.0,0.12551258342043975,0.23309479778081568,0.23309479778081568,0.23309479778081568,0.23309479778081568,0.2966953445364663,15.0,True,True,True,True,True,True,True,False,False,external,240,18,2021-09-10 18:00:00+00:00,,180.557,168.12,12.436999999999983,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-09-11 18:00:00+00:00,,191.4,185.4,6.0,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-09-12 18:00:00+00:00,,180.547,175.0,5.546999999999997,CENTRAL
2,2,104974,20.0,30.0,,,,55.0,0.08653705598596667,0.09611167957900864,0.09611167957900864,0.09611167957900864,0.16386493202748045,0.4319543926326553,15.0,True,True,True,True,False,False,False,False,False,external,240,18,2021-09-13 18:00:00+00:00,,163.882,150.2,13.682000000000016,CENTRAL
2,0,-1,425.0,270.0,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-09-14 18:00:00+00:00,,163.348,155.27,8.078000000000003,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-09-15 18:00:00+00:00,,164.786,157.0,7.786000000000001,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-09-16 18:00:00+00:00,,159.9,153.127,6.772999999999996,CENTRAL
1,1,106168,255.0,,,,,265.0,0.15406504065040666,0.2154471544715453,0.2154471544715453,0.2154471544715453,0.2154471544715453,0.4093495934959334,25.0,False,True,True,True,True,True,True,False,False,external,240,18,2021-09-17 18:00:00+00:00,,145.99,138.61,7.3799999999999955,CENTRAL
1,1,106467,315.0,,,,,320.0,0.34175424413904804,1.2089733225545725,1.2089733225545725,1.2089733225545725,1.2089733225545725,1.2089733225545725,120.0,False,False,False,True,True,True,True,True,True,external,240,18,2021-09-18 18:00:00+00:00,,165.498,160.55,4.947999999999979,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-09-19 18:00:00+00:00,,162.139,156.189,5.950000000000017,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-09-20 18:00:00+00:00,,146.88,141.041,5.838999999999999,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-09-21 18:00:00+00:00,,140.676,129.444,11.232,CENTRAL
1,1,107556,0.0,,,,,5.0,0.189772027110289,0.44191141233655185,0.335455603477785,0.44191141233655185,0.44191141233655185,0.44191141233655185,45.0,False,False,True,True,True,True,True,True,True,external,240,18,2021-09-22 18:00:00+00:00,,145.0,130.393,14.607,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-09-23 18:00:00+00:00,,152.099,144.627,7.47199999999998,CENTRAL
