role,partition,component,outcome,snapshot_min,n,close_R_q25,close_R_q50,close_R_q75,close_R_n,close_vs_E20_R_q25,close_vs_E20_R_q50,close_vs_E20_R_q75,close_vs_E20_R_n,post_e20_peak_R_q25,post_e20_peak_R_q50,post_e20_peak_R_q75,post_e20_peak_R_n,post_e20_giveback_from_peak_R_q25,post_e20_giveback_from_peak_R_q50,post_e20_giveback_from_peak_R_q75,post_e20_giveback_from_peak_R_n,post_e20_mae_below_E20_R_q25,post_e20_mae_below_E20_R_q50,post_e20_mae_below_E20_R_q75,post_e20_mae_below_E20_R_n,closes_ge_E20_q25,closes_ge_E20_q50,closes_ge_E20_q75,closes_ge_E20_n,fraction_closes_ge_E20_q25,fraction_closes_ge_E20_q50,fraction_closes_ge_E20_q75,fraction_closes_ge_E20_n,closes_gt_H_q25,closes_gt_H_q50,closes_gt_H_q75,closes_gt_H_n,fraction_closes_gt_H_q25,fraction_closes_gt_H_q50,fraction_closes_gt_H_q75,fraction_closes_gt_H_n,consecutive_closes_ge_E20_q25,consecutive_closes_ge_E20_q50,consecutive_closes_ge_E20_q75,consecutive_closes_ge_E20_n,baseline_exited_by_snapshot_rate,E25_by_snapshot_rate,E30_by_snapshot_rate,closed_back_le_E10_rate,closed_back_le_H_rate
CENTRAL,external,PARENT,E20_STALLER,5,63,0.029614844505695036,0.10705882352941286,0.19575484495739193,59,-0.17038515549430497,-0.09294117647058715,-0.004245155042608098,59,0.2240074485010246,0.2564871291222983,0.3162994731571379,59,0.0893486564560037,0.16256025709694386,0.21042397211356834,59,0.1660095988799401,0.22279728897104015,0.281928370732205,59,0.0,0.0,1.0,59,0.0,0.0,0.5,59,2.0,2.0,2.0,59,1.0,1.0,1.0,59,0.0,0.0,0.0,59,0.06349206349206349,0.49206349206349204,0.2698412698412698,0.47619047619047616,0.1111111111111111
CENTRAL,external,PARENT,E20_STALLER,10,63,-0.0019207721940321183,0.07981415550073134,0.15511005991800783,54,-0.20192077219403215,-0.12018584449926867,-0.04488994008199219,54,0.22367749823771912,0.25903375529684547,0.31697326599033315,54,0.1335595395357611,0.2125672604112793,0.26410226675771015,54,0.16721495646622286,0.22983538131734693,0.28248892178134966,54,0.0,1.0,1.0,54,0.0,0.3333333333333333,0.3333333333333333,54,2.25,3.0,3.0,54,0.75,1.0,1.0,54,0.0,0.0,0.0,54,0.14285714285714285,0.4603174603174603,0.23809523809523808,0.5238095238095238,0.2222222222222222
CENTRAL,external,PARENT,E20_STALLER,15,63,0.04017547202536722,0.09870448725337867,0.18947323839930755,42,-0.15982452797463279,-0.10129551274662134,-0.010526761600692464,42,0.23329059614784015,0.2695764097988948,0.3312200698452487,42,0.16038795221593502,0.2082918613997739,0.2685144589300562,42,0.15778120349628916,0.22855860229519293,0.284433328394976,42,0.0,1.0,2.0,42,0.0,0.25,0.5,42,4.0,4.0,4.0,42,1.0,1.0,1.0,42,0.0,0.0,0.0,42,0.3333333333333333,0.42857142857142855,0.2222222222222222,0.4126984126984127,0.09523809523809523
CENTRAL,external,PARENT,E20_STALLER,30,63,-0.0006116990053785756,0.034934421840552676,0.16900838755195202,30,-0.2006116990053786,-0.16506557815944733,-0.030991612448047982,30,0.24811267757647754,0.28957171960856454,0.35291758078003416,30,0.20060879451351632,0.2341922153526793,0.3298221070811748,30,0.18924096420224512,0.23779727608312123,0.28122369480298404,30,1.0,1.0,2.75,30,0.14285714285714285,0.14285714285714285,0.39285714285714285,30,6.0,7.0,7.0,30,0.8571428571428571,1.0,1.0,30,0.0,0.0,0.0,30,0.5238095238095238,0.3492063492063492,0.23809523809523808,0.31746031746031744,0.15873015873015872
CENTRAL,external,PARENT,E20_STALLER,60,63,0.040116360951469816,0.0894661986027247,0.13455836705905697,14,-0.1598836390485302,-0.11053380139727531,-0.06544163294094305,14,0.27150022579895794,0.3171116100924503,0.3490807643300891,14,0.232260326466531,0.24751981586091862,0.4015091342151619,14,0.17120550697801812,0.20566411310996352,0.26342465290339906,14,1.0,4.0,6.5,14,0.07692307692307693,0.3076923076923077,0.5,14,12.25,13.0,13.0,14,0.9423076923076923,1.0,1.0,14,0.0,0.0,0.0,14,0.7777777777777778,0.1746031746031746,0.14285714285714285,0.15873015873015872,0.06349206349206349
CENTRAL,external,PARENT,E20_TO_E40_CONTINUATION,5,95,0.13870227523437323,0.22387077912585765,0.28218825694317873,67,-0.06129772476562677,0.02387077912585764,0.08218825694317874,67,0.2420478120972395,0.28662420382165776,0.35323761261261166,67,0.0465228209991473,0.08579012228647269,0.13958232859094727,67,0.11865132852287935,0.15777426992896576,0.27608178366551583,67,0.0,1.0,2.0,67,0.0,0.5,1.0,67,2.0,2.0,2.0,67,1.0,1.0,1.0,67,0.0,1.0,2.0,67,0.29473684210526313,0.4842105263157895,0.30526315789473685,0.14736842105263157,0.021052631578947368
CENTRAL,external,PARENT,E20_TO_E40_CONTINUATION,10,95,0.1113100514368846,0.22920678727121013,0.27858894820372393,54,-0.0886899485631154,0.029206787271210108,0.07858894820372393,54,0.25604781734404636,0.2955605174394198,0.3463733187570388,54,0.06764822804494271,0.12766138407463995,0.1805974796782946,54,0.13093042717345138,0.17213537519363972,0.29219745903227723,54,1.0,2.0,2.75,54,0.3333333333333333,0.6666666666666666,0.9166666666666666,54,3.0,3.0,3.0,54,1.0,1.0,1.0,54,0.0,1.0,2.75,54,0.43157894736842106,0.43157894736842106,0.2736842105263158,0.22105263157894736,0.031578947368421054
CENTRAL,external,PARENT,E20_TO_E40_CONTINUATION,15,95,0.1605049594229008,0.22657952069716214,0.28070175438596645,49,-0.03949504057709921,0.02657952069716213,0.08070175438596644,49,0.2551848512173136,0.3193885760257443,0.35499999999999926,49,0.08167141500475186,0.14294670846395063,0.19376479873717437,49,0.1324618736383509,0.17076023391812412,0.29535243996901545,49,1.0,2.0,3.0,49,0.25,0.5,0.75,49,4.0,4.0,4.0,49,1.0,1.0,1.0,49,0.0,1.0,3.0,49,0.4842105263157895,0.3894736842105263,0.3157894736842105,0.22105263157894736,0.031578947368421054
CENTRAL,external,PARENT,E20_TO_E40_CONTINUATION,30,95,0.12400549078223275,0.22875287123361726,0.2735286534701853,31,-0.07599450921776726,0.02875287123361725,0.07352865347018528,31,0.2837519540295127,0.330687830687829,0.3549204653371316,31,0.13763444209808445,0.17531305903398733,0.2232566724704121,31,0.1314409093284179,0.1904458598726111,0.25811176070348024,31,1.0,4.0,6.0,31,0.14285714285714285,0.5714285714285714,0.8571428571428571,31,7.0,7.0,7.0,31,1.0,1.0,1.0,31,0.0,1.0,3.5,31,0.6736842105263158,0.2736842105263158,0.22105263157894736,0.17894736842105263,0.042105263157894736
CENTRAL,external,PARENT,E20_TO_E40_CONTINUATION,60,95,0.09218967133115819,0.21085002596211982,0.2723734165359249,18,-0.10781032866884183,0.010850025962119828,0.07237341653592488,18,0.273554574835979,0.3338744393763391,0.37705377629835546,18,0.1923569563145585,0.2627078609022614,0.29325720990820237,18,0.1780857790165117,0.22860778636371928,0.2711487149616573,18,1.25,5.0,8.0,18,0.09615384615384616,0.38461538461538464,0.6153846153846154,18,13.0,13.0,13.0,18,1.0,1.0,1.0,18,0.0,1.0,1.75,18,0.8105263157894737,0.14736842105263157,0.12631578947368421,0.14736842105263157,0.031578947368421054
CENTRAL,reference_validation,PARENT,E20_TO_E40_CONTINUATION,5,114,0.11228219470936868,0.16363636363636316,0.2240393254544177,67,-0.08771780529063133,-0.03636363636363685,0.024039325454417698,67,0.2269838579398275,0.2688588007736909,0.3250061988594136,67,0.0709648600357358,0.11377245508981908,0.17104513420302994,67,0.12056150283928335,0.18663697104676885,0.30747691933916593,67,0.0,1.0,1.5,67,0.0,0.5,0.75,67,2.0,2.0,2.0,67,1.0,1.0,1.0,67,0.0,0.0,1.5,67,0.41228070175438597,0.3508771929824561,0.24561403508771928,0.15789473684210525,0.06140350877192982
CENTRAL,reference_validation,PARENT,E20_TO_E40_CONTINUATION,10,114,0.09894161316211865,0.16291786513263518,0.23494066483147774,54,-0.10105838683788136,-0.03708213486736482,0.034940664831477744,54,0.23941934457524697,0.2684500189435468,0.32185782967033144,54,0.09248794015520106,0.1436388032132725,0.2146613023952144,54,0.13234527667038187,0.19195940103598458,0.30913204567541597,54,0.0,1.0,2.0,54,0.0,0.3333333333333333,0.6666666666666666,54,3.0,3.0,3.0,54,1.0,1.0,1.0,54,0.0,0.0,1.0,54,0.5263157894736842,0.2982456140350877,0.19298245614035087,0.16666666666666666,0.07017543859649122
CENTRAL,reference_validation,PARENT,E20_TO_E40_CONTINUATION,15,114,0.017331022530328272,0.13636363636364224,0.2246203037569947,45,-0.18266897746967173,-0.06363636363635777,0.0246203037569947,45,0.23885350318471224,0.27678571428571525,0.3320312499999975,45,0.11652173913043508,0.1573033707865174,0.30656934306569683,45,0.1302325581395323,0.22083333333333602,0.3269841269841342,45,0.0,1.0,2.0,45,0.0,0.25,0.5,45,4.0,4.0,4.0,45,1.0,1.0,1.0,45,0.0,0.0,1.0,45,0.6052631578947368,0.23684210526315788,0.18421052631578946,0.20175438596491227,0.07894736842105263
CENTRAL,reference_validation,PARENT,E20_TO_E40_CONTINUATION,30,114,0.055187040296012596,0.15980933959657323,0.18314868804664794,36,-0.14481295970398742,-0.040190660403426795,-0.01685131195335208,36,0.229539912500898,0.251698641087128,0.3161932407215416,36,0.13878143133462087,0.17995446538030022,0.30863808322824626,36,0.1252593116454496,0.21041666666666642,0.2734212683817784,36,0.0,1.0,3.0,36,0.0,0.14285714285714285,0.42857142857142855,36,6.75,7.0,7.0,36,0.9642857142857143,1.0,1.0,36,0.0,0.0,0.25,36,0.6842105263157895,0.16666666666666666,0.13157894736842105,0.19298245614035087,0.07894736842105263
CENTRAL,reference_validation,PARENT,E20_TO_E40_CONTINUATION,60,114,0.04193810181834659,0.08461538461538436,0.17505268560072446,23,-0.15806189818165342,-0.11538461538461565,-0.024947314399275555,23,0.24000552972740383,0.25392670157068076,0.31385454822955183,23,0.17337046024568775,0.2730538922155692,0.3657586377157179,23,0.18041392462599387,0.23370786516854272,0.35287367387411744,23,0.5,1.0,3.5,23,0.038461538461538464,0.07692307692307693,0.2692307692307693,23,7.5,13.0,13.0,23,0.5769230769230769,1.0,1.0,23,0.0,0.0,0.0,23,0.7982456140350878,0.12280701754385964,0.07017543859649122,0.16666666666666666,0.08771929824561403
CENTRAL,reference_validation,PARENT,E20_STALLER,5,63,0.03292857142857337,0.09871946414499594,0.177697930661293,58,-0.16707142857142665,-0.10128053585500407,-0.02230206933870702,58,0.22419416300547002,0.2631066849816845,0.31759047376896277,58,0.10248860182370725,0.17438011555127236,0.23046461837660387,58,0.17245022348638558,0.21290191290191113,0.32479026845637315,58,0.0,0.0,1.0,58,0.0,0.0,0.5,58,2.0,2.0,2.0,58,1.0,1.0,1.0,58,0.0,0.0,0.0,58,0.07936507936507936,0.5873015873015873,0.2698412698412698,0.49206349206349204,0.14285714285714285
CENTRAL,reference_validation,PARENT,E20_STALLER,10,63,0.014116318464148774,0.08666067029056265,0.141003316749586,52,-0.18588368153585125,-0.11333932970943736,-0.058996683250414,52,0.23187037037037422,0.27163640956744434,0.32094861660078833,52,0.16190632011966422,0.20143427139807896,0.2562857142857189,52,0.17987191425649612,0.22670940170939297,0.3174277030113515,52,0.0,0.0,1.0,52,0.0,0.0,0.3333333333333333,52,3.0,3.0,3.0,52,1.0,1.0,1.0,52,0.0,0.0,0.0,52,0.1746031746031746,0.5714285714285714,0.25396825396825395,0.5396825396825397,0.15873015873015872
CENTRAL,reference_validation,PARENT,E20_STALLER,15,63,-0.021276595744681496,0.05963302752294041,0.12883435582821737,45,-0.2212765957446815,-0.1403669724770596,-0.07116564417178264,45,0.23735408560311877,0.27536231884057727,0.3272727272727243,45,0.17801047120418312,0.2269503546099225,0.2884097035040428,45,0.1739130434782591,0.2183486238532048,0.31596638655462167,45,0.0,1.0,1.0,45,0.0,0.25,0.25,45,3.0,4.0,4.0,45,0.75,1.0,1.0,45,0.0,0.0,0.0,45,0.2857142857142857,0.5079365079365079,0.25396825396825395,0.5079365079365079,0.23809523809523808
CENTRAL,reference_validation,PARENT,E20_STALLER,30,63,-0.05654761904761838,-0.0217391304347835,0.10994764397906194,25,-0.2565476190476184,-0.22173913043478352,-0.09005235602093807,25,0.2549371633752225,0.2807017543859683,0.3307086614173243,25,0.21212121212121715,0.2968197879858656,0.4000000000000152,25,0.21103752759381855,0.2595238095238053,0.30526315789474123,25,0.0,1.0,2.0,25,0.0,0.14285714285714285,0.2857142857142857,25,6.0,6.0,7.0,25,0.8571428571428571,0.8571428571428571,1.0,25,0.0,0.0,0.0,25,0.6031746031746031,0.31746031746031744,0.1746031746031746,0.31746031746031744,0.23809523809523808
CENTRAL,reference_validation,PARENT,E20_STALLER,60,63,-0.30987279072385604,-0.09759038628024647,0.08197523754678844,16,-0.509872790723856,-0.2975903862802465,-0.11802476245321157,16,0.23819830901143937,0.26516382456082765,0.3305032523108527,16,0.238528523670873,0.3938347693449298,0.6295677136102604,16,0.21902754138944863,0.3546812442254379,0.6276845637583885,16,0.0,1.0,2.0,16,0.0,0.07692307692307693,0.15384615384615385,16,5.75,10.5,13.0,16,0.44230769230769235,0.8076923076923077,1.0,16,0.0,0.0,0.0,16,0.746031746031746,0.1746031746031746,0.09523809523809523,0.23809523809523808,0.1746031746031746
CLOCK_SUPPORT,external,PARENT,E20_TO_E40_CONTINUATION,5,95,0.1640727215980045,0.21271317829457528,0.27528575887434265,62,-0.0359272784019955,0.012713178294575272,0.07528575887434265,62,0.2419438524969873,0.2922617278689571,0.34368012075134147,62,0.04918902802623711,0.09194272305214846,0.1378055420846195,62,0.11287482760154628,0.1594054937129908,0.2605842660722528,62,0.0,1.0,2.0,62,0.0,0.5,1.0,62,2.0,2.0,2.0,62,1.0,1.0,1.0,62,0.0,1.0,2.0,62,0.3473684210526316,0.4421052631578947,0.3157894736842105,0.12631578947368421,0.031578947368421054
CLOCK_SUPPORT,external,PARENT,E20_TO_E40_CONTINUATION,10,95,0.12630732099758626,0.205431754874653,0.26332641565371906,53,-0.07369267900241375,0.005431754874653,0.06332641565371905,53,0.24516908212560726,0.30919438720439657,0.35579399141630874,53,0.0675675675675682,0.11924686192468749,0.1754555494202119,53,0.11653690439115623,0.16042471042470777,0.26209795008148273,53,1.0,1.0,2.0,53,0.3333333333333333,0.3333333333333333,0.6666666666666666,53,3.0,3.0,3.0,53,1.0,1.0,1.0,53,0.0,1.0,2.0,53,0.4421052631578947,0.4,0.3263157894736842,0.1368421052631579,0.031578947368421054
CLOCK_SUPPORT,external,PARENT,E20_TO_E40_CONTINUATION,15,95,0.14601095523491744,0.21088897955482908,0.2632264277867926,40,-0.05398904476508257,0.010888979554829065,0.06322642778679262,40,0.2622033836608737,0.32533982436551884,0.35273898368403694,40,0.11166645641628539,0.14388325383603812,0.17987815942706906,40,0.12178390407744982,0.1632865099179513,0.2575568980537929,40,1.0,2.0,3.0,40,0.25,0.5,0.75,40,4.0,4.0,4.0,40,1.0,1.0,1.0,40,0.0,1.0,2.0,40,0.5789473684210527,0.3263157894736842,0.28421052631578947,0.12631578947368421,0.021052631578947368
CLOCK_SUPPORT,external,PARENT,E20_TO_E40_CONTINUATION,30,95,0.11649497541260595,0.20056642663398827,0.27033921558539487,26,-0.08350502458739406,0.0005664266339882734,0.07033921558539484,26,0.2528982010172129,0.31738362672116593,0.35546747537615553,26,0.13185801271433814,0.16700476307244358,0.19163908853811146,26,0.13574406612180046,0.1632865099179513,0.23912014415644176,26,1.0,2.5,6.0,26,0.14285714285714285,0.3571428571428571,0.8571428571428571,26,7.0,7.0,7.0,26,1.0,1.0,1.0,26,0.0,0.5,3.75,26,0.7263157894736842,0.2,0.16842105263157894,0.10526315789473684,0.021052631578947368
CLOCK_SUPPORT,external,PARENT,E20_TO_E40_CONTINUATION,60,95,0.0804546272068784,0.1475788322498321,0.21917808762601163,15,-0.11954537279312161,-0.05242116775016792,0.019178087626011614,15,0.25714700461096107,0.3153786774165876,0.34503828123520247,15,0.19531441910745995,0.22709753928253842,0.31154015872084395,15,0.17093547668047313,0.19155007618783765,0.25160600421846036,15,2.0,3.0,5.5,15,0.15384615384615385,0.23076923076923078,0.4230769230769231,15,13.0,13.0,13.0,15,1.0,1.0,1.0,15,0.0,0.0,1.0,15,0.8421052631578947,0.11578947368421053,0.09473684210526316,0.11578947368421053,0.031578947368421054
CLOCK_SUPPORT,external,PARENT,E20_STALLER,5,63,0.018821972280097903,0.11667410275216115,0.194672482567647,58,-0.1811780277199021,-0.08332589724783886,-0.005327517432353018,58,0.2284503957248791,0.2689263806710979,0.31144912711426126,58,0.08080694643292245,0.16263647409896087,0.2180728348255856,58,0.1659649523055186,0.21967248096123304,0.3260664482797919,58,0.0,0.0,1.0,58,0.0,0.0,0.5,58,2.0,2.0,2.0,58,1.0,1.0,1.0,58,0.0,0.0,0.0,58,0.07936507936507936,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.19047619047619047
CLOCK_SUPPORT,external,PARENT,E20_STALLER,10,63,0.017991785518473306,0.10159176029962841,0.18272804233370973,51,-0.1820082144815267,-0.0984082397003716,-0.017271957666290277,51,0.24205933801004367,0.2835820895522378,0.3405893526272853,51,0.134765585661652,0.19413303437967352,0.2696751380273692,51,0.16687341038360312,0.21180507892930586,0.3204826729271014,51,0.0,0.0,1.5,51,0.0,0.0,0.5,51,3.0,3.0,3.0,51,1.0,1.0,1.0,51,0.0,0.0,0.0,51,0.19047619047619047,0.5238095238095238,0.3333333333333333,0.47619047619047616,0.19047619047619047
CLOCK_SUPPORT,external,PARENT,E20_STALLER,15,63,-0.03157340242558802,0.11734203956212741,0.19013590563750687,43,-0.23157340242558802,-0.0826579604378726,-0.009864094362493137,43,0.24414936090888065,0.29668411867365024,0.35523700225722044,43,0.17234385018716059,0.224501032346869,0.3041796522209978,43,0.17216872846442688,0.2633856759862143,0.33125002293650574,43,0.0,1.0,2.0,43,0.0,0.25,0.5,43,3.0,4.0,4.0,43,0.75,1.0,1.0,43,0.0,0.0,0.0,43,0.31746031746031744,0.47619047619047616,0.3333333333333333,0.4603174603174603,0.20634920634920634
CLOCK_SUPPORT,external,PARENT,E20_STALLER,30,63,0.02040561000961552,0.10697356788657661,0.1864050519710884,32,-0.1795943899903845,-0.0930264321134234,-0.013594948028911619,32,0.25749814392622794,0.3134818592362869,0.3564554120548623,32,0.20230388520639303,0.23038708948239672,0.3277010416629391,32,0.18685670257846207,0.21728899481708214,0.3575975651382436,32,0.0,2.0,3.0,32,0.0,0.2857142857142857,0.42857142857142855,32,6.0,7.0,7.0,32,0.8571428571428571,1.0,1.0,32,0.0,0.0,0.25,32,0.49206349206349204,0.3968253968253968,0.30158730158730157,0.3968253968253968,0.14285714285714285
CLOCK_SUPPORT,external,PARENT,E20_STALLER,60,63,-0.09752395408405198,0.07137117393527476,0.17014925373134465,21,-0.29752395408405197,-0.12862882606472525,-0.02985074626865536,21,0.2745318352059953,0.3121911037891275,0.352483542788749,21,0.22016387602422574,0.28066330630433517,0.3950374531835222,21,0.18853093724888687,0.2953481652701507,0.3864831038798514,21,1.0,2.0,5.0,21,0.07692307692307693,0.15384615384615385,0.38461538461538464,21,9.0,13.0,13.0,21,0.6923076923076923,1.0,1.0,21,0.0,0.0,0.0,21,0.6666666666666666,0.2857142857142857,0.19047619047619047,0.31746031746031744,0.15873015873015872
CLOCK_SUPPORT,reference_validation,PARENT,E20_STALLER,5,75,0.05196902553794669,0.09313136794411106,0.16413648625380026,66,-0.14803097446205332,-0.10686863205588895,-0.03586351374619976,66,0.21780538302277563,0.260845999492586,0.29884045171277335,66,0.10313905378665228,0.1729004449388184,0.22810818420724052,66,0.1673638590540852,0.21460909453529697,0.3104473039215724,66,0.0,0.0,1.0,66,0.0,0.0,0.5,66,2.0,2.0,2.0,66,1.0,1.0,1.0,66,0.0,0.0,0.0,66,0.12,0.48,0.21333333333333335,0.52,0.12
