partition,regime,clock_block,obs_start,obs_end,fill_ts,entry_fraction,entry_price,H,L,R4,stop_r4_fraction,target_r4_fraction,nominal_rr,stop_price,target_price,exit_ts,exit_price,exit_reason,gross_return,net_pnl_usd,win,structural_winner
development,BEAR,00-04,2022-07-11 00:00:00+00:00,2022-07-11 04:00:00+00:00,2022-07-11 00:25:00+00:00,0.05,20695.665,21170.0,20670.7,499.2999999999993,0.2,0.2,1.0,20795.525,20595.805,2022-07-11 00:40:00+00:00,20795.525,STOP,-0.004825165076840999,-2.812582538420499,False,True
development,BEAR,04-08,2022-07-11 04:00:00+00:00,2022-07-11 08:00:00+00:00,2022-07-11 05:10:00+00:00,0.05,20469.53,20853.9,20449.3,404.6000000000022,0.25,0.25,1.0,20570.68,20368.379999999997,2022-07-11 06:10:00+00:00,20368.379999999997,TP,0.004941491084553552,2.070745542276776,True,True
development,BEAR,12-16,2022-07-14 12:00:00+00:00,2022-07-14 16:00:00+00:00,2022-07-14 13:30:00+00:00,0.05,19638.88,20047.0,19617.4,429.59999999999854,0.3,0.3,1.0,19767.760000000002,19510.0,2022-07-14 13:30:00+00:00,19767.760000000002,STOP_FILL_BAR,-0.006562492362089947,-3.6812461810449735,False,False
development,BULL,08-12,2022-07-20 08:00:00+00:00,2022-07-20 12:00:00+00:00,2022-07-20 08:50:00+00:00,0.1,23356.1,23861.0,23300.0,561.0,0.3,0.3,1.0,23524.399999999998,23187.8,2022-07-20 09:15:00+00:00,23524.399999999998,STOP,-0.007205826315181014,-4.002913157590507,False,False
development,BULL,16-20,2022-07-20 16:00:00+00:00,2022-07-20 20:00:00+00:00,2022-07-20 17:00:00+00:00,0.05,23592.905,24277.0,23556.9,720.0999999999985,0.25,0.25,1.0,23772.93,23412.879999999997,2022-07-20 18:15:00+00:00,23772.93,STOP,-0.007630471957565271,-4.215235978782635,False,True
development,SIDEWAYS,20-00,2022-07-22 20:00:00+00:00,2022-07-23 00:00:00+00:00,2022-07-22 20:55:00+00:00,0.05,22572.055,23335.0,22531.9,803.0999999999985,0.15,0.15,1.0,22692.52,22451.59,2022-07-22 21:05:00+00:00,22692.52,STOP,-0.005336908845915897,-3.0684544229579482,False,False
development,BEAR,16-20,2022-07-23 16:00:00+00:00,2022-07-23 20:00:00+00:00,2022-07-23 17:30:00+00:00,0.05,22049.45,22381.0,22032.0,349.0,0.25,0.25,1.0,22136.7,21962.2,2022-07-23 17:30:00+00:00,22136.7,STOP_FILL_BAR,-0.003957014800822696,-2.378507400411348,False,True
development,BEAR,12-16,2022-07-24 12:00:00+00:00,2022-07-24 16:00:00+00:00,2022-07-24 13:10:00+00:00,0.05,22487.1,22812.0,22470.0,342.0,0.3,0.3,1.0,22589.699999999997,22384.5,2022-07-24 14:05:00+00:00,22589.699999999997,STOP,-0.004562615899782478,-2.681307949891239,False,False
development,BULL,08-12,2022-07-28 08:00:00+00:00,2022-07-28 12:00:00+00:00,2022-07-28 08:30:00+00:00,0.1,22918.0,23260.0,22880.0,380.0,0.3,0.3,1.0,23032.0,22804.0,2022-07-28 10:20:00+00:00,23032.0,STOP,-0.004974256043284754,-2.887128021642377,False,True
development,BULL,08-12,2022-07-29 08:00:00+00:00,2022-07-29 12:00:00+00:00,2022-07-29 08:25:00+00:00,0.1,23886.38,24500.0,23818.2,681.7999999999993,0.3,0.3,1.0,24090.920000000002,23681.84,2022-07-29 09:55:00+00:00,24090.920000000002,STOP,-0.008563038853103772,-4.681519426551886,False,True
development,BULL,16-20,2022-08-11 16:00:00+00:00,2022-08-11 20:00:00+00:00,2022-08-11 16:35:00+00:00,0.05,24297.31,24972.0,24261.8,710.2000000000007,0.25,0.25,1.0,24474.86,24119.760000000002,2022-08-11 18:20:00+00:00,24119.760000000002,TP,0.007307393287569664,3.2536966437848323,True,True
development,SIDEWAYS,08-12,2022-08-15 08:00:00+00:00,2022-08-15 12:00:00+00:00,2022-08-15 08:25:00+00:00,0.1,24022.6,24975.7,23916.7,1059.0,0.3,0.3,1.0,24340.3,23704.899999999998,2022-08-15 12:00:00+00:00,24037.1,TIME,-0.0006035982782879455,-0.7017991391439728,False,False
development,BEAR,04-08,2022-08-22 04:00:00+00:00,2022-08-22 08:00:00+00:00,2022-08-22 06:00:00+00:00,0.05,21363.275,21520.5,21355.0,165.5,0.25,0.25,1.0,21404.65,21321.9,2022-08-22 06:00:00+00:00,21404.65,STOP_FILL_BAR,-0.0019367348873241578,-1.368367443662079,False,True
development,BULL,16-20,2022-08-25 16:00:00+00:00,2022-08-25 20:00:00+00:00,2022-08-25 16:40:00+00:00,0.05,21489.81,21771.2,21475.0,296.2000000000007,0.25,0.25,1.0,21563.86,21415.760000000002,2022-08-25 16:45:00+00:00,21415.760000000002,TP,0.003445819204543887,1.3229096022719435,True,True
development,BEAR,16-20,2022-08-26 16:00:00+00:00,2022-08-26 20:00:00+00:00,2022-08-26 16:40:00+00:00,0.05,20625.38,21867.6,20560.0,1307.5999999999983,0.25,0.25,1.0,20952.28,20298.480000000003,2022-08-26 20:00:00+00:00,20635.5,TIME,-0.0004906576266715561,-0.6453288133357781,False,False
development,BEAR,20-00,2022-08-28 20:00:00+00:00,2022-08-29 00:00:00+00:00,2022-08-28 21:55:00+00:00,0.05,19951.9,20140.0,19942.0,198.0,0.15,0.15,1.0,19981.600000000002,19922.2,2022-08-28 22:00:00+00:00,19922.2,TP,0.0014885800349841733,0.34429001749208665,True,True
development,BEAR,08-12,2022-09-03 08:00:00+00:00,2022-09-03 12:00:00+00:00,2022-09-03 09:10:00+00:00,0.1,19761.84,19957.5,19740.1,217.40000000000143,0.3,0.3,1.0,19827.06,19696.62,2022-09-03 10:00:00+00:00,19827.06,STOP,-0.0033002999720674374,-2.050149986033719,False,False
development,BEAR,08-12,2022-09-05 08:00:00+00:00,2022-09-05 12:00:00+00:00,2022-09-05 10:55:00+00:00,0.1,19691.2,19900.0,19668.0,232.0,0.3,0.3,1.0,19760.8,19621.600000000002,2022-09-05 11:15:00+00:00,19621.600000000002,TP,0.0035345738197772886,1.3672869098886444,True,True
development,BULL,00-04,2022-09-10 00:00:00+00:00,2022-09-10 04:00:00+00:00,2022-09-10 00:45:00+00:00,0.05,21202.4,21666.0,21178.0,488.0,0.2,0.2,1.0,21300.0,21104.800000000003,2022-09-10 01:10:00+00:00,21300.0,STOP,-0.004603252461985367,-2.7016262309926833,False,False
development,SIDEWAYS,16-20,2022-09-13 16:00:00+00:00,2022-09-13 20:00:00+00:00,2022-09-13 16:10:00+00:00,0.05,20835.05,22850.0,20729.0,2121.0,0.25,0.25,1.0,21365.3,20304.8,2022-09-13 18:55:00+00:00,20304.8,TP,0.025449902927998733,12.324951463999366,True,True
development,BEAR,08-12,2022-09-20 08:00:00+00:00,2022-09-20 12:00:00+00:00,2022-09-20 09:35:00+00:00,0.1,19258.85,19581.5,19223.0,358.5,0.3,0.3,1.0,19366.399999999998,19151.3,2022-09-20 09:45:00+00:00,19151.3,TP,0.005584445592545727,2.392222796272864,True,True
development,BEAR,20-00,2022-09-21 20:00:00+00:00,2022-09-22 00:00:00+00:00,2022-09-21 21:50:00+00:00,0.05,18433.555,20154.1,18343.0,1811.0999999999983,0.15,0.15,1.0,18705.22,18161.89,2022-09-21 22:15:00+00:00,18161.89,TP,0.014737526212388271,6.968763106194135,True,True
development,BEAR,12-16,2022-09-23 12:00:00+00:00,2022-09-23 16:00:00+00:00,2022-09-23 12:35:00+00:00,0.05,18849.87,19265.4,18828.0,437.4000000000015,0.3,0.3,1.0,18981.09,18718.649999999998,2022-09-23 13:05:00+00:00,18981.09,STOP,-0.006961321218660986,-3.880660609330493,False,True
development,BEAR,16-20,2022-10-01 16:00:00+00:00,2022-10-01 20:00:00+00:00,2022-10-01 18:15:00+00:00,0.05,19238.61,19396.5,19230.3,166.20000000000073,0.25,0.25,1.0,19280.16,19197.06,2022-10-01 18:45:00+00:00,19280.16,STOP,-0.0021597194391902155,-1.4798597195951078,False,True
development,BULL,00-04,2022-10-05 00:00:00+00:00,2022-10-05 04:00:00+00:00,2022-10-05 00:55:00+00:00,0.05,20160.185,20500.0,20142.3,357.7000000000007,0.2,0.2,1.0,20231.725000000002,20088.645,2022-10-05 01:15:00+00:00,20231.725000000002,STOP,-0.0035485785472703186,-2.1742892736351593,False,False
development,BEAR,04-08,2022-10-10 04:00:00+00:00,2022-10-10 08:00:00+00:00,2022-10-10 05:55:00+00:00,0.05,19396.15,19513.0,19390.0,123.0,0.25,0.25,1.0,19426.9,19365.4,2022-10-10 06:15:00+00:00,19426.9,STOP,-0.0015853661680281911,-1.1926830840140956,False,True
development,BULL,08-12,2022-10-14 08:00:00+00:00,2022-10-14 12:00:00+00:00,2022-10-14 08:45:00+00:00,0.1,19588.78,19843.3,19560.5,282.7999999999993,0.3,0.3,1.0,19673.62,19503.94,2022-10-14 10:05:00+00:00,19673.62,STOP,-0.0043310507341447575,-2.5655253670723788,False,False
development,BEAR,16-20,2022-10-15 16:00:00+00:00,2022-10-15 20:00:00+00:00,2022-10-15 19:30:00+00:00,0.05,19086.065,19188.0,19080.7,107.29999999999929,0.25,0.25,1.0,19112.89,19059.239999999998,2022-10-15 20:00:00+00:00,19091.9,TIME,-0.00030572043006260146,-0.5528602150313008,False,True
development,BEAR,16-20,2022-10-20 16:00:00+00:00,2022-10-20 20:00:00+00:00,2022-10-20 17:20:00+00:00,0.05,19131.5,19350.0,19120.0,230.0,0.25,0.25,1.0,19189.0,19074.0,2022-10-20 17:40:00+00:00,19074.0,TP,0.003005514465671798,1.102757232835899,True,True
development,BULL,00-04,2022-10-28 00:00:00+00:00,2022-10-28 04:00:00+00:00,2022-10-28 02:50:00+00:00,0.05,20192.78,20625.6,20170.0,455.59999999999854,0.2,0.2,1.0,20283.899999999998,20101.66,2022-10-28 03:55:00+00:00,20283.899999999998,STOP,-0.004512503974192706,-2.656251987096353,False,False
development,BULL,20-00,2022-10-29 20:00:00+00:00,2022-10-30 00:00:00+00:00,2022-10-29 22:40:00+00:00,0.05,20754.785,20974.9,20743.2,231.70000000000076,0.15,0.15,1.0,20789.54,20720.03,2022-10-29 22:45:00+00:00,20720.03,TP,0.0016745536029402867,0.43727680147014336,True,True
development,BULL,12-16,2022-10-30 12:00:00+00:00,2022-10-30 16:00:00+00:00,2022-10-30 13:50:00+00:00,0.05,20634.795,20876.0,20622.1,253.90000000000143,0.3,0.3,1.0,20710.965,20558.624999999996,2022-10-30 14:25:00+00:00,20710.965,STOP,-0.0036913378591840575,-2.245668929592029,False,False
development,SIDEWAYS,08-12,2022-10-31 08:00:00+00:00,2022-10-31 12:00:00+00:00,2022-10-31 08:30:00+00:00,0.1,20458.96,20582.8,20445.2,137.59999999999854,0.3,0.3,1.0,20500.239999999998,20417.68,2022-10-31 09:10:00+00:00,20500.239999999998,STOP,-0.002017697869295352,-1.408848934647676,False,False
development,BEAR,08-12,2022-11-02 08:00:00+00:00,2022-11-02 12:00:00+00:00,2022-11-02 10:30:00+00:00,0.1,20364.06,20550.0,20343.4,206.59999999999852,0.3,0.3,1.0,20426.04,20302.08,2022-11-02 11:00:00+00:00,20426.04,STOP,-0.003043597396589853,-1.9217986982949267,False,False
development,BEAR,20-00,2022-11-02 20:00:00+00:00,2022-11-03 00:00:00+00:00,2022-11-02 20:30:00+00:00,0.05,20134.8,20796.0,20100.0,696.0,0.15,0.15,1.0,20239.2,20030.399999999998,2022-11-03 00:00:00+00:00,20140.1,TIME,-0.000263225857718938,-0.531612928859469,False,True
