structure_id,raid_i_h1,raid_time,reclaim_i_h1,reclaim_time,reclaim_close_time,year,liquidity_high,liquidity_pivot_i,liquidity_confirm_i,significant_low,significant_low_pivot_i,significant_low_confirm_i,raid_extreme,raid_depth_pct,reclaim_delay_h1_bars,reclaim_close,median_prior_h1_range,bos_i_h1,bos_time,bos_close_time,bos_close,bos_low,bars_reclaim_to_bos,displacement_range_units,bear_path_efficiency,bos_extension_range_units,origin_i_h1,origin_time,origin_open,origin_high,origin_low,origin_close,zone_low,zone_high,zone_width_range_units,first_return_i_5m,first_return_time,bos_to_return_min,return_open,return_high,return_low,return_close,return_penetration_zone_width,pre_return_structural_low,outcome,resolution_i_5m,resolution_time,return_to_resolution_min,max_above_zone_width,max_new_low_extension_pct,return_year,path_status,path_anchor_i_5m,path_anchor_time,path_anchor_low,ascent_bars,up_path_efficiency,median_adjacent_overlap,overlap_gt50_share,range_contraction_ratio,body_contraction_ratio,largest_bull_body_share,sign_flip_rate,higher_low_share,rise_per_bar_range_units,max_bull_body_range_units,pre_return_drawup_fraction
2021-10-03 13:00:00+00:00__H9217__L9218,9222,2021-10-03 13:00:00+00:00,9224,2021-10-03 15:00:00+00:00,2021-10-03 16:00:00+00:00,2021,173.459,9217,9219,168.7,9218,9220,178.0,2.6179097077695612,2,172.625,3.038499999999999,9235,2021-10-04 02:00:00+00:00,2021-10-04 03:00:00+00:00,168.605,167.0,11,3.091986177390164,0.18825512784490112,0.03126542701991077,9234,2021-10-04 01:00:00+00:00,169.579,171.3,168.201,170.21,168.201,171.3,1.019911140365318,110832,2021-10-04 03:00:00+00:00,0.0,168.612,168.637,166.651,167.0,0.140690545337207,167.0,AMBIGUOUS,110832,2021-10-04 03:00:00+00:00,0.0,0.4959664407873407,2.9341317365269495,2021,TOO_SHORT_FOR_COMPRESSION,,,,,,,,,,,,,,,
2021-10-14 14:00:00+00:00__H9479__L9483,9487,2021-10-14 14:00:00+00:00,9489,2021-10-14 16:00:00+00:00,2021-10-14 17:00:00+00:00,2021,152.549,9479,9481,150.0,9483,9485,155.929,2.215681518725132,2,151.211,1.789999999999992,9493,2021-10-14 20:00:00+00:00,2021-10-14 21:00:00+00:00,149.98,149.005,4,3.3234636871508596,0.47327950788159817,0.011173184357547666,9490,2021-10-14 17:00:00+00:00,151.21,152.418,150.909,151.896,150.909,152.418,0.8430167597765482,113928,2021-10-14 21:00:00+00:00,0.0,149.986,151.1,149.979,150.648,0.12657388999337355,149.005,CONTINUATION,113968,2021-10-15 00:20:00+00:00,200.0,8.603048376408134,1.5744438106103846,2021,TOO_SHORT_FOR_COMPRESSION,,,,,,,,,,,,,,,
2021-10-31 01:00:00+00:00__H9877__L9879,9882,2021-10-31 01:00:00+00:00,9882,2021-10-31 01:00:00+00:00,2021-10-31 02:00:00+00:00,2021,195.511,9877,9879,187.288,9879,9881,195.983,0.2414186414063657,0,191.8,2.2265000000000015,9892,2021-10-31 11:00:00+00:00,2021-10-31 12:00:00+00:00,186.508,186.002,10,4.255558050752296,0.5024686669198656,0.3503256231753877,9888,2021-10-31 07:00:00+00:00,190.196,191.157,189.301,190.83,189.301,191.157,0.8335953289917007,118718,2021-10-31 12:10:00+00:00,10.0,186.815,190.0,186.621,190.0,0.3766163793103468,185.778,CONTINUATION,118735,2021-10-31 13:35:00+00:00,85.0,11.129849137930886,0.16578927537167626,2021,TOO_SHORT_FOR_COMPRESSION,118716.0,2021-10-31 12:00:00+00:00,185.778,3.0,,,,,,,,,,,
2021-11-18 00:00:00+00:00__H10301__L10309,10313,2021-11-18 00:00:00+00:00,10313,2021-11-18 00:00:00+00:00,2021-11-18 01:00:00+00:00,2021,222.33,10301,10303,212.786,10309,10311,222.805,0.21364638150496162,0,222.225,3.7830000000000155,10320,2021-11-18 07:00:00+00:00,2021-11-18 08:00:00+00:00,212.7,211.43,7,2.6711604546656034,0.7580580978909659,0.022733280465242502,10318,2021-11-18 05:00:00+00:00,213.21,214.372,212.58,213.51,212.58,214.372,0.47369812318265775,123852,2021-11-18 08:00:00+00:00,0.0,212.708,213.398,212.236,212.309,0.45647321428570475,211.43,CONTINUATION,123855,2021-11-18 08:15:00+00:00,15.0,-0.5435267857142952,11.844109161424585,2021,TOO_SHORT_FOR_COMPRESSION,,,,,,,,,,,,,,,
2022-05-03 04:00:00+00:00__H14175__L14178,14181,2022-05-03 04:00:00+00:00,14181,2022-05-03 04:00:00+00:00,2022-05-03 05:00:00+00:00,2022,88.5,14175,14177,86.67,14178,14180,88.79,0.3276836158192076,0,88.33,1.4499999999999957,14193,2022-05-03 16:00:00+00:00,2022-05-03 17:00:00+00:00,86.39,86.28,12,1.6551724137931123,0.39112903225806345,0.19310344827586343,14192,2022-05-03 15:00:00+00:00,87.0,87.43,86.66,87.16,86.66,87.43,0.5310344827586293,170331,2022-05-03 17:15:00+00:00,15.0,86.59,87.12,86.58,86.97,0.5974025974025998,86.09,CONTINUATION,170340,2022-05-03 18:00:00+00:00,45.0,1.6493506493506223,1.7539783947032235,2022,TOO_SHORT_FOR_COMPRESSION,170329.0,2022-05-03 17:05:00+00:00,86.09,3.0,,,,,,,,,,,
2022-09-21 18:00:00+00:00__H17573__L17576,17579,2022-09-21 18:00:00+00:00,17580,2022-09-21 19:00:00+00:00,2022-09-21 20:00:00+00:00,2022,32.34,17573,17575,31.19,17576,17578,33.48,3.525046382189223,1,31.52,0.3900000000000041,17582,2022-09-21 21:00:00+00:00,2022-09-21 22:00:00+00:00,30.65,30.37,2,7.256410256410176,1.0,1.3846153846153768,17579,2022-09-21 18:00:00+00:00,32.25,33.48,30.12,33.03,30.12,33.48,8.615384615384514,210996,2022-09-21 22:00:00+00:00,0.0,30.65,30.68,30.49,30.65,0.1666666666666665,30.37,CONTINUATION,210998,2022-09-21 22:10:00+00:00,10.0,-0.18452380952380898,1.2841620019756357,2022,TOO_SHORT_FOR_COMPRESSION,,,,,,,,,,,,,,,
2022-11-06 08:00:00+00:00__H18669__L18670,18673,2022-11-06 08:00:00+00:00,18673,2022-11-06 08:00:00+00:00,2022-11-06 09:00:00+00:00,2022,36.23,18669,18671,35.5,18670,18672,36.37,0.38642009384488585,0,36.22,0.6000000000000014,18680,2022-11-06 15:00:00+00:00,2022-11-06 16:00:00+00:00,35.03,35.0,7,2.233333333333322,0.8095238095238086,0.7833333333333296,18679,2022-11-06 14:00:00+00:00,35.62,35.95,35.15,35.71,35.15,35.95,1.3333333333333373,224173,2022-11-06 16:05:00+00:00,5.0,34.9,35.39,34.65,35.38,0.3000000000000009,34.44,CONTINUATION,224199,2022-11-06 18:15:00+00:00,130.0,-0.6875000000000017,11.149825783972116,2022,TOO_SHORT_FOR_COMPRESSION,224172.0,2022-11-06 16:00:00+00:00,34.44,2.0,,,,,,,,,,,
2022-12-25 06:00:00+00:00__H19842__L19843,19847,2022-12-25 06:00:00+00:00,19848,2022-12-25 07:00:00+00:00,2022-12-25 08:00:00+00:00,2022,11.483,19842,19844,11.378,19843,19845,11.545,0.5399285900896889,1,11.468,0.06949999999999967,19853,2022-12-25 12:00:00+00:00,2022-12-25 13:00:00+00:00,11.367,11.351,5,2.561151079136689,0.6778523489932945,0.15827338129495372,19852,2022-12-25 11:00:00+00:00,11.381,11.409,11.358,11.391,11.358,11.409,0.7338129496402934,238248,2022-12-25 13:00:00+00:00,0.0,11.368,11.384,11.364,11.384,0.509803921568622,11.351,CONTINUATION,238257,2022-12-25 13:45:00+00:00,45.0,1.54901960784311,1.1188441547000323,2022,TOO_SHORT_FOR_COMPRESSION,,,,,,,,,,,,,,,
2023-01-06 23:00:00+00:00__H20147__L20149,20152,2023-01-06 23:00:00+00:00,20154,2023-01-07 01:00:00+00:00,2023-01-07 02:00:00+00:00,2023,13.419,20147,20149,13.149,20149,20151,13.585,1.2370519412773007,2,13.298,0.15800000000000036,20164,2023-01-07 11:00:00+00:00,2023-01-07 12:00:00+00:00,13.137,13.12,10,2.8354430379746796,0.2998137802607084,0.07594936708859906,20162,2023-01-07 09:00:00+00:00,13.153,13.222,13.12,13.192,13.12,13.222,0.645569620253165,241980,2023-01-07 12:00:00+00:00,0.0,13.138,13.147,13.125,13.145,0.2647058823529504,13.12,INVALIDATED,241993,2023-01-07 13:05:00+00:00,65.0,5.470588235294099,2.179878048780485,2023,TOO_SHORT_FOR_COMPRESSION,,,,,,,,,,,,,,,
2023-01-15 00:00:00+00:00__H20338__L20342,20345,2023-01-15 00:00:00+00:00,20345,2023-01-15 00:00:00+00:00,2023-01-15 01:00:00+00:00,2023,23.43,20338,20340,22.47,20342,20344,25.2,7.554417413572345,0,23.4,0.7225000000000001,20353,2023-01-15 08:00:00+00:00,2023-01-15 09:00:00+00:00,22.185,22.1,8,4.173010380622837,0.5653792461610058,0.3944636678200693,20352,2023-01-15 07:00:00+00:00,22.569,22.705,22.14,22.657,22.14,22.705,0.7820069204152216,244248,2023-01-15 09:00:00+00:00,0.0,22.186,22.325,22.178,22.296,0.32743362831858314,22.1,CONTINUATION,244249,2023-01-15 09:05:00+00:00,5.0,4.380530973451347,0.4524886877828118,2023,TOO_SHORT_FOR_COMPRESSION,,,,,,,,,,,,,,,
