i,period,date,parent_pnl,frozen_pnl,frozen_layer,combined_pnl,combined_layer,incremental,candidate6,fastmr_arm,fastmr_lock_exit,fastmr_decision_t,d20,giveback_progress
15,D,2024-03-17,-7.750000000000006,-7.750000000000006,PARENT,-7.750000000000006,PARENT,0.0,False,False,False,,,
16,D,2024-03-24,-7.670065131609785,-7.670065131609785,PARENT,1.3299348683902228,FASTMR_LOCK,9.000000000000009,False,True,True,2024-03-24 17:15:00+00:00,0.009821368613295078,0.005807462405410524
17,D,2024-03-31,-7.750000000000006,-7.750000000000006,PARENT,-7.750000000000006,PARENT,0.0,False,False,False,,,
18,D,2024-04-07,1.062683115989905,1.062683115989905,PARENT,1.062683115989905,PARENT,0.0,False,False,False,,,
19,D,2024-04-14,11.799729740203384,11.799729740203384,PARENT,11.799729740203384,PARENT,0.0,False,False,False,,,
20,D,2024-04-21,0.2634379647475298,0.2634379647475298,PARENT,1.2914297476254917,FASTMR_LOCK,1.027991782877962,False,True,True,2024-04-21 16:50:00+00:00,0.0061267817076093856,0.005570313848277886
21,D,2024-04-28,7.123449824019988,7.123449824019988,PARENT,7.123449824019988,PARENT,0.0,False,False,False,,,
22,D,2024-05-05,-7.750000000000006,-7.750000000000006,PARENT_EXIT_BEFORE7,-7.750000000000006,PARENT_EXIT_BEFORE7,0.0,True,False,False,,,
23,D,2024-05-12,-0.5940303459258807,-0.5940303459258807,PARENT,-0.5940303459258807,PARENT,0.0,False,False,False,,,
24,D,2024-05-19,2.9387547704702888,2.9387547704702888,PARENT,2.9387547704702888,PARENT,0.0,False,False,False,,,
25,D,2024-05-26,-0.28066817668684374,-0.28066817668684374,PARENT,-0.28066817668684374,PARENT,0.0,False,False,False,,,
26,D,2024-06-02,-7.6496932433887705,-7.6496932433887705,RECOVERY7_HOLD,-7.6496932433887705,RECOVERY7_HOLD,0.0,True,False,False,,,
27,D,2024-06-09,-3.299061684802147,-1.7956150464798197,CUT7,-1.7956150464798197,CUT7,0.0,True,False,False,,,
28,D,2024-06-16,-1.121749710994776,-1.121749710994776,PARENT,-1.121749710994776,PARENT,0.0,False,False,False,,,
29,D,2024-06-23,11.773275414335378,11.773275414335378,PARENT,11.773275414335378,PARENT,0.0,False,False,False,,,
30,D,2024-06-30,-7.6998603587942345,-7.6998603587942345,PARENT,-7.6998603587942345,PARENT,0.0,False,False,False,,,
31,D,2024-07-07,11.799289801074897,11.799289801074897,PARENT,11.799289801074897,PARENT,0.0,False,False,False,,,
32,D,2024-07-14,-7.708370066496263,-7.708370066496263,PARENT,-7.708370066496263,PARENT,0.0,False,False,False,,,
33,D,2024-07-21,-7.746752069613234,-7.746752069613234,RECOVERY7_HOLD,-7.746752069613234,RECOVERY7_HOLD,0.0,True,False,False,,,
34,D,2024-07-28,-7.750000000000006,-7.750000000000006,PARENT,-7.750000000000006,PARENT,0.0,False,False,False,,,
35,D,2024-08-04,11.75000000000001,11.75000000000001,PARENT,11.75000000000001,PARENT,0.0,False,False,False,,,
36,D,2024-08-11,11.75000000000001,11.75000000000001,PARENT,11.75000000000001,PARENT,0.0,False,False,False,,,
37,D,2024-08-18,11.716524105054496,11.716524105054496,PARENT,11.716524105054496,PARENT,0.0,False,False,False,,,
38,D,2024-08-25,-7.734413776197084,-7.734413776197084,PARENT,-7.734413776197084,PARENT,0.0,False,False,False,,,
39,D,2024-09-01,5.567777387066816,5.567777387066816,PARENT,1.2500000000000018,FASTMR_LOCK,-4.317777387066815,False,True,True,2024-09-01 14:35:00+00:00,0.007833542804035032,0.005693473293590157
40,D,2024-09-08,-7.775843393449373,-7.775843393449373,PARENT,-7.775843393449373,PARENT,0.0,False,False,False,,,
41,D,2024-09-15,11.76384044280592,11.76384044280592,PARENT,11.76384044280592,PARENT,0.0,False,False,False,,,
42,D,2024-09-22,-7.722479837704294,-7.722479837704294,PARENT,1.2775201622957135,FASTMR_LOCK,9.000000000000007,False,True,True,2024-09-22 22:20:00+00:00,0.008777085025025944,0.004017511333477275
43,D,2024-09-29,8.314167261394882,8.314167261394882,PARENT,8.314167261394882,PARENT,0.0,False,False,False,,,
44,D,2024-10-06,-7.728854171615975,-7.728854171615975,RECOVERY7_HOLD,-7.728854171615975,RECOVERY7_HOLD,0.0,True,False,False,,,
45,D,2024-10-13,0.9220432701156257,0.9220432701156257,PARENT,0.9220432701156257,PARENT,0.0,False,False,False,,,
46,D,2024-10-20,-7.699830489139026,-7.699830489139026,PARENT,-7.699830489139026,PARENT,0.0,False,False,False,,,
47,D,2024-10-27,-7.699576654611487,-4.933030539804398,CUT7,-4.933030539804398,CUT7,0.0,True,False,False,,,
48,D,2024-11-03,-6.655213148658573,-6.655213148658573,PARENT,1.2500000000000018,FASTMR_LOCK,7.905213148658575,False,True,True,2024-11-03 15:55:00+00:00,0.006219592538512009,0.004130499238311436
49,D,2024-11-10,-7.678931410576727,-7.678931410576727,PARENT,-7.678931410576727,PARENT,0.0,False,False,False,,,
50,D,2024-11-17,11.75000000000001,11.75000000000001,PARENT,11.75000000000001,PARENT,0.0,False,False,False,,,
51,D,2024-11-24,3.1542166717734283,3.1542166717734283,PARENT,3.1542166717734283,PARENT,0.0,False,False,False,,,
52,D,2024-12-01,-3.9466591692490307,-3.9466591692490307,PARENT,-3.9466591692490307,PARENT,0.0,False,False,False,,,
53,D,2024-12-08,-7.750000000000006,-7.750000000000006,PARENT,-7.750000000000006,PARENT,0.0,False,False,False,,,
54,D,2024-12-15,-7.699652609206941,-7.699652609206941,RECOVERY7_HOLD,-7.699652609206941,RECOVERY7_HOLD,0.0,True,False,False,,,
55,D,2024-12-22,11.846863419791195,11.846863419791195,PARENT,11.846863419791195,PARENT,0.0,False,False,False,,,
56,D,2024-12-29,5.710316441273837,5.710316441273837,PARENT,1.2500000000000018,FASTMR_LOCK,-4.460316441273835,False,True,True,2024-12-29 14:55:00+00:00,0.006394537565014291,0.004595704225944575
57,D,2025-01-05,-7.658068585517747,-7.658068585517747,PARENT,-7.658068585517747,PARENT,0.0,False,False,False,,,
58,D,2025-01-12,-7.6900201623006295,-5.456569231877605,CUT7,-5.456569231877605,CUT7,0.0,True,False,False,,,
59,D,2025-01-19,-7.699749744764567,-7.699749744764567,PARENT,-7.699749744764567,PARENT,0.0,False,False,False,,,
60,D,2025-01-26,11.836547361904772,11.836547361904772,PARENT,11.836547361904772,PARENT,0.0,False,False,False,,,
61,D,2025-02-02,11.745715860129232,11.745715860129232,PARENT,11.745715860129232,PARENT,0.0,False,False,False,,,
62,D,2025-02-09,5.805944460148311,5.805944460148311,PARENT,5.805944460148311,PARENT,0.0,False,False,False,,,
63,D,2025-02-16,4.09951627841965,4.09951627841965,PARENT,4.09951627841965,PARENT,0.0,False,False,False,,,
64,D,2025-02-23,1.9918075758504448,1.9918075758504448,PARENT,1.9918075758504448,PARENT,0.0,False,False,False,,,
65,D,2025-03-02,-7.750000000000006,-7.750000000000006,PARENT,-7.750000000000006,PARENT,0.0,False,False,False,,,
66,D,2025-03-09,11.749999999999956,11.749999999999956,PARENT,11.749999999999956,PARENT,0.0,False,False,False,,,
67,D,2025-03-16,11.756165329115818,11.756165329115818,PARENT,11.756165329115818,PARENT,0.0,False,False,False,,,
68,D,2025-03-23,-7.729697470657882,-7.729697470657882,PARENT,-7.729697470657882,PARENT,0.0,False,False,False,,,
69,D,2025-03-30,11.785822489218821,11.785822489218821,PARENT,11.785822489218821,PARENT,0.0,False,False,False,,,
70,D,2025-04-06,11.749999999999956,11.749999999999956,PARENT,11.749999999999956,PARENT,0.0,False,False,False,,,
71,D,2025-04-13,-3.3074633054662734,-3.3074633054662734,PARENT,-3.3074633054662734,PARENT,0.0,False,False,False,,,
72,D,2025-04-20,-7.734924777346891,-7.734924777346891,PARENT,-7.734924777346891,PARENT,0.0,False,False,False,,,
73,D,2025-04-27,2.4438774637951184,2.4438774637951184,PARENT,2.4438774637951184,PARENT,0.0,False,False,False,,,
74,D,2025-05-04,6.553120373185786,6.553120373185786,PARENT,6.553120373185786,PARENT,0.0,False,False,False,,,
75,D,2025-05-11,-1.0780855701125462,-1.0780855701125462,PARENT,-1.0780855701125462,PARENT,0.0,False,False,False,,,
76,D,2025-05-18,-7.750000000000006,-7.750000000000006,PARENT,-7.750000000000006,PARENT,0.0,False,False,False,,,
77,D,2025-05-25,-7.731768410119812,-7.731768410119812,PARENT,-7.731768410119812,PARENT,0.0,False,False,False,,,
78,D,2025-06-01,-7.72935163282626,-7.72935163282626,PARENT,-7.72935163282626,PARENT,0.0,False,False,False,,,
79,D,2025-06-08,-1.660981948655184,-3.571760573983898,CUT7,-3.571760573983898,CUT7,0.0,True,False,False,,,
80,D,2025-06-15,-3.4910253744756665,-3.4910253744756665,PARENT,-3.4910253744756665,PARENT,0.0,False,False,False,,,
81,D,2025-06-22,11.75000000000001,11.75000000000001,PARENT,11.75000000000001,PARENT,0.0,False,False,False,,,
82,D,2025-06-29,-4.381991685559789,-4.381991685559789,PARENT,-4.381991685559789,PARENT,0.0,False,False,False,,,
83,V,2025-07-06,-7.750000000000006,-7.750000000000006,RECOVERY7_HOLD,-7.750000000000006,RECOVERY7_HOLD,0.0,True,False,False,,,
84,V,2025-07-13,-7.750000000000006,-7.750000000000006,PARENT,-7.750000000000006,PARENT,0.0,False,False,False,,,
85,V,2025-07-20,-0.7827293704565691,-2.955641360325811,CUT7,-2.955641360325811,CUT7,0.0,True,False,False,,,
86,V,2025-07-27,-7.750000000000006,-3.5395321523366823,CUT7,-3.5395321523366823,CUT7,0.0,True,False,False,,,
87,V,2025-08-03,-5.651404335938886,-5.651404335938886,PARENT,-5.651404335938886,PARENT,0.0,False,False,False,,,
88,V,2025-08-10,-7.699582515274662,-2.856236862442712,CUT7,-2.856236862442712,CUT7,0.0,True,False,False,,,
89,V,2025-08-17,11.764113368640444,11.764113368640444,PARENT,11.764113368640444,PARENT,0.0,False,False,False,,,
90,V,2025-08-24,11.75000000000001,11.75000000000001,PARENT,11.75000000000001,PARENT,0.0,False,False,False,,,
91,V,2025-08-31,5.58112120963509,5.58112120963509,PARENT,5.58112120963509,PARENT,0.0,False,False,False,,,
92,V,2025-09-07,-1.5126593889812927,-1.5126593889812927,PARENT,-1.5126593889812927,PARENT,0.0,False,False,False,,,
93,V,2025-09-14,1.703676977546282,1.703676977546282,PARENT,1.703676977546282,PARENT,0.0,False,False,False,,,
94,V,2025-09-21,5.571948990899242,5.571948990899242,PARENT,5.571948990899242,PARENT,0.0,False,False,False,,,
95,V,2025-09-28,-7.723568284447585,-7.723568284447585,RECOVERY7_HOLD,-7.723568284447585,RECOVERY7_HOLD,0.0,True,False,False,,,
96,V,2025-10-05,1.3133162360231827,1.3133162360231827,PARENT,1.3133162360231827,PARENT,0.0,False,False,False,,,
97,V,2025-10-12,-7.750000000000006,-7.750000000000006,PARENT,-7.750000000000006,PARENT,0.0,False,False,False,,,
98,V,2025-10-19,-7.750000000000006,-7.750000000000006,PARENT,-7.750000000000006,PARENT,0.0,False,False,False,,,
99,V,2025-10-26,-7.750000000000006,-7.750000000000006,PARENT,-7.750000000000006,PARENT,0.0,False,False,False,,,
100,V,2025-11-02,7.46590396072586,7.46590396072586,PARENT,7.46590396072586,PARENT,0.0,False,False,False,,,
101,V,2025-11-09,-7.750000000000006,-7.750000000000006,PARENT,-7.750000000000006,PARENT,0.0,False,False,False,,,
102,V,2025-11-16,11.784729702394339,11.784729702394339,PARENT,11.784729702394339,PARENT,0.0,False,False,False,,,
103,V,2025-11-23,-7.750000000000006,-7.750000000000006,PARENT,-7.750000000000006,PARENT,0.0,False,False,False,,,
104,V,2025-11-30,11.767804910454666,11.767804910454666,PARENT,11.767804910454666,PARENT,0.0,False,False,False,,,
105,V,2025-12-07,-7.723871222389762,-7.723871222389762,PARENT,1.2500000000000018,FASTMR_LOCK,8.973871222389764,False,True,True,2025-12-07 15:10:00+00:00,0.006781856345993598,0.0045984402269982905
106,V,2025-12-14,11.749999999999956,11.749999999999956,PARENT,11.749999999999956,PARENT,0.0,False,False,False,,,
107,V,2025-12-21,-0.18909471818690507,-0.18909471818690507,PARENT,1.2500000000000573,FASTMR_LOCK,1.4390947181869624,False,True,True,2025-12-21 14:10:00+00:00,0.006242089407889617,0.00574856794224321
108,V,2025-12-28,-7.702665713065013,-7.702665713065013,PARENT,-7.702665713065013,PARENT,0.0,False,False,False,,,
109,V,2026-01-04,-7.705451499435543,-7.705451499435543,PARENT,-7.705451499435543,PARENT,0.0,False,False,False,,,
110,V,2026-01-11,-7.741657827314814,-7.741657827314814,PARENT,-7.741657827314814,PARENT,0.0,False,False,False,,,
111,V,2026-01-18,11.782826582065171,11.782826582065171,PARENT,11.782826582065171,PARENT,0.0,False,False,False,,,
112,V,2026-01-25,11.75000000000001,11.75000000000001,PARENT,11.75000000000001,PARENT,0.0,False,False,False,,,
113,V,2026-02-01,11.75849958531986,11.75849958531986,PARENT,1.2500000000000018,FASTMR_LOCK,-10.508499585319859,False,True,True,2026-02-01 14:55:00+00:00,0.006124196418481942,0.004725638082050065
114,V,2026-02-08,-7.774501854883021,-7.774501854883021,PARENT,-7.774501854883021,PARENT,0.0,False,False,False,,,
115,V,2026-02-15,11.738370127654115,11.738370127654115,PARENT,11.738370127654115,PARENT,0.0,False,False,False,,,
116,V,2026-02-22,11.774768737124381,11.774768737124381,PARENT,11.774768737124381,PARENT,0.0,False,False,False,,,
117,V,2026-03-01,1.4503456827234258,1.4503456827234258,PARENT,1.2500000000000018,FASTMR_LOCK,-0.200345682723424,False,True,True,2026-03-01 17:10:00+00:00,0.011968199820775904,0.0057007589990231144
118,V,2026-03-08,11.750000000000068,11.750000000000068,PARENT,11.750000000000068,PARENT,0.0,False,False,False,,,
119,V,2026-03-15,-7.7367477555183255,-7.7367477555183255,PARENT,-7.7367477555183255,PARENT,0.0,False,False,False,,,
120,V,2026-03-22,2.6881412093312425,2.6881412093312425,PARENT,2.6881412093312425,PARENT,0.0,False,False,False,,,
121,V,2026-03-29,11.763346966107068,11.763346966107068,PARENT,11.763346966107068,PARENT,0.0,False,False,False,,,
122,V,2026-04-05,-7.750000000000006,-7.750000000000006,PARENT,-7.750000000000006,PARENT,0.0,False,False,False,,,
123,V,2026-04-12,3.057405758606992,3.057405758606992,PARENT,3.057405758606992,PARENT,0.0,False,False,False,,,
124,V,2026-04-19,4.914683042431509,4.914683042431509,RECOVERY7_HOLD,4.914683042431509,RECOVERY7_HOLD,0.0,True,False,False,,,
125,V,2026-04-26,-7.750000000000006,-7.750000000000006,PARENT,-7.750000000000006,PARENT,0.0,False,False,False,,,
126,V,2026-05-03,-7.72490140652384,-7.72490140652384,RECOVERY7_HOLD,-7.72490140652384,RECOVERY7_HOLD,0.0,True,False,False,,,
127,V,2026-05-10,-7.720971546874832,-7.720971546874832,PARENT,-7.720971546874832,PARENT,0.0,False,False,False,,,
128,V,2026-05-17,7.201882558388357,7.201882558388357,PARENT,7.201882558388357,PARENT,0.0,False,False,False,,,
129,V,2026-05-24,-2.4336894776350717,-2.4336894776350717,PARENT,-2.4336894776350717,PARENT,0.0,False,False,False,,,
130,V,2026-05-31,0.24508343547982658,0.24508343547982658,PARENT,0.24508343547982658,PARENT,0.0,False,False,False,,,
131,V,2026-06-07,11.763546042166096,11.763546042166096,PARENT,11.763546042166096,PARENT,0.0,False,False,False,,,
132,V,2026-06-14,-7.766216568901534,-7.766216568901534,PARENT,-7.766216568901534,PARENT,0.0,False,False,False,,,
133,V,2026-06-21,-2.5609003330160975,-2.387892895547439,CUT7,-2.387892895547439,CUT7,0.0,True,False,False,,,
134,V,2026-06-28,4.313393622151766,4.313393622151766,PARENT,4.313393622151766,PARENT,0.0,False,False,False,,,
135,V,2026-07-05,-7.707084206355522,-7.707084206355522,PARENT,-7.707084206355522,PARENT,0.0,False,False,False,,,
136,V,2026-07-12,4.039801373061775,4.039801373061775,RECOVERY7_HOLD,4.039801373061775,RECOVERY7_HOLD,0.0,True,False,False,,,
137,V,2026-07-19,-1.667901427992697,-1.667901427992697,PARENT,-1.667901427992697,PARENT,0.0,False,False,False,,,
138,V,2026-07-26,-7.720777018114824,-7.720777018114824,PARENT,-7.720777018114824,PARENT,0.0,False,False,False,,,
