partition,transition,date_utc,previous_session_high,previous_session_low,side,signal_ts,entry_ts,entry_px,sweep_level,sweep_extreme,stop_px,target_px,risk_pct,exit_reason,exit_ts,exit_px,gross_return,gross_pnl_usd,net_pnl_usd,hold_minutes
external,LONDON_TO_NEWYORK,2021-08-19,44980.0,44151.0,SHORT,2021-08-19 13:50:00+00:00,2021-08-19 13:55:00+00:00,44933.89,44980.0,45000.0,45000.0,44801.67,0.001471272573997056,SL,2021-08-19 14:00:00+00:00,45000.0,-0.001471272573997151,-0.7356362869985755,-1.1356362869985754,5.0
external,LONDON_TO_NEWYORK,2021-08-20,47647.0,46766.8,SHORT,2021-08-20 13:35:00+00:00,2021-08-20 13:40:00+00:00,47591.26,47647.0,47698.26,47698.26,47377.26,0.0022483119799727933,SL,2021-08-20 13:45:00+00:00,47698.26,-0.0022483119799727724,-1.1241559899863862,-1.5241559899863861,5.0
external,ASIA_TO_LONDON,2021-08-23,50476.0,49100.0,SHORT,2021-08-23 10:15:00+00:00,2021-08-23 10:20:00+00:00,50343.0,50476.0,50600.0,50600.0,49829.0,0.005104979838309199,TIME_EXIT_SESSION_END,2021-08-23 13:30:00+00:00,50226.84,0.002307371431976679,1.1536857159883396,0.7536857159883396,190.0
external,ASIA_TO_LONDON,2021-08-24,49882.81,48801.01,SHORT,2021-08-24 10:15:00+00:00,2021-08-24 10:20:00+00:00,49722.94,49882.81,49888.88,49888.88,49391.06000000001,0.0033372926057870884,TP_2R,2021-08-24 10:30:00+00:00,49391.06000000001,0.006674585211574158,3.337292605787079,2.937292605787079,10.0
external,ASIA_TO_LONDON,2021-08-25,48636.74,47700.0,LONG,2021-08-25 12:15:00+00:00,2021-08-25 12:20:00+00:00,47742.83,47700.0,47631.85,47631.85,47964.79000000001,0.002324537527415178,SL,2021-08-25 12:30:00+00:00,47631.85,-0.002324537527415127,-1.1622687637075635,-1.5622687637075634,10.0
external,ASIA_TO_LONDON,2021-08-26,49380.0,46600.0,LONG,2021-08-26 12:00:00+00:00,2021-08-26 12:05:00+00:00,46616.0,46600.0,46500.0,46500.0,46848.0,0.0024884159945083232,SL,2021-08-26 12:05:00+00:00,46500.0,-0.0024884159945083306,-1.2442079972541653,-1.6442079972541652,0.0
external,ASIA_TO_LONDON,2021-08-27,47688.88,46359.97,SHORT,2021-08-27 11:45:00+00:00,2021-08-27 11:50:00+00:00,47572.15,47688.88,47757.99,47757.99,47200.47000000001,0.003906487304021292,TP_2R,2021-08-27 13:05:00+00:00,47200.47000000001,0.007812974608042533,3.9064873040212666,3.5064873040212667,75.0
external,LONDON_TO_NEWYORK,2021-08-27,47795.13,47003.0,SHORT,2021-08-27 14:10:00+00:00,2021-08-27 14:15:00+00:00,47707.26,47795.13,47887.98,47887.98,47345.82,0.00378810269128852,SL,2021-08-27 14:20:00+00:00,47887.98,-0.0037881026912884863,-1.8940513456442432,-2.294051345644243,5.0
external,ASIA_TO_LONDON,2021-08-30,48916.25,47597.29,LONG,2021-08-30 12:20:00+00:00,2021-08-30 12:25:00+00:00,47609.98,47597.29,47560.0,47560.0,47709.94000000001,0.0010497798990884515,SL,2021-08-30 12:35:00+00:00,47560.0,-0.0010497798990884988,-0.5248899495442494,-0.9248899495442494,10.0
external,LONDON_TO_NEWYORK,2021-08-30,48248.0,47400.0,SHORT,2021-08-30 18:15:00+00:00,2021-08-30 18:20:00+00:00,48231.98,48248.0,48333.0,48333.0,48029.94000000001,0.0020944609779651757,SL,2021-08-30 18:30:00+00:00,48333.0,-0.0020944609779651735,-1.0472304889825867,-1.4472304889825867,10.0
external,ASIA_TO_LONDON,2021-08-31,47920.83,46731.03,SHORT,2021-08-31 08:30:00+00:00,2021-08-31 08:35:00+00:00,47911.58,47920.83,48011.99,48011.99,47710.76000000001,0.0020957355194714143,TP_2R,2021-08-31 08:45:00+00:00,47710.76000000001,0.004191471038942796,2.095735519471398,1.695735519471398,10.0
external,LONDON_TO_NEWYORK,2021-08-31,48188.0,47165.3,SHORT,2021-08-31 14:00:00+00:00,2021-08-31 14:05:00+00:00,48095.29,48188.0,48298.0,48298.0,47689.87,0.0042147578276375735,TP_2R,2021-08-31 14:15:00+00:00,47689.87,0.008429515655275166,4.214757827637583,3.814757827637583,10.0
external,ASIA_TO_LONDON,2021-09-01,47506.77,46550.99,SHORT,2021-09-01 09:10:00+00:00,2021-09-01 09:15:00+00:00,47471.73,47506.77,47617.2,47617.2,47180.790000000015,0.0030643500879364177,SL,2021-09-01 09:20:00+00:00,47617.2,-0.003064350087936374,-1.532175043968187,-1.9321750439681868,5.0
external,LONDON_TO_NEWYORK,2021-09-02,50258.08,49750.0,SHORT,2021-09-02 14:15:00+00:00,2021-09-02 14:20:00+00:00,50132.37,50258.08,50283.02,50283.02,49831.070000000014,0.0030050444453353026,TP_2R,2021-09-02 14:35:00+00:00,49831.070000000014,0.006010088890670562,3.005044445335281,2.605044445335281,15.0
external,ASIA_TO_LONDON,2021-09-03,49779.0,48333.0,SHORT,2021-09-03 11:00:00+00:00,2021-09-03 11:05:00+00:00,49697.69,49779.0,49988.0,49988.0,49117.07000000001,0.005841518992130171,SL,2021-09-03 11:35:00+00:00,49988.0,-0.005841518992130146,-2.920759496065073,-3.320759496065073,30.0
external,LONDON_TO_NEWYORK,2021-09-03,51000.0,49306.44,SHORT,2021-09-03 14:35:00+00:00,2021-09-03 14:40:00+00:00,50556.7,51000.0,51018.95,51018.95,49632.2,0.009143199615481233,TIME_EXIT_SESSION_END,2021-09-03 20:00:00+00:00,50575.7,-0.00037581566834865576,-0.18790783417432788,-0.5879078341743279,320.0
external,ASIA_TO_LONDON,2021-09-06,52035.65,51450.0,SHORT,2021-09-06 11:15:00+00:00,2021-09-06 11:20:00+00:00,51793.68,52035.65,52244.0,52244.0,50893.04,0.008694497089220146,TIME_EXIT_SESSION_END,2021-09-06 13:30:00+00:00,51272.54,0.010061845383452228,5.030922691726114,4.630922691726114,130.0
external,ASIA_TO_LONDON,2021-09-07,52950.0,52112.31,LONG,2021-09-07 08:15:00+00:00,2021-09-07 08:20:00+00:00,52227.51,52112.31,52027.7,52027.7,52627.13000000001,0.0038257615574628185,SL,2021-09-07 08:20:00+00:00,52027.7,-0.0038257615574628367,-1.9128807787314184,-2.3128807787314183,0.0
external,LONDON_TO_NEWYORK,2021-09-07,52397.46,50500.0,LONG,2021-09-07 14:00:00+00:00,2021-09-07 14:05:00+00:00,50813.91,50500.0,50403.13,50403.13,51635.470000000016,0.008084006918578123,SL,2021-09-07 14:15:00+00:00,50403.13,-0.008084006918578135,-4.0420034592890675,-4.442003459289068,10.0
external,ASIA_TO_LONDON,2021-09-08,47347.0,45030.0,LONG,2021-09-08 08:25:00+00:00,2021-09-08 08:30:00+00:00,45075.23,45030.0,44511.2,44511.2,46203.290000000015,0.012513080909404258,TP_2R,2021-09-08 09:20:00+00:00,46203.290000000015,0.025026161818808568,12.513080909404284,12.113080909404284,50.0
external,LONDON_TO_NEWYORK,2021-09-08,46800.0,44431.0,SHORT,2021-09-08 13:30:00+00:00,2021-09-08 13:35:00+00:00,46427.58,46800.0,46834.31,46834.31,45614.12000000001,0.00876052553245282,TIME_EXIT_SESSION_END,2021-09-08 20:00:00+00:00,46454.12,-0.0005716429760069808,-0.2858214880034904,-0.6858214880034904,385.0
external,ASIA_TO_LONDON,2021-09-09,46386.25,45500.0,SHORT,2021-09-09 08:15:00+00:00,2021-09-09 08:20:00+00:00,46375.68,46386.25,46500.0,46500.0,46127.04,0.0026807154094559845,SL,2021-09-09 08:25:00+00:00,46500.0,-0.002680715409455914,-1.340357704727957,-1.7403577047279568,5.0
external,LONDON_TO_NEWYORK,2021-09-09,47243.35,45623.27,SHORT,2021-09-09 16:55:00+00:00,2021-09-09 17:00:00+00:00,47194.33,47243.35,47400.0,47400.0,46782.990000000005,0.004357938760863821,TP_2R,2021-09-09 17:50:00+00:00,46782.990000000005,0.008715877521727644,4.3579387608638225,3.9579387608638226,50.0
external,ASIA_TO_LONDON,2021-09-10,47037.5,45893.6,LONG,2021-09-10 08:35:00+00:00,2021-09-10 08:40:00+00:00,45907.56,45893.6,45814.74,45814.74,46093.2,0.0020218892051766576,SL,2021-09-10 08:40:00+00:00,45814.74,-0.0020218892051766524,-1.0109446025883262,-1.410944602588326,0.0
external,LONDON_TO_NEWYORK,2021-09-10,46538.5,45622.0,LONG,2021-09-10 14:05:00+00:00,2021-09-10 14:10:00+00:00,45797.72,45622.0,45270.0,45270.0,46853.16,0.011522844368671653,SL,2021-09-10 14:25:00+00:00,45270.0,-0.01152284436867168,-5.76142218433584,-6.161422184335841,15.0
external,ASIA_TO_LONDON,2021-09-13,46319.82,44200.0,LONG,2021-09-13 08:15:00+00:00,2021-09-13 08:20:00+00:00,44286.41,44200.0,44183.0,44183.0,44493.23000000001,0.00233502783359508,TP_2R,2021-09-13 08:25:00+00:00,44493.23000000001,0.004670055667190143,2.3350278335950714,1.9350278335950715,5.0
external,LONDON_TO_NEWYORK,2021-09-13,45037.33,44180.0,LONG,2021-09-13 14:00:00+00:00,2021-09-13 14:05:00+00:00,44670.99,44180.0,44000.0,44000.0,46012.969999999994,0.015020710308860359,SL,2021-09-13 14:15:00+00:00,44000.0,-0.015020710308860319,-7.51035515443016,-7.91035515443016,10.0
external,ASIA_TO_LONDON,2021-09-14,45915.59,44692.9,SHORT,2021-09-14 08:30:00+00:00,2021-09-14 08:35:00+00:00,45886.26,45915.59,45948.0,45948.0,45762.780000000006,0.0013455008100463615,SL,2021-09-14 08:35:00+00:00,45948.0,-0.0013455008100462518,-0.6727504050231259,-1.0727504050231258,0.0
external,LONDON_TO_NEWYORK,2021-09-14,46694.06,45687.88,SHORT,2021-09-14 13:30:00+00:00,2021-09-14 13:35:00+00:00,46685.87,46694.06,46768.6,46768.6,46520.41000000001,0.001772056513030515,TP_2R,2021-09-14 13:50:00+00:00,46520.41000000001,0.0035441130260610576,1.7720565130305288,1.372056513030529,15.0
external,ASIA_TO_LONDON,2021-09-15,47478.76,46675.0,SHORT,2021-09-15 10:30:00+00:00,2021-09-15 10:35:00+00:00,47450.92,47478.76,47717.65,47717.65,46917.45999999999,0.005621176575712403,TIME_EXIT_SESSION_END,2021-09-15 13:30:00+00:00,47640.0,-0.003984748873151478,-1.992374436575739,-2.392374436575739,175.0
external,LONDON_TO_NEWYORK,2021-09-15,47717.65,47010.78,SHORT,2021-09-15 13:40:00+00:00,2021-09-15 13:45:00+00:00,47688.45,47717.65,47788.05,47788.05,47489.249999999985,0.002088556034008357,SL,2021-09-15 13:45:00+00:00,47788.05,-0.00208855603400826,-1.04427801700413,-1.4442780170041298,0.0
external,LONDON_TO_NEWYORK,2021-09-16,48327.46,47630.0,LONG,2021-09-16 14:40:00+00:00,2021-09-16 14:45:00+00:00,47652.91,47630.0,47572.06,47572.06,47814.610000000015,0.0016966434998409502,SL,2021-09-16 14:55:00+00:00,47572.06,-0.0016966434998409996,-0.8483217499204998,-1.2483217499204997,10.0
external,ASIA_TO_LONDON,2021-09-17,48150.0,47455.59,LONG,2021-09-17 10:35:00+00:00,2021-09-17 10:40:00+00:00,47462.73,47455.59,47450.0,47450.0,47488.19000000001,0.0002682104463861055,SL_SAME_5M_CONSERVATIVE,2021-09-17 10:40:00+00:00,47450.0,-0.0002682104463861412,-0.1341052231930706,-0.5341052231930706,0.0
external,LONDON_TO_NEWYORK,2021-09-17,47988.0,47123.96,LONG,2021-09-17 18:05:00+00:00,2021-09-17 18:10:00+00:00,47166.35,47123.96,47090.22,47090.22,47318.60999999999,0.0016140744407824091,SL,2021-09-17 18:10:00+00:00,47090.22,-0.0016140744407824315,-0.8070372203912157,-1.2070372203912156,0.0
external,ASIA_TO_LONDON,2021-09-20,47345.0,44377.55,LONG,2021-09-20 10:45:00+00:00,2021-09-20 10:50:00+00:00,44757.69,44377.55,44234.29,44234.29,45804.490000000005,0.011694079832985156,SL,2021-09-20 11:05:00+00:00,44234.29,-0.011694079832985205,-5.847039916492602,-6.247039916492603,15.0
external,ASIA_TO_LONDON,2021-09-21,43330.0,40129.23,SHORT,2021-09-21 08:50:00+00:00,2021-09-21 08:55:00+00:00,43291.02,43330.0,43344.21,43344.21,43184.63999999999,0.0012286612789442783,SL_SAME_5M_CONSERVATIVE,2021-09-21 09:00:00+00:00,43344.21,-0.0012286612789442763,-0.6143306394721382,-1.014330639472138,5.0
external,LONDON_TO_NEWYORK,2021-09-21,43629.6,42822.01,LONG,2021-09-21 15:30:00+00:00,2021-09-21 15:35:00+00:00,43020.0,42822.01,42578.32,42578.32,43903.36,0.01026685262668527,SL,2021-09-21 16:40:00+00:00,42578.32,-0.010266852626685252,-5.133426313342627,-5.533426313342627,65.0
external,LONDON_TO_NEWYORK,2021-09-27,44100.0,43206.2,LONG,2021-09-27 14:40:00+00:00,2021-09-27 14:45:00+00:00,43364.3,43206.2,43120.01,43120.01,43852.880000000005,0.005633435798571656,SL,2021-09-27 14:55:00+00:00,43120.01,-0.005633435798571673,-2.8167178992858366,-3.2167178992858365,10.0
external,ASIA_TO_LONDON,2021-09-28,42749.0,41629.01,LONG,2021-09-28 08:10:00+00:00,2021-09-28 08:15:00+00:00,41900.0,41629.01,41506.79,41506.79,42686.42,0.009384486873508333,TIME_EXIT_SESSION_END,2021-09-28 13:30:00+00:00,42365.65,0.011113365155131394,5.556682577565697,5.156682577565697,315.0
external,LONDON_TO_NEWYORK,2021-09-28,42566.85,41505.01,LONG,2021-09-28 14:10:00+00:00,2021-09-28 14:15:00+00:00,41536.0,41505.01,41376.2,41376.2,41855.600000000006,0.003847265023112551,SL,2021-09-28 14:15:00+00:00,41376.2,-0.0038472650231125005,-1.9236325115562503,-2.32363251155625,0.0
external,ASIA_TO_LONDON,2021-09-29,42493.72,40708.73,SHORT,2021-09-29 12:15:00+00:00,2021-09-29 12:20:00+00:00,42487.28,42493.72,42576.8,42576.8,42308.23999999999,0.002106983548958749,TP_2R,2021-09-29 12:20:00+00:00,42308.23999999999,0.004213967097917548,2.106983548958774,1.7069835489587741,0.0
external,LONDON_TO_NEWYORK,2021-09-30,43778.88,42710.4,SHORT,2021-09-30 19:40:00+00:00,2021-09-30 19:45:00+00:00,43674.25,43778.88,43845.79,43845.79,43331.17,0.003927714843414618,TIME_EXIT_SESSION_END,2021-09-30 20:00:00+00:00,43515.27,0.0036401311985896356,1.8200655992948178,1.420065599294818,15.0
external,ASIA_TO_LONDON,2021-10-01,44793.97,43260.01,SHORT,2021-10-01 08:00:00+00:00,2021-10-01 08:05:00+00:00,44762.36,44793.97,44850.0,44850.0,44587.08,0.001957894981408474,SL,2021-10-01 08:05:00+00:00,44850.0,-0.0019578949814085256,-0.9789474907042628,-1.3789474907042627,0.0
external,LONDON_TO_NEWYORK,2021-10-01,47925.41,44679.84,SHORT,2021-10-01 19:05:00+00:00,2021-10-01 19:10:00+00:00,47818.27,47925.41,48234.29,48234.29,46986.22999999999,0.008700021979047007,TIME_EXIT_SESSION_END,2021-10-01 20:00:00+00:00,48009.51,-0.0039993082142035785,-1.9996541071017893,-2.399654107101789,50.0
external,LONDON_TO_NEWYORK,2021-10-04,47941.5,47349.34,SHORT,2021-10-04 13:40:00+00:00,2021-10-04 13:45:00+00:00,47878.24,47941.5,47974.41,47974.41,47685.89999999999,0.002008636908959175,SL,2021-10-04 13:55:00+00:00,47974.41,-0.0020086369089591383,-1.0043184544795691,-1.404318454479569,10.0
external,ASIA_TO_LONDON,2021-10-05,49888.0,49009.21,SHORT,2021-10-05 08:45:00+00:00,2021-10-05 08:50:00+00:00,49774.8,49888.0,49912.0,49912.0,49500.40000000001,0.002756414892676557,SL,2021-10-05 08:55:00+00:00,49912.0,-0.0027564148926766396,-1.3782074463383198,-1.7782074463383197,5.0
external,ASIA_TO_LONDON,2021-10-06,51839.99,50905.0,LONG,2021-10-06 08:25:00+00:00,2021-10-06 08:30:00+00:00,50976.67,50905.0,50832.1,50832.1,51265.81,0.002836003214803943,SL,2021-10-06 08:30:00+00:00,50832.1,-0.0028360032148039283,-1.4180016074019641,-1.818001607401964,0.0
external,ASIA_TO_LONDON,2021-10-07,55337.8,54145.42,LONG,2021-10-07 09:20:00+00:00,2021-10-07 09:25:00+00:00,54212.01,54145.42,54040.0,54040.0,54556.030000000006,0.0031729131607553755,SL,2021-10-07 09:30:00+00:00,54040.0,-0.0031729131607554084,-1.5864565803777042,-1.9864565803777041,5.0
external,LONDON_TO_NEWYORK,2021-10-07,54826.87,53666.0,LONG,2021-10-07 14:35:00+00:00,2021-10-07 14:40:00+00:00,53754.3,53666.0,53374.34,53374.34,54514.220000000016,0.0070684577791917365,TIME_EXIT_SESSION_END,2021-10-07 20:00:00+00:00,54019.5,0.004933558803667637,2.4667794018338185,2.0667794018338186,320.0
external,ASIA_TO_LONDON,2021-10-08,55046.88,53647.3,SHORT,2021-10-08 08:05:00+00:00,2021-10-08 08:10:00+00:00,54980.9,55046.88,55134.63,55134.63,54673.44000000001,0.0027960619051342543,SL,2021-10-08 08:10:00+00:00,55134.63,-0.0027960619051341506,-1.3980309525670753,-1.7980309525670752,0.0
external,LONDON_TO_NEWYORK,2021-10-08,56208.73,54525.0,LONG,2021-10-08 14:30:00+00:00,2021-10-08 14:35:00+00:00,54529.17,54525.0,54380.0,54380.0,54827.509999999995,0.0027356000467272518,SL,2021-10-08 15:30:00+00:00,54380.0,-0.002735600046727238,-1.367800023363619,-1.7678000233636189,55.0
external,LONDON_TO_NEWYORK,2021-10-11,56996.48,55910.0,SHORT,2021-10-11 13:30:00+00:00,2021-10-11 13:35:00+00:00,56890.0,56996.48,57054.58,57054.58,56560.84,0.002892951309544766,SL,2021-10-11 13:35:00+00:00,57054.58,-0.002892951309544811,-1.4464756547724056,-1.8464756547724055,0.0
external,LONDON_TO_NEWYORK,2021-10-12,57630.0,56707.43,LONG,2021-10-12 14:45:00+00:00,2021-10-12 14:50:00+00:00,56806.19,56707.43,56569.0,56569.0,57280.57000000001,0.004175425248551299,SL,2021-10-12 14:55:00+00:00,56569.0,-0.004175425248551301,-2.0877126242756505,-2.4877126242756504,5.0
external,ASIA_TO_LONDON,2021-10-13,56624.1,54569.16,LONG,2021-10-13 08:05:00+00:00,2021-10-13 08:10:00+00:00,54874.95,54569.16,54466.66,54466.66,55691.529999999984,0.00744037124407391,SL,2021-10-13 09:05:00+00:00,54466.66,-0.007440371244073929,-3.7201856220369645,-4.120185622036964,55.0
external,LONDON_TO_NEWYORK,2021-10-14,58199.2,57224.7,LONG,2021-10-14 15:00:00+00:00,2021-10-14 15:05:00+00:00,57265.74,57224.7,56980.31,56980.31,57836.6,0.0049843064980911855,TP_2R,2021-10-14 15:25:00+00:00,57836.6,0.009968612996182458,4.984306498091229,4.5843064980912285,20.0
external,LONDON_TO_NEWYORK,2021-10-15,59950.0,58802.41,SHORT,2021-10-15 13:35:00+00:00,2021-10-15 13:40:00+00:00,59767.58,59950.0,59988.0,59988.0,59326.740000000005,0.0036879525655882043,SL,2021-10-15 13:50:00+00:00,59988.0,-0.0036879525655881817,-1.8439762827940909,-2.243976282794091,10.0
external,ASIA_TO_LONDON,2021-10-18,62800.0,61442.01,LONG,2021-10-18 10:50:00+00:00,2021-10-18 10:55:00+00:00,61483.19,61442.01,61182.5,61182.5,62084.57000000001,0.004890605058065502,SL,2021-10-18 11:00:00+00:00,61182.5,-0.004890605058065489,-2.4453025290327446,-2.8453025290327445,5.0
external,LONDON_TO_NEWYORK,2021-10-19,62784.0,61800.0,SHORT,2021-10-19 13:40:00+00:00,2021-10-19 13:45:00+00:00,62725.14,62784.0,62996.36,62996.36,62182.7,0.004323944115549223,SL,2021-10-19 13:50:00+00:00,62996.36,-0.00432394411554915,-2.161972057774575,-2.561972057774575,5.0
external,ASIA_TO_LONDON,2021-10-20,64400.0,63518.81,SHORT,2021-10-20 12:40:00+00:00,2021-10-20 12:45:00+00:00,64327.98,64400.0,64700.0,64700.0,63583.94000000001,0.005783175532637536,TIME_EXIT_SESSION_END,2021-10-20 13:30:00+00:00,64489.95,-0.0025178779125349937,-1.2589389562674969,-1.6589389562674968,45.0
external,ASIA_TO_LONDON,2021-10-21,66109.3,64200.0,SHORT,2021-10-21 08:40:00+00:00,2021-10-21 08:45:00+00:00,66044.9,66109.3,66150.0,66150.0,65834.69999999998,0.0015913416478790313,TP_2R,2021-10-21 08:55:00+00:00,65834.69999999998,0.003182683295758104,1.591341647879052,1.1913416478790522,10.0
external,ASIA_TO_LONDON,2021-10-22,63481.02,62181.91,SHORT,2021-10-22 08:25:00+00:00,2021-10-22 08:30:00+00:00,63424.27,63481.02,63542.0,63542.0,63188.80999999999,0.0018562294843914359,SL,2021-10-22 08:40:00+00:00,63542.0,-0.0018562294843913474,-0.9281147421956737,-1.3281147421956736,10.0
external,ASIA_TO_LONDON,2021-10-25,62952.88,60701.0,SHORT,2021-10-25 08:15:00+00:00,2021-10-25 08:20:00+00:00,62846.12,62952.88,63009.92,63009.92,62518.52000000001,0.0026063661527552635,SL,2021-10-25 11:20:00+00:00,63009.92,-0.002606366152755335,-1.3031830763776675,-1.7031830763776674,180.0
external,LONDON_TO_NEWYORK,2021-10-25,63293.61,62551.01,SHORT,2021-10-25 13:30:00+00:00,2021-10-25 13:35:00+00:00,63249.99,63293.61,63423.01,63423.01,62903.94999999999,0.0027354945036355592,TP_2R,2021-10-25 13:40:00+00:00,62903.94999999999,0.005470989007271165,2.7354945036355827,2.3354945036355828,5.0
external,LONDON_TO_NEWYORK,2021-10-26,63194.0,62350.0,LONG,2021-10-26 13:35:00+00:00,2021-10-26 13:40:00+00:00,62389.17,62350.0,62134.33,62134.33,62898.84999999999,0.004084683287179433,SL,2021-10-26 14:00:00+00:00,62134.33,-0.00408468328717948,-2.04234164358974,-2.44234164358974,20.0
external,LONDON_TO_NEWYORK,2021-10-28,61544.9,59026.8,SHORT,2021-10-28 13:40:00+00:00,2021-10-28 13:45:00+00:00,61442.69,61544.9,61598.66,61598.66,61130.75,0.002538463078358079,SL,2021-10-28 13:55:00+00:00,61598.66,-0.002538463078358033,-1.2692315391790165,-1.6692315391790165,10.0
