target_fraction,scope,name,source_n,fills_n,fill_rate,rebreak_n,rebreak_rate_fill,target_n,target_rate_fill,target_yield_source,high_failure_n,high_failure_rate_fill,unresolved_n,unresolved_rate_fill,median_reclaim_fill_min,median_fill_rebreak_min,median_fill_target_min
0.075,CLOCK_EXTERNAL,08-12,40,40,1.0,31,0.775,29,0.725,0.725,7,0.175,4,0.1,0.0,10.0,25.0
0.075,CLOCK_EXTERNAL,12-16,32,31,0.96875,25,0.8064516129032258,24,0.7741935483870968,0.75,3,0.0967741935483871,4,0.12903225806451613,0.0,25.0,32.5
0.075,CLOCK_EXTERNAL,16-20,31,25,0.8064516129032258,18,0.72,17,0.68,0.5483870967741935,6,0.24,2,0.08,0.0,25.0,40.0
0.075,CLOCK_EXTERNAL,20-00,27,22,0.8148148148148148,16,0.7272727272727273,15,0.6818181818181818,0.5555555555555556,4,0.18181818181818182,3,0.13636363636363635,0.0,12.5,25.0
0.075,CLOCK_DEVELOPMENT,00-04,47,42,0.8936170212765957,31,0.7380952380952381,28,0.6666666666666666,0.5957446808510638,7,0.16666666666666666,7,0.16666666666666666,0.0,15.0,30.0
0.075,CLOCK_DEVELOPMENT,04-08,43,38,0.8837209302325582,32,0.8421052631578947,32,0.8421052631578947,0.7441860465116279,1,0.02631578947368421,5,0.13157894736842105,0.0,45.0,50.0
0.075,CLOCK_DEVELOPMENT,08-12,58,50,0.8620689655172413,40,0.8,40,0.8,0.6896551724137931,8,0.16,2,0.04,0.0,15.0,20.0
0.075,CLOCK_DEVELOPMENT,12-16,82,76,0.926829268292683,58,0.7631578947368421,57,0.75,0.6951219512195121,18,0.23684210526315788,1,0.013157894736842105,0.0,25.0,30.0
0.075,CLOCK_DEVELOPMENT,16-20,60,54,0.9,47,0.8703703703703703,43,0.7962962962962963,0.7166666666666667,2,0.037037037037037035,9,0.16666666666666666,0.0,40.0,45.0
0.075,CLOCK_DEVELOPMENT,20-00,43,37,0.8604651162790697,30,0.8108108108108109,28,0.7567567567567568,0.6511627906976745,2,0.05405405405405406,7,0.1891891891891892,0.0,17.5,57.5
0.075,CLOCK_REFERENCE_VALIDATION,00-04,36,32,0.8888888888888888,23,0.71875,23,0.71875,0.6388888888888888,4,0.125,5,0.15625,0.0,20.0,25.0
0.075,CLOCK_REFERENCE_VALIDATION,04-08,26,20,0.7692307692307693,18,0.9,17,0.85,0.6538461538461539,2,0.1,1,0.05,0.0,10.0,25.0
0.075,CLOCK_REFERENCE_VALIDATION,08-12,29,24,0.8275862068965517,21,0.875,21,0.875,0.7241379310344828,2,0.08333333333333333,1,0.041666666666666664,0.0,30.0,55.0
0.075,CLOCK_REFERENCE_VALIDATION,12-16,43,41,0.9534883720930233,33,0.8048780487804879,32,0.7804878048780488,0.7441860465116279,7,0.17073170731707318,2,0.04878048780487805,0.0,20.0,25.0
0.075,CLOCK_REFERENCE_VALIDATION,16-20,31,27,0.8709677419354839,19,0.7037037037037037,18,0.6666666666666666,0.5806451612903226,0,0.0,9,0.3333333333333333,0.0,15.0,32.5
0.075,CLOCK_REFERENCE_VALIDATION,20-00,29,29,1.0,23,0.7931034482758621,23,0.7931034482758621,0.7931034482758621,4,0.13793103448275862,2,0.06896551724137931,0.0,35.0,65.0
0.075,CLOCK_MAJOR,00-04,112,101,0.9017857142857143,77,0.7623762376237624,74,0.7326732673267327,0.6607142857142857,13,0.12871287128712872,14,0.13861386138613863,0.0,20.0,25.0
0.075,CLOCK_MAJOR,04-08,112,96,0.8571428571428571,83,0.8645833333333334,82,0.8541666666666666,0.7321428571428571,5,0.052083333333333336,9,0.09375,0.0,20.0,40.0
0.075,CLOCK_MAJOR,08-12,127,114,0.8976377952755905,92,0.8070175438596491,90,0.7894736842105263,0.7086614173228346,17,0.14912280701754385,7,0.06140350877192982,0.0,15.0,25.0
0.075,CLOCK_MAJOR,12-16,157,148,0.9426751592356688,116,0.7837837837837838,113,0.7635135135135135,0.7197452229299363,28,0.1891891891891892,7,0.0472972972972973,0.0,22.5,30.0
0.075,CLOCK_MAJOR,16-20,122,106,0.8688524590163934,84,0.7924528301886793,78,0.7358490566037735,0.639344262295082,8,0.07547169811320754,20,0.18867924528301888,0.0,32.5,40.0
0.075,CLOCK_MAJOR,20-00,99,88,0.8888888888888888,69,0.7840909090909091,66,0.75,0.6666666666666666,10,0.11363636363636363,12,0.13636363636363635,0.0,20.0,37.5
0.1,PARTITION,external,202,183,0.905940594059406,146,0.7978142076502732,139,0.7595628415300546,0.6881188118811881,25,0.1366120218579235,19,0.10382513661202186,0.0,15.0,30.0
0.1,PARTITION,development,333,297,0.8918918918918919,238,0.8013468013468014,222,0.7474747474747475,0.6666666666666666,38,0.12794612794612795,37,0.12457912457912458,0.0,25.0,40.0
0.1,PARTITION,reference_validation,194,173,0.8917525773195877,137,0.791907514450867,132,0.7630057803468208,0.6804123711340206,19,0.10982658959537572,22,0.12716763005780346,0.0,20.0,32.5
0.1,POOL,POOLED_MAJOR,729,653,0.8957475994513031,521,0.7978560490045942,493,0.7549770290964778,0.6762688614540466,82,0.12557427258805512,78,0.11944869831546708,0.0,20.0,35.0
0.1,CLOCK_EXTERNAL,00-04,29,27,0.9310344827586207,23,0.8518518518518519,23,0.8518518518518519,0.7931034482758621,2,0.07407407407407407,2,0.07407407407407407,0.0,20.0,30.0
0.1,CLOCK_EXTERNAL,04-08,43,38,0.8837209302325582,33,0.868421052631579,33,0.868421052631579,0.7674418604651163,2,0.05263157894736842,3,0.07894736842105263,0.0,15.0,35.0
0.1,CLOCK_EXTERNAL,08-12,40,40,1.0,31,0.775,29,0.725,0.725,7,0.175,4,0.1,0.0,10.0,25.0
0.1,CLOCK_EXTERNAL,12-16,32,31,0.96875,25,0.8064516129032258,23,0.7419354838709677,0.71875,4,0.12903225806451613,4,0.12903225806451613,0.0,25.0,30.0
0.1,CLOCK_EXTERNAL,16-20,31,25,0.8064516129032258,18,0.72,16,0.64,0.5161290322580645,6,0.24,3,0.12,0.0,25.0,47.5
0.1,CLOCK_EXTERNAL,20-00,27,22,0.8148148148148148,16,0.7272727272727273,15,0.6818181818181818,0.5555555555555556,4,0.18181818181818182,3,0.13636363636363635,0.0,12.5,25.0
0.1,CLOCK_DEVELOPMENT,00-04,47,42,0.8936170212765957,31,0.7380952380952381,27,0.6428571428571429,0.574468085106383,7,0.16666666666666666,8,0.19047619047619047,0.0,15.0,30.0
0.1,CLOCK_DEVELOPMENT,04-08,43,38,0.8837209302325582,32,0.8421052631578947,32,0.8421052631578947,0.7441860465116279,1,0.02631578947368421,5,0.13157894736842105,0.0,45.0,50.0
0.1,CLOCK_DEVELOPMENT,08-12,58,50,0.8620689655172413,40,0.8,39,0.78,0.6724137931034483,8,0.16,3,0.06,0.0,15.0,25.0
0.1,CLOCK_DEVELOPMENT,12-16,82,76,0.926829268292683,58,0.7631578947368421,55,0.7236842105263158,0.6707317073170732,18,0.23684210526315788,3,0.039473684210526314,0.0,25.0,35.0
0.1,CLOCK_DEVELOPMENT,16-20,60,54,0.9,47,0.8703703703703703,42,0.7777777777777778,0.7,2,0.037037037037037035,10,0.18518518518518517,0.0,40.0,47.5
0.1,CLOCK_DEVELOPMENT,20-00,43,37,0.8604651162790697,30,0.8108108108108109,27,0.7297297297297297,0.627906976744186,2,0.05405405405405406,8,0.21621621621621623,0.0,17.5,60.0
0.1,CLOCK_REFERENCE_VALIDATION,00-04,36,32,0.8888888888888888,23,0.71875,23,0.71875,0.6388888888888888,4,0.125,5,0.15625,0.0,20.0,25.0
0.1,CLOCK_REFERENCE_VALIDATION,04-08,26,20,0.7692307692307693,18,0.9,17,0.85,0.6538461538461539,2,0.1,1,0.05,0.0,10.0,25.0
0.1,CLOCK_REFERENCE_VALIDATION,08-12,29,24,0.8275862068965517,21,0.875,21,0.875,0.7241379310344828,2,0.08333333333333333,1,0.041666666666666664,0.0,30.0,60.0
0.1,CLOCK_REFERENCE_VALIDATION,12-16,43,41,0.9534883720930233,33,0.8048780487804879,32,0.7804878048780488,0.7441860465116279,7,0.17073170731707318,2,0.04878048780487805,0.0,20.0,25.0
0.1,CLOCK_REFERENCE_VALIDATION,16-20,31,27,0.8709677419354839,19,0.7037037037037037,16,0.5925925925925926,0.5161290322580645,0,0.0,11,0.4074074074074074,0.0,15.0,32.5
0.1,CLOCK_REFERENCE_VALIDATION,20-00,29,29,1.0,23,0.7931034482758621,23,0.7931034482758621,0.7931034482758621,4,0.13793103448275862,2,0.06896551724137931,0.0,35.0,70.0
0.1,CLOCK_MAJOR,00-04,112,101,0.9017857142857143,77,0.7623762376237624,73,0.7227722772277227,0.6517857142857143,13,0.12871287128712872,15,0.1485148514851485,0.0,20.0,25.0
0.1,CLOCK_MAJOR,04-08,112,96,0.8571428571428571,83,0.8645833333333334,82,0.8541666666666666,0.7321428571428571,5,0.052083333333333336,9,0.09375,0.0,20.0,40.0
0.1,CLOCK_MAJOR,08-12,127,114,0.8976377952755905,92,0.8070175438596491,89,0.7807017543859649,0.7007874015748031,17,0.14912280701754385,8,0.07017543859649122,0.0,15.0,30.0
0.1,CLOCK_MAJOR,12-16,157,148,0.9426751592356688,116,0.7837837837837838,110,0.7432432432432432,0.7006369426751592,29,0.19594594594594594,9,0.060810810810810814,0.0,22.5,30.0
0.1,CLOCK_MAJOR,16-20,122,106,0.8688524590163934,84,0.7924528301886793,74,0.6981132075471698,0.6065573770491803,8,0.07547169811320754,24,0.22641509433962265,0.0,32.5,45.0
0.1,CLOCK_MAJOR,20-00,99,88,0.8888888888888888,69,0.7840909090909091,65,0.7386363636363636,0.6565656565656566,10,0.11363636363636363,13,0.14772727272727273,0.0,20.0,45.0
0.15,PARTITION,external,202,183,0.905940594059406,146,0.7978142076502732,134,0.73224043715847,0.6633663366336634,28,0.15300546448087432,21,0.11475409836065574,0.0,15.0,32.5
0.15,PARTITION,development,333,297,0.8918918918918919,238,0.8013468013468014,207,0.696969696969697,0.6216216216216216,44,0.14814814814814814,46,0.15488215488215487,0.0,25.0,45.0
0.15,PARTITION,reference_validation,194,173,0.8917525773195877,137,0.791907514450867,121,0.6994219653179191,0.6237113402061856,21,0.12138728323699421,31,0.1791907514450867,0.0,20.0,45.0
0.15,POOL,POOLED_MAJOR,729,653,0.8957475994513031,521,0.7978560490045942,462,0.7075038284839203,0.6337448559670782,93,0.14241960183767227,98,0.15007656967840735,0.0,20.0,40.0
0.15,CLOCK_EXTERNAL,00-04,29,27,0.9310344827586207,23,0.8518518518518519,22,0.8148148148148148,0.7586206896551724,3,0.1111111111111111,2,0.07407407407407407,0.0,20.0,32.5
0.15,CLOCK_EXTERNAL,04-08,43,38,0.8837209302325582,33,0.868421052631579,32,0.8421052631578947,0.7441860465116279,3,0.07894736842105263,3,0.07894736842105263,0.0,15.0,40.0
0.15,CLOCK_EXTERNAL,08-12,40,40,1.0,31,0.775,29,0.725,0.725,7,0.175,4,0.1,0.0,10.0,30.0
0.15,CLOCK_EXTERNAL,12-16,32,31,0.96875,25,0.8064516129032258,22,0.7096774193548387,0.6875,4,0.12903225806451613,5,0.16129032258064516,0.0,25.0,30.0
0.15,CLOCK_EXTERNAL,16-20,31,25,0.8064516129032258,18,0.72,14,0.56,0.45161290322580644,7,0.28,4,0.16,0.0,25.0,52.5
0.15,CLOCK_EXTERNAL,20-00,27,22,0.8148148148148148,16,0.7272727272727273,15,0.6818181818181818,0.5555555555555556,4,0.18181818181818182,3,0.13636363636363635,0.0,12.5,30.0
0.15,CLOCK_DEVELOPMENT,00-04,47,42,0.8936170212765957,31,0.7380952380952381,25,0.5952380952380952,0.5319148936170213,7,0.16666666666666666,10,0.23809523809523808,0.0,15.0,45.0
0.15,CLOCK_DEVELOPMENT,04-08,43,38,0.8837209302325582,32,0.8421052631578947,29,0.7631578947368421,0.6744186046511628,2,0.05263157894736842,7,0.18421052631578946,0.0,45.0,65.0
0.15,CLOCK_DEVELOPMENT,08-12,58,50,0.8620689655172413,40,0.8,39,0.78,0.6724137931034483,8,0.16,3,0.06,0.0,15.0,30.0
0.15,CLOCK_DEVELOPMENT,12-16,82,76,0.926829268292683,58,0.7631578947368421,52,0.6842105263157895,0.6341463414634146,19,0.25,5,0.06578947368421052,0.0,25.0,35.0
0.15,CLOCK_DEVELOPMENT,16-20,60,54,0.9,47,0.8703703703703703,36,0.6666666666666666,0.6,5,0.09259259259259259,13,0.24074074074074073,0.0,40.0,62.5
0.15,CLOCK_DEVELOPMENT,20-00,43,37,0.8604651162790697,30,0.8108108108108109,26,0.7027027027027027,0.6046511627906976,3,0.08108108108108109,8,0.21621621621621623,0.0,17.5,62.5
0.15,CLOCK_REFERENCE_VALIDATION,00-04,36,32,0.8888888888888888,23,0.71875,20,0.625,0.5555555555555556,4,0.125,8,0.25,0.0,20.0,30.0
0.15,CLOCK_REFERENCE_VALIDATION,04-08,26,20,0.7692307692307693,18,0.9,15,0.75,0.5769230769230769,2,0.1,3,0.15,0.0,10.0,30.0
0.15,CLOCK_REFERENCE_VALIDATION,08-12,29,24,0.8275862068965517,21,0.875,20,0.8333333333333334,0.6896551724137931,3,0.125,1,0.041666666666666664,0.0,30.0,75.0
0.15,CLOCK_REFERENCE_VALIDATION,12-16,43,41,0.9534883720930233,33,0.8048780487804879,31,0.7560975609756098,0.7209302325581395,8,0.1951219512195122,2,0.04878048780487805,0.0,20.0,35.0
0.15,CLOCK_REFERENCE_VALIDATION,16-20,31,27,0.8709677419354839,19,0.7037037037037037,15,0.5555555555555556,0.4838709677419355,0,0.0,12,0.4444444444444444,0.0,15.0,40.0
0.15,CLOCK_REFERENCE_VALIDATION,20-00,29,29,1.0,23,0.7931034482758621,20,0.6896551724137931,0.6896551724137931,4,0.13793103448275862,5,0.1724137931034483,0.0,35.0,72.5
0.15,CLOCK_MAJOR,00-04,112,101,0.9017857142857143,77,0.7623762376237624,67,0.6633663366336634,0.5982142857142857,14,0.13861386138613863,20,0.19801980198019803,0.0,20.0,30.0
0.15,CLOCK_MAJOR,04-08,112,96,0.8571428571428571,83,0.8645833333333334,76,0.7916666666666666,0.6785714285714286,7,0.07291666666666667,13,0.13541666666666666,0.0,20.0,52.5
0.15,CLOCK_MAJOR,08-12,127,114,0.8976377952755905,92,0.8070175438596491,88,0.7719298245614035,0.6929133858267716,18,0.15789473684210525,8,0.07017543859649122,0.0,15.0,37.5
0.15,CLOCK_MAJOR,12-16,157,148,0.9426751592356688,116,0.7837837837837838,105,0.7094594594594594,0.6687898089171974,31,0.20945945945945946,12,0.08108108108108109,0.0,22.5,35.0
0.15,CLOCK_MAJOR,16-20,122,106,0.8688524590163934,84,0.7924528301886793,65,0.6132075471698113,0.5327868852459017,12,0.11320754716981132,29,0.27358490566037735,0.0,32.5,55.0
0.15,CLOCK_MAJOR,20-00,99,88,0.8888888888888888,69,0.7840909090909091,61,0.6931818181818182,0.6161616161616161,11,0.125,16,0.18181818181818182,0.0,20.0,60.0
