cohort_id,partition,date_utc,variant,target_name,target_ext,managed,entry_bar_start,entry_px,H,L,R,h2_bar_start,exit_reason,exit_bar_start,exit_ts,exit_px,f75_breach,f75_signal_bar,f75_state,conditional_exit,pnl_0,pnl_5,baseline_pnl_0,baseline_pnl_5,delta_vs_base_0,delta_vs_base_5
development|2022-02-14|2022-02-14 13:55:00+00:00,development,2022-02-14,M14_E10,E10,0.1,True,2022-02-14 13:55:00+00:00,2937.43,2943.33,2845.07,98.25999999999976,2022-02-14 14:05:00+00:00,TARGET,2022-02-14 14:10:00+00:00,2022-02-14 14:15:00+00:00,2953.156,False,,NO_F75_BREACH,False,2.276829745730136,2.02561693726151,2.276829745730136,2.02561693726151,0.0,0.0
development|2022-02-14|2022-02-14 13:55:00+00:00,development,2022-02-14,M14_E15,E15,0.15,True,2022-02-14 13:55:00+00:00,2937.43,2943.33,2845.07,98.25999999999976,2022-02-14 14:05:00+00:00,TARGET,2022-02-14 14:25:00+00:00,2022-02-14 14:30:00+00:00,2958.069,False,,NO_F75_BREACH,False,3.1131049931402814,2.861474256012309,3.1131049931402814,2.861474256012309,0.0,0.0
development|2022-03-21|2022-03-21 15:15:00+00:00,development,2022-03-21,BASE_E05,E05,0.05,False,2022-03-21 15:15:00+00:00,2932.34,2938.5,2873.0,65.5,2022-03-21 15:15:00+00:00,TARGET,2022-03-21 15:15:00+00:00,2022-03-21 15:20:00+00:00,2941.775,False,,NO_F75_BREACH,False,1.208783428933891,0.9581043767455503,1.208783428933891,0.9581043767455503,0.0,0.0
development|2022-03-21|2022-03-21 15:15:00+00:00,development,2022-03-21,BASE_E10,E10,0.1,False,2022-03-21 15:15:00+00:00,2932.34,2938.5,2873.0,65.5,2022-03-21 15:15:00+00:00,TARGET,2022-03-21 15:15:00+00:00,2022-03-21 15:20:00+00:00,2945.05,False,,NO_F75_BREACH,False,1.7672111692369046,1.5162530427155878,1.7672111692369046,1.5162530427155878,0.0,0.0
development|2022-03-21|2022-03-21 15:15:00+00:00,development,2022-03-21,BASE_E15,E15,0.15,False,2022-03-21 15:15:00+00:00,2932.34,2938.5,2873.0,65.5,2022-03-21 15:15:00+00:00,TARGET,2022-03-21 15:25:00+00:00,2022-03-21 15:30:00+00:00,2948.325,False,,NO_F75_BREACH,False,2.325638909539807,2.074401708685514,2.325638909539807,2.074401708685514,0.0,0.0
development|2022-03-21|2022-03-21 15:15:00+00:00,development,2022-03-21,M14_E05,E05,0.05,True,2022-03-21 15:15:00+00:00,2932.34,2938.5,2873.0,65.5,2022-03-21 15:15:00+00:00,TARGET,2022-03-21 15:15:00+00:00,2022-03-21 15:20:00+00:00,2941.775,False,,NO_F75_BREACH,False,1.208783428933891,0.9581043767455503,1.208783428933891,0.9581043767455503,0.0,0.0
development|2022-03-21|2022-03-21 15:15:00+00:00,development,2022-03-21,M14_E10,E10,0.1,True,2022-03-21 15:15:00+00:00,2932.34,2938.5,2873.0,65.5,2022-03-21 15:15:00+00:00,TARGET,2022-03-21 15:15:00+00:00,2022-03-21 15:20:00+00:00,2945.05,False,,NO_F75_BREACH,False,1.7672111692369046,1.5162530427155878,1.7672111692369046,1.5162530427155878,0.0,0.0
development|2022-03-21|2022-03-21 15:15:00+00:00,development,2022-03-21,M14_E15,E15,0.15,True,2022-03-21 15:15:00+00:00,2932.34,2938.5,2873.0,65.5,2022-03-21 15:15:00+00:00,TARGET,2022-03-21 15:25:00+00:00,2022-03-21 15:30:00+00:00,2948.325,False,,NO_F75_BREACH,False,2.325638909539807,2.074401708685514,2.325638909539807,2.074401708685514,0.0,0.0
development|2022-04-18|2022-04-18 14:25:00+00:00,development,2022-04-18,BASE_E05,E05,0.05,False,2022-04-18 14:25:00+00:00,2941.46,2947.0,2887.0,60.0,2022-04-18 17:10:00+00:00,CLOSE_INVALIDATION,2022-04-18 15:20:00+00:00,2022-04-18 15:25:00+00:00,2911.15,True,2022-04-18 14:35:00+00:00,PRE_H2,False,-5.552203327599193,-6.0468038240233835,-5.552203327599193,-6.0468038240233835,0.0,0.0
development|2022-04-18|2022-04-18 14:25:00+00:00,development,2022-04-18,BASE_E10,E10,0.1,False,2022-04-18 14:25:00+00:00,2941.46,2947.0,2887.0,60.0,2022-04-18 17:10:00+00:00,CLOSE_INVALIDATION,2022-04-18 15:20:00+00:00,2022-04-18 15:25:00+00:00,2911.15,True,2022-04-18 14:35:00+00:00,PRE_H2,False,-5.552203327599193,-6.0468038240233835,-5.552203327599193,-6.0468038240233835,0.0,0.0
