side,rule,partition,regime_or_alignment,n,fixed_wr,fixed_pf,fixed_exp,fixed_total,hybrid_wr,hybrid_pf,hybrid_exp,hybrid_total
SHORT,BLIND_F15,development,BEAR,38,0.6052631578947368,1.1201137328309652,0.17059519204659185,6.48261729777049,0.5263157894736842,0.8744412954021604,-0.1848081492703812,-7.022709672274486
SHORT,BLIND_F15,development,SIDEWAYS,10,0.5,0.4613908246070295,-1.9192308659516315,-19.192308659516314,0.5,0.3921494142646444,-2.1659593993713804,-21.659593993713806
SHORT,BLIND_F15,reference_validation,BULL,18,0.5,0.4182596336070749,-0.9615771193414824,-17.308388148146683,0.5,0.3319601258101073,-1.1042243154137357,-19.876037677447243
SHORT,BLIND_F15,reference_validation,BEAR,12,0.5833333333333334,0.7219635450486261,-0.5380108179515106,-6.4561298154181275,0.5,0.5014462316568987,-1.0334035352179392,-12.40084242261527
SHORT,BLIND_F15,reference_validation,SIDEWAYS,4,0.5,0.5569354465320058,-1.5594816552771977,-6.237926621108791,0.5,0.5250529317597665,-1.671700510345239,-6.686802041380956
SHORT,BLIND_F15,august,BULL,0,,,,0.0,,,,0.0
SHORT,BLIND_F15,august,BEAR,1,0.0,0.0,-2.41989561044702,-2.41989561044702,0.0,0.0,-2.41989561044702,-2.41989561044702
SHORT,BLIND_F15,august,SIDEWAYS,0,,,,0.0,,,,0.0
SHORT,BLIND_F15,POOLED_MAJOR,BULL,71,0.5211267605633803,0.6631723709965827,-0.5924700340119217,-42.065372414846436,0.49295774647887325,0.7744146223229467,-0.3986155249659808,-28.301702272584635
SHORT,BLIND_F15,POOLED_MAJOR,BEAR,59,0.6101694915254238,1.0592463877203715,0.0920042649023012,5.4282516292357705,0.5423728813559322,0.8287543654091309,-0.27641906872832367,-16.308725054971095
SHORT,BLIND_F15,POOLED_MAJOR,SIDEWAYS,33,0.6363636363636364,1.4225448199468214,0.7567127980028665,24.971522334094594,0.6060606060606061,1.4902542301283532,0.8955154972899023,29.552011410566777
SHORT,EARLY_REJECT,external,BULL,19,0.42105263157894735,0.47673979742485556,-1.2065032107546763,-22.92356100433885,0.3684210526315789,0.5124161801985517,-1.1404393552908692,-21.668347750526515
SHORT,EARLY_REJECT,external,BEAR,7,0.7142857142857143,1.104834654386805,0.19325703975668773,1.3527992782968141,0.7142857142857143,0.9274571344186014,-0.13372886608660345,-0.9361020626062242
SHORT,EARLY_REJECT,external,SIDEWAYS,16,0.875,12.606507136960069,2.8887412858859167,46.21986057417467,0.8125,11.259434066755317,3.3577027846780783,53.72324455484925
SHORT,EARLY_REJECT,development,BULL,21,0.6190476190476191,0.7871357658967696,-0.2502510875656525,-5.255272838878703,0.5238095238095238,1.582123649577677,0.6906759940721328,14.504195875514789
SHORT,EARLY_REJECT,development,BEAR,26,0.5769230769230769,1.1069563147308683,0.15789762841495833,4.105338338788917,0.5,0.8437093908284239,-0.24459860007937412,-6.359563602063727
SHORT,EARLY_REJECT,development,SIDEWAYS,9,0.5555555555555556,0.5947716057304444,-1.118473629515499,-10.06626266563949,0.4444444444444444,0.495663275106134,-1.3928704523290856,-12.53583407096177
SHORT,EARLY_REJECT,reference_validation,BULL,12,0.5,0.44984941400602685,-0.8808290669528344,-10.569948803434013,0.5,0.3444980985635894,-1.0495037957377862,-12.594045548853433
SHORT,EARLY_REJECT,reference_validation,BEAR,8,0.5,0.4050506835925619,-1.5564153810151442,-12.451323048121154,0.375,0.1885467431022713,-2.2997154509875144,-18.397723607900115
SHORT,EARLY_REJECT,reference_validation,SIDEWAYS,2,0.5,1.4851945934884634,0.9520264440431971,1.9040528880863943,0.5,1.3707732619017625,0.727514186703371,1.455028373406742
SHORT,EARLY_REJECT,august,BULL,0,,,,0.0,,,,0.0
SHORT,EARLY_REJECT,august,BEAR,1,0.0,0.0,-2.725815513533058,-2.725815513533058,0.0,0.0,-2.725815513533058,-2.725815513533058
SHORT,EARLY_REJECT,august,SIDEWAYS,0,,,,0.0,,,,0.0
SHORT,EARLY_REJECT,POOLED_MAJOR,BULL,52,0.5192307692307693,0.5582186197403624,-0.7451688970509915,-38.74878264665156,0.46153846153846156,0.7769176759060367,-0.3799653350743299,-19.758197423865155
SHORT,EARLY_REJECT,POOLED_MAJOR,BEAR,41,0.5853658536585366,0.9031626917671235,-0.17056549831793724,-6.9931854310354264,0.5121951219512195,0.6631140220858857,-0.6266680310382943,-25.693389272570066
SHORT,EARLY_REJECT,POOLED_MAJOR,SIDEWAYS,27,0.7407407407407407,2.162154195526208,1.4095426220970952,38.05765079662157,0.6666666666666666,2.253567740689457,1.5793495873071934,42.64243885729422
COMBINED,CONFIRMED,POOLED_MAJOR,ALIGNED,96,0.65625,1.2758254482702778,0.407523089782075,39.122216619079204,0.6145833333333334,1.2926852167362446,0.4464072205688594,42.8550931746105
COMBINED,CONFIRMED,POOLED_MAJOR,COUNTER,93,0.5698924731182796,0.7748033665893425,-0.38837466757849975,-36.11884408480048,0.4838709677419355,0.8748377827349458,-0.21967889238432728,-20.430136991742437
COMBINED,CONFIRMED,POOLED_MAJOR,SIDEWAYS,49,0.7959183673469388,2.2280608215469924,1.3433315427020611,65.823245592401,0.7551020408163265,2.4226279637574657,1.5930150064787036,78.05773531745648
