clock_block,rr,variant,scope,n,wins,wr,pf,expectancy,net
12-16,2.0,RR200,POOLED_MAJOR,78,7,0.08974358974358974,0.10949375438182624,-0.44872056964814977,-35.000204432555684
16-20,1.0,RR100,external,19,9,0.47368421052631576,1.2103944603815244,0.1298147004028934,2.4664793076549745
16-20,1.0,RR100,development,37,10,0.2702702702702703,0.1442278767035316,-0.5013295866235394,-18.54919470507096
16-20,1.0,RR100,reference_validation,15,3,0.2,0.19317600037696372,-0.46530371400303994,-6.979555710045599
16-20,1.0,RR100,POOLED_MAJOR,71,22,0.30985915492957744,0.45154031592575455,-0.32482071982340266,-23.062271107461587
16-20,1.5,RR150,external,19,9,0.47368421052631576,1.4630650498793496,0.2363713685332051,4.491056002130897
16-20,1.5,RR150,development,37,8,0.21621621621621623,0.12581574525377276,-0.47343932395391125,-17.517254986294716
16-20,1.5,RR150,reference_validation,15,3,0.2,0.22916982689013005,-0.37472455308982217,-5.620868296347332
16-20,1.5,RR150,POOLED_MAJOR,71,20,0.28169014084507044,0.49641869476985195,-0.2626347504297345,-18.64706728051115
16-20,2.0,RR200,external,19,8,0.42105263157894735,1.5475135283988717,0.25824702810391753,4.906693533974433
16-20,2.0,RR200,development,37,5,0.13513513513513514,0.10573281616052953,-0.48182773090917524,-17.827626043639484
16-20,2.0,RR200,reference_validation,15,2,0.13333333333333333,0.21645553852746557,-0.37935049368848656,-5.690257405327299
16-20,2.0,RR200,POOLED_MAJOR,71,15,0.2112676056338028,0.48530197272855363,-0.2621294354224275,-18.61118991499235
20-00,1.0,RR100,external,14,2,0.14285714285714285,0.05266196139974587,-0.6784210934966162,-9.497895308952627
20-00,1.0,RR100,development,23,1,0.043478260869565216,0.06993661553787463,-0.64861635041514,-14.91817605954822
20-00,1.0,RR100,reference_validation,13,4,0.3076923076923077,0.28130872162731146,-0.3530410769769204,-4.589534000699965
20-00,1.0,RR100,POOLED_MAJOR,50,7,0.14,0.10619409653405143,-0.5801121073840162,-29.00560536920081
20-00,1.5,RR150,external,14,1,0.07142857142857142,0.03590639190243369,-0.6445944534051693,-9.02432234767237
20-00,1.5,RR150,development,23,1,0.043478260869565216,0.07998311785766964,-0.5610188115342557,-12.903432665287882
20-00,1.5,RR150,reference_validation,13,3,0.23076923076923078,0.28701752775733574,-0.33642828007393527,-4.373567640961158
20-00,1.5,RR150,POOLED_MAJOR,50,5,0.1,0.10902838245268397,-0.5260264530784283,-26.301322653921417
20-00,2.0,RR200,external,14,1,0.07142857142857142,0.04061195241498734,-0.5671260055243723,-7.939764077341213
20-00,2.0,RR200,development,23,0,0.0,0.0,-0.6023277300787219,-13.853537791810602
20-00,2.0,RR200,reference_validation,13,3,0.23076923076923078,0.31493636687629295,-0.2945982492204582,-3.8297772398659564
20-00,2.0,RR200,POOLED_MAJOR,50,4,0.08,0.07563973359312944,-0.5124615821803554,-25.62307910901777
