candidate,rule,scope,trades_n,wr,pf,expectancy,total_net,avg_win,avg_loss,max_dd,max_loss_streak,abort_n,abort_rate,trades_per_week
BASE_H,REFINED_BULL_IMPULSE,development,297,0.6363636363636364,0.6851302577891772,-0.2834715513470956,-84.1910507500874,0.9692735127110145,-2.4757754134487886,98.37868336625559,6,31,0.10437710437710437,1.9046273940967087
BASE_H,REFINED_BULL_IMPULSE,reference_validation,172,0.5813953488372093,0.5213027772789359,-0.46821156061735125,-80.53238842618441,0.8770002363673342,-2.3365612786516365,91.49946366287895,6,19,0.11046511627906977,2.111830445506867
BASE_H,REFINED_BULL_IMPULSE,POOLED_REUSED_EXTVAL,355,0.6169014084507042,0.6734397688832691,-0.4467568512637421,-158.59868219862844,1.4934508150085553,-3.5710618432757504,164.87968038819645,8,41,0.11549295774647887,1.038878090628933
BASE_H,REFINED_BULL_IMPULSE,POOLED_MAJOR,652,0.6257668711656442,0.6775906942634357,-0.37237689102563776,-242.78973294871582,1.2506333882089593,-3.0862629317129966,249.0707311382837,8,72,0.11042944785276074,1.908023986169195
R100,NO_ABORT,external,183,0.5081967213114754,0.7188303983396981,-0.401990295779825,-73.56422412770797,2.0222822931489324,-2.9070719710062076,91.56722767356426,7,0,0.0,1.772925176606276
R100,NO_ABORT,development,297,0.4511784511784512,0.3855609436600654,-0.6485703574823797,-192.62539617226676,0.9020341247957488,-1.9233004226680803,194.67737582336912,8,0,0.0,1.9046273940967087
R100,NO_ABORT,reference_validation,172,0.47093023255813954,0.4323904846554284,-0.5202384710670106,-89.48101702352582,0.8415353298461299,-1.7323667993523335,96.6301073563817,6,0,0.0,2.111830445506867
R100,NO_ABORT,POOLED_REUSED_EXTVAL,355,0.49014084507042255,0.6111321327960095,-0.4592823694400952,-163.0452411512338,1.4726242240252139,-2.316474343268625,165.07202941461887,7,0,0.0,1.038878090628933
R100,NO_ABORT,POOLED_MAJOR,652,0.4723926380368098,0.5146282345988041,-0.5455071124593567,-355.67063732350056,1.224380479555252,-2.1301739099608086,357.6974255868855,8,0,0.0,1.908023986169195
R100,GLOBAL_PLUS15_SAFE,external,183,0.48633879781420764,0.7424730853030982,-0.33519820186127136,-61.34127094061266,1.9871051713327146,-2.5339747998853643,85.82985136145194,8,21,0.11475409836065574,1.772925176606276
R100,GLOBAL_PLUS15_SAFE,development,297,0.44107744107744107,0.3967070572912352,-0.6108136665702947,-181.41165897137753,0.9106166372309642,-1.8114604725821317,183.46363862247998,9,20,0.06734006734006734,1.9046273940967087
R100,GLOBAL_PLUS15_SAFE,reference_validation,172,0.43023255813953487,0.3790752834336029,-0.5715954299055205,-98.31441394374951,0.8110955068848427,-1.6156681780941626,104.44078961752716,7,14,0.08139534883720931,2.111830445506867
R100,GLOBAL_PLUS15_SAFE,POOLED_REUSED_EXTVAL,355,0.4591549295774648,0.5973670537821955,-0.44973432361792165,-159.6556848843622,1.4532112132398156,-2.0652557950127712,163.69582028400032,8,35,0.09859154929577464,1.038878090628933
R100,GLOBAL_PLUS15_SAFE,POOLED_MAJOR,652,0.450920245398773,0.5108262910334319,-0.5231094230916253,-341.06734385573975,1.2114428817528784,-1.9475741650588994,345.1074792553777,9,55,0.0843558282208589,1.908023986169195
R100,PERSIST_10_15,external,183,0.4918032786885246,0.7134799071287597,-0.39542032412913675,-72.36191931563202,2.0021390299794395,-2.71563905391163,92.3782699977413,8,13,0.07103825136612021,1.772925176606276
R100,PERSIST_10_15,development,297,0.4478114478114478,0.39426418645823397,-0.6222656302669848,-184.81289218929447,0.9044502850421461,-1.8603950006091459,186.86487184039692,8,13,0.04377104377104377,1.9046273940967087
R100,PERSIST_10_15,reference_validation,172,0.4418604651162791,0.3809631300413235,-0.5766856701606375,-99.18993526762966,0.8031939793546794,-1.6690903926935972,106.33902560048556,7,9,0.05232558139534884,2.111830445506867
R100,PERSIST_10_15,POOLED_REUSED_EXTVAL,355,0.4676056338028169,0.5844059793853537,-0.4832446607979202,-171.55185458326167,1.4532244284885854,-2.1840587815469146,175.59198998289975,8,22,0.061971830985915494,1.038878090628933
R100,PERSIST_10_15,POOLED_MAJOR,652,0.45858895705521474,0.5035955248557721,-0.5465716975039204,-356.36474677255615,1.2091208797314736,-2.0336880731225686,360.4048821721941,8,35,0.05368098159509203,1.908023986169195
R100,REFINED_BULL_IMPULSE,external,183,0.4918032786885246,0.7134799071287597,-0.39542032412913675,-72.36191931563202,2.0021390299794395,-2.71563905391163,92.3782699977413,8,13,0.07103825136612021,1.772925176606276
R100,REFINED_BULL_IMPULSE,development,297,0.4478114478114478,0.39544727535040275,-0.6191922142391602,-183.90008762903057,0.9044502850421461,-1.854829119144122,185.952067280133,8,14,0.04713804713804714,1.9046273940967087
R100,REFINED_BULL_IMPULSE,reference_validation,172,0.4418604651162791,0.3809631300413235,-0.5766856701606375,-99.18993526762966,0.8031939793546794,-1.6690903926935972,106.33902560048556,7,9,0.05232558139534884,2.111830445506867
R100,REFINED_BULL_IMPULSE,POOLED_REUSED_EXTVAL,355,0.4676056338028169,0.5844059793853537,-0.4832446607979202,-171.55185458326167,1.4532244284885854,-2.1840587815469146,175.59198998289975,8,22,0.061971830985915494,1.038878090628933
R100,REFINED_BULL_IMPULSE,POOLED_MAJOR,652,0.45858895705521474,0.5042366653033421,-0.5451716905096508,-355.4519422122923,1.2091208797314736,-2.0311022245099233,359.4920776119302,8,36,0.05521472392638037,1.908023986169195
