i,date,period,parent_pnl,win,rel_last_red,rel_last_upper_gt_lower,rel_upper_gt_prev1,rel_upper_gt_prev2max,rel_upper_localmax4,rel_body_lt_prev1,rel_body_contract3median,rel_upper_share_gt_prev3median,rel_rejection_expansion_composite,rel_wick_dominant,rel_f636_morphology,balance_gate
117,2026-03-06,validation,-4.25,False,True,False,False,False,False,False,False,False,False,False,False,False
118,2026-03-13,validation,9.25,True,False,False,False,False,False,True,True,False,False,True,True,True
119,2026-03-20,validation,-4.25,False,True,True,True,False,False,False,False,False,False,True,True,True
120,2026-03-27,validation,-4.25,False,True,False,False,False,False,False,False,False,False,True,True,False
121,2026-04-03,validation,-4.25,False,True,False,False,False,False,False,False,False,False,False,False,False
122,2026-04-10,validation,5.006970216005297,True,False,True,True,False,False,True,True,True,False,False,False,True
123,2026-04-17,validation,9.25,True,False,False,False,False,False,True,True,False,False,True,False,True
124,2026-04-24,validation,2.0173101822328627,True,True,False,False,False,False,True,True,False,False,True,True,True
125,2026-05-01,validation,9.25,True,True,False,False,False,False,True,True,False,False,True,False,True
126,2026-05-08,validation,-0.8918974069191115,False,True,False,True,False,False,True,True,False,False,True,True,True
127,2026-05-15,validation,-4.25,False,True,True,True,True,True,True,True,True,True,True,True,True
128,2026-05-22,validation,-1.468654513305439,False,True,False,False,False,False,False,False,False,False,False,False,False
129,2026-05-29,validation,-4.25,False,False,True,False,False,False,False,False,True,False,False,False,False
130,2026-06-05,validation,-4.25,False,False,False,False,False,False,False,False,False,False,False,False,False
131,2026-06-12,validation,0.31078504435791476,True,False,True,True,True,False,True,False,True,False,True,True,True
132,2026-06-19,validation,3.8975290929889335,True,False,False,False,False,False,True,True,False,False,True,True,True
133,2026-06-26,validation,-4.25,False,True,True,True,True,True,True,True,True,True,True,True,True
134,2026-07-03,validation,2.0855663114312257,True,True,False,False,False,False,False,False,False,False,False,False,False
135,2026-07-10,validation,3.1401684123953117,True,False,True,True,True,True,True,True,True,True,True,True,True
136,2026-07-17,validation,1.9238734377189655,True,True,True,False,False,False,False,False,True,False,False,False,False
137,2026-07-24,validation,-4.25,False,True,True,True,True,True,True,True,True,True,True,True,True
