arm_ext,arm,partition,stress_bps,candidates,accepted,blocked,trades_per_week,armed,floor_exits,gap_exits,buffer_f20_exits,time_exits,scheduled_updates,activations,n,wins,wr,pf,expectancy,net,max_ls
0.3,E30,development,0,288,232,56,1.481751824817518,114,107,49,0,70,199,183,232,136,0.5862068965517241,1.248555215317764,0.48971399675374844,113.61364724686963,5
0.3,E30,development,5,288,232,56,1.481751824817518,114,107,49,0,70,199,183,232,130,0.5603448275862069,0.9949919196048538,-0.010925397545799794,-2.534692230625552,5
0.3,E30,reference_validation,0,120,100,20,1.2173913043478262,46,42,29,0,38,71,62,100,62,0.62,1.3616939608503986,0.6626543502495206,66.26543502495205,4
0.3,E30,reference_validation,5,120,100,20,1.2173913043478262,46,42,29,0,38,71,62,100,58,0.58,1.0797312213125738,0.16184210202344407,16.184210202344406,4
0.3,E30,POOLED_MAJOR,0,575,476,99,1.3871773522064947,226,214,98,0,159,396,367,476,287,0.6029411764705882,1.4550019513943684,0.8958084602691444,426.4048270881127,5
0.3,E30,POOLED_MAJOR,5,575,476,99,1.3871773522064947,226,214,98,0,159,396,367,476,269,0.5651260504201681,1.1814813479592283,0.3947631744518403,187.90727103907597,5
0.35,E35,external,0,167,144,23,1.3789329685362517,62,59,16,0,57,112,110,144,87,0.6041666666666666,1.8544834017858258,1.790364081249012,257.8124276998577,3
0.35,E35,external,5,167,144,23,1.3789329685362517,62,59,16,0,57,112,110,144,79,0.5486111111111112,1.5585469022268368,1.2884246868650127,185.5331549085618,4
0.35,E35,development,0,288,232,56,1.481751824817518,111,104,45,0,73,190,173,232,135,0.5818965517241379,1.3437059571378187,0.6773752454629072,157.15105694739447,5
0.35,E35,development,5,288,232,56,1.481751824817518,111,104,45,0,73,190,173,232,128,0.5517241379310345,1.0807838746771172,0.17654828369838185,40.95920181802459,5
0.35,E35,reference_validation,0,120,100,20,1.2173913043478262,40,37,19,0,41,56,49,100,61,0.61,1.2373117089370038,0.4622083158973443,46.22083158973443,4
0.35,E35,reference_validation,5,120,100,20,1.2173913043478262,40,37,19,0,41,56,49,100,57,0.57,0.9821406132791861,-0.03840358646731468,-3.8403586467314685,5
0.35,E35,POOLED_MAJOR,0,575,476,99,1.3871773522064947,213,200,80,0,171,358,332,476,283,0.5945378151260504,1.4835681859573462,0.968874613943249,461.18431623698655,5
0.35,E35,POOLED_MAJOR,5,575,476,99,1.3871773522064947,213,200,80,0,171,358,332,476,264,0.5546218487394958,1.2111994554448247,0.4677562984870902,222.65199807985493,6
0.4,E40,external,0,167,144,23,1.3789329685362517,59,56,21,0,60,104,100,144,88,0.6111111111111112,1.8720159368655873,1.8262209301377414,262.9758139398348,3
0.4,E40,external,5,167,144,23,1.3789329685362517,59,56,21,0,60,104,100,144,80,0.5555555555555556,1.5751927028822004,1.32424569682432,190.69138034270208,4
0.4,E40,development,0,288,232,56,1.481751824817518,100,96,46,0,81,166,156,232,133,0.5732758620689655,1.325273656553828,0.6454468657731922,149.74367285938058,5
0.4,E40,development,5,288,232,56,1.481751824817518,100,96,46,0,81,166,156,232,125,0.5387931034482759,1.0655870368306262,0.1446518164321427,33.55922141225711,5
0.4,E40,reference_validation,0,120,100,20,1.2173913043478262,37,33,19,0,44,55,48,100,58,0.58,1.2816643436390602,0.5639773800628874,56.39773800628875,4
0.4,E40,reference_validation,5,120,100,20,1.2173913043478262,37,33,19,0,44,55,48,100,54,0.54,1.028498482872312,0.06326375949316697,6.326375949316697,5
0.4,E40,POOLED_MAJOR,0,575,476,99,1.3871773522064947,196,185,86,0,185,325,304,476,279,0.5861344537815126,1.4875643729493986,0.9855403882468574,469.1172248055041,5
0.4,E40,POOLED_MAJOR,5,575,476,99,1.3871773522064947,196,185,86,0,185,325,304,476,259,0.5441176470588235,1.2164654629056888,0.48440541534511744,230.5769777042759,5
