cohort_id,partition,date_utc,entry_bar_start,entry_px,entry_fraction,H,L,R,h2_bar_start,terminal,terminal_bar_start,terminal_completion,outcome_class,eventual_breakout,entry_to_terminal_min,entry_to_h2_min,entry_to_bo_min,min_pre_terminal_close_f,F90_breach,F90_breach_bar_start,F90_breach_min,F90_reclaim_F90_after,F90_reclaim_F90_bar_start,F90_h2_before_breach,F90_h2_same_breach_bar,F85_breach,F85_breach_bar_start,F85_breach_min,F85_reclaim_F90_after,F85_reclaim_F90_bar_start,F85_h2_before_breach,F85_h2_same_breach_bar,F80_breach,F80_breach_bar_start,F80_breach_min,F80_reclaim_F90_after,F80_reclaim_F90_bar_start,F80_h2_before_breach,F80_h2_same_breach_bar,F75_breach,F75_breach_bar_start,F75_breach_min,F75_reclaim_F90_after,F75_reclaim_F90_bar_start,F75_h2_before_breach,F75_h2_same_breach_bar,cp15_eligible,cp15_state,cp30_eligible,cp30_state,cp45_eligible,cp45_state,cp60_eligible,cp60_state
external|2020-04-21|2020-04-21 17:55:00+00:00,external,2020-04-21,2020-04-21 17:55:00+00:00,172.85,0.9062499999999968,173.36,167.92,5.440000000000026,,NO_BREAK_BY_END,,2020-04-21 20:00:00+00:00,NON_BREAKOUT_TIME,False,125.0,,,0.6415441176470574,True,2020-04-21 17:55:00+00:00,5.0,False,,False,False,True,2020-04-21 17:55:00+00:00,5.0,False,,False,False,True,2020-04-21 18:00:00+00:00,10.0,False,,False,False,True,2020-04-21 18:05:00+00:00,15.0,False,,False,False,True,NO_H2_NO_BO,True,NO_H2_NO_BO,True,NO_H2_NO_BO,True,NO_H2_NO_BO
external|2020-06-23|2020-06-23 15:55:00+00:00,external,2020-06-23,2020-06-23 15:55:00+00:00,244.09,0.960573476702514,244.2,241.41,2.789999999999992,2020-06-23 15:55:00+00:00,STRICT_BREAKOUT,2020-06-23 15:55:00+00:00,2020-06-23 16:00:00+00:00,BREAKOUT_WINNER,True,5.0,5.0,5.0,1.0752688172043041,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
external|2020-07-01|2020-07-01 14:15:00+00:00,external,2020-07-01,2020-07-01 14:15:00+00:00,228.81,0.9120879120879136,229.13,225.49,3.6399999999999855,2020-07-01 14:30:00+00:00,STRICT_BREAKOUT,2020-07-01 15:55:00+00:00,2020-07-01 16:00:00+00:00,BREAKOUT_WINNER,True,105.0,20.0,105.0,0.8269230769230778,True,2020-07-01 14:15:00+00:00,5.0,True,2020-07-01 14:25:00+00:00,False,False,True,2020-07-01 14:40:00+00:00,30.0,True,2020-07-01 15:00:00+00:00,True,False,False,,,False,,False,False,False,,,False,,False,False,True,NO_H2_NO_BO,True,H2_DONE_NO_BO,True,H2_DONE_NO_BO,True,H2_DONE_NO_BO
external|2020-07-14|2020-07-14 18:35:00+00:00,external,2020-07-14,2020-07-14 18:35:00+00:00,241.26,0.9240837696335028,241.55,237.73,3.8200000000000216,2020-07-14 19:50:00+00:00,NO_BREAK_BY_END,,2020-07-14 20:00:00+00:00,NON_BREAKOUT_TIME,False,85.0,80.0,,0.7696335078533982,True,2020-07-14 18:45:00+00:00,15.0,True,2020-07-14 19:50:00+00:00,False,False,True,2020-07-14 18:45:00+00:00,15.0,True,2020-07-14 19:50:00+00:00,False,False,True,2020-07-14 19:15:00+00:00,45.0,True,2020-07-14 19:50:00+00:00,False,False,False,,,False,,False,False,True,NO_H2_NO_BO,True,NO_H2_NO_BO,True,NO_H2_NO_BO,True,NO_H2_NO_BO
external|2020-07-16|2020-07-16 16:00:00+00:00,external,2020-07-16,2020-07-16 16:00:00+00:00,233.09,0.9358974358974396,233.29,230.17,3.1200000000000045,2020-07-16 16:05:00+00:00,STRICT_BREAKOUT,2020-07-16 16:05:00+00:00,2020-07-16 16:10:00+00:00,BREAKOUT_WINNER,True,10.0,10.0,10.0,0.9262820512820547,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
external|2020-08-05|2020-08-05 19:40:00+00:00,external,2020-08-05,2020-08-05 19:40:00+00:00,400.9,0.9040444091990456,402.11,389.5,12.610000000000014,,NO_BREAK_BY_END,,2020-08-05 20:00:00+00:00,NON_BREAKOUT_TIME,False,20.0,,,0.7644726407612986,True,2020-08-05 19:40:00+00:00,5.0,False,,False,False,True,2020-08-05 19:40:00+00:00,5.0,False,,False,False,True,2020-08-05 19:45:00+00:00,10.0,False,,False,False,False,,,False,,False,False,True,NO_H2_NO_BO,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
external|2020-08-17|2020-08-17 15:45:00+00:00,external,2020-08-17,2020-08-17 15:45:00+00:00,432.41,0.923728813559322,433.22,422.6,10.620000000000005,2020-08-17 15:45:00+00:00,STRICT_BREAKOUT,2020-08-17 15:45:00+00:00,2020-08-17 15:50:00+00:00,BREAKOUT_WINNER,True,5.0,5.0,5.0,1.560263653483991,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
external|2020-08-20|2020-08-20 13:55:00+00:00,external,2020-08-20,2020-08-20 13:55:00+00:00,412.08,0.9828178694158036,412.23,403.5,8.730000000000018,2020-08-20 13:55:00+00:00,STRICT_BREAKOUT,2020-08-20 13:55:00+00:00,2020-08-20 14:00:00+00:00,BREAKOUT_WINNER,True,5.0,5.0,5.0,1.0584192439862532,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
external|2020-09-14|2020-09-14 13:45:00+00:00,external,2020-09-14,2020-09-14 13:45:00+00:00,374.58,0.9057123193392976,375.95,361.42,14.529999999999973,2020-09-14 14:00:00+00:00,STRICT_BREAKOUT,2020-09-14 15:15:00+00:00,2020-09-14 15:20:00+00:00,BREAKOUT_WINNER,True,95.0,20.0,95.0,0.7976600137646247,True,2020-09-14 13:50:00+00:00,10.0,True,2020-09-14 13:55:00+00:00,False,False,True,2020-09-14 14:35:00+00:00,55.0,True,2020-09-14 15:05:00+00:00,True,False,True,2020-09-14 14:50:00+00:00,70.0,True,2020-09-14 15:05:00+00:00,True,False,False,,,False,,False,False,True,NO_H2_NO_BO,True,H2_DONE_NO_BO,True,H2_DONE_NO_BO,True,H2_DONE_NO_BO
external|2020-09-16|2020-09-16 15:50:00+00:00,external,2020-09-16,2020-09-16 15:50:00+00:00,370.13,0.9522842639593884,370.6,360.75,9.850000000000025,2020-09-16 16:00:00+00:00,STRICT_BREAKOUT,2020-09-16 16:00:00+00:00,2020-09-16 16:05:00+00:00,BREAKOUT_WINNER,True,15.0,15.0,15.0,0.9289340101522796,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
external|2020-09-25|2020-09-25 17:15:00+00:00,external,2020-09-25,2020-09-25 17:15:00+00:00,347.61,0.9051029543419874,348.67,337.5,11.170000000000016,2020-09-25 17:40:00+00:00,STRICT_BREAKOUT,2020-09-25 17:40:00+00:00,2020-09-25 17:45:00+00:00,BREAKOUT_WINNER,True,30.0,30.0,30.0,0.8442256042972242,True,2020-09-25 17:15:00+00:00,5.0,True,2020-09-25 17:20:00+00:00,False,False,True,2020-09-25 17:15:00+00:00,5.0,True,2020-09-25 17:20:00+00:00,False,False,False,,,False,,False,False,False,,,False,,False,False,True,NO_H2_NO_BO,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
external|2020-10-05|2020-10-05 17:00:00+00:00,external,2020-10-05,2020-10-05 17:00:00+00:00,353.79,0.9127659574468152,354.2,349.5,4.699999999999989,,NO_BREAK_BY_END,,2020-10-05 20:00:00+00:00,NON_BREAKOUT_TIME,False,180.0,,,0.13829787234042104,True,2020-10-05 17:00:00+00:00,5.0,False,,False,False,True,2020-10-05 17:00:00+00:00,5.0,False,,False,False,True,2020-10-05 17:00:00+00:00,5.0,False,,False,False,True,2020-10-05 17:05:00+00:00,10.0,False,,False,False,True,NO_H2_NO_BO,True,NO_H2_NO_BO,True,NO_H2_NO_BO,True,NO_H2_NO_BO
external|2020-11-04|2020-11-04 15:55:00+00:00,external,2020-11-04,2020-11-04 15:55:00+00:00,383.56,0.9044502617801028,384.29,376.65,7.640000000000043,2020-11-04 16:00:00+00:00,STRICT_BREAKOUT,2020-11-04 16:00:00+00:00,2020-11-04 16:05:00+00:00,BREAKOUT_WINNER,True,10.0,10.0,10.0,0.9070680628272209,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE,False,NOT_ELIGIBLE
