n,wins,wr,pf,expectancy,net,max_ls,partition,exec_min,execution_utc,arm_ext,arm,armed_trades,ratchet_raises,reasons,positive
43,31,0.7209302325581395,1.7884093887564696,1.2346657695992227,53.09062809276658,3,external,600,10:00,0.15,E15,31,13,"{'PREARM_CLOSE_F35': 8, 'RUNNER_FLOOR_TOUCH': 19, 'TIME_EXIT_UNARMED': 4, 'RUNNER_GAP_OPEN': 11, 'RUNNER_TIME_EXIT': 1}",True
46,25,0.5434782608695652,0.907748367669571,-0.1834702029521178,-8.439629335797418,4,reference_validation,600,10:00,0.15,E15,26,13,"{'RUNNER_FLOOR_TOUCH': 13, 'RUNNER_GAP_OPEN': 12, 'PREARM_CLOSE_F35': 16, 'TIME_EXIT_UNARMED': 4, 'RUNNER_TIME_EXIT': 1}",False
58,33,0.5689655172413793,0.7678033089707951,-0.6256138035509203,-36.28560060595338,4,development,960,16:00,0.15,E15,31,30,"{'RUNNER_FLOOR_TOUCH': 21, 'PREARM_CLOSE_F35': 15, 'TIME_EXIT_UNARMED': 12, 'RUNNER_GAP_OPEN': 10}",False
57,33,0.5789473684210527,1.5488864916660847,0.9869968861070657,56.258822508102746,6,external,960,16:00,0.15,E15,28,15,"{'RUNNER_FLOOR_TOUCH': 21, 'TIME_EXIT_UNARMED': 22, 'RUNNER_GAP_OPEN': 4, 'RUNNER_TIME_EXIT': 3, 'PREARM_CLOSE_F35': 7}",True
28,14,0.5,0.7426052329577184,-0.5987123891949874,-16.763946897459647,5,reference_validation,960,16:00,0.15,E15,12,7,"{'TIME_EXIT_UNARMED': 10, 'PREARM_CLOSE_F35': 6, 'RUNNER_FLOOR_TOUCH': 8, 'RUNNER_GAP_OPEN': 4}",False
58,34,0.5862068965517241,0.990635944292182,-0.01360277919575833,-0.7889611933539832,4,development,300,05:00,0.2,E20,26,6,"{'TIME_EXIT_UNARMED': 22, 'RUNNER_FLOOR_TOUCH': 12, 'RUNNER_GAP_OPEN': 11, 'PREARM_CLOSE_F35': 10, 'RUNNER_TIME_EXIT': 3}",False
36,20,0.5555555555555556,2.1109965417924155,1.6650558941100615,59.94201218796221,4,external,300,05:00,0.2,E20,16,20,"{'TIME_EXIT_UNARMED': 15, 'RUNNER_FLOOR_TOUCH': 12, 'PREARM_CLOSE_F35': 5, 'RUNNER_GAP_OPEN': 3, 'RUNNER_TIME_EXIT': 1}",True
28,19,0.6785714285714286,1.3007090226904827,0.41530475037555614,11.628533010515572,2,reference_validation,300,05:00,0.2,E20,13,7,"{'TIME_EXIT_UNARMED': 9, 'RUNNER_GAP_OPEN': 7, 'RUNNER_FLOOR_TOUCH': 6, 'PREARM_CLOSE_F35': 6}",True
96,61,0.6354166666666666,1.4168446507107482,0.5749679071054916,55.196919082127195,4,development,540,09:00,0.2,E20,61,32,"{'RUNNER_FLOOR_TOUCH': 21, 'TIME_EXIT_UNARMED': 11, 'RUNNER_GAP_OPEN': 34, 'RUNNER_TIME_EXIT': 6, 'PREARM_CLOSE_F35': 24}",True
56,34,0.6071428571428571,1.3422162555268669,0.9763289382787246,54.674420543608576,3,external,540,09:00,0.2,E20,34,30,"{'PREARM_CLOSE_F35': 19, 'RUNNER_FLOOR_TOUCH': 23, 'RUNNER_GAP_OPEN': 9, 'TIME_EXIT_UNARMED': 3, 'RUNNER_TIME_EXIT': 2}",True
35,24,0.6857142857142857,1.5348330293090595,0.6134790255655699,21.471765894794945,3,reference_validation,540,09:00,0.2,E20,22,11,"{'RUNNER_FLOOR_TOUCH': 10, 'TIME_EXIT_UNARMED': 5, 'PREARM_CLOSE_F35': 8, 'RUNNER_GAP_OPEN': 11, 'RUNNER_TIME_EXIT': 1}",True
102,63,0.6176470588235294,1.2508671657421193,0.36574114644762756,37.30559693765801,5,development,600,10:00,0.2,E20,62,40,"{'RUNNER_GAP_OPEN': 32, 'RUNNER_FLOOR_TOUCH': 29, 'PREARM_CLOSE_F35': 31, 'TIME_EXIT_UNARMED': 9, 'RUNNER_TIME_EXIT': 1}",True
43,29,0.6744186046511628,1.54824636661438,1.0699777435029199,46.00904297062556,4,external,600,10:00,0.2,E20,29,11,"{'PREARM_CLOSE_F35': 10, 'RUNNER_FLOOR_TOUCH': 17, 'TIME_EXIT_UNARMED': 4, 'RUNNER_GAP_OPEN': 11, 'RUNNER_TIME_EXIT': 1}",True
46,24,0.5217391304347826,0.8948249248961653,-0.21378247557539184,-9.833993876468025,4,reference_validation,600,10:00,0.2,E20,26,12,"{'RUNNER_GAP_OPEN': 17, 'RUNNER_FLOOR_TOUCH': 8, 'PREARM_CLOSE_F35': 16, 'TIME_EXIT_UNARMED': 4, 'RUNNER_TIME_EXIT': 1}",False
58,32,0.5517241379310345,0.7985401191381997,-0.5589136227895662,-32.41699012179484,4,development,960,16:00,0.2,E20,31,25,"{'RUNNER_GAP_OPEN': 10, 'PREARM_CLOSE_F35': 15, 'RUNNER_FLOOR_TOUCH': 20, 'TIME_EXIT_UNARMED': 12, 'BUFFER_CLOSE_F35': 1}",False
57,32,0.5614035087719298,1.598655693850303,1.0886741695745545,62.054427665749614,6,external,960,16:00,0.2,E20,25,16,"{'RUNNER_FLOOR_TOUCH': 14, 'TIME_EXIT_UNARMED': 25, 'RUNNER_GAP_OPEN': 9, 'RUNNER_TIME_EXIT': 2, 'PREARM_CLOSE_F35': 7}",True
28,14,0.5,0.8183928207045725,-0.42242687938199974,-11.827952622695992,5,reference_validation,960,16:00,0.2,E20,11,5,"{'TIME_EXIT_UNARMED': 11, 'PREARM_CLOSE_F35': 6, 'RUNNER_FLOOR_TOUCH': 7, 'RUNNER_GAP_OPEN': 4}",False
58,34,0.5862068965517241,1.1663691233915467,0.2416775936731838,14.01730043304466,4,development,300,05:00,0.25,E25,25,5,"{'TIME_EXIT_UNARMED': 23, 'RUNNER_FLOOR_TOUCH': 12, 'RUNNER_GAP_OPEN': 10, 'PREARM_CLOSE_F35': 10, 'RUNNER_TIME_EXIT': 3}",True
36,20,0.5555555555555556,2.3511414935850192,2.0249622955988995,72.89864264156039,4,external,300,05:00,0.25,E25,16,24,"{'TIME_EXIT_UNARMED': 15, 'RUNNER_FLOOR_TOUCH': 13, 'PREARM_CLOSE_F35': 5, 'RUNNER_GAP_OPEN': 2, 'RUNNER_TIME_EXIT': 1}",True
28,19,0.6785714285714286,1.5446586943664031,0.7522200068354463,21.062160191392497,2,reference_validation,300,05:00,0.25,E25,13,8,"{'TIME_EXIT_UNARMED': 9, 'RUNNER_FLOOR_TOUCH': 5, 'RUNNER_TIME_EXIT': 1, 'PREARM_CLOSE_F35': 6, 'RUNNER_GAP_OPEN': 7}",True
96,60,0.625,1.2556669777938885,0.39053528866934367,37.491387712256994,4,development,540,09:00,0.25,E25,55,24,"{'RUNNER_FLOOR_TOUCH': 27, 'TIME_EXIT_UNARMED': 14, 'RUNNER_GAP_OPEN': 26, 'PREARM_CLOSE_F35': 27, 'RUNNER_TIME_EXIT': 2}",True
56,31,0.5535714285714286,1.0604494034333773,0.1837631822477248,10.29073820587259,5,external,540,09:00,0.25,E25,32,25,"{'PREARM_CLOSE_F35': 20, 'RUNNER_FLOOR_TOUCH': 20, 'TIME_EXIT_UNARMED': 4, 'RUNNER_GAP_OPEN': 11, 'RUNNER_TIME_EXIT': 1}",True
35,22,0.6285714285714286,1.4378292128692745,0.5800590474927143,20.302066662245,3,reference_validation,540,09:00,0.25,E25,19,9,"{'RUNNER_FLOOR_TOUCH': 9, 'RUNNER_GAP_OPEN': 9, 'TIME_EXIT_UNARMED': 7, 'PREARM_CLOSE_F35': 9, 'RUNNER_TIME_EXIT': 1}",True
102,58,0.5686274509803921,1.0770366430640488,0.12747872876583644,13.002830334115316,8,development,600,10:00,0.25,E25,57,34,"{'RUNNER_FLOOR_TOUCH': 31, 'RUNNER_GAP_OPEN': 25, 'PREARM_CLOSE_F35': 34, 'TIME_EXIT_UNARMED': 11, 'RUNNER_TIME_EXIT': 1}",False
43,28,0.6511627906976745,1.5668083687057985,1.2165595398339903,52.31206021286158,4,external,600,10:00,0.25,E25,26,17,"{'PREARM_CLOSE_F35': 11, 'RUNNER_FLOOR_TOUCH': 16, 'TIME_EXIT_UNARMED': 6, 'RUNNER_GAP_OPEN': 10}",True
46,24,0.5217391304347826,0.8208015662968317,-0.394438821453333,-18.144185786853317,4,reference_validation,600,10:00,0.25,E25,22,9,"{'RUNNER_GAP_OPEN': 13, 'RUNNER_FLOOR_TOUCH': 8, 'PREARM_CLOSE_F35': 18, 'TIME_EXIT_UNARMED': 6, 'RUNNER_TIME_EXIT': 1}",False
58,30,0.5172413793103449,0.7926449729893789,-0.5870732250848782,-34.05024705492294,4,development,960,16:00,0.25,E25,29,20,"{'RUNNER_TIME_EXIT': 1, 'PREARM_CLOSE_F35': 15, 'RUNNER_FLOOR_TOUCH': 18, 'TIME_EXIT_UNARMED': 14, 'RUNNER_GAP_OPEN': 9, 'BUFFER_CLOSE_F35': 1}",False
57,31,0.543859649122807,1.8182509224398786,1.491925891339846,85.03977580637122,6,external,960,16:00,0.25,E25,22,18,"{'RUNNER_FLOOR_TOUCH': 17, 'TIME_EXIT_UNARMED': 28, 'RUNNER_GAP_OPEN': 4, 'RUNNER_TIME_EXIT': 1, 'PREARM_CLOSE_F35': 7}",True
28,14,0.5,1.0433947160552886,0.10093815980195142,2.82626847445464,5,reference_validation,960,16:00,0.25,E25,10,6,"{'TIME_EXIT_UNARMED': 12, 'PREARM_CLOSE_F35': 6, 'RUNNER_TIME_EXIT': 1, 'RUNNER_GAP_OPEN': 5, 'RUNNER_FLOOR_TOUCH': 4}",True
58,33,0.5689655172413793,1.2604047954760842,0.37959844648645796,22.01670989621456,4,development,300,05:00,0.3,E30,20,5,"{'TIME_EXIT_UNARMED': 28, 'RUNNER_FLOOR_TOUCH': 6, 'RUNNER_GAP_OPEN': 12, 'PREARM_CLOSE_F35': 10, 'RUNNER_TIME_EXIT': 2}",True
36,20,0.5555555555555556,2.338306669391677,2.0057266824632247,72.20616056867608,4,external,300,05:00,0.3,E30,15,18,"{'TIME_EXIT_UNARMED': 16, 'RUNNER_FLOOR_TOUCH': 11, 'PREARM_CLOSE_F35': 5, 'RUNNER_GAP_OPEN': 4}",True
28,17,0.6071428571428571,1.4349668887256202,0.6134934973667532,17.17781792626909,2,reference_validation,300,05:00,0.3,E30,11,8,"{'TIME_EXIT_UNARMED': 11, 'RUNNER_FLOOR_TOUCH': 4, 'PREARM_CLOSE_F35': 6, 'RUNNER_GAP_OPEN': 7}",True
96,58,0.6041666666666666,1.3891308235334194,0.6392542653624944,61.36840947479946,4,development,540,09:00,0.3,E30,53,27,"{'RUNNER_FLOOR_TOUCH': 22, 'TIME_EXIT_UNARMED': 15, 'RUNNER_GAP_OPEN': 26, 'RUNNER_TIME_EXIT': 5, 'PREARM_CLOSE_F35': 28}",True
56,31,0.5535714285714286,1.071042868145683,0.2159667885034555,12.094140156193507,5,external,540,09:00,0.3,E30,32,14,"{'PREARM_CLOSE_F35': 20, 'RUNNER_FLOOR_TOUCH': 18, 'TIME_EXIT_UNARMED': 4, 'RUNNER_GAP_OPEN': 13, 'RUNNER_TIME_EXIT': 1}",True
35,22,0.6285714285714286,1.479587508019453,0.6353826216119323,22.23839175641763,3,reference_validation,540,09:00,0.3,E30,19,7,"{'RUNNER_FLOOR_TOUCH': 8, 'RUNNER_GAP_OPEN': 10, 'TIME_EXIT_UNARMED': 7, 'PREARM_CLOSE_F35': 9, 'RUNNER_TIME_EXIT': 1}",True
102,58,0.5686274509803921,1.186129396072612,0.32106529686816676,32.74866028055301,6,development,600,10:00,0.3,E30,55,26,"{'RUNNER_FLOOR_TOUCH': 30, 'RUNNER_GAP_OPEN': 23, 'PREARM_CLOSE_F35': 36, 'TIME_EXIT_UNARMED': 11, 'RUNNER_TIME_EXIT': 2}",True
43,26,0.6046511627906976,1.2851311995504535,0.6858576886221918,29.491880610754247,4,external,600,10:00,0.3,E30,24,9,"{'PREARM_CLOSE_F35': 12, 'RUNNER_FLOOR_TOUCH': 13, 'RUNNER_GAP_OPEN': 11, 'TIME_EXIT_UNARMED': 7}",True
46,22,0.4782608695652174,0.7225773073075094,-0.6831439048405589,-31.42461962266571,4,reference_validation,600,10:00,0.3,E30,20,8,"{'RUNNER_GAP_OPEN': 13, 'RUNNER_FLOOR_TOUCH': 6, 'PREARM_CLOSE_F35': 20, 'TIME_EXIT_UNARMED': 6, 'RUNNER_TIME_EXIT': 1}",False
58,29,0.5,0.8645573244033491,-0.3879329514267306,-22.500111182750377,4,development,960,16:00,0.3,E30,26,24,"{'RUNNER_TIME_EXIT': 2, 'PREARM_CLOSE_F35': 16, 'RUNNER_FLOOR_TOUCH': 17, 'TIME_EXIT_UNARMED': 16, 'RUNNER_GAP_OPEN': 7}",False
57,31,0.543859649122807,1.8784940831206403,1.601767907683406,91.30077073795414,6,external,960,16:00,0.3,E30,19,17,"{'RUNNER_GAP_OPEN': 5, 'TIME_EXIT_UNARMED': 31, 'RUNNER_FLOOR_TOUCH': 14, 'PREARM_CLOSE_F35': 7}",True
28,13,0.4642857142857143,0.8287638602570888,-0.43820429119110693,-12.269720153350994,5,reference_validation,960,16:00,0.3,E30,8,7,"{'TIME_EXIT_UNARMED': 13, 'PREARM_CLOSE_F35': 7, 'RUNNER_TIME_EXIT': 1, 'RUNNER_GAP_OPEN': 5, 'RUNNER_FLOOR_TOUCH': 2}",False
58,32,0.5517241379310345,1.2974719613159928,0.43389086022735557,25.165669893186625,4,development,300,05:00,0.35,E35,18,6,"{'TIME_EXIT_UNARMED': 30, 'RUNNER_GAP_OPEN': 10, 'RUNNER_FLOOR_TOUCH': 7, 'PREARM_CLOSE_F35': 10, 'RUNNER_TIME_EXIT': 1}",True
36,20,0.5555555555555556,2.528529001442213,2.290813812132514,82.46929723677052,4,external,300,05:00,0.35,E35,15,17,"{'TIME_EXIT_UNARMED': 16, 'RUNNER_FLOOR_TOUCH': 10, 'PREARM_CLOSE_F35': 5, 'RUNNER_GAP_OPEN': 4, 'RUNNER_TIME_EXIT': 1}",True
28,18,0.6428571428571429,1.5247707872412766,0.7324509992103148,20.508627977888814,2,reference_validation,300,05:00,0.35,E35,10,6,"{'TIME_EXIT_UNARMED': 12, 'RUNNER_FLOOR_TOUCH': 6, 'PREARM_CLOSE_F35': 6, 'RUNNER_GAP_OPEN': 4}",True
96,58,0.6041666666666666,1.6585177806214035,1.081796338457168,103.85244849188813,4,development,540,09:00,0.35,E35,53,27,"{'RUNNER_FLOOR_TOUCH': 22, 'TIME_EXIT_UNARMED': 15, 'RUNNER_GAP_OPEN': 25, 'RUNNER_TIME_EXIT': 6, 'PREARM_CLOSE_F35': 28}",True
56,29,0.5178571428571429,1.0987148536215863,0.31197555880629935,17.470631293152763,7,external,540,09:00,0.35,E35,29,15,"{'PREARM_CLOSE_F35': 21, 'RUNNER_FLOOR_TOUCH': 16, 'TIME_EXIT_UNARMED': 6, 'RUNNER_GAP_OPEN': 11, 'RUNNER_TIME_EXIT': 2}",True
35,20,0.5714285714285714,1.2345980650598403,0.3698835063854792,12.94592272349177,5,reference_validation,540,09:00,0.35,E35,17,4,"{'RUNNER_GAP_OPEN': 11, 'TIME_EXIT_UNARMED': 7, 'PREARM_CLOSE_F35': 11, 'RUNNER_FLOOR_TOUCH': 5, 'RUNNER_TIME_EXIT': 1}",True
102,58,0.5686274509803921,1.2139498508744897,0.3690543989038691,37.64354868819465,6,development,600,10:00,0.35,E35,55,25,"{'RUNNER_FLOOR_TOUCH': 26, 'RUNNER_GAP_OPEN': 27, 'PREARM_CLOSE_F35': 36, 'TIME_EXIT_UNARMED': 11, 'RUNNER_TIME_EXIT': 2}",True
43,25,0.5813953488372093,1.3771001100549947,0.9184434447056041,39.49306812234098,4,external,600,10:00,0.35,E35,22,8,"{'PREARM_CLOSE_F35': 12, 'RUNNER_FLOOR_TOUCH': 14, 'TIME_EXIT_UNARMED': 9, 'RUNNER_GAP_OPEN': 8}",True
46,22,0.4782608695652174,0.7225682091512096,-0.6831663087396814,-31.425650202025345,4,reference_validation,600,10:00,0.35,E35,19,4,"{'RUNNER_GAP_OPEN': 12, 'RUNNER_FLOOR_TOUCH': 7, 'PREARM_CLOSE_F35': 20, 'TIME_EXIT_UNARMED': 7}",False
58,29,0.5,0.8544946896982434,-0.41675420413075764,-24.171743839583943,4,development,960,16:00,0.35,E35,25,20,"{'RUNNER_TIME_EXIT': 2, 'PREARM_CLOSE_F35': 16, 'RUNNER_FLOOR_TOUCH': 15, 'TIME_EXIT_UNARMED': 17, 'RUNNER_GAP_OPEN': 8}",False
57,31,0.543859649122807,1.8020591505945065,1.4624032559473343,83.35698558899806,6,external,960,16:00,0.35,E35,17,12,"{'TIME_EXIT_UNARMED': 33, 'RUNNER_GAP_OPEN': 4, 'RUNNER_FLOOR_TOUCH': 13, 'PREARM_CLOSE_F35': 7}",True
28,13,0.4642857142857143,0.7234817089393857,-0.7076280855052917,-19.813586394148167,5,reference_validation,960,16:00,0.35,E35,6,5,"{'TIME_EXIT_UNARMED': 15, 'PREARM_CLOSE_F35': 7, 'RUNNER_TIME_EXIT': 1, 'RUNNER_FLOOR_TOUCH': 2, 'RUNNER_GAP_OPEN': 3}",False
58,33,0.5689655172413793,1.3615727234435362,0.5270734122238905,30.570257908985646,4,development,300,05:00,0.4,E40,15,6,"{'TIME_EXIT_UNARMED': 33, 'RUNNER_GAP_OPEN': 10, 'PREARM_CLOSE_F35': 10, 'RUNNER_FLOOR_TOUCH': 4, 'RUNNER_TIME_EXIT': 1}",True
36,20,0.5555555555555556,2.3426943252243246,2.0123024834946937,72.44288940580897,4,external,300,05:00,0.4,E40,14,17,"{'TIME_EXIT_UNARMED': 17, 'RUNNER_FLOOR_TOUCH': 9, 'PREARM_CLOSE_F35': 5, 'RUNNER_GAP_OPEN': 4, 'RUNNER_TIME_EXIT': 1}",True
28,18,0.6428571428571429,1.59506936152494,0.8305705253520319,23.255974709856893,2,reference_validation,300,05:00,0.4,E40,10,5,"{'TIME_EXIT_UNARMED': 12, 'RUNNER_FLOOR_TOUCH': 4, 'PREARM_CLOSE_F35': 6, 'RUNNER_GAP_OPEN': 6}",True
96,56,0.5833333333333334,1.666929825422837,1.1060790170597727,106.18358563773818,4,development,540,09:00,0.4,E40,48,30,"{'RUNNER_FLOOR_TOUCH': 17, 'TIME_EXIT_UNARMED': 20, 'RUNNER_TIME_EXIT': 6, 'PREARM_CLOSE_F35': 28, 'RUNNER_GAP_OPEN': 25}",True
56,29,0.5178571428571429,1.1238668483948078,0.3995951955637063,22.377330951567554,7,external,540,09:00,0.4,E40,28,12,"{'PREARM_CLOSE_F35': 22, 'RUNNER_FLOOR_TOUCH': 12, 'TIME_EXIT_UNARMED': 6, 'RUNNER_GAP_OPEN': 13, 'RUNNER_TIME_EXIT': 3}",True
35,19,0.5428571428571428,1.3006310432260682,0.48213431371311993,16.874700979959197,5,reference_validation,540,09:00,0.4,E40,15,6,"{'TIME_EXIT_UNARMED': 9, 'RUNNER_GAP_OPEN': 9, 'PREARM_CLOSE_F35': 11, 'RUNNER_FLOOR_TOUCH': 5, 'RUNNER_TIME_EXIT': 1}",True
102,56,0.5490196078431373,1.1750331099244027,0.3086230407527641,31.479550156781936,6,development,600,10:00,0.4,E40,49,21,"{'RUNNER_FLOOR_TOUCH': 21, 'RUNNER_GAP_OPEN': 27, 'TIME_EXIT_UNARMED': 17, 'PREARM_CLOSE_F35': 36, 'RUNNER_TIME_EXIT': 1}",True
43,25,0.5813953488372093,1.3765800797091237,0.9493662601293512,40.8227491855621,4,external,600,10:00,0.4,E40,20,9,"{'PREARM_CLOSE_F35': 13, 'RUNNER_FLOOR_TOUCH': 8, 'TIME_EXIT_UNARMED': 10, 'RUNNER_GAP_OPEN': 12}",True
46,20,0.43478260869565216,0.7833919090294021,-0.5444814040299152,-25.046144585376098,5,reference_validation,600,10:00,0.4,E40,18,6,"{'RUNNER_GAP_OPEN': 11, 'RUNNER_FLOOR_TOUCH': 6, 'PREARM_CLOSE_F35': 20, 'TIME_EXIT_UNARMED': 8, 'RUNNER_TIME_EXIT': 1}",False
58,28,0.4827586206896552,0.9102804185274587,-0.2578391172216753,-14.954668798857167,4,development,960,16:00,0.4,E40,24,16,"{'TIME_EXIT_UNARMED': 18, 'PREARM_CLOSE_F35': 16, 'RUNNER_FLOOR_TOUCH': 15, 'RUNNER_GAP_OPEN': 8, 'RUNNER_TIME_EXIT': 1}",False
57,31,0.543859649122807,1.779666457801397,1.4215744133042465,81.02974155834205,6,external,960,16:00,0.4,E40,15,8,"{'TIME_EXIT_UNARMED': 35, 'RUNNER_GAP_OPEN': 5, 'RUNNER_FLOOR_TOUCH': 10, 'PREARM_CLOSE_F35': 7}",True
28,13,0.4642857142857143,0.7032256561756994,-0.75946462688591,-21.26500955280548,5,reference_validation,960,16:00,0.4,E40,5,4,"{'TIME_EXIT_UNARMED': 16, 'PREARM_CLOSE_F35': 7, 'RUNNER_TIME_EXIT': 1, 'RUNNER_GAP_OPEN': 3, 'RUNNER_FLOOR_TOUCH': 1}",False
