role,partition,dev_block,execution_start,parent_entry_ts,parent_exit_ts,loss_class,H,L,R,parent_pnl,parent_pnl_5bps,h2_eligible,h2_recovery_entry_ts,h2_recovery_exit_ts,h2_recovery_reason,h2_recovery_pnl,h2_recovery_pnl_5bps,episode_pnl,episode_pnl_5bps,episode_class,latent_target_recovered,latent_recovery_min,latent_target_visit
CLOCK_SUPPORT,external,,2021-09-08 17:00:00+00:00,2021-09-08 17:05:00+00:00,2021-09-08 18:35:00+00:00,WIN,174.7,152.3,22.399999999999977,25.643961076130427,25.393961076130427,False,,,NONE,0.0,0.0,25.643961076130427,25.393961076130427,PARENT_WIN,False,,
CLOCK_SUPPORT,external,,2021-09-10 17:00:00+00:00,2021-09-10 18:40:00+00:00,2021-09-10 18:55:00+00:00,L3_BREAK_FAST_FAIL_10M,181.254,168.12,13.133999999999986,-1.05652840764886,-1.30652840764886,True,2021-09-10 19:55:00+00:00,2021-09-10 20:25:00+00:00,FAILED_BREAK,-0.7144669910732482,-0.9644669910732482,-1.770995398722108,-2.270995398722108,RESIDUAL_LATENT_RECOVERABLE,True,385.0,3.0
CLOCK_SUPPORT,external,,2021-09-13 17:00:00+00:00,2021-09-13 20:25:00+00:00,2021-09-13 21:30:00+00:00,WIN,167.8,150.2,17.600000000000023,20.977353992848723,20.727353992848723,False,,,NONE,0.0,0.0,20.977353992848723,20.727353992848723,PARENT_WIN,False,,
CLOCK_SUPPORT,external,,2021-09-14 17:00:00+00:00,2021-09-15 01:05:00+00:00,2021-09-15 04:10:00+00:00,L0_NEVER_BREAK_REFERENCE_INVALIDATION,163.348,155.27,8.078000000000003,-24.81817959203664,-25.06817959203664,True,2021-09-15 05:35:00+00:00,2021-09-15 06:05:00+00:00,TARGET,9.89054044126647,9.64054044126647,-14.927639150770169,-15.427639150770169,RESIDUAL_LATENT_RECOVERABLE,True,115.0,3.0
CLOCK_SUPPORT,external,,2021-09-16 17:00:00+00:00,2021-09-16 17:00:00+00:00,2021-09-16 18:20:00+00:00,L0_NEVER_BREAK_REFERENCE_INVALIDATION,159.194,153.127,6.066999999999979,-22.862042539291693,-23.112042539291693,False,,,NONE,0.0,0.0,-22.862042539291693,-23.112042539291693,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CLOCK_SUPPORT,external,,2021-09-17 17:00:00+00:00,2021-09-17 22:15:00+00:00,2021-09-17 22:50:00+00:00,L4_BREAK_FAIL_30M,145.99,137.56,8.430000000000007,-0.6062059045141011,-0.8562059045141011,True,2021-09-17 23:10:00+00:00,2021-09-17 23:30:00+00:00,FAILED_BREAK,-0.45208575929861494,-0.7020857592986149,-1.058291663812716,-1.558291663812716,RESIDUAL_LATENT_RECOVERABLE,True,445.0,6.0
CLOCK_SUPPORT,external,,2021-09-18 17:00:00+00:00,2021-09-18 23:15:00+00:00,2021-09-18 23:20:00+00:00,WIN,165.498,160.236,5.2620000000000005,6.358989232498336,6.108989232498336,False,,,NONE,0.0,0.0,6.358989232498336,6.108989232498336,PARENT_WIN,False,,
CLOCK_SUPPORT,external,,2021-09-22 17:00:00+00:00,2021-09-22 17:45:00+00:00,2021-09-22 18:00:00+00:00,L3_BREAK_FAST_FAIL_10M,143.673,128.8,14.87299999999999,-2.2655613789647755,-2.515561378964776,False,,,NONE,0.0,0.0,-2.2655613789647755,-2.515561378964776,RESIDUAL_LATENT_RECOVERABLE,True,10.0,1.0
CLOCK_SUPPORT,external,,2021-09-23 17:00:00+00:00,2021-09-23 17:30:00+00:00,2021-09-23 17:55:00+00:00,L4_BREAK_FAIL_30M,150.886,143.57,7.316000000000002,-0.2485320042945882,-0.4985320042945882,True,2021-09-23 23:45:00+00:00,2021-09-24 05:15:00+00:00,REFERENCE_INVALIDATION,-24.684198666542922,-24.934198666542922,-24.93273067083751,-25.43273067083751,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CLOCK_SUPPORT,external,,2021-09-24 17:00:00+00:00,2021-09-24 20:35:00+00:00,2021-09-24 22:30:00+00:00,L5_BREAK_FAIL_LATE,141.093,131.0,10.09299999999999,-1.4033297186961111,-1.6533297186961111,True,2021-09-25 00:25:00+00:00,2021-09-25 01:10:00+00:00,FAILED_BREAK,-2.5621398651952676,-2.8121398651952676,-3.9654695838913785,-4.4654695838913785,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CLOCK_SUPPORT,external,,2021-09-26 17:00:00+00:00,2021-09-27 01:40:00+00:00,2021-09-27 02:20:00+00:00,L5_BREAK_FAIL_LATE,140.778,134.587,6.1910000000000025,-1.4384349827387677,-1.6884349827387677,True,2021-09-27 02:30:00+00:00,2021-09-27 02:50:00+00:00,FAILED_BREAK,-2.5430109818294633,-2.7930109818294637,-3.981445964568231,-4.481445964568231,RESIDUAL_LATENT_RECOVERABLE,True,405.0,4.0
CLOCK_SUPPORT,external,,2021-09-28 17:00:00+00:00,2021-09-29 00:25:00+00:00,2021-09-29 00:50:00+00:00,L4_BREAK_FAIL_30M,136.449,129.429,7.02000000000001,-2.78125893190867,-3.0312589319086705,True,2021-09-29 02:05:00+00:00,2021-09-29 02:25:00+00:00,FAILED_BREAK,-1.1066405763326403,-1.3566405763326403,-3.8878995082413104,-4.387899508241311,RESIDUAL_LATENT_RECOVERABLE,True,180.0,3.0
CLOCK_SUPPORT,external,,2021-09-29 17:00:00+00:00,2021-09-30 01:10:00+00:00,2021-09-30 01:25:00+00:00,L3_BREAK_FAST_FAIL_10M,138.673,134.0,4.673000000000002,-0.2920539686888657,-0.5420539686888657,True,2021-09-30 02:20:00+00:00,2021-09-30 02:35:00+00:00,FAILED_BREAK,-0.11177374110321603,-0.36177374110321603,-0.4038277097920817,-0.9038277097920817,RESIDUAL_LATENT_RECOVERABLE,True,155.0,4.0
CLOCK_SUPPORT,external,,2021-09-30 17:00:00+00:00,2021-09-30 18:40:00+00:00,2021-09-30 18:45:00+00:00,WIN,139.588,136.158,3.430000000000007,4.91446256125172,4.66446256125172,False,,,NONE,0.0,0.0,4.91446256125172,4.66446256125172,PARENT_WIN,False,,
CLOCK_SUPPORT,external,,2021-10-01 17:00:00+00:00,2021-10-01 17:25:00+00:00,2021-10-01 18:10:00+00:00,WIN,158.999,149.366,9.63299999999998,12.117057339983251,11.86705733998325,False,,,NONE,0.0,0.0,12.117057339983251,11.86705733998325,PARENT_WIN,False,,
CLOCK_SUPPORT,external,,2021-10-02 17:00:00+00:00,2021-10-02 17:05:00+00:00,2021-10-02 17:20:00+00:00,L3_BREAK_FAST_FAIL_10M,173.804,161.34,12.464,-2.1000667418470957,-2.350066741847096,True,2021-10-02 18:00:00+00:00,2021-10-02 20:10:00+00:00,FAILED_BREAK,-1.3003152976916454,-1.5503152976916454,-3.400382039538741,-3.9003820395387416,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CLOCK_SUPPORT,external,,2021-10-10 17:00:00+00:00,2021-10-10 20:30:00+00:00,2021-10-10 21:05:00+00:00,L0_NEVER_BREAK_REFERENCE_INVALIDATION,154.875,152.776,2.098999999999989,-13.920903954802275,-14.170903954802275,False,,,NONE,0.0,0.0,-13.920903954802275,-14.170903954802275,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CLOCK_SUPPORT,external,,2021-10-12 17:00:00+00:00,2021-10-12 18:35:00+00:00,2021-10-12 19:55:00+00:00,L5_BREAK_FAIL_LATE,149.88,138.652,11.228000000000009,-0.0066720042701251,-0.2566720042701251,True,2021-10-12 21:35:00+00:00,2021-10-13 00:15:00+00:00,TARGET,14.982652788897767,14.732652788897765,14.975980784627641,14.47598078462764,H2_ECONOMIC_RESCUE,True,260.0,4.0
CLOCK_SUPPORT,external,,2021-10-13 17:00:00+00:00,2021-10-13 17:30:00+00:00,2021-10-13 22:20:00+00:00,WIN,147.51,144.283,3.227000000000004,4.375296590061639,4.125296590061639,False,,,NONE,0.0,0.0,4.375296590061639,4.125296590061639,PARENT_WIN,False,,
CLOCK_SUPPORT,external,,2021-10-14 17:00:00+00:00,2021-10-15 04:30:00+00:00,2021-10-15 04:55:00+00:00,L1_NEVER_BREAK_TIME,155.929,150.259,5.670000000000016,-3.4310487465448736,-3.6810487465448736,True,2021-10-15 06:00:00+00:00,2021-10-15 06:10:00+00:00,TARGET,7.272540707629727,7.022540707629727,3.841491961084853,3.341491961084853,H2_ECONOMIC_RESCUE,True,75.0,2.0
CLOCK_SUPPORT,external,,2021-10-15 17:00:00+00:00,2021-10-15 23:30:00+00:00,2021-10-15 23:40:00+00:00,L2_BREAK_FAST_FAIL_5M,163.227,157.626,5.600999999999999,-1.5836840718753686,-1.8336840718753689,True,2021-10-15 23:50:00+00:00,2021-10-16 00:05:00+00:00,FAILED_BREAK,-4.129218817965185,-4.379218817965186,-5.712902889840554,-6.212902889840555,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CLOCK_SUPPORT,external,,2021-10-16 17:00:00+00:00,2021-10-17 03:50:00+00:00,2021-10-17 03:55:00+00:00,WIN,160.964,158.887,2.076999999999998,2.580701274819241,2.330701274819241,False,,,NONE,0.0,0.0,2.580701274819241,2.330701274819241,PARENT_WIN,False,,
CLOCK_SUPPORT,external,,2021-10-20 17:00:00+00:00,2021-10-20 19:05:00+00:00,2021-10-21 00:10:00+00:00,WIN,174.65,160.1,14.550000000000011,16.661895219009402,16.411895219009402,False,,,NONE,0.0,0.0,16.661895219009402,16.411895219009402,PARENT_WIN,False,,
