partition,view,bucket,n,wr,pf,exp,total,mean_win,mean_loss,max_value,giveback,runner_delta
development,EXIT_REASON,TIME_EXIT_SESSION_END,10,0.0,0.0,-1.9676697579407931,-19.676697579407932,,-1.9676697579407931,,,
development,PRE_INVALID_OVERSHOOT,F65_OVERSHOOT_R,22,,,0.06622571202956676,-113.74414675372245,0.1084053526951427,0.2774496798930328,0.34969549330085153,,
development,PATH,ACTIVATED_ALL,47,0.9148936170212766,50.1691150570814,2.3816320868328997,111.93670808114629,0.639602031586994,0.1320190815564184,0.1684281842818472,0.5856187290969856,1.0645252476432179
development,PATH,ACTIVATED_WIN,43,1.0,inf,2.656122640039339,114.21327352169158,0.639602031586994,0.1500047023417658,0.205091937765203,0.5176294073518408,6.678592688736347
development,PATH,ACTIVATED_LOSS,4,0.0,0.0,-0.5691413601363211,-2.2765654405452844,0.6591388828819609,-0.11338184344562499,0.0,0.772520726327586,-5.614067441093132
reference_validation,ALL,ALL,34,0.5,0.43288803747252685,-1.1459906512189255,-38.96368214144347,1.7495157102914798,-4.04149701272933,,,
reference_validation,ACTIVATED,ALL,17,0.9411764705882353,17.877039419748105,1.6412298668487373,27.900907736428533,1.8471309416510073,-1.6531873299875817,,,
reference_validation,NOT_ACTIVATED,ALL,17,0.058823529411764705,0.0027988915401088933,-3.933211169286588,-66.86458987787199,0.1876720085390418,-4.1907663679006895,,,
reference_validation,EXIT_REASON,PRE_ACT_CLOSE_INVALIDATION_F65,13,0.0,0.0,-4.613373999955813,-59.97386199942558,,-4.613373999955813,,,
reference_validation,EXIT_REASON,PROFIT_CEILING_GAP_OPEN,9,0.8888888888888888,9.035428327007509,1.4760075890257918,13.284068301232125,1.8671569539024633,-1.6531873299875817,,,
reference_validation,EXIT_REASON,PROFIT_CEILING_HIT,8,1.0,inf,1.827104929399551,14.616839435196407,1.827104929399551,,,,
reference_validation,EXIT_REASON,TIME_EXIT_SESSION_END,4,0.25,0.02651333797686404,-1.7226819696116054,-6.890727878446421,0.1876720085390418,-2.3594666289951545,,,
reference_validation,PRE_INVALID_OVERSHOOT,F65_OVERSHOOT_R,13,,,0.07261540936142269,-59.97386199942558,0.16070433362159683,0.2053163075725279,0.2873825923606777,,
reference_validation,PATH,ACTIVATED_ALL,17,0.9411764705882353,17.877039419748105,1.6412298668487373,27.900907736428533,0.8344198174706626,0.1818665720369037,0.2180281690140802,0.6645773843517889,-8.961237556769598
reference_validation,PATH,ACTIVATED_WIN,16,1.0,inf,1.8471309416510073,29.554095066416117,0.8494986009112269,0.1909332860184491,0.22467753096067955,0.6529033219131276,-3.7769469900584345
reference_validation,PATH,ACTIVATED_LOSS,1,0.0,0.0,-1.6531873299875817,-1.6531873299875817,0.6991126646948105,-0.2615756923904244,0.0,0.9606883570852348,-5.184290566711162
POOLED_MAJOR,ALL,ALL,163,0.5337423312883436,0.9464063248621912,-0.09238291973612855,-15.058415916988954,3.0564981008944216,-3.6970230354579425,,,
POOLED_MAJOR,ACTIVATED,ALL,92,0.9239130434782609,49.13444713286561,2.8081408424678846,258.3489575070454,3.102543457916104,-0.7667480594033513,,,
POOLED_MAJOR,NOT_ACTIVATED,ALL,71,0.028169014084507043,0.00797927748804873,-3.85080807639485,-273.40737342403435,1.0995704274729239,-3.9942973083910176,,,
POOLED_MAJOR,EXIT_REASON,PRE_ACT_CLOSE_INVALIDATION_F65,42,0.0,0.0,-5.153009526067513,-216.42640009483554,,-5.153009526067513,,,
POOLED_MAJOR,EXIT_REASON,PROFIT_CEILING_GAP_OPEN,62,0.8870967741935484,24.86809329211528,2.066220959576013,128.1056994937128,2.426780652900659,-0.7667480594033513,,,
POOLED_MAJOR,EXIT_REASON,PROFIT_CEILING_HIT,30,1.0,inf,4.341441933777751,130.24325801333254,4.341441933777751,,,,
POOLED_MAJOR,EXIT_REASON,TIME_EXIT_SESSION_END,29,0.06896551724137931,0.03716013200148637,-1.9648611492827144,-56.98097332919872,1.0995704274729239,-2.191856080894243,,,
POOLED_MAJOR,PRE_INVALID_OVERSHOOT,F65_OVERSHOOT_R,42,,,0.08847665112307165,-216.42640009483554,0.13273850400091036,0.2319999814556925,0.34969549330085153,,
POOLED_MAJOR,PATH,ACTIVATED_ALL,92,0.9239130434782609,49.13444713286561,2.8081408424678846,258.3489575070454,0.6432350227969048,0.16479379061347085,0.2131652046834355,0.5279071844456305,-3.39281746547202
POOLED_MAJOR,PATH,ACTIVATED_WIN,85,1.0,inf,3.102543457916104,263.71619392286885,0.64508951147972,0.1784366228989948,0.2313268929072789,0.5010515773660447,12.11295782637649
POOLED_MAJOR,PATH,ACTIVATED_LOSS,7,0.0,0.0,-0.7667480594033513,-5.367236415823459,0.632058287795923,-0.1284030311535212,0.0,0.7304189435336518,-15.505775291848508
