partition,entry_name,target_name,risk_name,n_0,wins_0,wr_0,pf_0,expectancy_0,net_0,max_ls_0,median_win_0,median_loss_0,n_5,wins_5,wr_5,pf_5,expectancy_5,net_5,max_ls_5,median_win_5,median_loss_5,tp,stop,time_exit,median_hold
development,F90,E20,D60,65,42,0.6461538461538462,0.7341619597228334,-0.6750736221728126,-43.87978544123282,3,2.424438288603237,-6.253445537784053,65,41,0.6307692307692307,0.6231617001118838,-1.0235929430147623,-66.53354129595955,3,2.2394649166424645,-6.622784239418245,39,16,10,65.0
reference_validation,F90,E20,D60,30,21,0.7,1.0065522011050756,0.01719992358794995,0.5159977076384985,3,3.520936727897728,-7.865080237754718,30,21,0.7,0.8894152274998349,-0.3065942490924804,-9.197827472774412,3,3.26910217680938,-8.357369013129212,21,7,2,47.5
august,F90,E20,D60,1,0,0.0,0.0,-4.313381844062369,-4.313381844062369,1,,-4.313381844062369,1,0,0.0,0.0,-4.809220542868853,-4.809220542868853,1,,-4.809220542868853,0,1,0,75.0
POOLED_MAJOR,F90,E20,D60,151,105,0.695364238410596,0.8433420043326474,-0.4433746039021682,-66.9495651892274,3,2.902365470890356,-6.673370575586746,151,102,0.6754966887417219,0.737732893696111,-0.782935189737056,-118.22321365029546,3,2.8669485003187227,-6.953126849421942,96,29,26,65.0
external,F85,E10,D30,56,37,0.6607142857142857,1.1754144971941258,0.36493048701831043,20.436107273025385,3,3.0321028446613334,-5.03794291441344,56,37,0.6607142857142857,1.0077494071512272,0.017420697696041567,0.9755590709783277,3,2.780512588367268,-5.53305741424902,34,17,5,45.0
development,F85,E10,D30,70,42,0.6,0.8050210135965487,-0.35749057547202134,-25.024340283041493,5,1.9559178470655696,-4.182277529030792,70,42,0.6,0.6522630745651271,-0.7065005838889256,-49.45504087222479,5,1.7048654143583368,-4.678247266632896,42,27,1,40.0
reference_validation,F85,E10,D30,34,20,0.5882352941176471,0.8127284543500656,-0.4025736317696635,-13.687503480168559,3,2.8065309423140454,-4.955988126023258,34,20,0.5882352941176471,0.6794759037860867,-0.7543451493128737,-25.647735076637705,3,2.5550534156063125,-5.451184539690335,20,14,0,27.5
august,F85,E10,D30,1,0,0.0,0.0,-2.5543367252602196,-2.5543367252602196,1,,-2.5543367252602196,1,0,0.0,0.0,-3.0519335901025175,-3.0519335901025175,1,,-3.0519335901025175,0,1,0,35.0
POOLED_MAJOR,F85,E10,D30,160,99,0.61875,0.9425173208408455,-0.11422335306365414,-18.275736490184663,5,2.716961002477714,-4.6399720009901895,160,99,0.61875,0.7870678749920357,-0.46329510548677594,-74.12721687788415,5,2.465528238358617,-5.135484272853308,96,58,6,40.0
external,F85,E10,D40,56,41,0.7321428571428571,1.2900044966165345,0.5894003013344846,33.00641687473114,3,3.0229395521657714,-5.03794291441344,56,41,0.7321428571428571,1.1199530372978508,0.25961683939685926,14.538543006224117,3,2.7713538752281557,-5.53305741424902,38,11,7,50.0
development,F85,E10,D40,70,44,0.6285714285714286,0.7801518965925464,-0.42892610884812393,-30.024827619368676,5,1.9559178470655696,-4.958868929594534,70,44,0.6285714285714286,0.6373085292553216,-0.7742850392267193,-54.199952745870355,5,1.684059570439445,-5.454062463897808,43,24,3,40.0
reference_validation,F85,E10,D40,34,21,0.6176470588235294,0.8010143233369407,-0.4822690716023133,-16.397148434478652,3,2.871723346659261,-5.215383184523792,34,21,0.6176470588235294,0.6836267933361666,-0.8265087045741136,-28.101295955519863,3,2.6202132400393157,-5.710320332765074,21,13,0,37.5
august,F85,E10,D40,1,0,0.0,0.0,-4.028245372507944,-4.028245372507944,1,,-4.028245372507944,1,0,0.0,0.0,-4.524369065288958,-4.524369065288958,1,,-4.524369065288958,0,1,0,65.0
POOLED_MAJOR,F85,E10,D40,160,106,0.6625,0.9596873601962956,-0.08384724486947628,-13.415559179116205,5,2.6045026396469666,-5.029486829242052,160,106,0.6625,0.8114892684648011,-0.4235169105947881,-67.76270569516609,5,2.353126076608714,-5.524609780936901,102,48,10,45.0
external,F85,E10,D50,56,45,0.8035714285714286,1.2412429583318902,0.5326911538721564,29.830704616840755,2,2.9356135158383316,-9.481741468842776,56,45,0.8035714285714286,1.0958646778495307,0.22088634943377264,12.369635568291267,2,2.6840714800982606,-9.972414390912776,42,7,7,65.0
development,F85,E10,D50,70,48,0.6857142857142857,0.7836579702085795,-0.44939379738834734,-31.457565817184314,5,1.9066191827949557,-6.27892211700361,70,48,0.6857142857142857,0.6504181959149924,-0.7803894195155107,-54.627259366085745,5,1.6555913871013743,-6.7727962578162,47,20,3,55.0
reference_validation,F85,E10,D50,34,23,0.6764705882352942,0.8559342077624268,-0.3536762652238875,-12.024993017612175,3,2.871723346659261,-6.21519717261908,34,23,0.6764705882352942,0.7386496560707935,-0.6832542151770046,-23.230643316018156,3,2.6202132400393157,-6.709135006529465,23,11,0,40.0
august,F85,E10,D50,1,0,0.0,0.0,-4.028245372507944,-4.028245372507944,1,,-4.028245372507944,1,0,0.0,0.0,-4.524369065288958,-4.524369065288958,1,,-4.524369065288958,0,1,0,65.0
POOLED_MAJOR,F85,E10,D50,160,116,0.725,0.9612745862638781,-0.08532408886222334,-13.651854217955735,5,2.3053135351567393,-6.323878040675595,160,116,0.725,0.8249837076631015,-0.40930166946132884,-65.48826711381261,5,2.054086491910812,-6.81770724803123,112,38,10,52.5
external,F85,E10,D60,56,45,0.8035714285714286,1.2461683622688065,0.5414185757745812,30.319440243376548,2,2.9356135158383316,-4.958864523322825,56,45,0.8035714285714286,1.1000270872679707,0.22960504827582223,12.857882703446045,2,2.6840714800982606,-5.454058062030132,42,5,9,75.0
development,F85,E10,D60,70,50,0.7142857142857143,0.8123648516004708,-0.3938572517098406,-27.57000761968884,5,1.9620120699983095,-6.484597846196555,70,50,0.7142857142857143,0.6795672918943838,-0.7177247240403914,-50.240730682827405,5,1.6901507477835702,-6.97826641406642,49,16,5,60.0
reference_validation,F85,E10,D60,34,24,0.7058823529411765,0.7831141745219447,-0.5909177435757708,-20.091203281576206,3,2.8065309423140454,-9.109110362490004,34,24,0.7058823529411765,0.681802905159025,-0.9128872568576785,-31.038166733161066,3,2.5550534156063125,-9.600155729443966,24,9,1,45.0
august,F85,E10,D60,1,0,0.0,0.0,-4.028245372507944,-4.028245372507944,1,,-4.028245372507944,1,0,0.0,0.0,-4.524369065288958,-4.524369065288958,1,,-4.524369065288958,0,1,0,65.0
