source_tf,family,mode,partition,candidate_n,raw_candidate_wr,long_n,short_n,median_hours,weekly_coverage,weekly_wr
H1,PREV_LOW,HOLD,development,8041,0.39597065041661483,4574,3467,5.0,1.0,0.4358974358974359
H1,PREV_LOW,HOLD,external,5251,0.4060179013521234,3004,2247,3.0,1.0,0.42718446601941745
H1,PREV_LOW,HOLD,reference_validation,4266,0.42006563525550866,2186,2080,6.0,1.0,0.48148148148148145
H1,PREV_LOW,RECLAIM,development,7999,0.3957994749343668,4532,3467,5.0,1.0,0.4358974358974359
H1,PREV_LOW,RECLAIM,external,5217,0.4061721295763849,2970,2247,3.0,1.0,0.42718446601941745
H1,PREV_LOW,RECLAIM,reference_validation,4248,0.4201977401129944,2168,2080,6.0,1.0,0.48148148148148145
H1,PREV_LOW,WICK,development,5181,0.3889210577108666,3976,1205,5.0,1.0,0.4230769230769231
H1,PREV_LOW,WICK,external,3467,0.41217190654744734,2689,778,3.0,1.0,0.44660194174757284
H1,PREV_LOW,WICK,reference_validation,2599,0.40746440938822626,1847,752,6.0,1.0,0.49382716049382713
H1,PREV_OPEN,BODY,development,6977,0.3967321198222732,3570,3407,5.0,1.0,0.4166666666666667
H1,PREV_OPEN,BODY,external,4761,0.389413988657845,2413,2348,3.0,1.0,0.46601941747572817
H1,PREV_OPEN,BODY,reference_validation,3497,0.419502430654847,1757,1740,6.0,1.0,0.48148148148148145
H1,PREV_OPEN,HOLD,development,9265,0.395466810577442,4736,4529,4.0,1.0,0.40384615384615385
H1,PREV_OPEN,HOLD,external,6335,0.39715864246250987,3207,3128,3.0,1.0,0.47572815533980584
H1,PREV_OPEN,HOLD,reference_validation,4591,0.4151600958396863,2311,2280,6.0,1.0,0.5185185185185185
H1,PREV_OPEN,RECLAIM,development,9251,0.3954167117068425,4729,4522,4.0,1.0,0.40384615384615385
H1,PREV_OPEN,RECLAIM,external,6331,0.39725161901753275,3206,3125,3.0,1.0,0.47572815533980584
H1,PREV_OPEN,RECLAIM,reference_validation,4586,0.4153946794592237,2308,2278,6.0,1.0,0.5185185185185185
H1,PREV_OPEN,WICK,development,5739,0.3875239588778533,2990,2749,4.0,1.0,0.4358974358974359
H1,PREV_OPEN,WICK,external,4023,0.39448173005219983,2086,1937,3.0,1.0,0.47572815533980584
H1,PREV_OPEN,WICK,reference_validation,2687,0.40863416449572015,1354,1333,6.0,1.0,0.5061728395061729
H1,R12_HIGH,BODY,development,1100,0.42363636363636364,734,366,3.0,1.0,0.4551282051282051
H1,R12_HIGH,BODY,external,1022,0.3904109589041096,660,362,2.0,1.0,0.4174757281553398
H1,R12_HIGH,BODY,reference_validation,711,0.379746835443038,484,227,5.0,0.9876543209876543,0.35
H1,R12_HIGH,HOLD,development,1798,0.41935483870967744,734,1064,3.0,1.0,0.391025641025641
H1,R12_HIGH,HOLD,external,1453,0.40467997247075016,660,793,2.0,1.0,0.42718446601941745
H1,R12_HIGH,HOLD,reference_validation,1082,0.39833641404805914,484,598,5.0,0.9876543209876543,0.4125
H1,R12_HIGH,RECLAIM,development,1796,0.4192650334075724,734,1062,3.0,1.0,0.391025641025641
H1,R12_HIGH,RECLAIM,external,1449,0.4044168391994479,660,789,2.0,1.0,0.42718446601941745
H1,R12_HIGH,RECLAIM,reference_validation,1081,0.3987049028677151,484,597,5.0,0.9876543209876543,0.4125
H1,R12_HIGH,WICK,development,1104,0.42028985507246375,172,932,4.0,1.0,0.4551282051282051
H1,R12_HIGH,WICK,external,865,0.41502890173410406,174,691,2.0,1.0,0.4174757281553398
H1,R12_HIGH,WICK,reference_validation,645,0.4,141,504,5.0,0.9876543209876543,0.425
H1,R12_LOW,BODY,development,976,0.3668032786885246,306,670,3.0,0.9807692307692307,0.41830065359477125
H1,R12_LOW,BODY,external,683,0.3689604685212299,230,453,2.0,0.9902912621359223,0.39215686274509803
H1,R12_LOW,BODY,reference_validation,742,0.42857142857142855,221,521,5.0,1.0,0.41975308641975306
H1,R12_LOW,HOLD,development,1690,0.3745562130177515,1020,670,3.0,1.0,0.40384615384615385
H1,R12_LOW,HOLD,external,1085,0.3778801843317972,632,453,2.0,1.0,0.34951456310679613
H1,R12_LOW,HOLD,reference_validation,1086,0.4263351749539595,565,521,5.0,1.0,0.3950617283950617
H1,R12_LOW,RECLAIM,development,1686,0.3748517200474496,1016,670,3.0,1.0,0.40384615384615385
H1,R12_LOW,RECLAIM,external,1081,0.37835337650323775,628,453,2.0,1.0,0.34951456310679613
H1,R12_LOW,RECLAIM,reference_validation,1084,0.42712177121771217,563,521,5.0,1.0,0.3950617283950617
H1,R12_LOW,WICK,development,1039,0.3666987487969201,903,136,4.0,0.9871794871794872,0.4025974025974026
H1,R12_LOW,WICK,external,676,0.3772189349112426,577,99,2.0,0.9805825242718447,0.40594059405940597
H1,R12_LOW,WICK,reference_validation,646,0.413312693498452,489,157,5.0,1.0,0.4567901234567901
H1,R3_HIGH,BODY,development,3159,0.4077239632795188,1993,1166,4.0,1.0,0.40384615384615385
H1,R3_HIGH,BODY,external,2337,0.384681215233205,1449,888,2.0,1.0,0.46601941747572817
H1,R3_HIGH,BODY,reference_validation,1820,0.39505494505494504,1208,612,6.0,1.0,0.37037037037037035
H1,R3_HIGH,HOLD,development,4666,0.4063437633947707,1993,2673,4.0,1.0,0.40384615384615385
H1,R3_HIGH,HOLD,external,3361,0.39839333531687,1449,1912,3.0,1.0,0.5533980582524272
H1,R3_HIGH,HOLD,reference_validation,2616,0.4013761467889908,1208,1408,6.0,1.0,0.35802469135802467
H1,R3_HIGH,RECLAIM,development,4647,0.40628362384333977,1993,2654,4.0,1.0,0.40384615384615385
H1,R3_HIGH,RECLAIM,external,3347,0.39796832984762476,1449,1898,3.0,1.0,0.5533980582524272
H1,R3_HIGH,RECLAIM,reference_validation,2612,0.40084226646248083,1208,1404,6.0,1.0,0.35802469135802467
H1,R3_HIGH,WICK,development,2908,0.40371389270976615,579,2329,4.0,1.0,0.46153846153846156
H1,R3_HIGH,WICK,external,2134,0.4034676663542643,471,1663,3.0,1.0,0.5339805825242718
H1,R3_HIGH,WICK,reference_validation,1544,0.39378238341968913,370,1174,6.0,1.0,0.32098765432098764
H1,R3_LOW,BODY,development,2894,0.39599170697995856,1037,1857,4.0,1.0,0.41025641025641024
H1,R3_LOW,BODY,external,1938,0.38183694530443757,733,1205,2.0,1.0,0.4174757281553398
H1,R3_LOW,BODY,reference_validation,1742,0.4288174512055109,567,1175,5.0,1.0,0.49382716049382713
H1,R3_LOW,HOLD,development,4522,0.39340999557717826,2665,1857,4.0,1.0,0.4551282051282051
H1,R3_LOW,HOLD,external,2971,0.39347021204981486,1766,1205,2.0,1.0,0.4563106796116505
H1,R3_LOW,HOLD,reference_validation,2529,0.4321866350336101,1354,1175,6.0,1.0,0.3950617283950617
H1,R3_LOW,RECLAIM,development,4505,0.39289678135405104,2648,1857,4.0,1.0,0.44871794871794873
H1,R3_LOW,RECLAIM,external,2963,0.3931825852176848,1758,1205,2.0,1.0,0.4563106796116505
H1,R3_LOW,RECLAIM,reference_validation,2520,0.43293650793650795,1345,1175,6.0,1.0,0.3950617283950617
H1,R3_LOW,WICK,development,2859,0.3875480937390696,2359,500,5.0,1.0,0.3974358974358974
H1,R3_LOW,WICK,external,1909,0.40492404400209536,1581,328,2.0,1.0,0.42718446601941745
H1,R3_LOW,WICK,reference_validation,1507,0.41871267418712677,1120,387,6.0,1.0,0.4691358024691358
H1,R6_HIGH,BODY,development,1881,0.4109516214779373,1208,673,4.0,1.0,0.4358974358974359
H1,R6_HIGH,BODY,external,1564,0.38107416879795397,990,574,2.0,1.0,0.42718446601941745
H1,R6_HIGH,BODY,reference_validation,1152,0.4010416666666667,772,380,5.0,1.0,0.4444444444444444
H1,R6_HIGH,HOLD,development,2944,0.4048913043478261,1208,1736,4.0,1.0,0.391025641025641
H1,R6_HIGH,HOLD,external,2231,0.40385477364410577,990,1241,2.0,1.0,0.5145631067961165
H1,R6_HIGH,HOLD,reference_validation,1705,0.40762463343108507,772,933,5.0,1.0,0.41975308641975306
H1,R6_HIGH,RECLAIM,development,2932,0.4045020463847203,1208,1724,4.0,1.0,0.391025641025641
H1,R6_HIGH,RECLAIM,external,2220,0.40315315315315314,990,1230,2.0,1.0,0.5145631067961165
H1,R6_HIGH,RECLAIM,reference_validation,1701,0.40681951793062904,772,929,5.0,1.0,0.41975308641975306
H1,R6_HIGH,WICK,development,1839,0.40348015225666123,318,1521,4.0,1.0,0.41025641025641024
H1,R6_HIGH,WICK,external,1371,0.412837345003647,281,1090,3.0,1.0,0.5145631067961165
H1,R6_HIGH,WICK,reference_validation,1007,0.39920556107249255,232,775,5.0,1.0,0.4444444444444444
H1,R6_LOW,BODY,development,1722,0.38501742160278746,610,1112,4.0,1.0,0.3974358974358974
