tf,partition,transition,date_utc,previous_session_high,previous_session_low,midpoint,active_session_start,active_session_end,status,side,signal_level,signal_k,signal_bar_start,signal_ts,setup_status,filled,entry_ts,entry_px,stop_px,target_px,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,hold_minutes
5m,external,ASIA_TO_LONDON,2020-02-14,10299.0,10123.37,10211.185000000001,2020-02-14 08:00:00+00:00,2020-02-14 13:30:00+00:00,SIGNAL,SHORT,LOW,0.0,2020-02-14 08:00:00+00:00,2020-02-14 08:05:00+00:00,SIGNAL,True,2020-02-14 09:25:00+00:00,10211.185000000001,10299.0,10123.37,2020-02-14 10:35:00+00:00,10299.0,SL_RANGE_EDGE,-0.008599883363194172,-4.699941681597086,70.0
5m,external,LONDON_TO_NEWYORK,2020-02-14,10310.0,10125.01,10217.505000000001,2020-02-14 13:30:00+00:00,2020-02-14 20:00:00+00:00,,LONG,HIGH,,2020-02-14 14:10:00+00:00,2020-02-14 14:15:00+00:00,SIGNAL,False,,,10125.01,10310.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,ASIA_TO_LONDON,2020-02-17,9971.0,9720.23,9845.615,2020-02-17 08:00:00+00:00,2020-02-17 13:30:00+00:00,,SHORT,LOW,,2020-02-17 10:15:00+00:00,2020-02-17 10:20:00+00:00,SIGNAL,False,,,9971.0,9720.23,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,LONDON_TO_NEWYORK,2020-02-17,9844.75,9585.0,9714.875,2020-02-17 13:30:00+00:00,2020-02-17 20:00:00+00:00,,SHORT,LOW,,2020-02-17 13:30:00+00:00,2020-02-17 13:35:00+00:00,SIGNAL,False,,,9844.75,9585.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,ASIA_TO_LONDON,2020-02-18,9821.0,9635.74,9728.369999999999,2020-02-18 08:00:00+00:00,2020-02-18 13:30:00+00:00,SIGNAL,LONG,HIGH,1.0,2020-02-18 08:05:00+00:00,2020-02-18 08:10:00+00:00,SIGNAL,True,2020-02-18 09:00:00+00:00,9728.369999999999,9635.74,9821.0,2020-02-18 13:15:00+00:00,9635.74,SL_RANGE_EDGE,-0.009521636204214978,-5.1608181021074895,255.0
5m,external,LONDON_TO_NEWYORK,2020-02-18,9802.59,9598.0,9700.295,2020-02-18 13:30:00+00:00,2020-02-18 20:00:00+00:00,SIGNAL,SHORT,LOW,2.0,2020-02-18 13:40:00+00:00,2020-02-18 13:45:00+00:00,SIGNAL,True,2020-02-18 14:50:00+00:00,9700.295,9802.59,9598.0,2020-02-18 15:20:00+00:00,9802.59,SL_RANGE_EDGE,-0.010545555573309828,-5.6727777866549145,30.0
5m,external,ASIA_TO_LONDON,2020-02-19,10198.88,10037.26,10118.07,2020-02-19 08:00:00+00:00,2020-02-19 13:30:00+00:00,SIGNAL,SHORT,LOW,0.0,2020-02-19 08:00:00+00:00,2020-02-19 08:05:00+00:00,SIGNAL,True,2020-02-19 08:15:00+00:00,10118.07,10198.88,10037.26,2020-02-19 11:55:00+00:00,10198.88,SL_RANGE_EDGE,-0.007986701021044373,-4.393350510522187,220.0
5m,external,LONDON_TO_NEWYORK,2020-02-19,10258.5,10026.08,10142.29,2020-02-19 13:30:00+00:00,2020-02-19 20:00:00+00:00,,LONG,HIGH,,2020-02-19 17:20:00+00:00,2020-02-19 17:25:00+00:00,SIGNAL,False,,,10026.08,10258.5,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,ASIA_TO_LONDON,2020-02-20,9654.64,9500.0,9577.32,2020-02-20 08:00:00+00:00,2020-02-20 13:30:00+00:00,SIGNAL,LONG,HIGH,28.0,2020-02-20 10:20:00+00:00,2020-02-20 10:25:00+00:00,SIGNAL,True,2020-02-20 11:45:00+00:00,9577.32,9500.0,9654.64,2020-02-20 13:30:00+00:00,9551.41,TIME_EXIT_SESSION_END,-0.0027053497220517198,-1.7526748610258598,105.0
5m,external,LONDON_TO_NEWYORK,2020-02-20,9642.0,9523.86,9582.93,2020-02-20 13:30:00+00:00,2020-02-20 20:00:00+00:00,SIGNAL,SHORT,LOW,0.0,2020-02-20 13:30:00+00:00,2020-02-20 13:35:00+00:00,SIGNAL,True,2020-02-20 13:50:00+00:00,9582.93,9642.0,9523.86,2020-02-20 16:35:00+00:00,9523.86,TP_RANGE_EDGE,0.006164085514555495,2.6820427572777477,165.0
5m,external,ASIA_TO_LONDON,2020-02-21,9740.0,9572.06,9656.029999999999,2020-02-21 08:00:00+00:00,2020-02-21 13:30:00+00:00,,LONG,HIGH,,2020-02-21 11:30:00+00:00,2020-02-21 11:35:00+00:00,SIGNAL,False,,,9572.06,9740.0,,,RANGE_BROKE_BEFORE_FILL,,,
5m,external,LONDON_TO_NEWYORK,2020-02-21,9759.59,9616.76,9688.175,2020-02-21 13:30:00+00:00,2020-02-21 20:00:00+00:00,SIGNAL,LONG,HIGH,2.0,2020-02-21 13:40:00+00:00,2020-02-21 13:45:00+00:00,SIGNAL,True,2020-02-21 14:50:00+00:00,9688.175,9616.76,9759.59,2020-02-21 20:00:00+00:00,9687.59,TIME_EXIT_SESSION_END,-6.0382889450205646e-05,-0.43019144472510285,310.0
5m,external,ASIA_TO_LONDON,2020-02-24,10000.0,9560.0,9780.0,2020-02-24 08:00:00+00:00,2020-02-24 13:30:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
