hold_min,entry_ts,exit_ts,clock_min_utc,clock_utc,clock_wib,votes,active_lbs,entry_price,exit_price,gross_pnl,wib_day,year,implementation_cost_0bps,net_0bps,implementation_cost_2bps,net_2bps,implementation_cost_5bps,net_5bps,implementation_cost_10bps,net_10bps
360,2025-02-11 15:45:00+00:00,2025-02-11 21:45:00+00:00,945,15:45,22:45,3,180;240;360,636.15,639.25,2.4365322644030676,2025-02-11,2025,0.75,1.6865322644030676,0.95,1.4865322644030676,1.25,1.1865322644030676,1.75,0.6865322644030676
360,2025-03-07 15:30:00+00:00,2025-03-07 21:30:00+00:00,930,15:30,22:30,2,180;240,604.11,596.18,-6.563374219926887,2025-03-07,2025,0.75,-7.313374219926887,0.95,-7.513374219926887,1.25,-7.813374219926887,1.75,-8.313374219926887
360,2025-03-17 15:00:00+00:00,2025-03-17 21:00:00+00:00,900,15:00,22:00,2,180;240,631.68,623.71,-6.308573961499426,2025-03-17,2025,0.75,-7.058573961499426,0.95,-7.258573961499426,1.25,-7.558573961499426,1.75,-8.058573961499427
360,2025-04-04 15:00:00+00:00,2025-04-04 21:00:00+00:00,900,15:00,22:00,2,240;360,591.78,598.11,5.348271317043531,2025-04-04,2025,0.75,4.598271317043531,0.95,4.398271317043531,1.25,4.098271317043531,1.75,3.5982713170435314
360,2025-05-09 15:15:00+00:00,2025-05-09 21:15:00+00:00,915,15:15,22:15,2,240;360,636.41,639.58,2.490532832607967,2025-05-09,2025,0.75,1.740532832607967,0.95,1.540532832607967,1.25,1.240532832607967,1.75,0.740532832607967
360,2025-06-18 15:15:00+00:00,2025-06-18 21:15:00+00:00,915,15:15,22:15,2,180;240,640.51,642.57,1.6080935504520297,2025-06-18,2025,0.75,0.8580935504520297,0.95,0.6580935504520298,1.25,0.35809355045202973,1.75,-0.14190644954797027
360,2025-08-04 15:45:00+00:00,2025-08-04 21:45:00+00:00,945,15:45,22:45,2,180;240,759.98,766.88,4.539593147188069,2025-08-04,2025,0.75,3.789593147188069,0.95,3.5895931471880687,1.25,3.289593147188069,1.75,2.789593147188069
360,2025-08-06 15:15:00+00:00,2025-08-06 21:15:00+00:00,915,15:15,22:15,3,180;240;360,768.42,771.45,1.97157804325765,2025-08-06,2025,0.75,1.22157804325765,0.95,1.02157804325765,1.25,0.72157804325765,1.75,0.22157804325764996
360,2025-08-08 15:30:00+00:00,2025-08-08 21:30:00+00:00,930,15:30,22:30,3,180;240;360,787.18,795.84,5.500647882314135,2025-08-08,2025,0.75,4.750647882314135,0.95,4.550647882314135,1.25,4.250647882314135,1.75,3.7506478823141354
360,2025-08-21 15:15:00+00:00,2025-08-21 21:15:00+00:00,915,15:15,22:15,3,180;240;360,845.52,840.17,-3.163733560412541,2025-08-21,2025,0.75,-3.913733560412541,0.95,-4.113733560412541,1.25,-4.413733560412541,1.75,-4.913733560412541
360,2025-08-26 15:00:00+00:00,2025-08-26 21:00:00+00:00,900,15:00,22:00,2,240;360,852.72,864.29,6.784172999343241,2025-08-26,2025,0.75,6.034172999343241,0.95,5.834172999343241,1.25,5.534172999343241,1.75,5.034172999343241
360,2025-09-23 15:15:00+00:00,2025-09-23 21:15:00+00:00,915,15:15,22:15,2,180;240,1018.46,1013.83,-2.273039687371127,2025-09-23,2025,0.75,-3.023039687371127,0.95,-3.223039687371127,1.25,-3.523039687371127,1.75,-4.023039687371127
360,2025-09-25 15:45:00+00:00,2025-09-25 21:45:00+00:00,945,15:45,22:45,2,180;360,994.33,951.38,-21.59745758450416,2025-09-25,2025,0.75,-22.34745758450416,0.95,-22.54745758450416,1.25,-22.84745758450416,1.75,-23.34745758450416
