partition,regime,clock_block,obs_start,obs_end,fill_ts,entry_price,fraction,H,L,R4,LOCAL_R,structural_winner,terminal_type,terminal_complete_ts,causal_bars,terminal_minutes,fillbar_adv_px,fillbar_adv_r4,fillbar_adv_localr,mae_px,mae_r4,mae_localr,mfe_px,mfe_r4,mfe_localr
development,BEAR,08-12,2022-02-21 08:00:00+00:00,2022-02-21 12:00:00+00:00,2022-02-21 09:15:00+00:00,38946.24,0.1,39510.0,38883.6,626.4000000000015,62.63999999999942,True,LOW_BREAK,2022-02-21 10:20:00+00:00,12,65.0,64.26000000000204,0.10258620689655473,1.0258620689655593,153.6600000000035,0.2453065134099667,2.4530651340996954,136.23999999999796,0.2174968071519758,2.174968071519783
development,BEAR,12-16,2022-02-21 12:00:00+00:00,2022-02-21 16:00:00+00:00,2022-02-21 13:20:00+00:00,37415.525,0.05,39335.0,37314.5,2020.5,101.02500000000146,False,BLOCK_END,2022-02-21 16:00:00+00:00,31,160.0,5.775000000001455,0.0028582034149970082,0.05716406829993934,1884.4749999999985,0.9326775550606279,18.653551101212287,110.125,0.05450383568423658,1.0900767136847158
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 01:45:00+00:00,43695.96000000001,0.05,44345.0,43661.8,683.1999999999971,34.16000000000349,True,LOW_BREAK,2022-03-03 02:10:00+00:00,4,25.0,109.43999999999505,0.16018735362997003,3.203747072599059,152.93999999999505,0.22385831381732393,4.477166276346002,38.9600000000064,0.057025761124131394,1.1405152224825064
development,SIDEWAYS,16-20,2022-03-03 16:00:00+00:00,2022-03-03 20:00:00+00:00,2022-03-03 16:15:00+00:00,42420.35,0.05,44080.0,42333.0,1747.0,87.34999999999854,True,LOW_BREAK,2022-03-03 17:25:00+00:00,13,70.0,129.65000000000146,0.07421293646250798,1.4842587292501845,341.0500000000029,0.19522037779049967,3.9044075558100584,275.34999999999854,0.15761305094447542,3.152261018889561
development,SIDEWAYS,20-00,2022-03-03 20:00:00+00:00,2022-03-04 00:00:00+00:00,2022-03-03 20:10:00+00:00,42086.52,0.05,42761.4,42051.0,710.4000000000015,35.5199999999968,True,LOW_BREAK,2022-03-03 20:50:00+00:00,7,40.0,72.78000000000611,0.10244932432433272,2.0489864864868435,163.38000000000466,0.2299831081081142,4.599662162162708,235.0199999999968,0.3308277027026975,6.616554054054561
development,BEAR,16-20,2022-03-04 16:00:00+00:00,2022-03-04 20:00:00+00:00,2022-03-04 16:25:00+00:00,40604.29,0.05,41825.8,40540.0,1285.800000000003,64.29000000000087,True,LOW_BREAK,2022-03-04 19:05:00+00:00,31,160.0,111.30999999999767,0.08656867319956246,1.7313734639912297,350.3099999999977,0.2724451703219761,5.44890340643946,162.29000000000087,0.12621714107948398,2.5243428215896513
development,BEAR,08-12,2022-03-06 08:00:00+00:00,2022-03-06 12:00:00+00:00,2022-03-06 09:40:00+00:00,38853.99,0.1,39645.9,38766.0,879.9000000000015,87.98999999999796,True,LOW_BREAK,2022-03-06 09:55:00+00:00,2,15.0,38.01000000000204,0.04319809069212635,0.4319809069212742,8.010000000002037,0.009103307194001618,0.09103307194001845,298.98999999999796,0.33979997727014144,3.3979997727014988
development,BULL,20-00,2022-03-09 20:00:00+00:00,2022-03-10 00:00:00+00:00,2022-03-09 21:05:00+00:00,41799.6,0.05,42552.0,41760.0,792.0,39.599999999998545,True,LOW_BREAK,2022-03-09 21:15:00+00:00,1,10.0,147.5,0.18623737373737373,3.7247474747476117,0.0,0.0,0.0,128.5,0.16224747474747475,3.2449494949496143
development,BULL,08-12,2022-03-17 08:00:00+00:00,2022-03-17 12:00:00+00:00,2022-03-17 10:50:00+00:00,40635.93,0.1,41498.4,40540.1,958.3000000000029,95.83000000000175,False,BLOCK_END,2022-03-17 12:00:00+00:00,13,70.0,152.47000000000116,0.15910466451007066,1.5910466451006824,177.97000000000116,0.18571428571428636,1.8571428571428354,10.529999999998836,0.010988208285504335,0.10988208285504168
development,BULL,04-08,2022-03-20 04:00:00+00:00,2022-03-20 08:00:00+00:00,2022-03-20 07:45:00+00:00,41781.19,0.05,42269.3,41755.5,513.8000000000029,25.69000000000233,False,BLOCK_END,2022-03-20 08:00:00+00:00,2,15.0,84.40999999999622,0.16428571428570599,3.2857142857138406,68.70999999999913,0.13372907746204504,2.6745815492406733,1.1900000000023283,0.0023160762942824476,0.04632152588564502
development,SIDEWAYS,16-20,2022-03-20 16:00:00+00:00,2022-03-20 20:00:00+00:00,2022-03-20 17:20:00+00:00,41224.4,0.05,41688.0,41200.0,488.0,24.400000000001455,True,LOW_BREAK,2022-03-20 17:30:00+00:00,1,10.0,47.5,0.09733606557377049,1.9467213114752937,20.099999999998545,0.04118852459016095,0.82377049180317,64.09999999999854,0.13135245901639045,2.6270491803276523
development,BULL,16-20,2022-03-25 16:00:00+00:00,2022-03-25 20:00:00+00:00,2022-03-25 16:40:00+00:00,44235.7,0.05,45142.0,44188.0,954.0,47.69999999999709,True,LOW_BREAK,2022-03-25 16:55:00+00:00,2,15.0,138.8000000000029,0.1454926624737976,2.9098532494761296,79.40000000000146,0.08322851153039985,1.6645702306080985,111.69999999999709,0.11708595387840366,2.341719077568216
development,BULL,08-12,2022-03-27 08:00:00+00:00,2022-03-27 12:00:00+00:00,2022-03-27 10:25:00+00:00,44533.52,0.1,44746.1,44509.9,236.1999999999971,23.619999999995343,False,BLOCK_END,2022-03-27 12:00:00+00:00,18,95.0,30.880000000004657,0.13073666384422117,1.3073666384424532,99.4800000000032,0.42116850127012884,4.211685012702066,31.5199999999968,0.133446232006762,1.3344623200678667
development,BULL,12-16,2022-03-27 12:00:00+00:00,2022-03-27 16:00:00+00:00,2022-03-27 12:30:00+00:00,44482.995,0.05,44729.9,44470.0,259.90000000000146,12.99500000000262,True,LOW_BREAK,2022-03-27 12:50:00+00:00,3,20.0,31.404999999998836,0.1208349365140387,2.4166987302803005,52.30500000000029,0.20125048095421316,4.025009619083474,37.095000000001164,0.142727972297041,2.854559445940261
development,SIDEWAYS,16-20,2022-03-31 16:00:00+00:00,2022-03-31 20:00:00+00:00,2022-03-31 16:15:00+00:00,46270.97,0.05,47619.4,46200.0,1419.4000000000015,70.97000000000116,True,LOW_BREAK,2022-03-31 16:25:00+00:00,1,10.0,109.02999999999884,0.0768141468226002,1.5362829364519803,44.529999999998836,0.03137241087783485,0.6274482175566874,220.27000000000407,0.1551852895589713,3.103705791179378
development,BULL,00-04,2022-04-04 00:00:00+00:00,2022-04-04 04:00:00+00:00,2022-04-04 00:10:00+00:00,46283.3,0.05,47448.0,46222.0,1226.0,61.30000000000291,True,LOW_BREAK,2022-04-04 00:25:00+00:00,2,15.0,104.89999999999418,0.08556280587275218,1.7112561174549625,38.69999999999709,0.03156606851549518,0.6313213703098736,156.60000000000582,0.1277324632952739,2.5546492659053572
development,BULL,08-12,2022-04-05 08:00:00+00:00,2022-04-05 12:00:00+00:00,2022-04-05 11:00:00+00:00,46568.31,0.1,46878.0,46533.9,344.09999999999854,34.40999999999622,False,BLOCK_END,2022-04-05 12:00:00+00:00,11,60.0,78.59000000000378,0.2283929090380823,2.2839290903810645,168.38999999999942,0.48936355710549295,4.893635571055447,13.309999999997672,0.038680616099964336,0.38680616099968423
development,SIDEWAYS,16-20,2022-04-05 16:00:00+00:00,2022-04-05 20:00:00+00:00,2022-04-05 19:05:00+00:00,45700.3,0.05,47188.0,45622.0,1566.0,78.30000000000291,True,LOW_BREAK,2022-04-05 19:20:00+00:00,2,15.0,128.5,0.08205619412515965,1.6411238825031318,25.69999999999709,0.01641123882503007,0.3282247765005892,278.3000000000029,0.17771392081737095,3.554278416347287
development,BEAR,08-12,2022-04-06 08:00:00+00:00,2022-04-06 12:00:00+00:00,2022-04-06 10:35:00+00:00,45138.850000000006,0.1,45485.8,45100.3,385.5,38.55000000000291,True,LOW_BREAK,2022-04-06 10:50:00+00:00,2,15.0,192.14999999999418,0.49844357976652187,4.984435797664842,95.34999999999127,0.247341115434478,2.473411154344593,56.65000000000873,0.14695201037615754,1.4695201037614645
development,BEAR,08-12,2022-04-10 08:00:00+00:00,2022-04-10 12:00:00+00:00,2022-04-10 09:00:00+00:00,42577.37,0.1,42778.7,42555.0,223.6999999999971,22.37000000000262,True,LOW_BREAK,2022-04-10 09:10:00+00:00,1,10.0,69.22999999999593,0.30947697809564967,3.094769780956094,12.32999999999447,0.0551184622261718,0.5511846222616462,47.37000000000262,0.2117568171658616,2.1175681716583403
development,BEAR,00-04,2022-04-11 00:00:00+00:00,2022-04-11 04:00:00+00:00,2022-04-11 02:20:00+00:00,41916.07,0.05,43399.4,41838.0,1561.4000000000015,78.06999999999971,False,BLOCK_END,2022-04-11 04:00:00+00:00,19,100.0,150.9300000000003,0.09666325092865387,1.9332650185730864,223.62999999999738,0.1432240297169189,2.8644805943383913,116.06999999999971,0.07433713334187242,1.4867426668374555
development,BEAR,12-16,2022-04-11 12:00:00+00:00,2022-04-11 16:00:00+00:00,2022-04-11 13:10:00+00:00,41003.845,0.05,42338.5,40933.6,1404.9000000000015,70.24500000000262,True,LOW_BREAK,2022-04-11 13:35:00+00:00,4,25.0,128.25499999999738,0.09129119510285234,1.8258239020569806,122.95500000000175,0.08751868460388755,1.7503736920776876,337.84500000000116,0.24047619047619107,4.809523809523647
development,BEAR,20-00,2022-04-12 20:00:00+00:00,2022-04-13 00:00:00+00:00,2022-04-12 20:40:00+00:00,39287.87,0.05,40366.5,39231.1,1135.4000000000015,56.770000000004075,False,BLOCK_END,2022-04-13 00:00:00+00:00,39,200.0,184.22999999999593,0.1622599964770087,3.2451999295399454,1122.1299999999974,0.9883124889906605,19.766249779811815,0.0,0.0,0.0
development,BEAR,12-16,2022-04-15 12:00:00+00:00,2022-04-15 16:00:00+00:00,2022-04-15 14:20:00+00:00,40025.32,0.05,40400.0,40005.6,394.40000000000146,19.720000000001164,True,LOW_BREAK,2022-04-15 14:30:00+00:00,1,10.0,85.77999999999884,0.21749492900608144,4.349898580121388,15.279999999998836,0.038742393509124694,0.774847870182451,176.12000000000262,0.44655172413793603,8.931034482758227
development,BEAR,04-08,2022-04-16 04:00:00+00:00,2022-04-16 08:00:00+00:00,2022-04-16 06:10:00+00:00,40399.99,0.05,40700.0,40384.2,315.8000000000029,15.790000000000873,True,LOW_BREAK,2022-04-16 06:45:00+00:00,6,35.0,33.91000000000349,0.10737808739709684,2.147561747941838,40.01000000000204,0.12669411019633206,2.5338822039265247,42.48999999999796,0.1345471817606003,2.6909436352118816
development,BEAR,12-16,2022-04-24 12:00:00+00:00,2022-04-24 16:00:00+00:00,2022-04-24 12:55:00+00:00,39536.745,0.05,39777.0,39524.1,252.90000000000146,12.645000000004075,True,LOW_BREAK,2022-04-24 13:10:00+00:00,2,15.0,51.25499999999738,0.20266903914589596,4.053380782916636,34.45499999999447,0.13623962040329882,2.724792408065114,124.74500000000262,0.49325820482404864,9.865164096477852
development,BEAR,16-20,2022-04-26 16:00:00+00:00,2022-04-26 20:00:00+00:00,2022-04-26 16:15:00+00:00,38635.12,0.05,40628.6,38530.2,2098.4000000000015,104.92000000000553,True,LOW_BREAK,2022-04-26 16:35:00+00:00,3,20.0,66.37999999999738,0.031633625619518366,0.6326725123903344,219.87999999999738,0.10478459778879014,2.0956919557756937,178.02000000000407,0.08483606557377238,1.6967213114753592
development,BEAR,00-04,2022-05-01 00:00:00+00:00,2022-05-01 04:00:00+00:00,2022-05-01 01:15:00+00:00,37594.89,0.05,38447.8,37550.0,897.8000000000029,44.88999999999942,False,BLOCK_END,2022-05-01 04:00:00+00:00,32,165.0,39.70999999999913,0.04423034083314658,0.8846068166629459,462.2099999999991,0.5148251280908862,10.29650256181789,244.88999999999942,0.2727667631989292,5.4553352639786725
development,BEAR,08-12,2022-05-01 08:00:00+00:00,2022-05-01 12:00:00+00:00,2022-05-01 11:30:00+00:00,37897.82,0.1,38159.0,37868.8,290.1999999999971,29.0199999999968,False,BLOCK_END,2022-05-01 12:00:00+00:00,5,30.0,41.779999999998836,0.14396967608545574,1.4396967608547018,42.18000000000029,0.145348035837356,1.453480358373706,8.720000000001164,0.030048242591320648,0.3004824259132366
development,BEAR,12-16,2022-05-02 12:00:00+00:00,2022-05-02 16:00:00+00:00,2022-05-02 12:50:00+00:00,38490.65,0.05,39073.0,38460.0,613.0,30.650000000001455,False,BLOCK_END,2022-05-02 16:00:00+00:00,37,190.0,75.94999999999709,0.12389885807503603,2.477977161500603,731.3499999999985,1.1930668841761802,23.861337683522475,272.65000000000146,0.44477977161501053,8.895595432299789
development,BULL,08-12,2022-05-05 08:00:00+00:00,2022-05-05 12:00:00+00:00,2022-05-05 08:30:00+00:00,39548.72,0.1,39845.0,39515.8,329.1999999999971,32.919999999998254,True,LOW_BREAK,2022-05-05 08:45:00+00:00,2,15.0,33.279999999998836,0.10109356014580538,1.0109356014580984,0.27999999999883585,0.0008505467800693752,0.008505467800694128,107.12000000000262,0.3253948967193304,3.253948967193448
development,SIDEWAYS,16-20,2022-05-05 16:00:00+00:00,2022-05-05 20:00:00+00:00,2022-05-05 19:30:00+00:00,35735.845,0.05,39550.0,35535.1,4014.9000000000015,200.74500000000262,False,BLOCK_END,2022-05-05 20:00:00+00:00,5,30.0,263.15499999999884,0.0655445963784898,1.3108919275697797,623.3549999999959,0.15526040499140595,3.1052080998280793,0.0,0.0,0.0
development,BEAR,12-16,2022-05-07 12:00:00+00:00,2022-05-07 16:00:00+00:00,2022-05-07 13:25:00+00:00,35874.47,0.05,36138.0,35860.6,277.40000000000146,13.87000000000262,False,BLOCK_END,2022-05-07 16:00:00+00:00,30,155.0,65.22999999999593,0.23514780100935684,4.7029560201862735,204.72999999999593,0.7380317231434566,14.76063446286642,18.56999999999971,0.06694304253785008,1.3388608507567556
development,SIDEWAYS,04-08,2022-05-18 04:00:00+00:00,2022-05-18 08:00:00+00:00,2022-05-18 07:30:00+00:00,29750.0,0.05,30700.0,29700.0,1000.0,50.0,False,BLOCK_END,2022-05-18 08:00:00+00:00,5,30.0,65.79999999999927,0.06579999999999928,1.3159999999999854,149.0,0.149,2.98,8.5,0.0085,0.17
development,SIDEWAYS,20-00,2022-05-23 20:00:00+00:00,2022-05-24 00:00:00+00:00,2022-05-23 20:10:00+00:00,29124.09,0.05,30531.8,29050.0,1481.7999999999993,74.09000000000015,True,LOW_BREAK,2022-05-23 23:15:00+00:00,36,185.0,117.5099999999984,0.07930220002699316,1.5860440005398593,345.90999999999985,0.2334390606019706,4.6687812120394,106.09000000000015,0.07159535699824551,1.4319071399649066
development,BULL,08-12,2022-05-25 08:00:00+00:00,2022-05-25 12:00:00+00:00,2022-05-25 09:15:00+00:00,29713.49,0.1,30209.3,29658.4,550.8999999999978,55.090000000000146,True,LOW_BREAK,2022-05-25 11:15:00+00:00,23,120.0,63.109999999996944,0.11455799600652967,1.1455799600652892,136.40999999999985,0.2476129969141412,2.476129969141396,117.39000000000306,0.21308767471411058,2.130876747141092
development,BEAR,00-04,2022-06-04 00:00:00+00:00,2022-06-04 04:00:00+00:00,2022-06-04 01:25:00+00:00,29562.035,0.05,29878.1,29545.4,332.6999999999971,16.6349999999984,True,LOW_BREAK,2022-06-04 02:10:00+00:00,8,45.0,40.965000000000146,0.12312894499549294,2.462578899910074,55.26499999999942,0.16611061015930237,3.3222122031863384,37.93500000000131,0.11402164111812937,2.280432822362787
development,BEAR,20-00,2022-06-09 20:00:00+00:00,2022-06-10 00:00:00+00:00,2022-06-09 23:00:00+00:00,29981.01,0.05,30456.2,29956.0,500.2000000000007,25.0099999999984,False,BLOCK_END,2022-06-10 00:00:00+00:00,11,60.0,77.89000000000306,0.15571771291483996,3.114354258297003,137.19000000000233,0.27427029188325097,5.485405837665378,17.109999999996944,0.034206317473004635,0.6841263494601375
development,BEAR,20-00,2022-06-12 20:00:00+00:00,2022-06-13 00:00:00+00:00,2022-06-12 20:15:00+00:00,27445.52,0.05,28234.4,27404.0,830.4000000000015,41.52000000000044,True,LOW_BREAK,2022-06-12 20:50:00+00:00,6,35.0,99.88000000000102,0.12027938342967347,2.4055876685934483,85.97999999999956,0.10354046242774496,2.070809248554881,104.11999999999898,0.12538535645471918,2.5077071290943613
development,BEAR,08-12,2022-06-14 08:00:00+00:00,2022-06-14 12:00:00+00:00,2022-06-14 11:55:00+00:00,21922.28,0.1,23424.2,21755.4,1668.7999999999993,166.87999999999738,False,BLOCK_END,2022-06-14 12:00:00+00:00,0,5.0,99.22000000000116,0.05945589645254147,0.5945589645254238,,,,,,
development,BEAR,08-12,2022-06-16 08:00:00+00:00,2022-06-16 12:00:00+00:00,2022-06-16 08:25:00+00:00,21707.12,0.1,22353.5,21635.3,718.2000000000007,71.81999999999971,True,LOW_BREAK,2022-06-16 09:10:00+00:00,8,45.0,39.88000000000102,0.055527708159288466,0.5552770815928875,176.58000000000175,0.24586466165413753,2.4586466165413876,277.02000000000044,0.38571428571428595,3.857142857142879
development,BEAR,16-20,2022-06-18 16:00:00+00:00,2022-06-18 20:00:00+00:00,2022-06-18 16:40:00+00:00,18922.715,0.05,19278.3,18904.0,374.2999999999993,18.715000000000146,True,LOW_BREAK,2022-06-18 16:50:00+00:00,1,10.0,99.08499999999913,0.2647208121827393,5.294416243654735,31.3849999999984,0.08384985305903943,1.6769970611807723,122.71500000000015,0.3278519903820475,6.557039807640886
development,BEAR,16-20,2022-06-23 16:00:00+00:00,2022-06-23 20:00:00+00:00,2022-06-23 16:35:00+00:00,20294.215,0.05,20855.0,20264.7,590.2999999999993,29.514999999999418,True,LOW_BREAK,2022-06-23 17:05:00+00:00,5,30.0,25.784999999999854,0.04368117906149396,0.8736235812298954,60.784999999999854,0.10297306454345236,2.0594612908690855,136.1150000000016,0.23058614263933894,4.611722852786864
development,BULL,00-04,2022-06-25 00:00:00+00:00,2022-06-25 04:00:00+00:00,2022-06-25 00:30:00+00:00,21151.865,0.05,21563.5,21130.2,433.2999999999993,21.665000000000873,False,BLOCK_END,2022-06-25 04:00:00+00:00,41,210.0,121.53499999999985,0.28048696053542593,5.609739210708283,217.43499999999767,0.5018116778213664,10.036233556426906,41.8650000000016,0.09661897069005694,1.9323794138010577
development,BEAR,16-20,2022-06-28 16:00:00+00:00,2022-06-28 20:00:00+00:00,2022-06-28 17:10:00+00:00,20603.375,0.05,21138.7,20575.2,563.5,28.174999999999272,True,LOW_BREAK,2022-06-28 18:10:00+00:00,11,60.0,44.125,0.07830523513753328,1.566104702750706,85.42499999999927,0.1515971606033705,3.031943212067488,253.375,0.4496450754214729,8.992901508429691
development,BEAR,20-00,2022-06-28 20:00:00+00:00,2022-06-29 00:00:00+00:00,2022-06-28 23:35:00+00:00,20236.54,0.05,20757.9,20209.1,548.8000000000029,27.44000000000233,False,BLOCK_END,2022-06-29 00:00:00+00:00,4,25.0,74.55999999999767,0.13586005830903294,2.7172011661804425,59.45999999999913,0.10834548104956052,2.166909620991038,36.54000000000087,0.06658163265306247,1.3316326530611433
development,BEAR,00-04,2022-06-30 00:00:00+00:00,2022-06-30 04:00:00+00:00,2022-06-30 00:30:00+00:00,20057.315,0.05,20430.0,20037.7,392.2999999999993,19.614999999997963,True,LOW_BREAK,2022-06-30 01:00:00+00:00,5,30.0,57.38500000000204,0.14627835839918976,2.9255671679840938,14.085000000002765,0.03590364516952024,0.7180729033904781,57.31499999999869,0.14609992352790924,2.921998470558483
development,BEAR,00-04,2022-07-02 00:00:00+00:00,2022-07-02 04:00:00+00:00,2022-07-02 00:35:00+00:00,19231.56,0.05,19686.8,19207.6,479.2000000000007,23.960000000002765,True,LOW_BREAK,2022-07-02 01:00:00+00:00,4,25.0,97.13999999999942,0.20271285475792836,4.054257095158105,101.63999999999942,0.21210350584307025,4.242070116860922,86.26000000000204,0.18000834724541298,3.60016694490785
development,BEAR,00-04,2022-07-03 00:00:00+00:00,2022-07-03 04:00:00+00:00,2022-07-03 01:35:00+00:00,19192.995000000003,0.05,19375.3,19183.4,191.89999999999782,9.595000000001164,True,LOW_BREAK,2022-07-03 01:50:00+00:00,2,15.0,21.20499999999811,0.11050026055236242,2.2100052110469552,11.904999999998836,0.06203751954142247,1.2407503908282846,30.79500000000189,0.16047420531528006,3.209484106305175
development,SIDEWAYS,12-16,2022-07-05 12:00:00+00:00,2022-07-05 16:00:00+00:00,2022-07-05 12:10:00+00:00,19499.265000000003,0.05,20209.2,19461.9,747.2999999999993,37.3650000000016,True,LOW_BREAK,2022-07-05 12:20:00+00:00,1,10.0,30.6349999999984,0.040994245952092105,0.8198849190418062,0.0,0.0,0.0,95.3650000000016,0.12761273919443555,2.5522547838885994
development,BULL,12-16,2022-07-07 12:00:00+00:00,2022-07-07 16:00:00+00:00,2022-07-07 13:05:00+00:00,20396.23,0.05,20619.1,20384.5,234.59999999999854,11.729999999999563,False,HIGH_BREAK,2022-07-07 14:20:00+00:00,14,75.0,41.56999999999971,0.1771952259164534,3.5439045183291777,348.77000000000044,1.4866581415174875,29.733162830350675,28.32999999999811,0.12075873827791254,2.415174765558326
development,BEAR,00-04,2022-07-11 00:00:00+00:00,2022-07-11 04:00:00+00:00,2022-07-11 00:25:00+00:00,20695.665,0.05,21170.0,20670.7,499.2999999999993,24.965000000000146,True,LOW_BREAK,2022-07-11 01:25:00+00:00,11,60.0,26.334999999999127,0.05274384137792743,1.054876827558541,123.83499999999913,0.24801722411375787,4.960344482275121,191.66500000000087,0.3838674143801345,7.6773482876026335
development,BEAR,04-08,2022-07-11 04:00:00+00:00,2022-07-11 08:00:00+00:00,2022-07-11 05:10:00+00:00,20469.53,0.05,20853.9,20449.3,404.6000000000022,20.229999999999563,True,LOW_BREAK,2022-07-11 06:15:00+00:00,12,65.0,64.06999999999971,0.15835392980721544,3.167078596144394,96.67000000000189,0.2389273356401418,4.778546712802965,119.52999999999884,0.29542758279782055,5.90855165595657
development,BEAR,12-16,2022-07-14 12:00:00+00:00,2022-07-14 16:00:00+00:00,2022-07-14 13:30:00+00:00,19638.88,0.05,20047.0,19617.4,429.59999999999854,21.479999999999563,False,HIGH_BREAK,2022-07-14 15:20:00+00:00,21,110.0,161.3199999999997,0.3755121042830546,7.510242085661219,537.119999999999,1.2502793296089405,25.00558659217923,0.0,0.0,0.0
development,BULL,08-12,2022-07-20 08:00:00+00:00,2022-07-20 12:00:00+00:00,2022-07-20 08:50:00+00:00,23356.1,0.1,23861.0,23300.0,561.0,56.099999999998545,False,BLOCK_END,2022-07-20 12:00:00+00:00,37,190.0,66.20000000000073,0.11800356506238989,1.1800356506239296,531.9000000000015,0.9481283422459919,9.481283422460164,54.5,0.09714795008912656,0.9714795008912908
development,BULL,16-20,2022-07-20 16:00:00+00:00,2022-07-20 20:00:00+00:00,2022-07-20 17:00:00+00:00,23592.905,0.05,24277.0,23556.9,720.0999999999985,36.00499999999738,True,LOW_BREAK,2022-07-20 17:15:00+00:00,2,15.0,142.99500000000262,0.19857658658520053,3.9715317317042915,74.09500000000116,0.10289543119011431,2.057908623802432,172.90499999999884,0.2401124843771687,4.802249687543714
