zone,entry_frac,partition,date_utc,signal_ts,fill_bar_start,entry_px,H,L,range,session_end,path_class,e20_reached,e20_bar_start,terminal_bar_start,pre_e20_max_high_frac,pre_e20_required_d,cons_max_high_frac,cons_required_d,failure_max_high_frac,failure_required_d
F10,0.1,development,2022-12-16,2022-12-16 14:20:00+00:00,2022-12-16 15:40:00+00:00,16970.05,17510.5,16910.0,600.5,2022-12-16 20:00:00+00:00,E20_REACHER,True,2022-12-16 16:05:00+00:00,2022-12-16 16:05:00+00:00,0.10807660283097661,0.00807660283097661,0.10807660283097661,0.00807660283097661,,
F10,0.1,development,2023-01-24,2023-01-24 14:35:00+00:00,2023-01-24 17:05:00+00:00,22792.64,23086.4,22760.0,326.40000000000146,2023-01-24 20:00:00+00:00,NON_E20_SESSION_END,False,,2023-01-24 19:55:00+00:00,,,,,0.9960171568627362,0.8960171568627362
F15,0.15,development,2023-01-24,2023-01-24 14:35:00+00:00,2023-01-24 17:00:00+00:00,22808.96,23086.4,22760.0,326.40000000000146,2023-01-24 20:00:00+00:00,NON_E20_SESSION_END,False,,2023-01-24 19:55:00+00:00,,,,,0.9960171568627362,0.8460171568627362
F05,0.05,development,2023-04-17,2023-04-17 13:35:00+00:00,2023-04-17 15:55:00+00:00,29315.29,29913.6,29283.8,629.7999999999993,2023-04-17 20:00:00+00:00,NON_E20_SESSION_END,False,,2023-04-17 19:55:00+00:00,,,,,0.4464909495077819,0.3964909495077819
F10,0.1,development,2023-04-17,2023-04-17 13:35:00+00:00,2023-04-17 15:55:00+00:00,29346.78,29913.6,29283.8,629.7999999999993,2023-04-17 20:00:00+00:00,NON_E20_SESSION_END,False,,2023-04-17 19:55:00+00:00,,,,,0.4464909495077819,0.3464909495077819
F15,0.15,development,2023-04-17,2023-04-17 13:35:00+00:00,2023-04-17 16:10:00+00:00,29378.27,29913.6,29283.8,629.7999999999993,2023-04-17 20:00:00+00:00,NON_E20_SESSION_END,False,,2023-04-17 19:55:00+00:00,,,,,0.4464909495077819,0.2964909495077819
F05,0.05,development,2023-05-19,2023-05-19 14:15:00+00:00,2023-05-19 14:35:00+00:00,26783.63,26985.6,26773.0,212.59999999999854,2023-05-19 20:00:00+00:00,E20_REACHER,True,2023-05-19 15:05:00+00:00,2023-05-19 15:05:00+00:00,0.40592662276575664,0.35592662276575665,0.40592662276575664,0.35592662276575665,,
F10,0.1,development,2023-05-19,2023-05-19 14:15:00+00:00,2023-05-19 14:35:00+00:00,26794.26,26985.6,26773.0,212.59999999999854,2023-05-19 20:00:00+00:00,E20_REACHER,True,2023-05-19 15:05:00+00:00,2023-05-19 15:05:00+00:00,0.40592662276575664,0.30592662276575666,0.40592662276575664,0.30592662276575666,,
F15,0.15,development,2023-05-19,2023-05-19 14:15:00+00:00,2023-05-19 14:35:00+00:00,26804.89,26985.6,26773.0,212.59999999999854,2023-05-19 20:00:00+00:00,E20_REACHER,True,2023-05-19 15:05:00+00:00,2023-05-19 15:05:00+00:00,0.40592662276575664,0.2559266227657566,0.40592662276575664,0.2559266227657566,,
F05,0.05,development,2023-07-18,2023-07-18 16:50:00+00:00,2023-07-18 17:20:00+00:00,29679.17,30098.5,29657.1,441.40000000000146,2023-07-18 20:00:00+00:00,NON_E20_SESSION_END,False,,2023-07-18 19:55:00+00:00,,,,,0.6293611236973312,0.5793611236973312
F10,0.1,development,2023-07-18,2023-07-18 16:50:00+00:00,2023-07-18 17:15:00+00:00,29701.239999999998,30098.5,29657.1,441.40000000000146,2023-07-18 20:00:00+00:00,NON_E20_SESSION_END,False,,2023-07-18 19:55:00+00:00,,,,,0.6293611236973312,0.5293611236973312
F15,0.15,development,2023-07-18,2023-07-18 16:50:00+00:00,2023-07-18 17:10:00+00:00,29723.309999999998,30098.5,29657.1,441.40000000000146,2023-07-18 20:00:00+00:00,NON_E20_SESSION_END,False,,2023-07-18 19:55:00+00:00,,,,,0.6293611236973312,0.4793611236973312
F15,0.15,development,2023-08-15,2023-08-15 14:10:00+00:00,2023-08-15 15:30:00+00:00,29356.145,29446.5,29340.2,106.29999999999927,2023-08-15 20:00:00+00:00,E20_REACHER,True,2023-08-15 15:40:00+00:00,2023-08-15 15:40:00+00:00,0.485418626528682,0.33541862652868204,0.485418626528682,0.33541862652868204,,
F05,0.05,development,2023-09-22,2023-09-22 13:45:00+00:00,2023-09-22 16:45:00+00:00,26568.885,26737.7,26560.0,177.70000000000073,2023-09-22 20:00:00+00:00,E20_REACHER,True,2023-09-22 17:40:00+00:00,2023-09-22 17:40:00+00:00,0.3320202588632513,0.2820202588632513,0.3320202588632513,0.2820202588632513,,
F10,0.1,development,2023-09-22,2023-09-22 13:45:00+00:00,2023-09-22 14:00:00+00:00,26577.77,26737.7,26560.0,177.70000000000073,2023-09-22 20:00:00+00:00,E20_REACHER,True,2023-09-22 17:40:00+00:00,2023-09-22 17:40:00+00:00,0.7214406302757468,0.6214406302757468,0.7214406302757468,0.6214406302757468,,
F15,0.15,development,2023-09-22,2023-09-22 13:45:00+00:00,2023-09-22 14:00:00+00:00,26586.655,26737.7,26560.0,177.70000000000073,2023-09-22 20:00:00+00:00,E20_REACHER,True,2023-09-22 17:40:00+00:00,2023-09-22 17:40:00+00:00,0.7214406302757468,0.5714406302757468,0.7214406302757468,0.5714406302757468,,
F15,0.15,development,2023-11-13,2023-11-13 14:50:00+00:00,2023-11-13 17:40:00+00:00,36722.585,37065.9,36662.0,403.90000000000146,2023-11-13 20:00:00+00:00,NON_E20_SESSION_END,False,,2023-11-13 19:55:00+00:00,,,,,0.5384996286209438,0.3884996286209438
F05,0.05,development,2023-11-23,2023-11-23 14:35:00+00:00,2023-11-23 15:10:00+00:00,37161.51,37650.0,37135.8,514.1999999999971,2023-11-23 20:00:00+00:00,E20_REACHER,True,2023-11-23 15:25:00+00:00,2023-11-23 15:25:00+00:00,0.16063788409179117,0.11063788409179116,0.16063788409179117,0.11063788409179116,,
F10,0.1,development,2023-11-23,2023-11-23 14:35:00+00:00,2023-11-23 15:10:00+00:00,37187.22,37650.0,37135.8,514.1999999999971,2023-11-23 20:00:00+00:00,E20_REACHER,True,2023-11-23 15:25:00+00:00,2023-11-23 15:25:00+00:00,0.16063788409179117,0.06063788409179116,0.16063788409179117,0.06063788409179116,,
F15,0.15,development,2023-11-23,2023-11-23 14:35:00+00:00,2023-11-23 15:00:00+00:00,37212.93,37650.0,37135.8,514.1999999999971,2023-11-23 20:00:00+00:00,E20_REACHER,True,2023-11-23 15:25:00+00:00,2023-11-23 15:25:00+00:00,0.23376118241928776,0.08376118241928776,0.23376118241928776,0.08376118241928776,,
F05,0.05,development,2023-11-27,2023-11-27 13:55:00+00:00,2023-11-27 14:50:00+00:00,36791.715,37457.0,36756.7,700.3000000000029,2023-11-27 20:00:00+00:00,NON_E20_SESSION_END,False,,2023-11-27 19:55:00+00:00,,,,,0.5550478366414433,0.5050478366414433
F10,0.1,development,2023-11-27,2023-11-27 13:55:00+00:00,2023-11-27 14:40:00+00:00,36826.729999999996,37457.0,36756.7,700.3000000000029,2023-11-27 20:00:00+00:00,NON_E20_SESSION_END,False,,2023-11-27 19:55:00+00:00,,,,,0.5550478366414433,0.4550478366414433
F15,0.15,development,2023-11-27,2023-11-27 13:55:00+00:00,2023-11-27 14:40:00+00:00,36861.744999999995,37457.0,36756.7,700.3000000000029,2023-11-27 20:00:00+00:00,NON_E20_SESSION_END,False,,2023-11-27 19:55:00+00:00,,,,,0.5550478366414433,0.4050478366414433
F05,0.05,development,2024-01-05,2024-01-05 14:45:00+00:00,2024-01-05 15:45:00+00:00,43502.67,44332.4,43459.0,873.4000000000015,2024-01-05 20:00:00+00:00,E20_REACHER,True,2024-01-05 16:45:00+00:00,2024-01-05 16:45:00+00:00,0.1538813831005281,0.1038813831005281,0.1538813831005281,0.1038813831005281,,
F10,0.1,development,2024-01-05,2024-01-05 14:45:00+00:00,2024-01-05 15:40:00+00:00,43546.34,44332.4,43459.0,873.4000000000015,2024-01-05 20:00:00+00:00,E20_REACHER,True,2024-01-05 16:45:00+00:00,2024-01-05 16:45:00+00:00,0.3274559193954654,0.22745591939546542,0.3274559193954654,0.22745591939546542,,
F15,0.15,development,2024-01-05,2024-01-05 14:45:00+00:00,2024-01-05 15:20:00+00:00,43590.01,44332.4,43459.0,873.4000000000015,2024-01-05 20:00:00+00:00,E20_REACHER,True,2024-01-05 16:45:00+00:00,2024-01-05 16:45:00+00:00,0.37497137623082144,0.22497137623082145,0.37497137623082144,0.22497137623082145,,
F15,0.15,development,2024-01-16,2024-01-16 13:55:00+00:00,2024-01-16 14:20:00+00:00,42788.235,43181.7,42718.8,462.8999999999942,2024-01-16 20:00:00+00:00,E20_REACHER,True,2024-01-16 14:35:00+00:00,2024-01-16 14:35:00+00:00,0.5100453661698023,0.3600453661698023,0.5100453661698023,0.3600453661698023,,
F05,0.05,development,2024-01-25,2024-01-25 13:50:00+00:00,2024-01-25 15:35:00+00:00,39806.189999999995,40300.0,39780.2,519.8000000000029,2024-01-25 20:00:00+00:00,E20_REACHER,True,2024-01-25 15:45:00+00:00,2024-01-25 15:45:00+00:00,0.1652558676414024,0.1152558676414024,0.1652558676414024,0.1152558676414024,,
F10,0.1,development,2024-01-25,2024-01-25 13:50:00+00:00,2024-01-25 15:35:00+00:00,39832.18,40300.0,39780.2,519.8000000000029,2024-01-25 20:00:00+00:00,E20_REACHER,True,2024-01-25 15:45:00+00:00,2024-01-25 15:45:00+00:00,0.1652558676414024,0.0652558676414024,0.1652558676414024,0.0652558676414024,,
F15,0.15,development,2024-01-25,2024-01-25 13:50:00+00:00,2024-01-25 15:35:00+00:00,39858.17,40300.0,39780.2,519.8000000000029,2024-01-25 20:00:00+00:00,E20_REACHER,True,2024-01-25 15:45:00+00:00,2024-01-25 15:45:00+00:00,0.1652558676414024,0.01525586764140241,0.1652558676414024,0.01525586764140241,,
F15,0.15,development,2024-01-29,2024-01-29 13:35:00+00:00,2024-01-29 14:00:00+00:00,41998.270000000004,42368.7,41932.9,435.79999999999563,2024-01-29 20:00:00+00:00,E20_REACHER,True,2024-01-29 14:30:00+00:00,2024-01-29 14:30:00+00:00,0.36507572280862816,0.21507572280862816,0.36507572280862816,0.21507572280862816,,
F05,0.05,development,2024-02-19,2024-02-19 14:10:00+00:00,2024-02-19 14:40:00+00:00,52109.719999999994,52509.1,52088.7,420.40000000000146,2024-02-19 20:00:00+00:00,E20_REACHER,True,2024-02-19 16:50:00+00:00,2024-02-19 16:50:00+00:00,0.7166983824928684,0.6666983824928684,0.7166983824928684,0.6666983824928684,,
F10,0.1,development,2024-02-19,2024-02-19 14:10:00+00:00,2024-02-19 14:40:00+00:00,52130.74,52509.1,52088.7,420.40000000000146,2024-02-19 20:00:00+00:00,E20_REACHER,True,2024-02-19 16:50:00+00:00,2024-02-19 16:50:00+00:00,0.7166983824928684,0.6166983824928685,0.7166983824928684,0.6166983824928685,,
F15,0.15,development,2024-02-19,2024-02-19 14:10:00+00:00,2024-02-19 14:40:00+00:00,52151.759999999995,52509.1,52088.7,420.40000000000146,2024-02-19 20:00:00+00:00,E20_REACHER,True,2024-02-19 16:50:00+00:00,2024-02-19 16:50:00+00:00,0.7166983824928684,0.5666983824928684,0.7166983824928684,0.5666983824928684,,
F05,0.05,development,2024-03-18,2024-03-18 13:50:00+00:00,2024-03-18 14:20:00+00:00,67417.335,68685.3,67350.6,1334.699999999997,2024-03-18 20:00:00+00:00,E20_REACHER,True,2024-03-18 14:30:00+00:00,2024-03-18 14:30:00+00:00,0.1964486401438508,0.14644864014385078,0.1964486401438508,0.14644864014385078,,
F10,0.1,development,2024-03-18,2024-03-18 13:50:00+00:00,2024-03-18 14:15:00+00:00,67484.07,68685.3,67350.6,1334.699999999997,2024-03-18 20:00:00+00:00,E20_REACHER,True,2024-03-18 14:30:00+00:00,2024-03-18 14:30:00+00:00,0.393571589121143,0.293571589121143,0.393571589121143,0.293571589121143,,
F15,0.15,development,2024-03-18,2024-03-18 13:50:00+00:00,2024-03-18 14:15:00+00:00,67550.80500000001,68685.3,67350.6,1334.699999999997,2024-03-18 20:00:00+00:00,E20_REACHER,True,2024-03-18 14:30:00+00:00,2024-03-18 14:30:00+00:00,0.393571589121143,0.243571589121143,0.393571589121143,0.243571589121143,,
F10,0.1,development,2024-06-11,2024-06-11 13:50:00+00:00,2024-06-11 15:00:00+00:00,66789.63,67690.8,66689.5,1001.3000000000029,2024-06-11 20:00:00+00:00,E20_REACHER,True,2024-06-11 15:40:00+00:00,2024-06-11 15:40:00+00:00,0.39988015579745634,0.2998801557974563,0.39988015579745634,0.2998801557974563,,
F15,0.15,development,2024-06-11,2024-06-11 13:50:00+00:00,2024-06-11 15:00:00+00:00,66839.695,67690.8,66689.5,1001.3000000000029,2024-06-11 20:00:00+00:00,E20_REACHER,True,2024-06-11 15:40:00+00:00,2024-06-11 15:40:00+00:00,0.39988015579745634,0.24988015579745634,0.39988015579745634,0.24988015579745634,,
F05,0.05,development,2024-07-04,2024-07-04 13:35:00+00:00,2024-07-04 14:25:00+00:00,56854.965,58484.5,56769.2,1715.300000000003,2024-07-04 20:00:00+00:00,NON_E20_OPPOSITE_BREAK,False,,2024-07-04 19:25:00+00:00,,,,,1.0090363201772286,0.9590363201772285
F10,0.1,development,2024-07-04,2024-07-04 13:35:00+00:00,2024-07-04 14:25:00+00:00,56940.729999999996,58484.5,56769.2,1715.300000000003,2024-07-04 20:00:00+00:00,NON_E20_OPPOSITE_BREAK,False,,2024-07-04 19:25:00+00:00,,,,,1.0090363201772286,0.9090363201772286
F15,0.15,development,2024-07-04,2024-07-04 13:35:00+00:00,2024-07-04 14:25:00+00:00,57026.494999999995,58484.5,56769.2,1715.300000000003,2024-07-04 20:00:00+00:00,NON_E20_OPPOSITE_BREAK,False,,2024-07-04 19:25:00+00:00,,,,,1.0090363201772286,0.8590363201772285
F05,0.05,development,2024-07-09,2024-07-09 13:55:00+00:00,2024-07-09 15:30:00+00:00,57044.995,57899.9,57000.0,899.9000000000015,2024-07-09 20:00:00+00:00,NON_E20_OPPOSITE_BREAK,False,,2024-07-09 18:35:00+00:00,,,,,1.2099122124680532,1.1599122124680532
F10,0.1,development,2024-07-09,2024-07-09 13:55:00+00:00,2024-07-09 15:30:00+00:00,57089.99,57899.9,57000.0,899.9000000000015,2024-07-09 20:00:00+00:00,NON_E20_OPPOSITE_BREAK,False,,2024-07-09 18:35:00+00:00,,,,,1.2099122124680532,1.1099122124680532
F15,0.15,development,2024-07-09,2024-07-09 13:55:00+00:00,2024-07-09 15:25:00+00:00,57134.985,57899.9,57000.0,899.9000000000015,2024-07-09 20:00:00+00:00,NON_E20_OPPOSITE_BREAK,False,,2024-07-09 18:35:00+00:00,,,,,1.2099122124680532,1.0599122124680533
F10,0.1,development,2024-07-30,2024-07-30 14:05:00+00:00,2024-07-30 14:20:00+00:00,66275.66,66956.6,66200.0,756.6000000000058,2024-07-30 20:00:00+00:00,E20_REACHER,True,2024-07-30 14:35:00+00:00,2024-07-30 14:35:00+00:00,0.253106000528679,0.15310600052867898,0.253106000528679,0.15310600052867898,,
F15,0.15,development,2024-07-30,2024-07-30 14:05:00+00:00,2024-07-30 14:20:00+00:00,66313.49,66956.6,66200.0,756.6000000000058,2024-07-30 20:00:00+00:00,E20_REACHER,True,2024-07-30 14:35:00+00:00,2024-07-30 14:35:00+00:00,0.253106000528679,0.10310600052867899,0.253106000528679,0.10310600052867899,,
F05,0.05,development,2024-08-28,2024-08-28 15:25:00+00:00,2024-08-28 16:10:00+00:00,58594.39,60197.8,58510.0,1687.800000000003,2024-08-28 20:00:00+00:00,E20_REACHER,True,2024-08-28 16:15:00+00:00,2024-08-28 16:15:00+00:00,0.09467946439151714,0.04467946439151714,0.09467946439151714,0.04467946439151714,,
F10,0.1,development,2024-08-28,2024-08-28 15:25:00+00:00,2024-08-28 15:45:00+00:00,58678.78,60197.8,58510.0,1687.800000000003,2024-08-28 20:00:00+00:00,E20_REACHER,True,2024-08-28 16:15:00+00:00,2024-08-28 16:15:00+00:00,0.30341272662637614,0.20341272662637613,0.30341272662637614,0.20341272662637613,,
F15,0.15,development,2024-08-28,2024-08-28 15:25:00+00:00,2024-08-28 15:50:00+00:00,58763.17,60197.8,58510.0,1687.800000000003,2024-08-28 20:00:00+00:00,E20_REACHER,True,2024-08-28 16:15:00+00:00,2024-08-28 16:15:00+00:00,0.30341272662637614,0.15341272662637614,0.30341272662637614,0.15341272662637614,,
F10,0.1,development,2024-10-09,2024-10-09 13:40:00+00:00,2024-10-09 14:35:00+00:00,61787.67,62261.7,61735.0,526.6999999999971,2024-10-09 20:00:00+00:00,E20_REACHER,True,2024-10-09 14:45:00+00:00,2024-10-09 14:45:00+00:00,0.344978165938861,0.244978165938861,0.344978165938861,0.244978165938861,,
F15,0.15,development,2024-10-09,2024-10-09 13:40:00+00:00,2024-10-09 14:30:00+00:00,61814.005,62261.7,61735.0,526.6999999999971,2024-10-09 20:00:00+00:00,E20_REACHER,True,2024-10-09 14:45:00+00:00,2024-10-09 14:45:00+00:00,0.42149231061325465,0.27149231061325463,0.42149231061325465,0.27149231061325463,,
F15,0.15,development,2024-10-17,2024-10-17 13:40:00+00:00,2024-10-17 14:20:00+00:00,66878.605,67516.7,66766.0,750.6999999999971,2024-10-17 20:00:00+00:00,NON_E20_OPPOSITE_BREAK,False,,2024-10-17 15:50:00+00:00,,,,,1.2094045557479656,1.0594045557479657
F05,0.05,development,2024-11-22,2024-11-22 13:45:00+00:00,2024-11-22 14:25:00+00:00,97687.095,99340.0,97600.1,1739.8999999999942,2024-11-22 20:00:00+00:00,E20_REACHER,True,2024-11-22 14:55:00+00:00,2024-11-22 14:55:00+00:00,0.26432553595033953,0.21432553595033954,0.26432553595033953,0.21432553595033954,,
F10,0.1,development,2024-11-22,2024-11-22 13:45:00+00:00,2024-11-22 14:20:00+00:00,97774.09000000001,99340.0,97600.1,1739.8999999999942,2024-11-22 20:00:00+00:00,E20_REACHER,True,2024-11-22 14:55:00+00:00,2024-11-22 14:55:00+00:00,0.26432553595033953,0.16432553595033952,0.26432553595033953,0.16432553595033952,,
F15,0.15,development,2024-11-22,2024-11-22 13:45:00+00:00,2024-11-22 14:15:00+00:00,97861.085,99340.0,97600.1,1739.8999999999942,2024-11-22 20:00:00+00:00,E20_REACHER,True,2024-11-22 14:55:00+00:00,2024-11-22 14:55:00+00:00,0.34191620208057716,0.19191620208057716,0.34191620208057716,0.19191620208057716,,
F05,0.05,external,2020-02-24,2020-02-24 15:50:00+00:00,2020-02-24 16:30:00+00:00,9709.31,9848.2,9702.0,146.20000000000073,2020-02-24 20:00:00+00:00,E20_REACHER,True,2020-02-24 16:50:00+00:00,2020-02-24 16:50:00+00:00,0.15471956224350675,0.10471956224350674,0.15471956224350675,0.10471956224350674,,
F10,0.1,external,2020-02-24,2020-02-24 15:50:00+00:00,2020-02-24 16:25:00+00:00,9716.62,9848.2,9702.0,146.20000000000073,2020-02-24 20:00:00+00:00,E20_REACHER,True,2020-02-24 16:50:00+00:00,2020-02-24 16:50:00+00:00,0.18228454172366282,0.08228454172366281,0.18228454172366282,0.08228454172366281,,
F15,0.15,external,2020-02-24,2020-02-24 15:50:00+00:00,2020-02-24 16:25:00+00:00,9723.93,9848.2,9702.0,146.20000000000073,2020-02-24 20:00:00+00:00,E20_REACHER,True,2020-02-24 16:50:00+00:00,2020-02-24 16:50:00+00:00,0.18228454172366282,0.032284541723662824,0.18228454172366282,0.032284541723662824,,
F10,0.1,external,2020-03-27,2020-03-27 13:50:00+00:00,2020-03-27 14:35:00+00:00,6591.0,6699.0,6579.0,120.0,2020-03-27 20:00:00+00:00,NON_E20_SESSION_END,False,,2020-03-27 19:55:00+00:00,,,,,0.8795833333333348,0.7795833333333348
F15,0.15,external,2020-03-27,2020-03-27 13:50:00+00:00,2020-03-27 14:30:00+00:00,6597.0,6699.0,6579.0,120.0,2020-03-27 20:00:00+00:00,NON_E20_SESSION_END,False,,2020-03-27 19:55:00+00:00,,,,,0.8795833333333348,0.7295833333333348
F05,0.05,external,2020-04-01,2020-04-01 13:40:00+00:00,2020-04-01 16:15:00+00:00,6187.85,6337.0,6180.0,157.0,2020-04-01 20:00:00+00:00,E20_REACHER,True,2020-04-01 16:40:00+00:00,2020-04-01 16:40:00+00:00,0.18433121019108026,0.13433121019108024,0.18433121019108026,0.13433121019108024,,
F10,0.1,external,2020-04-01,2020-04-01 13:40:00+00:00,2020-04-01 16:15:00+00:00,6195.7,6337.0,6180.0,157.0,2020-04-01 20:00:00+00:00,E20_REACHER,True,2020-04-01 16:40:00+00:00,2020-04-01 16:40:00+00:00,0.18433121019108026,0.08433121019108025,0.18433121019108026,0.08433121019108025,,
F15,0.15,external,2020-04-01,2020-04-01 13:40:00+00:00,2020-04-01 16:10:00+00:00,6203.55,6337.0,6180.0,157.0,2020-04-01 20:00:00+00:00,E20_REACHER,True,2020-04-01 16:40:00+00:00,2020-04-01 16:40:00+00:00,0.19585987261146498,0.045859872611464986,0.19585987261146498,0.045859872611464986,,
F05,0.05,external,2020-04-27,2020-04-27 13:35:00+00:00,2020-04-27 15:00:00+00:00,7654.4,7738.0,7650.0,88.0,2020-04-27 20:00:00+00:00,NON_E20_SESSION_END,False,,2020-04-27 19:55:00+00:00,,,,,0.8181818181818182,0.7681818181818182
F10,0.1,external,2020-04-27,2020-04-27 13:35:00+00:00,2020-04-27 15:00:00+00:00,7658.8,7738.0,7650.0,88.0,2020-04-27 20:00:00+00:00,NON_E20_SESSION_END,False,,2020-04-27 19:55:00+00:00,,,,,0.8181818181818182,0.7181818181818183
F15,0.15,external,2020-04-27,2020-04-27 13:35:00+00:00,2020-04-27 14:55:00+00:00,7663.2,7738.0,7650.0,88.0,2020-04-27 20:00:00+00:00,NON_E20_SESSION_END,False,,2020-04-27 19:55:00+00:00,,,,,0.8181818181818182,0.6681818181818182
F05,0.05,external,2020-05-15,2020-05-15 15:10:00+00:00,2020-05-15 15:40:00+00:00,9472.0,9700.0,9460.0,240.0,2020-05-15 20:00:00+00:00,E20_REACHER,True,2020-05-15 19:15:00+00:00,2020-05-15 19:15:00+00:00,0.3007916666666688,0.2507916666666688,0.3007916666666688,0.2507916666666688,,
F10,0.1,external,2020-05-15,2020-05-15 15:10:00+00:00,2020-05-15 15:40:00+00:00,9484.0,9700.0,9460.0,240.0,2020-05-15 20:00:00+00:00,E20_REACHER,True,2020-05-15 19:15:00+00:00,2020-05-15 19:15:00+00:00,0.3007916666666688,0.20079166666666878,0.3007916666666688,0.20079166666666878,,
F10,0.1,external,2020-06-29,2020-06-29 13:35:00+00:00,2020-06-29 13:55:00+00:00,9038.866,9136.66,9028.0,108.65999999999985,2020-06-29 20:00:00+00:00,NON_E20_OPPOSITE_BREAK,False,,2020-06-29 16:05:00+00:00,,,,,1.0500644211301355,0.9500644211301356
F15,0.15,external,2020-06-29,2020-06-29 13:35:00+00:00,2020-06-29 13:55:00+00:00,9044.298999999999,9136.66,9028.0,108.65999999999985,2020-06-29 20:00:00+00:00,NON_E20_OPPOSITE_BREAK,False,,2020-06-29 16:05:00+00:00,,,,,1.0500644211301355,0.9000644211301355
F15,0.15,external,2020-11-26,2020-11-26 17:30:00+00:00,2020-11-26 19:35:00+00:00,16512.1315,17646.21,16312.0,1334.2099999999991,2020-11-26 20:00:00+00:00,NON_E20_SESSION_END,False,,2020-11-26 19:55:00+00:00,,,,,0.2533334332676267,0.1033334332676267
F05,0.05,external,2021-06-10,2021-06-10 17:30:00+00:00,2021-06-10 19:30:00+00:00,36342.2185,38489.0,36229.23,2259.769999999997,2021-06-10 20:00:00+00:00,NON_E20_SESSION_END,False,,2021-06-10 19:55:00+00:00,,,,,0.23930311491877385,0.18930311491877383
F10,0.1,external,2021-06-10,2021-06-10 17:30:00+00:00,2021-06-10 17:50:00+00:00,36455.207,38489.0,36229.23,2259.769999999997,2021-06-10 20:00:00+00:00,NON_E20_SESSION_END,False,,2021-06-10 19:55:00+00:00,,,,,0.276081194103824,0.17608119410382397
