structure_id,raid_i_h1,raid_time,reclaim_i_h1,reclaim_time,reclaim_close_time,raid_year,liquidity_low,liquidity_pivot_i,liquidity_confirm_i,significant_high,significant_high_pivot_i,significant_high_confirm_i,raid_extreme,raid_depth_pct,reclaim_delay_h1_bars,reclaim_close,median_prior_h1_range,bos_i_h1,bos_time,bos_close_time,bos_close,bos_high,bars_reclaim_to_bos,displacement_range_units,bull_path_efficiency,bos_extension_range_units,origin_i_h1,origin_time,origin_open,origin_high,origin_low,origin_close,zone_low,zone_high,zone_width_range_units,first_return_i_5m,first_return_time,return_year,bos_to_return_min,return_open,return_high,return_low,return_close,return_penetration_zone_width,pre_return_structural_high
2020-11-04 16:00:00+00:00__L1219__H1227,1233,2020-11-04 16:00:00+00:00,1234,2020-11-04 17:00:00+00:00,2020-11-04 18:00:00+00:00,2020,1.3459,1219,1221,1.4001,1227,1229,1.2737,5.364440151571442,1,1.3852,0.02210000000000001,1243,2020-11-05 02:00:00+00:00,2020-11-05 03:00:00+00:00,1.4035,1.408,9,5.873303167420809,0.40043763676148697,0.15384615384615694,1240,2020-11-04 23:00:00+00:00,1.3973,1.3997,1.3892,1.391,1.3892,1.3997,0.4751131221719434,14928,2020-11-05 03:00:00+00:00,2020,0.0,1.4034,1.4043,1.3986,1.3997,0.10476190476189369,1.408
2020-11-09 14:00:00+00:00__L1345__H1348,1351,2020-11-09 14:00:00+00:00,1353,2020-11-09 16:00:00+00:00,2020-11-09 17:00:00+00:00,2020,2.022,1345,1347,2.19,1348,1350,1.9517,3.476755687438171,2,2.0386,0.0682999999999998,1369,2020-11-10 08:00:00+00:00,2020-11-10 09:00:00+00:00,2.1959,2.2095,16,3.575402635431928,0.41957855428114027,0.0863836017569551,1367,2020-11-10 06:00:00+00:00,2.143,2.1535,2.09,2.1039,2.09,2.1535,0.9297218155197733,16466,2020-11-10 11:10:00+00:00,2020,130.0,2.1595,2.1736,2.1533,2.1618,0.003149606299212235,2.2455
2020-11-09 15:00:00+00:00__L1341__H1348,1352,2020-11-09 15:00:00+00:00,1354,2020-11-09 17:00:00+00:00,2020-11-09 18:00:00+00:00,2020,2.05,1341,1343,2.19,1348,1350,1.9517,4.795121951219505,2,2.0521,0.0682999999999998,1369,2020-11-10 08:00:00+00:00,2020-11-10 09:00:00+00:00,2.1959,2.2095,15,3.575402635431928,0.3978970669618144,0.0863836017569551,1367,2020-11-10 06:00:00+00:00,2.143,2.1535,2.09,2.1039,2.09,2.1535,0.9297218155197733,16466,2020-11-10 11:10:00+00:00,2020,130.0,2.1595,2.1736,2.1533,2.1618,0.003149606299212235,2.2455
2020-11-09 16:00:00+00:00__L1334__H1348,1353,2020-11-09 16:00:00+00:00,1354,2020-11-09 17:00:00+00:00,2020-11-09 18:00:00+00:00,2020,2.0444,1334,1336,2.19,1348,1350,1.9517,4.534337702993543,1,2.0521,0.06679999999999997,1369,2020-11-10 08:00:00+00:00,2020-11-10 09:00:00+00:00,2.1959,2.2095,15,3.655688622754492,0.3978970669618144,0.08832335329341345,1367,2020-11-10 06:00:00+00:00,2.143,2.1535,2.09,2.1039,2.09,2.1535,0.950598802395215,16466,2020-11-10 11:10:00+00:00,2020,130.0,2.1595,2.1736,2.1533,2.1618,0.003149606299212235,2.2455
2020-11-21 03:00:00+00:00__L1623__H1625,1628,2020-11-21 03:00:00+00:00,1630,2020-11-21 05:00:00+00:00,2020-11-21 06:00:00+00:00,2020,2.0788,1623,1625,2.1508,1625,1627,2.0313,2.284972099288066,2,2.0977,0.04354999999999998,1632,2020-11-21 07:00:00+00:00,2020-11-21 08:00:00+00:00,2.1666,2.1682,2,3.106773823191735,1.0,0.36280137772675186,1628,2020-11-21 03:00:00+00:00,2.0728,2.0879,2.0578,2.0656,2.0578,2.0879,0.6911595866819754,19929,2020-11-22 11:45:00+00:00,2020,1665.0,2.106,2.1108,2.0563,2.076,1.0,2.5204
2020-11-22 12:00:00+00:00__L1656__H1658,1661,2020-11-22 12:00:00+00:00,1661,2020-11-22 12:00:00+00:00,2020-11-22 13:00:00+00:00,2020,2.1,1656,1658,2.246,1658,1660,2.0755,1.1666666666666756,0,2.1067,0.09845000000000015,1668,2020-11-22 19:00:00+00:00,2020-11-22 20:00:00+00:00,2.2716,2.2735,7,1.991874047739966,0.8575143005720224,0.26003047232097315,1663,2020-11-22 14:00:00+00:00,2.1764,2.212,2.1509,2.1639,2.1509,2.212,0.620619603859828,20039,2020-11-22 20:55:00+00:00,2020,55.0,2.2215,2.2231,2.2104,2.2105,0.026186579378073057,2.2806
2020-11-22 23:00:00+00:00__L1665__H1667,1672,2020-11-22 23:00:00+00:00,1672,2020-11-22 23:00:00+00:00,2020-11-23 00:00:00+00:00,2020,2.1268,1665,1667,2.2816,1667,1669,2.1258,0.04701899567424722,0,2.1502,0.06744999999999979,1679,2020-11-23 06:00:00+00:00,2020-11-23 07:00:00+00:00,2.3119,2.3154,7,2.759080800593043,0.817905918057665,0.44922164566345574,1673,2020-11-23 00:00:00+00:00,2.1488,2.1835,2.1201,2.1322,2.1201,2.1835,0.939955522609345,20267,2020-11-23 15:55:00+00:00,2020,535.0,2.1902,2.2024,2.1815,2.1996,0.0315457413249176,2.3611
2020-11-25 04:00:00+00:00__L1718__H1722,1725,2020-11-25 04:00:00+00:00,1726,2020-11-25 05:00:00+00:00,2020-11-25 06:00:00+00:00,2020,2.215,1718,1720,2.38,1722,1724,2.1772,1.7065462753950262,1,2.2249,0.07525000000000004,1735,2020-11-25 14:00:00+00:00,2020-11-25 15:00:00+00:00,2.4493,2.4738,9,3.615946843853819,0.6496815286624213,0.9209302325581409,1734,2020-11-25 13:00:00+00:00,2.3603,2.44,2.3,2.3328,2.3,2.44,1.8604651162790704,20832,2020-11-25 15:00:00+00:00,2020,0.0,2.4489,2.4521,2.4,2.416,0.2857142857142857,2.4738
2020-11-29 02:00:00+00:00__L1813__H1816,1819,2020-11-29 02:00:00+00:00,1819,2020-11-29 02:00:00+00:00,2020-11-29 03:00:00+00:00,2020,1.8542,1813,1815,1.8952,1816,1818,1.8439,0.555495631539207,0,1.8773,0.025399999999999978,1825,2020-11-29 08:00:00+00:00,2020-11-29 09:00:00+00:00,1.9231,1.9321,6,3.1181102362204727,0.4780793319415439,1.098425196850396,1823,2020-11-29 06:00:00+00:00,1.8682,1.8689,1.8526,1.8619,1.8526,1.8689,0.6417322834645668,22037,2020-11-29 19:25:00+00:00,2020,625.0,1.878,1.8803,1.8633,1.865,0.34355828220859236,1.9418
2020-11-29 18:00:00+00:00__L1829__H1831,1835,2020-11-29 18:00:00+00:00,1837,2020-11-29 20:00:00+00:00,2020-11-29 21:00:00+00:00,2020,1.8903,1829,1831,1.9324,1831,1833,1.8628,1.4547955351002528,2,1.8906,0.021500000000000075,1841,2020-11-30 00:00:00+00:00,2020-11-30 01:00:00+00:00,1.9617,1.9639,4,4.599999999999984,0.6701225259189433,1.3627906976744186,1839,2020-11-29 22:00:00+00:00,1.9085,1.9108,1.8813,1.8921,1.8813,1.9108,1.372093023255813,22189,2020-11-30 08:05:00+00:00,2020,425.0,1.9287,1.9313,1.8979,1.9085,0.43728813559322366,1.9766
2020-12-07 10:00:00+00:00__L2012__H2016,2019,2020-12-07 10:00:00+00:00,2021,2020-12-07 12:00:00+00:00,2020-12-07 13:00:00+00:00,2020,1.838,2012,2014,1.8585,2016,2018,1.8221,0.8650707290533202,2,1.8679,0.012149999999999994,2022,2020-12-07 13:00:00+00:00,2020-12-07 14:00:00+00:00,1.8671,1.8716,1,3.7037037037036997,-1.0,0.7078189300411477,2019,2020-12-07 10:00:00+00:00,1.8426,1.8431,1.8221,1.8244,1.8221,1.8431,1.7283950617283883,24328,2020-12-07 18:20:00+00:00,2020,260.0,1.8507,1.8559,1.8382,1.8444,0.2333333333333298,1.9006
2020-12-11 23:00:00+00:00__L2122__H2125,2128,2020-12-11 23:00:00+00:00,2129,2020-12-12 00:00:00+00:00,2020-12-12 01:00:00+00:00,2020,1.4517,2122,2124,1.4994,2125,2127,1.4362,1.0677137149548852,1,1.5128,0.02364999999999995,2130,2020-12-12 01:00:00+00:00,2020-12-12 02:00:00+00:00,1.5024,1.5157,1,2.7991543340380627,-1.0,0.12684989429175045,2128,2020-12-11 23:00:00+00:00,1.4841,1.485,1.4363,1.4406,1.4363,1.485,2.0591966173361644,25589,2020-12-12 03:25:00+00:00,2020,85.0,1.4894,1.4897,1.4814,1.4817,0.07392197125256743,1.5157
2020-12-13 04:00:00+00:00__L2144__H2149,2157,2020-12-13 04:00:00+00:00,2157,2020-12-13 04:00:00+00:00,2020-12-13 05:00:00+00:00,2020,1.4625,2144,2146,1.5124,2149,2151,1.454,0.581196581196578,0,1.4652,0.014349999999999974,2160,2020-12-13 07:00:00+00:00,2020-12-13 08:00:00+00:00,1.5175,1.5191,3,4.425087108013953,1.0,0.3554006968641194,2157,2020-12-13 04:00:00+00:00,1.4677,1.4681,1.454,1.4652,1.454,1.4681,0.9825783972125455,28742,2020-12-23 02:10:00+00:00,2020,14050.0,1.4781,1.4792,1.4657,1.471,0.1702127659574438,1.8167
2020-12-14 12:00:00+00:00__L2177__H2186,2189,2020-12-14 12:00:00+00:00,2190,2020-12-14 13:00:00+00:00,2020-12-14 14:00:00+00:00,2020,1.535,2177,2179,1.6244,2186,2188,1.5198,0.9902280130293082,1,1.5484,0.02070000000000005,2203,2020-12-15 02:00:00+00:00,2020-12-15 03:00:00+00:00,1.6569,1.659,13,6.623188405797085,0.6751711263223379,1.5700483091787387,2202,2020-12-15 01:00:00+00:00,1.5963,1.599,1.5858,1.5916,1.5858,1.599,0.6376811594202824,28081,2020-12-20 19:05:00+00:00,2020,8165.0,1.6022,1.6022,1.585,1.5863,1.0,1.8167
2020-12-14 13:00:00+00:00__L2168__H2186,2190,2020-12-14 13:00:00+00:00,2192,2020-12-14 15:00:00+00:00,2020-12-14 16:00:00+00:00,2020,1.5588,2168,2170,1.6244,2186,2188,1.5204,2.463433410315627,2,1.5615,0.02070000000000005,2203,2020-12-15 02:00:00+00:00,2020-12-15 03:00:00+00:00,1.6569,1.659,11,6.594202898550711,0.646341463414632,1.5700483091787387,2202,2020-12-15 01:00:00+00:00,1.5963,1.599,1.5858,1.5916,1.5858,1.599,0.6376811594202824,28081,2020-12-20 19:05:00+00:00,2020,8165.0,1.6022,1.6022,1.585,1.5863,1.0,1.8167
2020-12-18 14:00:00+00:00__L2277__H2283,2287,2020-12-18 14:00:00+00:00,2287,2020-12-18 14:00:00+00:00,2020-12-18 15:00:00+00:00,2020,1.6504,2277,2279,1.7104,2283,2285,1.6424,0.48473097430925877,0,1.6552,0.025050000000000017,2297,2020-12-19 00:00:00+00:00,2020-12-19 01:00:00+00:00,1.716,1.72,10,2.9381237524950037,0.5812619502868064,0.22355289421157867,2292,2020-12-18 19:00:00+00:00,1.675,1.6763,1.658,1.6696,1.658,1.6763,0.7305389221556875,27788,2020-12-19 18:40:00+00:00,2020,1060.0,1.6829,1.6829,1.6759,1.6789,0.021857923497265373,1.7695
2020-12-23 23:00:00+00:00__L2409__H2413,2416,2020-12-23 23:00:00+00:00,2418,2020-12-24 01:00:00+00:00,2020-12-24 02:00:00+00:00,2020,1.2768,2409,2411,1.3065,2413,2415,1.1574,9.351503759398492,2,1.2827,0.03159999999999996,2430,2020-12-24 13:00:00+00:00,2020-12-24 14:00:00+00:00,1.3135,1.3195,12,4.939873417721522,0.1205007824726132,0.2215189873417691,2429,2020-12-24 12:00:00+00:00,1.2854,1.3002,1.2683,1.2801,1.2683,1.3002,1.0094936708860784,29179,2020-12-24 14:35:00+00:00,2020,35.0,1.3056,1.3091,1.2999,1.3056,0.009404388714732495,1.3195
2020-12-26 15:00:00+00:00__L2476__H2477,2480,2020-12-26 15:00:00+00:00,2480,2020-12-26 15:00:00+00:00,2020-12-26 16:00:00+00:00,2020,1.3375,2476,2478,1.3801,2477,2479,1.3362,0.09719626168223229,0,1.3584,0.019650000000000056,2481,2020-12-26 16:00:00+00:00,2020-12-26 17:00:00+00:00,1.3859,1.3941,1,2.52926208651398,1.0,0.2951653944020249,2480,2020-12-26 15:00:00+00:00,1.3654,1.3669,1.3362,1.3584,1.3362,1.3669,1.5623409669211126,29800,2020-12-26 18:20:00+00:00,2020,80.0,1.3731,1.3732,1.3611,1.3632,0.18892508143322595,1.3941
2020-12-27 09:00:00+00:00__L2490__H2495,2498,2020-12-27 09:00:00+00:00,2500,2020-12-27 11:00:00+00:00,2020-12-27 12:00:00+00:00,2020,1.2922,2490,2492,1.3205,2495,2497,1.273,1.4858381055564236,2,1.2949,0.019999999999999907,2502,2020-12-27 13:00:00+00:00,2020-12-27 14:00:00+00:00,1.3259,1.3304,2,2.645000000000021,1.0,0.27000000000000485,2499,2020-12-27 10:00:00+00:00,1.2891,1.2924,1.2792,1.2806,1.2792,1.2924,0.6600000000000081,30117,2020-12-27 20:45:00+00:00,2020,405.0,1.3089,1.3092,1.2912,1.2925,0.09090909090909703,1.4148
2020-12-31 14:00:00+00:00__L2586__H2592,2599,2020-12-31 14:00:00+00:00,2601,2020-12-31 16:00:00+00:00,2020-12-31 17:00:00+00:00,2020,1.467,2586,2588,1.5393,2592,2594,1.4238,2.9447852760736284,2,1.4738,0.029550000000000076,2604,2020-12-31 19:00:00+00:00,2020-12-31 20:00:00+00:00,1.541,1.5435,3,3.9661590524534573,0.8772845953002627,0.057529610829104245,2603,2020-12-31 18:00:00+00:00,1.5239,1.5445,1.5071,1.5192,1.5071,1.5445,1.2656514382402633,31260,2020-12-31 20:00:00+00:00,2020,0.0,1.5404,1.543,1.536,1.537,0.22727272727272674,1.5435
2021-01-09 16:00:00+00:00__L2812__H2814,2817,2021-01-09 16:00:00+00:00,2818,2021-01-09 17:00:00+00:00,2021-01-09 18:00:00+00:00,2021,3.1245,2812,2814,3.2518,2814,2816,2.91,6.86509841574651,1,3.2458,0.11785000000000001,2819,2021-01-09 18:00:00+00:00,2021-01-09 19:00:00+00:00,3.3928,3.5231,1,4.096733135341533,1.0,1.1964361476453118,2817,2021-01-09 16:00:00+00:00,3.1081,3.123,2.91,2.9864,2.91,3.123,1.8073822655918546,34231,2021-01-11 03:35:00+00:00,2021,1955.0,3.2057,3.2057,3.06,3.1179,0.2957746478873246,3.764
2021-01-10 20:00:00+00:00__L2840__H2841,2845,2021-01-10 20:00:00+00:00,2845,2021-01-10 20:00:00+00:00,2021-01-10 21:00:00+00:00,2021,3.2236,2840,2842,3.454,2841,2843,3.15,2.283161682590889,0,3.3118,0.12294999999999967,2846,2021-01-10 21:00:00+00:00,2021-01-10 22:00:00+00:00,3.4725,3.475,1,2.623017486783254,1.0,0.15046766978446532,2845,2021-01-10 20:00:00+00:00,3.3214,3.3362,3.15,3.3118,3.15,3.3362,1.514436762911756,34212,2021-01-11 02:00:00+00:00,2021,240.0,3.3581,3.3709,3.3297,3.3361,0.03490870032223391,3.5257
2021-01-11 16:00:00+00:00__L2856__H2859,2865,2021-01-11 16:00:00+00:00,2867,2021-01-11 18:00:00+00:00,2021-01-11 19:00:00+00:00,2021,2.846,2856,2858,3.1497,2859,2861,2.5833,9.230498945888971,2,2.8567,0.15460000000000007,2875,2021-01-12 02:00:00+00:00,2021-01-12 03:00:00+00:00,3.2051,3.2147,8,4.021992238033633,1.0,0.3583441138421711,2865,2021-01-11 16:00:00+00:00,2.7682,2.7934,2.5833,2.6746,2.5833,2.7934,1.358990944372575,37361,2021-01-22 00:25:00+00:00,2021,14245.0,2.8334,2.8352,2.78,2.8169,0.06377915278438977,4.1747
2021-01-12 15:00:00+00:00__L2883__H2885,2888,2021-01-12 15:00:00+00:00,2889,2021-01-12 16:00:00+00:00,2021-01-12 17:00:00+00:00,2021,3.305,2883,2885,3.4844,2885,2887,3.2305,2.2541603630862332,1,3.4545,0.09894999999999987,2891,2021-01-12 18:00:00+00:00,2021-01-12 19:00:00+00:00,3.7759,3.904,2,5.511874684183938,0.8418019905709806,2.9459322890348707,2890,2021-01-12 17:00:00+00:00,3.4538,3.473,3.3607,3.4243,3.3607,3.473,1.1349166245578575,34753,2021-01-12 23:05:00+00:00,2021,245.0,3.505,3.5083,3.4638,3.4705,0.08192341941228751,3.904
2021-01-13 11:00:00+00:00__L2902__H2904,2908,2021-01-13 11:00:00+00:00,2908,2021-01-13 11:00:00+00:00,2021-01-13 12:00:00+00:00,2021,3.2759,2902,2904,3.4968,2904,2906,3.2472,0.8760951188986285,0,3.3702,0.13565000000000005,2912,2021-01-13 15:00:00+00:00,2021-01-13 16:00:00+00:00,3.5435,3.5753,4,2.184297825285661,0.6657702650787557,0.34426833763361553,2911,2021-01-13 14:00:00+00:00,3.4339,3.4418,3.3828,3.3881,3.3828,3.4418,0.4349428676741625,35021,2021-01-13 21:25:00+00:00,2021,325.0,3.486,3.4917,3.3872,3.4026,0.9254237288135602,3.6249
2021-01-16 11:00:00+00:00__L2974__H2975,2980,2021-01-16 11:00:00+00:00,2980,2021-01-16 11:00:00+00:00,2021-01-16 12:00:00+00:00,2021,3.3625,2974,2976,3.5244,2975,2977,3.1236,7.104832713754637,0,3.4108,0.07245000000000013,2988,2021-01-16 19:00:00+00:00,2021-01-16 20:00:00+00:00,3.5853,3.6796,8,6.372670807453405,0.34022226554884005,0.8405797101449285,2987,2021-01-16 18:00:00+00:00,3.4869,3.5545,3.4397,3.445,3.4397,3.5545,1.5845410628019267,35868,2021-01-16 20:00:00+00:00,2021,0.0,3.5809,3.5809,3.5,3.5397,0.47473867595818897,3.6796
2021-01-20 11:00:00+00:00__L3068__H3073,3076,2021-01-20 11:00:00+00:00,3078,2021-01-20 13:00:00+00:00,2021-01-20 14:00:00+00:00,2021,3.528,3068,3070,3.625,3073,3075,3.324,5.782312925170073,2,3.5734,0.06329999999999991,3084,2021-01-20 19:00:00+00:00,2021-01-20 20:00:00+00:00,3.6643,3.678,6,5.3759873617693605,0.3224547711954595,0.6208530805687195,3083,2021-01-20 18:00:00+00:00,3.6142,3.6212,3.5615,3.5968,3.5615,3.6212,0.9431279620853072,37074,2021-01-21 00:30:00+00:00,2021,270.0,3.6605,3.6621,3.5954,3.6168,0.43216080402009854,3.7397
2021-01-20 14:00:00+00:00__L3065__H3073,3079,2021-01-20 14:00:00+00:00,3081,2021-01-20 16:00:00+00:00,2021-01-20 17:00:00+00:00,2021,3.6019,3065,3067,3.625,3073,3075,3.4436,4.394902690246817,2,3.6225,0.07214999999999994,3084,2021-01-20 19:00:00+00:00,2021-01-20 20:00:00+00:00,3.6643,3.678,3,3.05890505890506,0.44849785407725173,0.5446985446985436,3083,2021-01-20 18:00:00+00:00,3.6142,3.6212,3.5615,3.5968,3.5615,3.6212,0.8274428274428263,37074,2021-01-21 00:30:00+00:00,2021,270.0,3.6605,3.6621,3.5954,3.6168,0.43216080402009854,3.7397
2021-01-27 15:00:00+00:00__L3244__H3245,3248,2021-01-27 15:00:00+00:00,3248,2021-01-27 15:00:00+00:00,2021-01-27 16:00:00+00:00,2021,3.6115,3244,3246,3.7466,3245,3247,3.6027,0.24366606673127286,0,3.7237,0.08184999999999976,3253,2021-01-27 20:00:00+00:00,2021-01-27 21:00:00+00:00,3.7586,3.7622,5,1.9047037263286548,0.18957088538837513,0.14660965180207752,3251,2021-01-27 18:00:00+00:00,3.6961,3.7072,3.6336,3.6491,3.6336,3.7072,0.8992058643860734,39067,2021-01-27 22:35:00+00:00,2021,95.0,3.7384,3.7498,3.7068,3.7132,0.005434782608695062,3.77
2021-01-28 01:00:00+00:00__L3251__H3255,3258,2021-01-28 01:00:00+00:00,3258,2021-01-28 01:00:00+00:00,2021-01-28 02:00:00+00:00,2021,3.6336,3251,3253,3.77,3255,3257,3.6083,0.6962791721708527,0,3.6518,0.07929999999999993,3262,2021-01-28 05:00:00+00:00,2021-01-28 06:00:00+00:00,3.779,3.7801,4,2.1525851197982373,1.0,0.11349306431273525,3258,2021-01-28 01:00:00+00:00,3.6587,3.6639,3.6083,3.6518,3.6083,3.6639,0.7011349306431292,39441,2021-01-29 05:45:00+00:00,2021,1425.0,3.6767,3.6846,3.6582,3.6642,0.1025179856115113,3.9681
