i,date,period,entry_t,parent_pnl,win,reason,upper_wick_ratio,last_body_ratio,body_delta_prev3median,balance_margin,balance_gate,last_red,wick_dominant,upper_localmax4,body_contract3median
31,2024-07-12,discovery,2024-07-12 08:00:00+00:00,5.775159712220119,True,TIMEOUT,0.09114139693353455,0.9080068143100275,0.6120068143100421,-0.5208654173765076,False,False,False,False,False
32,2024-07-19,discovery,2024-07-19 08:00:00+00:00,9.25,True,TP,0.45794392523361593,0.5420560747663841,0.43361236615712717,0.024331559076488762,True,False,False,False,False
33,2024-07-26,discovery,2024-07-26 08:00:00+00:00,6.644536267620877,True,TIMEOUT,0.0012033694343114242,0.9025270758123692,0.7430816685333822,-0.7418782990990708,False,True,False,False,False
34,2024-08-02,discovery,2024-08-02 08:00:00+00:00,9.25,True,TP,0.22498118886381585,0.4446952595936636,0.028470847159995316,0.19651034170382053,True,True,True,False,False
35,2024-08-09,discovery,2024-08-09 08:00:00+00:00,-4.25,False,SL,0.009732360097300342,0.5044606650446009,0.43143835267133035,-0.42170599257403,False,False,False,False,False
36,2024-08-16,discovery,2024-08-16 08:00:00+00:00,-4.25,False,SL,0.7026239067054373,0.14285714285717316,-0.6083276912660538,1.3109515979714912,True,False,True,True,True
37,2024-08-23,discovery,2024-08-23 08:00:00+00:00,-0.36258088295512625,False,TIMEOUT,0.45392491467577695,0.10238907849829182,-0.43934714854678225,0.8932720632225593,True,True,True,False,True
38,2024-08-30,discovery,2024-08-30 08:00:00+00:00,2.5748362482274363,True,TIMEOUT,0.47474747474747475,0.16262626262624794,-0.3322612629361237,0.8070087376835984,True,True,True,True,True
39,2024-09-06,discovery,2024-09-06 08:00:00+00:00,9.25,True,TP,0.642581888246582,0.3574181117534179,-0.1852078994475695,0.8277897876941516,True,False,True,True,True
40,2024-09-13,discovery,2024-09-13 08:00:00+00:00,-4.25,False,SL,0.3741935483870968,0.6245161290322768,0.05980054782862909,0.3143930005584677,True,False,False,True,False
41,2024-09-20,discovery,2024-09-20 08:00:00+00:00,-4.25,False,SL,0.1170699803793413,0.631131458469582,0.23555623723060526,-0.11848625685126396,False,True,False,False,False
42,2024-09-27,discovery,2024-09-27 08:00:00+00:00,0.8346867607596238,True,TIMEOUT,0.2149292149291855,0.02702702702700931,-0.4499844672258642,0.6649136821550498,True,True,True,False,True
43,2024-10-04,discovery,2024-10-04 08:00:00+00:00,0.39894982240543175,True,TIMEOUT,0.055555555555642885,0.6836419753085439,0.13426626588740587,-0.07871071033176298,False,True,False,False,False
44,2024-10-11,discovery,2024-10-11 08:00:00+00:00,7.550188644398743,True,TIMEOUT,0.4880239520956564,0.09880239520966368,-0.49675316034587574,0.9847771124415321,True,False,True,True,True
45,2024-10-18,discovery,2024-10-18 08:00:00+00:00,0.8606223079650483,True,TIMEOUT,0.35512820512816784,0.22179487179490912,-0.39098115344164697,0.7461093585698149,True,True,True,False,True
46,2024-10-25,discovery,2024-10-25 08:00:00+00:00,5.255605626959065,True,TIMEOUT,0.0013495276651994687,0.8097165991903789,0.2612854941426913,-0.25993596647749184,False,False,False,False,False
47,2024-11-01,discovery,2024-11-01 08:00:00+00:00,9.25,True,TP,0.4702702702703096,0.3270270270269877,0.08799808211561602,0.38227218815469355,True,True,True,False,False
48,2024-11-08,discovery,2024-11-08 08:00:00+00:00,-0.03253534809829972,False,TIMEOUT,0.10746003552402482,0.5674955595025832,0.13727520273449562,-0.029815167210470797,False,True,False,False,False
49,2024-11-15,discovery,2024-11-15 08:00:00+00:00,9.25,True,TP,0.04853833425255887,0.7677881963597385,0.4337575129566972,-0.3852191787041383,False,True,False,False,False
50,2024-11-22,discovery,2024-11-22 08:00:00+00:00,-4.25,False,SL,0.20119760479039592,0.4459081836327229,0.29678211446201064,-0.09558450967161472,False,True,True,False,False
51,2024-11-29,discovery,2024-11-29 08:00:00+00:00,7.557015765459781,True,TIMEOUT,0.0,0.8003838771593034,0.1118812033625387,-0.1118812033625387,False,True,False,False,False
52,2024-12-06,discovery,2024-12-06 08:00:00+00:00,1.4911228218801593,True,TIMEOUT,0.2074468085105302,0.34973404255324375,-0.440315164663777,0.6477619731743072,True,False,True,False,True
53,2024-12-13,discovery,2024-12-13 08:00:00+00:00,0.12262824438394393,True,TIMEOUT,0.2792968749999306,0.5527343750000883,-0.11292280246805408,0.3922196774679847,True,True,False,False,True
54,2024-12-20,discovery,2024-12-20 08:00:00+00:00,-4.25,False,SL,0.03338469440164156,0.5629173086800168,0.20525307510337443,-0.17186838070173288,False,False,False,False,False
55,2024-12-27,discovery,2024-12-27 08:00:00+00:00,9.25,True,TP,0.0,0.35140367860602023,0.2461056653609775,-0.2461056653609775,False,True,True,False,False
56,2025-01-03,discovery,2025-01-03 08:00:00+00:00,0.2315622107897104,True,TIMEOUT,0.8849315068493948,0.11506849315060519,-0.2843309062488467,1.1692624130982416,True,True,True,True,True
57,2025-01-10,discovery,2025-01-10 08:00:00+00:00,-4.25,False,SL,0.3750000000000264,0.21075581395347945,-0.4458667743838114,0.8208667743838378,True,True,True,False,True
58,2025-01-17,discovery,2025-01-17 08:00:00+00:00,4.243249966225188,True,TIMEOUT,0.3460698689956344,0.09934497816601189,-0.4756408735601199,0.8217107425557544,True,True,True,False,True
59,2025-01-24,discovery,2025-01-24 08:00:00+00:00,-0.4014282394554085,False,TIMEOUT,0.3861386138614445,0.2754275427541824,-0.19310392577736085,0.5792425396388053,True,False,True,False,True
60,2025-01-31,discovery,2025-01-31 08:00:00+00:00,1.513824884792709,True,TIMEOUT,0.3850174216027523,0.508710801393728,-0.0683284735308346,0.4533458951335869,True,False,False,True,True
61,2025-02-07,discovery,2025-02-07 08:00:00+00:00,9.25,True,TP,0.19029275808934157,0.3574730354391964,0.12152491931814349,0.06876783877119808,True,False,True,False,False
62,2025-02-14,discovery,2025-02-14 08:00:00+00:00,-1.5199460934524338,False,TIMEOUT,0.0,1.0,0.13750000000004547,-0.13750000000004547,False,True,False,False,False
63,2025-02-21,discovery,2025-02-21 08:00:00+00:00,5.119770579609246,True,TIMEOUT,0.0016750418759007325,0.6046901172530583,0.16413067669364623,-0.1624556348177455,False,True,False,False,False
64,2025-02-28,discovery,2025-02-28 08:00:00+00:00,-4.25,False,SL,0.20223118917638513,0.48848801329215985,0.21825435260810255,-0.01602316343171742,False,False,True,False,False
65,2025-03-07,discovery,2025-03-07 08:00:00+00:00,9.25,True,TP,0.08666666666668431,0.309696969697005,-0.12210146644543268,0.208768133112117,True,False,True,False,True
66,2025-03-14,discovery,2025-03-14 08:00:00+00:00,9.25,True,TP,0.07122507122507123,0.9287749287749287,0.3815408862217744,-0.3103158149967032,False,True,False,False,False
67,2025-03-21,discovery,2025-03-21 08:00:00+00:00,-4.25,False,SL,0.20242914979755494,0.3387314439946538,0.01574696727957653,0.1866821825179784,True,False,True,False,False
68,2025-03-28,discovery,2025-03-28 08:00:00+00:00,-2.013279996149169,False,TIMEOUT,0.5813953488372093,0.049612403100842875,-0.3970542635658723,0.9784496124030817,True,False,True,True,True
69,2025-04-04,discovery,2025-04-04 08:00:00+00:00,-4.25,False,SL,0.08670520231213873,0.25549132947966785,-0.4031264890049449,0.48983169131708365,True,False,True,False,True
70,2025-04-11,discovery,2025-04-11 08:00:00+00:00,9.25,True,TP,0.12713797035349858,0.8215507411630334,0.5958197470109525,-0.4686817766574539,False,True,False,False,False
71,2025-04-18,discovery,2025-04-18 08:00:00+00:00,-1.3213583438998193,False,TIMEOUT,0.0,0.7294832826749011,0.005276933468468248,-0.005276933468468248,False,False,False,False,False
72,2025-04-25,discovery,2025-04-25 08:00:00+00:00,2.5022918602555517,True,TIMEOUT,0.6777434312210281,0.2357032457496242,-0.6835040713236112,1.3612475025446393,True,False,True,True,True
73,2025-05-02,discovery,2025-05-02 08:00:00+00:00,1.3662592677202996,True,TIMEOUT,0.27989821882949584,0.6946564885496409,0.22123456163931904,0.0586636571901768,True,True,False,True,False
74,2025-05-09,discovery,2025-05-09 08:00:00+00:00,-4.25,False,SL,0.03669275929550007,0.9618395303327368,0.5686440924823734,-0.5319513331868733,False,True,False,False,False
75,2025-05-16,discovery,2025-05-16 08:00:00+00:00,0.7324427259965134,True,TIMEOUT,0.001663893510911998,0.8885191347751915,0.5350486977572099,-0.5333848042462979,False,True,False,False,False
76,2025-05-23,discovery,2025-05-23 08:00:00+00:00,-4.25,False,SL,0.6534296028880866,0.17400722021664852,-0.28586476402762895,0.9392943669157156,True,True,True,True,True
77,2025-05-30,discovery,2025-05-30 08:00:00+00:00,1.4086228243529737,True,TIMEOUT,0.19088811995388785,0.07324106113031402,-0.32233776376787926,0.5132258837217671,True,False,True,True,True
78,2025-06-06,discovery,2025-06-06 08:00:00+00:00,3.7913674734496867,True,TIMEOUT,0.0,0.8705440900564014,0.3713816109943518,-0.3713816109943518,False,False,False,False,False
79,2025-06-13,discovery,2025-06-13 08:00:00+00:00,-1.4463562444076699,False,TIMEOUT,0.7741935483870968,0.22580645161290322,-0.15671103090455893,0.9309045792916557,True,False,True,True,True
80,2025-06-20,discovery,2025-06-20 08:00:00+00:00,-1.48702105450274,False,TIMEOUT,0.013210798391745167,0.9867892016082548,0.32982032474763967,-0.3166095263558945,False,False,False,False,False
81,2025-06-27,discovery,2025-06-27 08:00:00+00:00,-0.9437895595172656,False,TIMEOUT,0.9302045728038206,0.06979542719617936,-0.4514811685485015,1.3816857413523222,True,True,True,True,True
82,2025-07-04,validation,2025-07-04 08:00:00+00:00,-4.166125918106861,False,TIMEOUT,0.4055118110237134,0.5944881889762866,-0.20594099557315704,0.6114528065968705,True,True,False,True,True
83,2025-07-11,validation,2025-07-11 08:00:00+00:00,1.1406985629160156,True,TIMEOUT,0.0,0.8854519091348586,0.17527491798453243,-0.17527491798453243,False,True,False,False,False
84,2025-07-18,validation,2025-07-18 08:00:00+00:00,-4.25,False,SL,0.3404753933712691,0.47003682624705573,-0.26218665005092473,0.6026620434221939,True,True,True,True,True
85,2025-07-25,validation,2025-07-25 08:00:00+00:00,3.181861610267817,True,TIMEOUT,0.13703649421075714,0.827788362890225,-0.05439315251362198,0.19142964672437912,True,False,False,False,True
86,2025-08-01,validation,2025-08-01 08:00:00+00:00,-4.25,False,SL,0.11828571428569766,0.8814285714285715,0.47807895523874777,-0.3597932409530501,False,False,False,False,False
87,2025-08-08,validation,2025-08-08 08:00:00+00:00,-0.3612081663411919,False,TIMEOUT,0.0,1.0,0.527458492975752,-0.527458492975752,False,True,False,False,False
88,2025-08-15,validation,2025-08-15 08:00:00+00:00,-4.25,False,SL,0.0012004801919721828,0.9975990396160557,0.8007078479060529,-0.7995073677140807,False,False,False,False,False
89,2025-08-22,validation,2025-08-22 08:00:00+00:00,-4.25,False,SL,0.41588156123821024,0.5572005383580171,-0.020998513774749705,0.43688007501295995,True,True,False,True,True
90,2025-08-29,validation,2025-08-29 08:00:00+00:00,-4.25,False,SL,0.03801317790167202,0.35884439939179863,0.20585932476493296,-0.16784614686326094,False,True,True,False,False
91,2025-09-05,validation,2025-09-05 08:00:00+00:00,-4.25,False,SL,0.13909378292937724,0.3761854583772316,-0.3063098861293502,0.4454036690587274,True,True,True,False,True
92,2025-09-12,validation,2025-09-12 08:00:00+00:00,-0.46446923873230617,False,TIMEOUT,0.0,0.8968750000000606,0.6541971757320972,-0.6541971757320972,False,True,False,False,False
93,2025-09-19,validation,2025-09-19 08:00:00+00:00,-4.25,False,SL,0.36666666666666664,0.6299999999998059,0.17693877550977244,0.1897278911568942,True,True,False,True,False
94,2025-09-26,validation,2025-09-26 08:00:00+00:00,0.9153334236399475,True,TIMEOUT,0.08353437876959169,0.7382388419782829,0.10005562411840696,-0.016521245348815272,False,False,False,False,False
95,2025-10-03,validation,2025-10-03 08:00:00+00:00,2.1964111800608928,True,TIMEOUT,0.7529940119760049,0.1766467065869007,-0.7038504253442557,1.4568444373202607,True,False,True,True,True
96,2025-10-10,validation,2025-10-10 08:00:00+00:00,2.2404182532152213,True,TIMEOUT,0.04548872180453316,0.6834586466164976,0.11715282794264481,-0.07166410613811165,False,True,False,False,False
97,2025-10-17,validation,2025-10-17 08:00:00+00:00,-4.25,False,SL,0.07101328903650773,0.42691029900332916,-0.06604313236925541,0.13705642140576313,True,True,True,False,True
98,2025-10-24,validation,2025-10-24 08:00:00+00:00,-1.3314597657766152,False,TIMEOUT,0.3542435424354475,0.3103731037310143,-0.2575803600447944,0.6118239024802419,True,False,True,False,True
99,2025-10-31,validation,2025-10-31 08:00:00+00:00,2.544789762339989,True,TIMEOUT,0.5107169253509962,0.29046563192906183,-0.19146207891431166,0.7021790042653079,True,False,True,True,True
100,2025-11-07,validation,2025-11-07 08:00:00+00:00,-4.25,False,SL,0.041059602648890976,0.307284768211882,-0.07390835615615954,0.11496795880505051,True,False,True,False,True
101,2025-11-14,validation,2025-11-14 08:00:00+00:00,-4.25,False,SL,0.43113772455088917,0.34240609689716783,-0.27238419007854964,0.7035219146294388,True,True,True,True,True
102,2025-11-21,validation,2025-11-21 08:00:00+00:00,-4.25,False,SL,0.2355568790947145,0.40887432995831363,-0.054073213755258365,0.2896300928499729,True,False,True,False,True
103,2025-11-28,validation,2025-11-28 08:00:00+00:00,7.2779343503150145,True,TIMEOUT,0.45665773011625094,0.1313672922251819,-0.6238958656694784,1.0805535957857293,True,True,True,False,True
104,2025-12-05,validation,2025-12-05 08:00:00+00:00,-4.25,False,SL,0.0,0.37867078825349465,-0.2551129955302105,0.2551129955302105,True,False,True,False,True
105,2025-12-12,validation,2025-12-12 08:00:00+00:00,-1.4416370366762403,False,TIMEOUT,0.0165605095541772,0.23821656050951706,0.12487103948579824,-0.10831052993162103,False,True,True,False,False
106,2025-12-19,validation,2025-12-19 08:00:00+00:00,-0.4178409777305374,False,TIMEOUT,0.5835030549898637,0.21690427698577944,-0.46989030540699195,1.0533933603968557,True,False,True,False,True
107,2025-12-26,validation,2025-12-26 08:00:00+00:00,2.2245683172571757,True,TIMEOUT,0.09412248253188844,0.3612823674475673,-0.37365148850537594,0.46777397103726437,True,True,True,False,True
108,2026-01-02,validation,2026-01-02 08:00:00+00:00,1.9647574054957602,True,TIMEOUT,0.5370370370370579,0.01080246913575707,-0.18023526671311982,0.7172723037501777,True,True,True,False,True
109,2026-01-09,validation,2026-01-09 08:00:00+00:00,-4.25,False,SL,0.0005032712631669367,0.9587317564167227,0.4778806925868116,-0.47737742132364464,False,True,False,False,False
110,2026-01-16,validation,2026-01-16 08:00:00+00:00,-1.8388164638253595,False,TIMEOUT,0.7203389830509659,0.27683615819180707,-0.31571191873132554,1.0360509017822914,True,False,True,True,True
111,2026-01-23,validation,2026-01-23 08:00:00+00:00,-4.25,False,SL,0.8219326818675816,0.041259500542923676,-0.47844852865424164,1.3003812105218233,True,True,True,True,True
112,2026-01-30,validation,2026-01-30 08:00:00+00:00,-4.25,False,SL,0.4565217391304452,0.469696969696884,-0.28717803030315237,0.7436997694335976,True,True,True,True,True
113,2026-02-06,validation,2026-02-06 08:00:00+00:00,9.25,True,TP,0.5523370638578055,0.11323238973006534,-0.30474073457003786,0.8570777984278433,True,False,True,False,True
114,2026-02-13,validation,2026-02-13 08:00:00+00:00,9.25,True,TP,0.14502038439134887,0.5562026790914479,-0.04657301483200882,0.1915933992233577,True,True,False,False,True
115,2026-02-20,validation,2026-02-20 08:00:00+00:00,-4.25,False,SL,0.0,0.3884745762712062,0.3214014055395787,-0.3214014055395787,False,True,True,False,False
116,2026-02-27,validation,2026-02-27 08:00:00+00:00,-4.25,False,SL,0.32350390286211594,0.4535993061577367,-0.2406830742390197,0.5641869771011356,True,True,True,True,True
117,2026-03-06,validation,2026-03-06 08:00:00+00:00,-4.25,False,SL,0.0012033694343114242,0.7027677496993365,0.3607704856774419,-0.3595671162431305,False,True,False,False,False
118,2026-03-13,validation,2026-03-13 08:00:00+00:00,9.25,True,TP,0.32438316400577755,0.1436865021770863,-0.43592243637035255,0.7603056003761302,True,False,True,False,True
119,2026-03-20,validation,2026-03-20 08:00:00+00:00,-4.25,False,SL,0.33830845771141155,0.4660033167497719,0.1207488463232681,0.21755961138814345,True,True,True,False,False
120,2026-03-27,validation,2026-03-27 08:00:00+00:00,-4.25,False,SL,0.0006605019814483005,0.43659180977548456,0.2601212215402744,-0.2594607195588261,False,True,True,False,False
121,2026-04-03,validation,2026-04-03 08:00:00+00:00,-4.25,False,SL,0.11752577319581628,0.5195876288659194,0.22768706751872586,-0.11016129432290958,False,True,False,False,False
122,2026-04-10,validation,2026-04-10 08:00:00+00:00,5.006970216005297,True,TIMEOUT,0.31566820276506696,0.5898617511520204,-0.010138248848049258,0.3258064516131162,True,False,False,False,True
123,2026-04-17,validation,2026-04-17 08:00:00+00:00,9.25,True,TP,0.0,0.3117309269893504,-0.07278683950813425,0.07278683950813425,True,False,True,False,True
124,2026-04-24,validation,2026-04-24 08:00:00+00:00,2.0173101822328627,True,TIMEOUT,0.16240497581202815,0.004837595024167959,-0.644137073250829,0.8065420490628572,True,True,True,False,True
125,2026-05-01,validation,2026-05-01 08:00:00+00:00,9.25,True,TP,0.0,0.18604651162776925,-0.6468832704547078,0.6468832704547078,True,True,True,False,True
126,2026-05-08,validation,2026-05-08 08:00:00+00:00,-0.8918974069191115,False,TIMEOUT,0.18764044943816954,0.4303370786517181,-0.14259525217543711,0.33023570161360666,True,True,True,False,True
127,2026-05-15,validation,2026-05-15 08:00:00+00:00,-4.25,False,SL,0.7580952380952936,0.14095238095227008,-0.2108640626423432,0.9689593007376367,True,True,True,True,True
128,2026-05-22,validation,2026-05-22 08:00:00+00:00,-1.468654513305439,False,TIMEOUT,0.0,0.7791563275435847,0.32537481493847586,-0.32537481493847586,False,True,False,False,False
129,2026-05-29,validation,2026-05-29 08:00:00+00:00,-4.25,False,SL,0.11214953271029762,0.8878504672897024,0.7021964588507996,-0.590046926140502,False,False,False,False,False
130,2026-06-05,validation,2026-06-05 08:00:00+00:00,-4.25,False,SL,0.03094233473981317,0.609704641350213,0.18420464135022024,-0.15326230661040707,False,False,False,False,False
131,2026-06-12,validation,2026-06-12 08:00:00+00:00,0.31078504435791476,True,TIMEOUT,0.5611192930780582,0.4383897889052577,0.0831985320746425,0.4779207610034157,True,False,True,False,False
132,2026-06-19,validation,2026-06-19 08:00:00+00:00,3.8975290929889335,True,TIMEOUT,0.27142857142851945,0.2464285714286234,-0.07990730643393518,0.3513358778624546,True,False,True,False,True
133,2026-06-26,validation,2026-06-26 08:00:00+00:00,-4.25,False,SL,0.4953031596925766,0.4961571306575514,-0.23761770377955393,0.7329208634721305,True,True,True,True,True
134,2026-07-03,validation,2026-07-03 08:00:00+00:00,2.0855663114312257,True,TIMEOUT,0.002202643171774044,0.9559471365638781,0.44858216111378413,-0.4463795179420101,False,True,False,False,False
135,2026-07-10,validation,2026-07-10 08:00:00+00:00,3.1401684123953117,True,TIMEOUT,0.8505338078292773,0.060498220640468954,-0.4974532618391494,1.3479870696684269,True,False,True,True,True
136,2026-07-17,validation,2026-07-17 08:00:00+00:00,1.9238734377189655,True,TIMEOUT,0.23927392739273065,0.6881188118811753,0.46461206814325196,-0.2253381407505213,False,True,False,False,False
137,2026-07-24,validation,2026-07-24 08:00:00+00:00,-4.25,False,SL,0.5564516129032778,0.12096774193546968,-0.7805928823141812,1.3370444952174592,True,True,True,True,True
