partition,target,boundary,n,wins,wr,pf,expectancy,net,tp_rate,inv_rate,time_rate,med_win,med_loss,med_hold,h2_rate,close_break_rate,max_loss_streak
development,E05,D30,65,37,0.5692307692307692,0.9165017436851378,-0.15480953121469343,-10.062619528955073,0.5538461538461539,0.4307692307692308,0.015384615384615385,2.0661248786592705,-3.8967187936521537,40.0,0.6,0.4,5
development,E05,D40,65,41,0.6307692307692307,0.8961886832880224,-0.21327650846356588,-13.862973050131782,0.6153846153846154,0.36923076923076925,0.015384615384615385,2.0661248786592705,-4.9349755149314,45.0,0.6461538461538462,0.4153846153846154,5
development,E05,D50,65,43,0.6615384615384615,0.8285769400037637,-0.3917962167322941,-25.466754087599117,0.6307692307692307,0.3384615384615385,0.03076923076923077,2.0661248786592705,-5.507738143549313,50.0,0.6615384615384615,0.4153846153846154,5
development,E05,D60,65,45,0.6923076923076923,0.9534400375581169,-0.09920144558414536,-6.448093962969448,0.6615384615384615,0.2923076923076923,0.046153846153846156,2.2560780383364514,-5.993450793397182,50.0,0.6923076923076923,0.4461538461538462,3
development,E10,D30,65,37,0.5692307692307692,1.0307696896088945,0.0570483915976901,3.708145453849857,0.5384615384615384,0.4307692307692308,0.03076923076923077,2.477145691769112,-3.8967187936521537,40.0,0.6,0.46153846153846156,5
development,E10,D40,65,41,0.6307692307692307,1.0128220698340145,0.02634246797063397,1.712260418091208,0.6,0.36923076923076925,0.03076923076923077,2.477145691769112,-4.9349755149314,50.0,0.6461538461538462,0.49230769230769234,5
development,E10,D50,65,43,0.6615384615384615,0.9371897691935129,-0.1435560116742991,-9.331140758829441,0.6153846153846154,0.3384615384615385,0.046153846153846156,2.477145691769112,-5.507738143549313,50.0,0.6615384615384615,0.49230769230769234,5
development,E10,D60,65,45,0.6923076923076923,1.0816821753098027,0.17403342795442164,11.312172817037407,0.6461538461538462,0.2923076923076923,0.06153846153846154,2.6987577113925636,-5.993450793397182,55.0,0.6923076923076923,0.5230769230769231,3
development,E15,D30,65,33,0.5076923076923077,0.8486853969123954,-0.33008356411201567,-21.45543166728102,0.47692307692307695,0.47692307692307695,0.046153846153846156,2.8149073822531627,-3.8967187936521537,45.0,0.6,0.49230769230769234,5
development,E15,D40,65,37,0.5692307692307692,0.8435627187765076,-0.3799517655992014,-24.696864763948092,0.5384615384615384,0.4,0.06153846153846154,2.8149073822531627,-4.9349755149314,55.0,0.6461538461538462,0.5230769230769231,5
development,E15,D50,65,39,0.6,0.8064012562447815,-0.5086375489406011,-33.06144068113907,0.5538461538461539,0.35384615384615387,0.09230769230769231,2.8149073822531627,-5.507738143549313,55.0,0.6615384615384615,0.5384615384615384,5
development,E15,D60,65,41,0.6307692307692307,0.9328355881400042,-0.16605344083130646,-10.793473654034921,0.5846153846153846,0.3076923076923077,0.1076923076923077,2.8881665048790643,-5.993450793397182,55.0,0.6923076923076923,0.5692307692307692,3
reference_validation,E05,D30,31,15,0.4838709677419355,0.7437351566273975,-0.657098296821362,-20.37004720146222,0.4838709677419355,0.5161290322580645,0.0,2.913307222255646,-4.063992478797951,30.0,0.5483870967741935,0.41935483870967744,5
reference_validation,E05,D40,31,20,0.6451612903225806,1.0314894241869446,0.0730809618396563,2.2655098170293453,0.6451612903225806,0.3548387096774194,0.0,2.739445428853971,-5.070392415506541,40.0,0.6774193548387096,0.4838709677419355,4
reference_validation,E05,D50,31,20,0.6451612903225806,0.8602963885022457,-0.3887441336948826,-12.051068144541361,0.6451612903225806,0.3225806451612903,0.03225806451612903,2.739445428853971,-6.453365959151347,45.0,0.6774193548387096,0.4838709677419355,4
reference_validation,E05,D60,31,21,0.6774193548387096,0.8603058480618787,-0.39839244843674954,-12.350165901539235,0.6774193548387096,0.2903225806451613,0.03225806451612903,2.565583635452296,-9.377171494658988,50.0,0.7096774193548387,0.5161290322580645,3
reference_validation,E10,D30,31,15,0.4838709677419355,0.8802714897793785,-0.307000363809328,-9.517011278089168,0.4838709677419355,0.5161290322580645,0.0,3.4655250926314944,-4.063992478797951,30.0,0.5483870967741935,0.45161290322580644,5
reference_validation,E10,D40,31,19,0.6129032258064516,1.1489597165441128,0.36054505853327073,11.176896814531393,0.6129032258064516,0.3870967741935484,0.0,3.4655250926314944,-4.856962807865616,45.0,0.6774193548387096,0.6129032258064516,4
reference_validation,E10,D50,31,20,0.6451612903225806,1.0191359640564928,0.053248399878890705,1.650700396245612,0.6451612903225806,0.3225806451612903,0.03225806451612903,3.2626863336629013,-6.453365959151347,50.0,0.6774193548387096,0.6129032258064516,4
reference_validation,E10,D60,31,21,0.6774193548387096,1.0195257176567536,0.05568521199229955,1.7262415717612862,0.6774193548387096,0.2903225806451613,0.03225806451612903,3.059847574694308,-9.377171494658988,50.0,0.7096774193548387,0.6451612903225806,3
reference_validation,E15,D30,31,14,0.45161290322580644,0.8080804519836441,-0.5430923431210379,-16.835862636752175,0.45161290322580644,0.5483870967741935,0.0,3.7859272384718867,-4.068262306390835,40.0,0.5483870967741935,0.45161290322580644,5
reference_validation,E15,D40,31,19,0.6129032258064516,1.239522609484451,0.5797452845651665,17.97210382152016,0.5483870967741935,0.3870967741935484,0.06451612903225806,3.5541115139363204,-4.856962807865616,50.0,0.6774193548387096,0.6129032258064516,4
reference_validation,E15,D50,31,20,0.6451612903225806,1.1013921809854623,0.28213741318535507,8.746259808746007,0.5806451612903226,0.3225806451612903,0.0967741935483871,3.5288090425959044,-6.453365959151347,65.0,0.6774193548387096,0.6129032258064516,4
reference_validation,E15,D60,31,21,0.6774193548387096,1.1040219933291504,0.29665935215404304,9.196439916775335,0.6129032258064516,0.2903225806451613,0.0967741935483871,3.5035065712554885,-9.377171494658988,80.0,0.7096774193548387,0.6451612903225806,3
august,E05,D30,2,1,0.5,1.2029945198461203,0.35087480631236256,0.7017496126247251,0.5,0.5,0.0,4.158737580362404,-3.4569879677376787,32.5,0.5,0.5,1
august,E05,D40,2,1,0.5,1.2029945198461203,0.35087480631236256,0.7017496126247251,0.5,0.5,0.0,4.158737580362404,-3.4569879677376787,32.5,0.5,0.5,1
august,E05,D50,2,1,0.5,1.2029945198461203,0.35087480631236256,0.7017496126247251,0.5,0.5,0.0,4.158737580362404,-3.4569879677376787,32.5,0.5,0.5,1
august,E05,D60,2,1,0.5,0.6810089015589594,-0.9739962765912438,-1.9479925531824875,0.5,0.5,0.0,4.158737580362404,-6.106730133544891,52.5,0.5,0.5,1
august,E10,D30,2,1,0.5,1.4227782170466312,0.7307696046758962,1.4615392093517925,0.5,0.5,0.0,4.918527177089471,-3.4569879677376787,32.5,0.5,0.5,1
august,E10,D40,2,1,0.5,1.4227782170466312,0.7307696046758962,1.4615392093517925,0.5,0.5,0.0,4.918527177089471,-3.4569879677376787,32.5,0.5,0.5,1
august,E10,D50,2,1,0.5,1.4227782170466312,0.7307696046758962,1.4615392093517925,0.5,0.5,0.0,4.918527177089471,-3.4569879677376787,32.5,0.5,0.5,1
august,E10,D60,2,1,0.5,0.8054273022597641,-0.5941014782277101,-1.1882029564554202,0.5,0.5,0.0,4.918527177089471,-6.106730133544891,52.5,0.5,0.5,1
august,E15,D30,2,1,0.5,1.642561914247142,1.11066440303943,2.22132880607886,0.5,0.5,0.0,5.6783167738165385,-3.4569879677376787,32.5,0.5,0.5,1
august,E15,D40,2,1,0.5,1.642561914247142,1.11066440303943,2.22132880607886,0.5,0.5,0.0,5.6783167738165385,-3.4569879677376787,32.5,0.5,0.5,1
august,E15,D50,2,1,0.5,1.642561914247142,1.11066440303943,2.22132880607886,0.5,0.5,0.0,5.6783167738165385,-3.4569879677376787,32.5,0.5,0.5,1
august,E15,D60,2,1,0.5,0.9298457029605689,-0.2142066798641764,-0.4284133597283528,0.5,0.5,0.0,5.6783167738165385,-6.106730133544891,52.5,0.5,0.5,1
