family,feature,dev_latent_n,dev_true_n,dev_latent_median,dev_true_median,dev_gap,dev_effect_IQR,adequate_dev_blocks,same_sign_dev_blocks,external_latent_n,external_true_n,external_gap,external_effect_IQR,reference_latent_n,reference_true_n,reference_gap,reference_effect_IQR,counts_ok,block_ok,oos_sign_ok,directionally_replicated,strong_replicated,b1_gap,b2_gap,b3_gap,b4_gap,b5_gap,b6_gap
BREAK_TO_FAIL,max_excess_H_by_fail_R,62,53,0.11488763659618974,0.10598626104023538,0.008901375555954355,0.09209923104057433,5,3,26,25,-0.005589857362624087,0.07909481750285605,33,35,0.004917137133487071,0.06849265802078859,True,False,False,False,False,0.017692222098586355,-0.043457142315564884,0.08915692288887762,-0.02287427673042136,0.0111344342204074,0.04704791122269038
BREAK_CANDLE,break_body_R,62,53,0.14549731182795372,0.1351351351351335,0.010362176692820219,0.09189769946703126,5,4,26,25,-0.003951917564247065,0.03543023405383074,33,35,-0.002602811035911229,0.034532039251990006,True,True,False,False,False,0.016060018583736263,0.0022976605637921865,0.029950918058732012,-0.01347834816782291,0.023371510014445318,0.02466064121133485
BREAK_CANDLE,break_lower_wick_R,62,53,0.02242150625897736,0.025591397849462287,-0.003169891590484926,0.08162772234104651,5,3,26,25,0.0018624903348159957,0.06861379807223977,33,35,0.004191870954053685,0.13448033130871936,True,False,False,False,False,-0.0064644657667918964,0.0018152930573663798,-0.013728696603914896,-0.013047444748917267,0.008786757292283155,0.0062909206815240076
FAILURE_CANDLE,fail_range_R,62,53,0.1777655159532781,0.17075564278704566,0.007009873166232444,0.04990680802872185,5,3,26,25,0.012759610856350467,0.15697414233663293,33,35,0.03766155585040393,0.4206073821282148,True,False,True,False,False,0.017017282977146414,-0.0052925126343924545,0.06727190991538692,-0.006270826409253971,0.04246279497491531,0.10381853901535334
PRE_BREAK_APPROACH,prebreak_return15_R,62,53,0.131613067556243,0.1387283236994218,-0.007115256143178816,0.04673055045259541,5,3,26,25,-0.013633301901114878,0.11353818709728379,33,35,0.050504174581797096,0.33755659783171793,True,False,False,False,False,-0.03208540537384194,0.12993625639665338,-0.0029277012132483404,-0.033955794399341044,0.07302433439942034,-0.007601002895068126
FAILURE_CANDLE,fail_close_location,62,53,0.16637090381686992,0.17647058823529904,-0.010099684418429122,0.041625318306828404,5,3,26,25,0.1261005887035342,0.8866951490325198,33,35,0.13255813953486206,0.6600279897061889,True,False,False,False,False,0.04425879843583354,-0.19555682684973558,0.11266395815692376,-0.03567049808428646,-0.1797073186297019,0.12164604701142093
FAILURE_CANDLE,fail_close_R,62,53,-0.059852809122822426,-0.05617977528089964,-0.0036730338419227876,0.0402677190368464,5,3,26,25,0.013170923088031465,0.20503521248127998,33,35,-9.1374269008411e-05,0.0010285332731234827,True,False,False,False,False,-0.020656802074750263,-0.016166907514450185,0.052310000232061615,-0.0023370536522170082,0.002364016861764802,0.002773732914893412
FAILURE_CANDLE,fail_depth_below_H_R,62,53,0.059852809122822426,0.05617977528089964,0.0036730338419227876,0.0402677190368464,5,3,26,25,-0.013170923088031465,0.20503521248127998,33,35,9.1374269008411e-05,0.0010285332731234827,True,False,False,False,False,0.020656802074750263,0.016166907514450185,-0.052310000232061615,0.0023370536522170082,-0.002364016861764802,-0.002773732914893412
BREAK_TO_FAIL,breakclose_to_failclose_drop_R,62,53,0.10374372177436558,0.1058823529411803,-0.0021386311668147168,0.021402978807601784,5,3,26,25,-0.018790527942238733,0.2454293761810753,33,35,-0.0014876667626402829,0.019481270398116275,True,False,True,False,False,-0.0020968190463440117,0.025622259318320656,-0.0538530808403222,-0.0008343176115779977,0.003300182538402918,0.019306934128767356
BREAK_CANDLE,break_high_excess_R,62,53,0.08391672689090457,0.08208955223880554,0.0018271746520990284,0.021280766910242176,5,2,26,25,2.3653992131680845e-05,0.000355597994111895,33,35,0.011070929381226627,0.15001781520144533,True,False,True,False,False,-0.010292481135934756,-0.043457142315564884,0.029458315713080233,0.005113889699692634,-0.03076754557936401,0.03179220229670046
PRE_BREAK_APPROACH,prebreak_range60_R,62,53,0.5262858984669789,0.5207860922146635,0.005499806252315387,0.017655487720240292,5,3,26,25,-0.0004966214968806781,0.002282431159505484,33,35,0.12984434280041335,0.5226483455314991,True,False,False,False,False,-0.052749191414292795,-0.048874152401074344,0.1185889521457848,0.0752989459983493,0.27449591328137635,0.04285321364309902
FAILURE_CANDLE,fail_body_R,62,53,-0.0995916635732092,-0.10112359550561775,0.0015319319324085534,0.01520966354657116,5,2,26,25,0.01623249902291153,0.22020966633227684,33,35,0.007474536230191647,0.09503662078621028,True,False,True,False,False,-0.0041395623891209155,-0.014186711417740666,0.0524359825626399,9.712631043574949e-05,-0.0034346710180625517,-0.018441686644775274
BREAK_TO_FAIL,max_depth_H_by_fail_R,62,53,0.15800333953273982,0.15894308943089597,-0.0009397498981561503,0.008388081536417551,5,3,26,25,-0.036428696248229975,0.40337036583534436,33,35,0.06429977848880347,0.6608759603030587,True,False,False,False,False,-0.017884304008638247,-0.022054006944537158,0.0766474011601985,-0.047754689263893174,0.029974759581348875,0.032419825649350184
PRE_BREAK_APPROACH,prebreak_last_close_distance_H_R,62,53,0.08214263922222911,0.08228730822873143,-0.00014466900650231262,0.001440238340429753,5,2,26,25,0.03581897912295693,0.36556708106634,33,35,-0.004338596752570548,0.047054268866895156,True,False,False,False,False,0.0140221269881117,-0.032267433572815224,0.03834139231027146,0.010680404522295545,-0.02717547247684171,0.039392919524832544
TIMING,entry_to_break_min,62,53,0.0,0.0,0.0,0.0,5,0,26,25,0.0,0.0,33,35,0.0,0.0,True,False,False,False,False,-5.0,0.0,0.0,0.0,2.5,2.5
TIMING,entry_to_failure_close_min,62,53,10.0,10.0,0.0,0.0,5,0,26,25,0.0,0.0,33,35,0.0,0.0,True,False,False,False,False,-5.0,0.0,0.0,0.0,2.5,2.5
PRE_BREAK_APPROACH,prebreak_return60_R,0,0,,,,,0,0,0,0,,,0,0,,,False,False,False,False,False,,,,,,
