partition,timeframe,signal_ts,entry_ts,exit_ts,entry_px,exit_px,return,mfe,mae,bars_held,hold_minutes,gross_pnl_usd,fee_sensitive_pnl_usd,exit_reason,context_15m,context_1h,context_4h
external,5m,2020-01-01 20:30:00+00:00,2020-01-01 20:35:00+00:00,2020-01-01 20:50:00+00:00,7232.01,7229.58,-0.0003360061725579122,0.0003830193818867844,-0.0007231737787973813,3,15,-0.1680030862789561,-0.5680030862789561,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,TRANSITION,TRANSITION
external,5m,2020-01-01 20:55:00+00:00,2020-01-01 21:00:00+00:00,2020-01-01 21:15:00+00:00,7233.32,7229.21,-0.0005682038123572264,0.0007562225921153853,-0.0011502325349908027,3,15,-0.2841019061786132,-0.6841019061786132,REVERSAL_CUT,HEALTHY_BULL,TRANSITION,TRANSITION
external,5m,2020-01-01 21:50:00+00:00,2020-01-01 21:55:00+00:00,2020-01-01 22:00:00+00:00,7230.52,7229.71,-0.00011202513788777235,0.0003291602816946071,-0.0001645801408475256,1,5,-0.056012568943886176,-0.4560125689438862,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,TRANSITION,TRANSITION
external,5m,2020-01-02 09:10:00+00:00,2020-01-02 09:15:00+00:00,2020-01-02 09:35:00+00:00,7144.44,7137.51,-0.0009699850513125163,0.001058165510522846,-0.0015956464047566232,4,20,-0.48499252565625817,-0.8849925256562582,REVERSAL_CUT,REVERSAL,TRANSITION,TRANSITION
external,5m,2020-01-02 09:35:00+00:00,2020-01-02 09:40:00+00:00,2020-01-02 10:50:00+00:00,7143.15,7154.65,0.0016099339927062584,0.00445881718849539,-0.00011339535079057939,14,70,0.8049669963531292,0.40496699635312916,DYNAMIC_DETERIORATION_CUT,REVERSAL,TRANSITION,TRANSITION
external,5m,2020-01-02 12:10:00+00:00,2020-01-02 12:15:00+00:00,2020-01-02 12:25:00+00:00,7157.7,7148.66,-0.0012629755368344098,0.0,-0.0017100465233245155,2,10,-0.6314877684172049,-1.0314877684172048,REVERSAL_CUT,REVERSAL,TRANSITION,TRANSITION
external,5m,2020-01-02 12:55:00+00:00,2020-01-02 13:00:00+00:00,2020-01-02 13:15:00+00:00,7155.1,7147.59,-0.0010496009839136011,0.0005450657572918516,-0.001228494360665855,3,15,-0.5248004919568006,-0.9248004919568006,REVERSAL_CUT,REVERSAL,TRANSITION,TRANSITION
external,5m,2020-01-03 03:40:00+00:00,2020-01-03 03:45:00+00:00,2020-01-03 03:50:00+00:00,6946.45,6936.26,-0.0014669363487823661,0.0,-0.0015417947296820778,1,5,-0.7334681743911831,-1.133468174391183,REVERSAL_CUT,REVERSAL,REVERSAL,TRANSITION
external,5m,2020-01-03 04:00:00+00:00,2020-01-03 04:05:00+00:00,2020-01-03 07:50:00+00:00,6954.99,7192.81,0.03419415412531146,0.049606110145377746,-1.437816589233698e-06,45,225,17.09707706265573,16.69707706265573,DYNAMIC_DETERIORATION_CUT,REVERSAL,REVERSAL,TRANSITION
external,5m,2020-01-03 08:40:00+00:00,2020-01-03 08:45:00+00:00,2020-01-03 10:35:00+00:00,7285.0,7299.35,0.0019698009608786204,0.011438572409059766,-0.007765271105010241,22,110,0.9849004804393102,0.5849004804393102,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,REVERSAL,TRANSITION
external,5m,2020-01-03 13:50:00+00:00,2020-01-03 13:55:00+00:00,2020-01-03 14:05:00+00:00,7349.99,7282.0,-0.009250352721568267,0.003946944145502229,-0.0112911718247235,2,10,-4.625176360784133,-5.025176360784133,REVERSAL_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-03 16:10:00+00:00,2020-01-03 16:15:00+00:00,2020-01-03 17:20:00+00:00,7352.63,7337.11,-0.0021108093294508468,0.0074327145524797356,-0.005525913856674447,13,65,-1.0554046647254234,-1.4554046647254233,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-03 17:35:00+00:00,2020-01-03 17:40:00+00:00,2020-01-03 18:05:00+00:00,7370.9,7341.87,-0.0039384607035775065,0.0012345846504497882,-0.004870504280345633,5,25,-1.9692303517887533,-2.369230351788753,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-03 18:40:00+00:00,2020-01-03 18:45:00+00:00,2020-01-03 18:55:00+00:00,7358.33,7344.9,-0.0018251423896454844,0.0002568517584833341,-0.00202491597957688,2,10,-0.9125711948227422,-1.312571194822742,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-03 19:45:00+00:00,2020-01-03 19:50:00+00:00,2020-01-03 19:55:00+00:00,7335.01,7330.97,-0.000550783161849755,0.0004349005659161076,-0.0008507145866194499,1,5,-0.2753915809248775,-0.6753915809248775,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-03 19:55:00+00:00,2020-01-03 20:00:00+00:00,2020-01-03 20:15:00+00:00,7338.91,7332.9,-0.0008189227010551026,0.0027374637378030364,-0.0008965909106393166,3,15,-0.4094613505275513,-0.8094613505275513,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-03 23:55:00+00:00,2020-01-04 00:00:00+00:00,2020-01-04 00:20:00+00:00,7341.6,7314.11,-0.0037444153862918883,0.0007382586902038302,-0.0041870981802333285,4,20,-1.8722076931459442,-2.272207693145944,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-04 00:20:00+00:00,2020-01-04 00:25:00+00:00,2020-01-04 00:30:00+00:00,7319.22,7312.97,-0.0008539161276748253,3.6889176715515504e-05,-0.0013908585887567604,1,5,-0.42695806383741264,-0.8269580638374127,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-04 02:55:00+00:00,2020-01-04 03:00:00+00:00,2020-01-04 04:05:00+00:00,7324.13,7318.23,-0.0008055564278625083,0.0016889377987556742,-0.0013462349794446382,13,65,-0.4027782139312541,-0.8027782139312541,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-04 04:35:00+00:00,2020-01-04 04:40:00+00:00,2020-01-04 06:35:00+00:00,7326.66,7336.36,0.0013239320508935393,0.005706556602872226,-0.0007725211760883921,23,115,0.6619660254467696,0.2619660254467696,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-04 07:20:00+00:00,2020-01-04 07:25:00+00:00,2020-01-04 07:30:00+00:00,7355.75,7324.03,-0.0043122727118241055,5.981714984870656e-05,-0.004316351153859199,1,5,-2.1561363559120528,-2.5561363559120527,REVERSAL_CUT,STRONG_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-04 08:30:00+00:00,2020-01-04 08:35:00+00:00,2020-01-04 09:00:00+00:00,7347.95,7343.0,-0.0006736572785606132,0.001503820793554711,-0.0009281500282390942,5,25,-0.3368286392803066,-0.7368286392803066,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-04 09:35:00+00:00,2020-01-04 09:40:00+00:00,2020-01-04 10:35:00+00:00,7348.0,7346.0,-0.00027218290691344293,0.0024496461622209864,-0.00034839412084930466,11,55,-0.13609145345672147,-0.5360914534567215,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-04 17:35:00+00:00,2020-01-04 17:40:00+00:00,2020-01-04 18:45:00+00:00,7337.88,7306.97,-0.0042123883192420886,0.008465660381472562,-0.004216476693540971,13,65,-2.1061941596210443,-2.506194159621044,REVERSAL_CUT,REVERSAL,DETERIORATING,TRANSITION
external,5m,2020-01-04 19:45:00+00:00,2020-01-04 19:50:00+00:00,2020-01-04 20:15:00+00:00,7344.4,7319.5,-0.0033903382168726237,0.0006263275420728132,-0.005092315233375055,5,25,-1.6951691084363119,-2.0951691084363118,REVERSAL_CUT,REVERSAL,DETERIORATING,TRANSITION
external,5m,2020-01-04 20:25:00+00:00,2020-01-04 20:30:00+00:00,2020-01-04 21:20:00+00:00,7334.69,7331.93,-0.00037629402196948103,0.0017314978547151583,-0.0006407905446582651,10,50,-0.18814701098474051,-0.5881470109847405,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-04 21:30:00+00:00,2020-01-04 21:35:00+00:00,2020-01-04 22:10:00+00:00,7359.29,7341.15,-0.002464911696644645,0.0004864599710026063,-0.00281277134071356,7,35,-1.2324558483223225,-1.6324558483223224,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-04 22:45:00+00:00,2020-01-04 22:50:00+00:00,2020-01-04 22:55:00+00:00,7355.0,7345.08,-0.001348742352141441,7.885791978234913e-05,-0.0014276002719239012,1,5,-0.6743711760707205,-1.0743711760707204,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-04 23:45:00+00:00,2020-01-04 23:50:00+00:00,2020-01-05 04:20:00+00:00,7350.0,7450.52,0.01367619047619062,0.019727891156462674,-0.00040544217687066286,54,270,6.83809523809531,6.438095238095309,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-05 06:05:00+00:00,2020-01-05 06:10:00+00:00,2020-01-05 06:20:00+00:00,7478.37,7450.68,-0.0037026785248656102,0.0002179619355555662,-0.004061045388232931,2,10,-1.851339262432805,-2.251339262432805,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-05 07:40:00+00:00,2020-01-05 07:45:00+00:00,2020-01-05 08:05:00+00:00,7459.04,7455.63,-0.00045716338831802705,0.0014693579870868057,-0.000800371093331087,4,20,-0.22858169415901353,-0.6285816941590135,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-05 12:35:00+00:00,2020-01-05 12:40:00+00:00,2020-01-05 13:25:00+00:00,7440.92,7439.76,-0.0001558947011928158,0.001892239131720208,-0.000471715863092248,9,45,-0.0779473505964079,-0.4779473505964079,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-05 14:20:00+00:00,2020-01-05 14:25:00+00:00,2020-01-05 14:40:00+00:00,7439.09,7431.96,-0.000958450563173785,0.00033740686024774647,-0.0009745815684445436,3,15,-0.4792252815868925,-0.8792252815868925,REVERSAL_CUT,HEALTHY_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-05 15:10:00+00:00,2020-01-05 15:15:00+00:00,2020-01-05 16:55:00+00:00,7441.9,7452.03,0.0013612115185637208,0.0048509117295314486,-0.0007901208024830852,20,100,0.6806057592818604,0.2806057592818604,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-05 17:25:00+00:00,2020-01-05 17:30:00+00:00,2020-01-05 17:35:00+00:00,7464.03,7456.71,-0.00098070345376422,0.00015943129917750376,-0.001018216700629515,1,5,-0.49035172688211004,-0.8903517268821101,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-05 17:45:00+00:00,2020-01-05 17:50:00+00:00,2020-01-05 18:05:00+00:00,7464.08,7451.89,-0.0016331550572876719,0.0001969432267607818,-0.0017242580465375301,3,15,-0.8165775286438359,-1.2165775286438358,REVERSAL_CUT,STRONG_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-06 01:55:00+00:00,2020-01-06 02:00:00+00:00,2020-01-06 04:30:00+00:00,7419.95,7516.26,0.012979871832020429,0.021581007958274556,-0.0003625361356881518,30,150,6.489935916010214,6.089935916010214,DYNAMIC_DETERIORATION_CUT,REVERSAL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-06 08:15:00+00:00,2020-01-06 08:20:00+00:00,2020-01-06 09:20:00+00:00,7530.99,7523.98,-0.0009308205162933403,0.002524236521360468,-0.0018138385524346656,12,60,-0.46541025814667014,-0.8654102581466702,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-06 09:45:00+00:00,2020-01-06 09:50:00+00:00,2020-01-06 11:30:00+00:00,7541.99,7547.01,0.0006656068226025269,0.004509419927631875,-0.0012105558347332845,20,100,0.33280341130126345,-0.06719658869873657,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-06 12:45:00+00:00,2020-01-06 12:50:00+00:00,2020-01-06 13:20:00+00:00,7552.85,7546.34,-0.000861926292723969,0.002005865335601653,-0.0012048432048830104,6,30,-0.4309631463619845,-0.8309631463619845,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-06 13:30:00+00:00,2020-01-06 13:35:00+00:00,2020-01-06 13:55:00+00:00,7556.0,7535.82,-0.002670725251455841,0.007386183165696281,-0.005386447856008392,4,20,-1.3353626257279205,-1.7353626257279204,REVERSAL_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-06 14:55:00+00:00,2020-01-06 15:00:00+00:00,2020-01-06 15:10:00+00:00,7545.15,7536.63,-0.0011292022027394877,0.0005579743278794069,-0.0022318973115178498,2,10,-0.5646011013697438,-0.9646011013697439,REVERSAL_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-06 17:20:00+00:00,2020-01-06 17:25:00+00:00,2020-01-06 18:10:00+00:00,7554.36,7542.03,-0.001632170031610869,0.00026871899141700517,-0.002169608014444546,9,45,-0.8160850158054345,-1.2160850158054344,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-06 18:10:00+00:00,2020-01-06 18:15:00+00:00,2020-01-06 18:20:00+00:00,7547.1,7542.0,-0.0006757562507453407,0.00011925110307275943,-0.0010944601237561358,1,5,-0.33787812537267037,-0.7378781253726704,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-06 20:15:00+00:00,2020-01-06 20:20:00+00:00,2020-01-06 20:45:00+00:00,7547.7,7536.95,-0.001424274944685111,0.0006054824648569213,-0.0019476131801741126,5,25,-0.7121374723425555,-1.1121374723425554,REVERSAL_CUT,HEALTHY_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-06 20:55:00+00:00,2020-01-06 21:00:00+00:00,2020-01-07 01:45:00+00:00,7548.49,7874.65,0.04320864172834571,0.061789841411991064,-0.000333841602757623,57,285,21.604320864172855,21.204320864172857,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-07 05:30:00+00:00,2020-01-07 05:35:00+00:00,2020-01-07 05:40:00+00:00,7872.2,7862.87,-0.0011851833032697767,4.700083839326297e-05,-0.0016767866670054365,1,5,-0.5925916516348884,-0.9925916516348884,REVERSAL_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-07 05:55:00+00:00,2020-01-07 06:00:00+00:00,2020-01-07 06:05:00+00:00,7872.95,7867.21,-0.000729078680799411,0.0004940968760123177,-0.0007303488527171664,1,5,-0.3645393403997055,-0.7645393403997055,REVERSAL_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-07 06:50:00+00:00,2020-01-07 06:55:00+00:00,2020-01-07 07:20:00+00:00,7877.76,7867.44,-0.0013100170606873407,0.002569258266309271,-0.0019650255910310666,5,25,-0.6550085303436703,-1.0550085303436703,REVERSAL_CUT,DETERIORATING,STRONG_BULL,TRANSITION
external,5m,2020-01-07 07:45:00+00:00,2020-01-07 07:50:00+00:00,2020-01-07 08:35:00+00:00,7880.61,7882.89,0.00028931770510154386,0.003726868859136534,-0.00016876866130921542,9,45,0.14465885255077193,-0.2553411474492281,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-07 08:35:00+00:00,2020-01-07 08:40:00+00:00,2020-01-07 08:45:00+00:00,7892.92,7883.76,-0.0011605337441656927,0.000643614783882196,-0.0012998991501244062,1,5,-0.5802668720828463,-0.9802668720828464,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-07 10:55:00+00:00,2020-01-07 11:00:00+00:00,2020-01-07 12:00:00+00:00,7892.36,7898.9,0.0008286494787363985,0.009710656888433977,-0.0011048659716484943,12,60,0.41432473936819925,0.014324739368199224,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-07 16:40:00+00:00,2020-01-07 16:45:00+00:00,2020-01-07 21:20:00+00:00,7908.1,8111.29,0.02569390877707667,0.03602635272695087,-0.003130966983219796,55,275,12.846954388538334,12.446954388538334,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,DETERIORATING,TRANSITION
external,5m,2020-01-07 23:15:00+00:00,2020-01-07 23:20:00+00:00,2020-01-08 02:20:00+00:00,8072.13,8333.84,0.03242143027924471,0.04909360974117116,-0.00017715274654894753,36,180,16.210715139622355,15.810715139622355,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-08 04:55:00+00:00,2020-01-08 05:00:00+00:00,2020-01-08 05:30:00+00:00,8346.9,8325.79,-0.0025290826534400956,0.00418957936479436,-0.003444392528962892,6,30,-1.2645413267200478,-1.6645413267200477,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-08 06:25:00+00:00,2020-01-08 06:30:00+00:00,2020-01-08 06:40:00+00:00,8349.95,8339.0,-0.0013113850981144592,0.00024191761627290198,-0.003586847825436168,2,10,-0.6556925490572296,-1.0556925490572295,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,STRONG_BULL,TRANSITION
external,5m,2020-01-08 10:15:00+00:00,2020-01-08 10:20:00+00:00,2020-01-08 11:00:00+00:00,8335.2,8330.01,-0.0006226605240426952,0.0026142144159706504,-0.0013520971302428686,8,40,-0.3113302620213476,-0.7113302620213476,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-08 11:00:00+00:00,2020-01-08 11:05:00+00:00,2020-01-08 12:00:00+00:00,8331.02,8335.28,0.0005113419485249793,0.005820415747411545,-3.0008330312525366e-05,11,55,0.25567097426248964,-0.14432902573751039,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-08 13:45:00+00:00,2020-01-08 13:50:00+00:00,2020-01-08 14:15:00+00:00,8395.35,8267.95,-0.015175067150267618,0.001983240722542856,-0.023137808429666396,5,25,-7.5875335751338095,-7.98753357513381,REVERSAL_CUT,HEALTHY_BULL,HEALTHY_BULL,TRANSITION
external,5m,2020-01-08 23:15:00+00:00,2020-01-08 23:20:00+00:00,2020-01-08 23:55:00+00:00,8084.0,8046.65,-0.004620237506185121,0.00556655121227112,-0.005163285502226556,7,35,-2.3101187530925604,-2.7101187530925603,REVERSAL_CUT,REVERSAL,DETERIORATING,TRANSITION
external,5m,2020-01-09 13:20:00+00:00,2020-01-09 13:25:00+00:00,2020-01-09 13:55:00+00:00,7938.0,7902.9,-0.004421768707483009,0.0011337868480725266,-0.0045351473922902175,6,30,-2.2108843537415046,-2.6108843537415045,REVERSAL_CUT,REVERSAL,REVERSAL,DETERIORATING
external,5m,2020-01-09 15:35:00+00:00,2020-01-09 15:40:00+00:00,2020-01-09 15:50:00+00:00,7915.21,7905.34,-0.0012469662839015294,9.980783832652662e-05,-0.001431421276251621,2,10,-0.6234831419507647,-1.0234831419507646,DYNAMIC_DETERIORATION_CUT,REVERSAL,REVERSAL,DETERIORATING
external,5m,2020-01-09 15:55:00+00:00,2020-01-09 16:00:00+00:00,2020-01-09 16:05:00+00:00,7909.81,7892.16,-0.002231406316965945,0.0014374555141021261,-0.0031239688437522117,1,5,-1.1157031584829724,-1.5157031584829723,REVERSAL_CUT,REVERSAL,REVERSAL,DETERIORATING
external,5m,2020-01-09 19:45:00+00:00,2020-01-09 19:50:00+00:00,2020-01-09 20:55:00+00:00,7914.6,7820.71,-0.011862886311373999,0.011653147347939097,-0.013468779218153815,13,65,-5.931443155686999,-6.3314431556869994,REVERSAL_CUT,REVERSAL,REVERSAL,DETERIORATING
external,5m,2020-01-10 10:50:00+00:00,2020-01-10 10:55:00+00:00,2020-01-10 14:00:00+00:00,7765.09,7868.0,0.013252904988866776,0.022898639938493837,-0.0014281869237832145,37,185,6.626452494433388,6.226452494433388,DYNAMIC_DETERIORATION_CUT,REVERSAL,REVERSAL,DETERIORATING
external,5m,2020-01-10 14:20:00+00:00,2020-01-10 14:25:00+00:00,2020-01-10 16:25:00+00:00,7908.0,8002.46,0.011944865958523065,0.030021497218007065,-0.0006310065756196526,24,120,5.972432979261533,5.572432979261532,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,REVERSAL,DETERIORATING
external,5m,2020-01-10 18:00:00+00:00,2020-01-10 18:05:00+00:00,2020-01-10 18:55:00+00:00,7993.47,8027.35,0.004238459642683434,0.016454681133475146,-0.0015687805170970792,10,50,2.119229821341717,1.7192298213417172,DYNAMIC_DETERIORATION_CUT,HEALTHY_BULL,REVERSAL,HEALTHY_BULL
external,5m,2020-01-10 19:20:00+00:00,2020-01-10 19:25:00+00:00,2020-01-10 19:30:00+00:00,8107.0,8026.13,-0.009975329961761426,0.002837054397434313,-0.013075120266436424,1,5,-4.987664980880712,-5.387664980880713,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,REVERSAL,HEALTHY_BULL
external,5m,2020-01-10 19:30:00+00:00,2020-01-10 19:35:00+00:00,2020-01-10 20:40:00+00:00,8054.39,8060.25,0.0007275535453337145,0.006531841641638891,-0.0017903280074592631,13,65,0.36377677266685726,-0.03622322733314276,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,REVERSAL,HEALTHY_BULL
external,5m,2020-01-10 21:25:00+00:00,2020-01-10 21:30:00+00:00,2020-01-10 21:45:00+00:00,8102.87,8037.78,-0.008032956224152676,0.004582327002654596,-0.008993109848732583,3,15,-4.016478112076339,-4.416478112076339,REVERSAL_CUT,STRONG_BULL,STRONG_BULL,HEALTHY_BULL
external,5m,2020-01-10 22:35:00+00:00,2020-01-10 22:40:00+00:00,2020-01-11 00:45:00+00:00,8088.09,8140.77,0.006513280638568597,0.01514943577531902,-0.003596646427030392,25,125,3.2566403192842985,2.8566403192842986,DYNAMIC_DETERIORATION_CUT,DETERIORATING,STRONG_BULL,HEALTHY_BULL
external,5m,2020-01-11 01:00:00+00:00,2020-01-11 01:05:00+00:00,2020-01-11 02:05:00+00:00,8187.19,8191.42,0.0005166607834923287,0.009055610044471862,-0.0013374552196785405,12,60,0.25833039174616435,-0.14166960825383568,DYNAMIC_DETERIORATION_CUT,STRONG_BULL,STRONG_BULL,STRONG_BULL
external,5m,2020-01-11 13:55:00+00:00,2020-01-11 14:00:00+00:00,2020-01-11 14:50:00+00:00,8094.3,8067.6,-0.0032986175456802824,0.0031824864410758824,-0.003866918695872412,10,50,-1.6493087728401412,-2.049308772840141,REVERSAL_CUT,REVERSAL,HEALTHY_BULL,STRONG_BULL
external,5m,2020-01-11 15:35:00+00:00,2020-01-11 15:40:00+00:00,2020-01-11 15:45:00+00:00,8101.35,8073.75,-0.003406839600807343,2.7155967832426242e-05,-0.0034056052386330915,1,5,-1.7034198004036716,-2.1034198004036715,REVERSAL_CUT,REVERSAL,DETERIORATING,STRONG_BULL
