warning_family,motif,dev_block,adequate,fail_n,target_n,fail_hit,target_hit,gap,ratio
W05,TWO_BODY_CONTRACTIONS,5,True,28,6,0.07142857142857142,0.0,0.07142857142857142,inf
W05,TWO_NEAR_H10,0,True,31,4,0.0967741935483871,0.0,0.0967741935483871,inf
W05,TWO_NEAR_H10,1,True,30,7,0.1,0.0,0.1,inf
W05,TWO_NEAR_H10,2,True,33,5,0.09090909090909091,0.2,-0.1090909090909091,0.45454545454545453
W05,TWO_NEAR_H10,3,True,25,5,0.04,0.0,0.04,inf
W05,TWO_NEAR_H10,4,True,37,4,0.21621621621621623,0.0,0.21621621621621623,inf
W05,TWO_NEAR_H10,5,True,28,6,0.17857142857142858,0.0,0.17857142857142858,inf
W05,TWO_NEAR_H05,0,True,31,4,0.0,0.0,0.0,
W05,TWO_NEAR_H05,1,True,30,7,0.0,0.0,0.0,
W05,TWO_NEAR_H05,2,True,33,5,0.0,0.0,0.0,
W05,TWO_NEAR_H05,3,True,25,5,0.0,0.0,0.0,
W05,TWO_NEAR_H05,4,True,37,4,0.0,0.0,0.0,
W05,TWO_NEAR_H05,5,True,28,6,0.0,0.0,0.0,
W05,H05_DEEPEN_FROM_H10,0,True,31,4,0.0967741935483871,0.0,0.0967741935483871,inf
W05,H05_DEEPEN_FROM_H10,1,True,30,7,0.1,0.0,0.1,inf
W05,H05_DEEPEN_FROM_H10,2,True,33,5,0.09090909090909091,0.2,-0.1090909090909091,0.45454545454545453
W05,H05_DEEPEN_FROM_H10,3,True,25,5,0.04,0.0,0.04,inf
W05,H05_DEEPEN_FROM_H10,4,True,37,4,0.21621621621621623,0.0,0.21621621621621623,inf
W05,H05_DEEPEN_FROM_H10,5,True,28,6,0.17857142857142858,0.0,0.17857142857142858,inf
