family,variant,parameter,hour_utc,events,share
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,5,105,0.03556910569105691
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,6,122,0.041327913279132794
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,7,116,0.03929539295392954
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,8,108,0.036585365853658534
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,9,115,0.03895663956639566
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,10,115,0.03895663956639566
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,11,104,0.03523035230352303
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,12,112,0.037940379403794036
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,13,136,0.04607046070460705
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,14,146,0.0494579945799458
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,15,163,0.05521680216802168
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,16,167,0.056571815718157184
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,17,123,0.041666666666666664
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,18,135,0.04573170731707317
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,19,100,0.03387533875338753
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,20,104,0.03523035230352303
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,21,103,0.03489159891598916
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,22,117,0.039634146341463415
IMPULSE_PULLBACK,IMPULSE_PULLBACK_4,4,23,111,0.037601626016260166
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,0,94,0.035153328347045626
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,1,122,0.0456245325355273
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,2,105,0.03926701570680628
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,3,115,0.043006731488406884
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,4,113,0.04225878833208676
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,5,102,0.0381451009723261
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,6,110,0.04113687359760658
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,7,110,0.04113687359760658
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,8,124,0.04637247569184742
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,9,107,0.0400149588631264
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,10,103,0.038519072550486165
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,11,111,0.04151084517576664
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,12,109,0.040762902019446524
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,13,102,0.0381451009723261
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,14,115,0.043006731488406884
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,15,131,0.04899027673896784
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,16,134,0.05011219147344802
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,17,103,0.038519072550486165
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,18,124,0.04637247569184742
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,19,114,0.04263275991024682
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,20,117,0.043754674644727
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,21,104,0.03889304412864622
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,22,104,0.03889304412864622
IMPULSE_PULLBACK,IMPULSE_PULLBACK_6,6,23,101,0.03777112939416604
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,0,140,0.050505050505050504
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,1,132,0.047619047619047616
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,2,116,0.04184704184704185
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,3,94,0.03391053391053391
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,4,103,0.03715728715728716
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,5,100,0.03607503607503607
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,6,98,0.03535353535353535
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,7,141,0.050865800865800864
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,8,127,0.045815295815295816
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,9,98,0.03535353535353535
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,10,120,0.04329004329004329
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,11,120,0.04329004329004329
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,12,133,0.047979797979797977
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,13,136,0.049062049062049064
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,14,143,0.051587301587301584
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,15,118,0.04256854256854257
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,16,111,0.04004329004329004
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,17,95,0.03427128427128427
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,18,110,0.03968253968253968
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,19,100,0.03607503607503607
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,20,82,0.02958152958152958
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,21,107,0.0386002886002886
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,22,126,0.045454545454545456
SWEEP_RECLAIM,SWEEP_RECLAIM_12,12,23,122,0.04401154401154401
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,0,103,0.046396396396396394
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,1,119,0.053603603603603604
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,2,100,0.04504504504504504
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,3,72,0.032432432432432434
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,4,76,0.03423423423423423
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,5,62,0.027927927927927927
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,6,65,0.02927927927927928
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,7,107,0.0481981981981982
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,8,114,0.051351351351351354
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,9,87,0.03918918918918919
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,10,103,0.046396396396396394
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,11,85,0.038288288288288286
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,12,111,0.05
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,13,112,0.05045045045045045
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,14,128,0.05765765765765766
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,15,121,0.0545045045045045
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,16,98,0.044144144144144144
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,17,87,0.03918918918918919
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,18,78,0.03513513513513514
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,19,60,0.02702702702702703
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,20,63,0.02837837837837838
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,21,75,0.033783783783783786
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,22,96,0.043243243243243246
SWEEP_RECLAIM,SWEEP_RECLAIM_20,20,23,98,0.044144144144144144
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,0,148,0.046163443543356206
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,1,146,0.045539613225202745
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,2,125,0.03898939488459139
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,3,125,0.03898939488459139
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,4,138,0.043044291952588895
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,5,127,0.03961322520274485
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,6,117,0.03649407361197754
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,7,155,0.04834684965689332
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,8,154,0.048034934497816595
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,9,116,0.03618215845290081
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,10,133,0.04148471615720524
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,11,132,0.041172800998128506
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,12,161,0.05021834061135371
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,13,155,0.04834684965689332
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,14,150,0.046787273861509666
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,15,123,0.03836556456643793
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,16,122,0.038053649407361195
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,17,116,0.03618215845290081
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,18,126,0.039301310043668124
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,19,114,0.035558328134747345
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,20,119,0.03711790393013101
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,21,125,0.03898939488459139
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,22,148,0.046163443543356206
SWEEP_RECLAIM,SWEEP_RECLAIM_8,8,23,131,0.04086088583905178
