partition,date_utc,weekday,day_type,clock_start_hour,clock_block,prev_start,obs_start,obs_end,H,L,range,regime,regime_bar_start,regime_available_ts,status,breakout_side,low_visits,high_visits,k1_opp0,k1_ts,k2_ts,k3_ts
external,2020-01-06,0,WEEKDAY,16,16-20,2020-01-06 12:00:00+00:00,2020-01-06 16:00:00+00:00,2020-01-06 20:00:00+00:00,7611.81,7481.74,130.07000000000062,SIDEWAYS,2020-01-06 12:00:00+00:00,2020-01-06 16:00:00+00:00,NO_BREAK,,0.0,0.0,False,,,
external,2020-01-06,0,WEEKDAY,20,20-00,2020-01-06 16:00:00+00:00,2020-01-06 20:00:00+00:00,2020-01-07 00:00:00+00:00,7558.75,7507.0,51.75,SIDEWAYS,2020-01-06 16:00:00+00:00,2020-01-06 20:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-07,1,WEEKDAY,0,00-04,2020-01-06 20:00:00+00:00,2020-01-07 00:00:00+00:00,2020-01-07 04:00:00+00:00,7808.65,7533.0,275.64999999999964,SIDEWAYS,2020-01-06 20:00:00+00:00,2020-01-07 00:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-07,1,WEEKDAY,4,04-08,2020-01-07 00:00:00+00:00,2020-01-07 04:00:00+00:00,2020-01-07 08:00:00+00:00,8014.91,7757.0,257.90999999999985,SIDEWAYS,2020-01-07 00:00:00+00:00,2020-01-07 04:00:00+00:00,NO_BREAK,,0.0,0.0,False,,,
external,2020-01-07,1,WEEKDAY,8,08-12,2020-01-07 04:00:00+00:00,2020-01-07 08:00:00+00:00,2020-01-07 12:00:00+00:00,7908.95,7826.18,82.76999999999953,SIDEWAYS,2020-01-07 04:00:00+00:00,2020-01-07 08:00:00+00:00,BREAK_HIGH,HIGH,0.0,1.0,False,,,
external,2020-01-07,1,WEEKDAY,12,12-16,2020-01-07 08:00:00+00:00,2020-01-07 12:00:00+00:00,2020-01-07 16:00:00+00:00,7969.0,7860.0,109.0,SIDEWAYS,2020-01-07 08:00:00+00:00,2020-01-07 12:00:00+00:00,BREAK_LOW,LOW,2.0,0.0,True,2020-01-07 12:30:00+00:00,2020-01-07 13:00:00+00:00,
external,2020-01-07,1,WEEKDAY,16,16-20,2020-01-07 12:00:00+00:00,2020-01-07 16:00:00+00:00,2020-01-07 20:00:00+00:00,7918.19,7746.0,172.1899999999996,SIDEWAYS,2020-01-07 12:00:00+00:00,2020-01-07 16:00:00+00:00,BREAK_HIGH,HIGH,1.0,0.0,True,2020-01-07 16:05:00+00:00,,
external,2020-01-07,1,WEEKDAY,20,20-00,2020-01-07 16:00:00+00:00,2020-01-07 20:00:00+00:00,2020-01-08 00:00:00+00:00,8133.0,7733.0,400.0,SIDEWAYS,2020-01-07 16:00:00+00:00,2020-01-07 20:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-08,2,WEEKDAY,0,00-04,2020-01-07 20:00:00+00:00,2020-01-08 00:00:00+00:00,2020-01-08 04:00:00+00:00,8215.33,7952.0,263.3299999999999,SIDEWAYS,2020-01-07 20:00:00+00:00,2020-01-08 00:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-08,2,WEEKDAY,4,04-08,2020-01-08 00:00:00+00:00,2020-01-08 04:00:00+00:00,2020-01-08 08:00:00+00:00,8468.42,8144.02,324.39999999999964,BULL,2020-01-08 00:00:00+00:00,2020-01-08 04:00:00+00:00,NO_BREAK,,0.0,0.0,False,,,
external,2020-01-08,2,WEEKDAY,8,08-12,2020-01-08 04:00:00+00:00,2020-01-08 08:00:00+00:00,2020-01-08 12:00:00+00:00,8381.87,8280.0,101.8700000000008,BULL,2020-01-08 04:00:00+00:00,2020-01-08 08:00:00+00:00,BREAK_LOW,LOW,1.0,0.0,True,2020-01-08 08:05:00+00:00,,
external,2020-01-08,2,WEEKDAY,12,12-16,2020-01-08 08:00:00+00:00,2020-01-08 12:00:00+00:00,2020-01-08 16:00:00+00:00,8379.51,8267.0,112.51000000000022,BULL,2020-01-08 08:00:00+00:00,2020-01-08 12:00:00+00:00,BREAK_LOW,LOW,0.0,0.0,False,,,
external,2020-01-08,2,WEEKDAY,16,16-20,2020-01-08 12:00:00+00:00,2020-01-08 16:00:00+00:00,2020-01-08 20:00:00+00:00,8427.97,8201.1,226.86999999999898,BULL,2020-01-08 12:00:00+00:00,2020-01-08 16:00:00+00:00,BREAK_LOW,LOW,1.0,0.0,True,2020-01-08 16:35:00+00:00,,
external,2020-01-08,2,WEEKDAY,20,20-00,2020-01-08 16:00:00+00:00,2020-01-08 20:00:00+00:00,2020-01-09 00:00:00+00:00,8340.86,7964.41,376.4500000000007,BULL,2020-01-08 16:00:00+00:00,2020-01-08 20:00:00+00:00,BREAK_LOW,LOW,0.0,0.0,False,,,
external,2020-01-09,3,WEEKDAY,0,00-04,2020-01-08 20:00:00+00:00,2020-01-09 00:00:00+00:00,2020-01-09 04:00:00+00:00,8129.0,7870.11,258.8900000000003,BULL,2020-01-08 20:00:00+00:00,2020-01-09 00:00:00+00:00,NO_BREAK,,0.0,0.0,False,,,
external,2020-01-09,3,WEEKDAY,4,04-08,2020-01-09 00:00:00+00:00,2020-01-09 04:00:00+00:00,2020-01-09 08:00:00+00:00,8060.0,7932.0,128.0,BULL,2020-01-09 00:00:00+00:00,2020-01-09 04:00:00+00:00,BREAK_LOW,LOW,1.0,0.0,True,2020-01-09 04:15:00+00:00,,
external,2020-01-09,3,WEEKDAY,8,08-12,2020-01-09 04:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 12:00:00+00:00,7980.73,7898.0,82.72999999999956,BULL,2020-01-09 04:00:00+00:00,2020-01-09 08:00:00+00:00,BREAK_LOW,LOW,1.0,0.0,True,2020-01-09 09:05:00+00:00,,
external,2020-01-09,3,WEEKDAY,12,12-16,2020-01-09 08:00:00+00:00,2020-01-09 12:00:00+00:00,2020-01-09 16:00:00+00:00,7960.0,7851.91,108.09000000000015,SIDEWAYS,2020-01-09 08:00:00+00:00,2020-01-09 12:00:00+00:00,NO_BREAK,,0.0,0.0,False,,,
external,2020-01-09,3,WEEKDAY,16,16-20,2020-01-09 12:00:00+00:00,2020-01-09 16:00:00+00:00,2020-01-09 20:00:00+00:00,7948.11,7874.23,73.88000000000011,SIDEWAYS,2020-01-09 12:00:00+00:00,2020-01-09 16:00:00+00:00,BREAK_LOW,LOW,1.0,0.0,True,2020-01-09 16:10:00+00:00,,
external,2020-01-09,3,WEEKDAY,20,20-00,2020-01-09 16:00:00+00:00,2020-01-09 20:00:00+00:00,2020-01-10 00:00:00+00:00,7963.0,7776.0,187.0,BULL,2020-01-09 16:00:00+00:00,2020-01-09 20:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-10,4,WEEKDAY,0,00-04,2020-01-09 20:00:00+00:00,2020-01-10 00:00:00+00:00,2020-01-10 04:00:00+00:00,8006.83,7750.01,256.8199999999997,SIDEWAYS,2020-01-09 20:00:00+00:00,2020-01-10 00:00:00+00:00,NO_BREAK,,0.0,0.0,False,,,
external,2020-01-10,4,WEEKDAY,4,04-08,2020-01-10 00:00:00+00:00,2020-01-10 04:00:00+00:00,2020-01-10 08:00:00+00:00,7855.0,7767.22,87.77999999999975,SIDEWAYS,2020-01-10 00:00:00+00:00,2020-01-10 04:00:00+00:00,BREAK_LOW,LOW,0.0,0.0,False,,,
external,2020-01-10,4,WEEKDAY,8,08-12,2020-01-10 04:00:00+00:00,2020-01-10 08:00:00+00:00,2020-01-10 12:00:00+00:00,7818.3,7718.05,100.25,SIDEWAYS,2020-01-10 04:00:00+00:00,2020-01-10 08:00:00+00:00,BREAK_LOW,LOW,0.0,0.0,False,,,
external,2020-01-10,4,WEEKDAY,12,12-16,2020-01-10 08:00:00+00:00,2020-01-10 12:00:00+00:00,2020-01-10 16:00:00+00:00,7854.32,7670.0,184.3199999999997,SIDEWAYS,2020-01-10 08:00:00+00:00,2020-01-10 12:00:00+00:00,BREAK_HIGH,HIGH,0.0,1.0,False,,,
external,2020-01-10,4,WEEKDAY,16,16-20,2020-01-10 12:00:00+00:00,2020-01-10 16:00:00+00:00,2020-01-10 20:00:00+00:00,8088.0,7808.32,279.6800000000003,BULL,2020-01-10 12:00:00+00:00,2020-01-10 16:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-10,4,WEEKDAY,20,20-00,2020-01-10 16:00:00+00:00,2020-01-10 20:00:00+00:00,2020-01-11 00:00:00+00:00,8145.41,7912.95,232.46000000000004,BULL,2020-01-10 16:00:00+00:00,2020-01-10 20:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-11,5,WEEKEND,0,00-04,2020-01-10 20:00:00+00:00,2020-01-11 00:00:00+00:00,2020-01-11 04:00:00+00:00,8210.62,7985.38,225.2400000000007,BULL,2020-01-10 20:00:00+00:00,2020-01-11 00:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-11,5,WEEKEND,4,04-08,2020-01-11 00:00:00+00:00,2020-01-11 04:00:00+00:00,2020-01-11 08:00:00+00:00,8261.33,8131.93,129.39999999999964,BULL,2020-01-11 00:00:00+00:00,2020-01-11 04:00:00+00:00,BREAK_LOW,LOW,1.0,0.0,True,2020-01-11 04:25:00+00:00,,
external,2020-01-11,5,WEEKEND,8,08-12,2020-01-11 04:00:00+00:00,2020-01-11 08:00:00+00:00,2020-01-11 12:00:00+00:00,8187.0,8048.0,139.0,BULL,2020-01-11 04:00:00+00:00,2020-01-11 08:00:00+00:00,BREAK_LOW,LOW,0.0,0.0,False,,,
external,2020-01-11,5,WEEKEND,12,12-16,2020-01-11 08:00:00+00:00,2020-01-11 12:00:00+00:00,2020-01-11 16:00:00+00:00,8135.26,8012.29,122.97000000000025,BULL,2020-01-11 08:00:00+00:00,2020-01-11 12:00:00+00:00,NO_BREAK,,0.0,0.0,False,,,
external,2020-01-11,5,WEEKEND,16,16-20,2020-01-11 12:00:00+00:00,2020-01-11 16:00:00+00:00,2020-01-11 20:00:00+00:00,8120.06,8020.0,100.0600000000004,BULL,2020-01-11 12:00:00+00:00,2020-01-11 16:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-11,5,WEEKEND,20,20-00,2020-01-11 16:00:00+00:00,2020-01-11 20:00:00+00:00,2020-01-12 00:00:00+00:00,8219.38,8070.56,148.8199999999988,BULL,2020-01-11 16:00:00+00:00,2020-01-11 20:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-12,6,WEEKEND,0,00-04,2020-01-11 20:00:00+00:00,2020-01-12 00:00:00+00:00,2020-01-12 04:00:00+00:00,8292.19,8003.87,288.3200000000006,BULL,2020-01-11 20:00:00+00:00,2020-01-12 00:00:00+00:00,BREAK_LOW,LOW,0.0,0.0,False,,,
external,2020-01-12,6,WEEKEND,4,04-08,2020-01-12 00:00:00+00:00,2020-01-12 04:00:00+00:00,2020-01-12 08:00:00+00:00,8119.24,7956.28,162.96000000000004,BULL,2020-01-12 00:00:00+00:00,2020-01-12 04:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-12,6,WEEKEND,8,08-12,2020-01-12 04:00:00+00:00,2020-01-12 08:00:00+00:00,2020-01-12 12:00:00+00:00,8155.0,8072.0,83.0,BULL,2020-01-12 04:00:00+00:00,2020-01-12 08:00:00+00:00,BREAK_HIGH,HIGH,0.0,1.0,False,,,
external,2020-01-12,6,WEEKEND,12,12-16,2020-01-12 08:00:00+00:00,2020-01-12 12:00:00+00:00,2020-01-12 16:00:00+00:00,8166.72,8088.3,78.42000000000007,BULL,2020-01-12 08:00:00+00:00,2020-01-12 12:00:00+00:00,BREAK_HIGH,HIGH,0.0,1.0,False,,,
external,2020-01-12,6,WEEKEND,16,16-20,2020-01-12 12:00:00+00:00,2020-01-12 16:00:00+00:00,2020-01-12 20:00:00+00:00,8186.0,8117.2,68.80000000000018,BULL,2020-01-12 12:00:00+00:00,2020-01-12 16:00:00+00:00,BREAK_LOW,LOW,1.0,0.0,True,2020-01-12 16:45:00+00:00,,
external,2020-01-12,6,WEEKEND,20,20-00,2020-01-12 16:00:00+00:00,2020-01-12 20:00:00+00:00,2020-01-13 00:00:00+00:00,8195.0,8070.13,124.86999999999989,BULL,2020-01-12 16:00:00+00:00,2020-01-12 20:00:00+00:00,NO_BREAK,,0.0,0.0,False,,,
external,2020-01-13,0,WEEKDAY,0,00-04,2020-01-12 20:00:00+00:00,2020-01-13 00:00:00+00:00,2020-01-13 04:00:00+00:00,8189.0,8088.82,100.18000000000029,BULL,2020-01-12 20:00:00+00:00,2020-01-13 00:00:00+00:00,NO_BREAK,,0.0,2.0,False,,,
external,2020-01-13,0,WEEKDAY,4,04-08,2020-01-13 00:00:00+00:00,2020-01-13 04:00:00+00:00,2020-01-13 08:00:00+00:00,8200.0,8090.0,110.0,BULL,2020-01-13 00:00:00+00:00,2020-01-13 04:00:00+00:00,BREAK_LOW,LOW,0.0,0.0,False,,,
external,2020-01-13,0,WEEKDAY,8,08-12,2020-01-13 04:00:00+00:00,2020-01-13 08:00:00+00:00,2020-01-13 12:00:00+00:00,8125.91,8053.78,72.13000000000011,BULL,2020-01-13 04:00:00+00:00,2020-01-13 08:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-13,0,WEEKDAY,12,12-16,2020-01-13 08:00:00+00:00,2020-01-13 12:00:00+00:00,2020-01-13 16:00:00+00:00,8135.93,8063.92,72.01000000000022,BULL,2020-01-13 08:00:00+00:00,2020-01-13 12:00:00+00:00,NO_BREAK,,1.0,0.0,True,2020-01-13 12:20:00+00:00,,
external,2020-01-13,0,WEEKDAY,16,16-20,2020-01-13 12:00:00+00:00,2020-01-13 16:00:00+00:00,2020-01-13 20:00:00+00:00,8115.05,8055.0,60.05000000000018,BULL,2020-01-13 12:00:00+00:00,2020-01-13 16:00:00+00:00,BREAK_HIGH,HIGH,0.0,1.0,False,,,
external,2020-01-13,0,WEEKDAY,20,20-00,2020-01-13 16:00:00+00:00,2020-01-13 20:00:00+00:00,2020-01-14 00:00:00+00:00,8132.0,8072.0,60.0,BULL,2020-01-13 16:00:00+00:00,2020-01-13 20:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-14,1,WEEKDAY,0,00-04,2020-01-13 20:00:00+00:00,2020-01-14 00:00:00+00:00,2020-01-14 04:00:00+00:00,8165.0,8096.98,68.02000000000044,BULL,2020-01-13 20:00:00+00:00,2020-01-14 00:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-14,1,WEEKDAY,4,04-08,2020-01-14 00:00:00+00:00,2020-01-14 04:00:00+00:00,2020-01-14 08:00:00+00:00,8485.0,8109.02,375.97999999999956,BULL,2020-01-14 00:00:00+00:00,2020-01-14 04:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-14,1,WEEKDAY,8,08-12,2020-01-14 04:00:00+00:00,2020-01-14 08:00:00+00:00,2020-01-14 12:00:00+00:00,8598.27,8467.74,130.53000000000065,BULL,2020-01-14 04:00:00+00:00,2020-01-14 08:00:00+00:00,NO_BREAK,,0.0,0.0,False,,,
external,2020-01-14,1,WEEKDAY,12,12-16,2020-01-14 08:00:00+00:00,2020-01-14 12:00:00+00:00,2020-01-14 16:00:00+00:00,8567.9,8476.0,91.89999999999964,BULL,2020-01-14 08:00:00+00:00,2020-01-14 12:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-14,1,WEEKDAY,16,16-20,2020-01-14 12:00:00+00:00,2020-01-14 16:00:00+00:00,2020-01-14 20:00:00+00:00,8770.0,8479.54,290.4599999999991,BULL,2020-01-14 12:00:00+00:00,2020-01-14 16:00:00+00:00,BREAK_HIGH,HIGH,0.0,1.0,False,,,
external,2020-01-14,1,WEEKDAY,20,20-00,2020-01-14 16:00:00+00:00,2020-01-14 20:00:00+00:00,2020-01-15 00:00:00+00:00,8864.99,8520.0,344.9899999999998,BULL,2020-01-14 16:00:00+00:00,2020-01-14 20:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
external,2020-01-15,2,WEEKDAY,0,00-04,2020-01-14 20:00:00+00:00,2020-01-15 00:00:00+00:00,2020-01-15 04:00:00+00:00,8893.0,8678.01,214.98999999999978,BULL,2020-01-14 20:00:00+00:00,2020-01-15 00:00:00+00:00,BREAK_HIGH,HIGH,0.0,0.0,False,,,
