scope,name,mode,map_bad_total,map_bad_too_late,map_bad_eligible,map_bad_flagged,map_bad_capture_all,map_bad_recall_eligible,map_good_total,map_good_resolved_safe,map_good_eligible,map_good_flagged,map_good_sacrifice_all,map_good_fpr_eligible,map_flagged_n,map_flag_precision_bad,global_bad_total,global_bad_too_late,global_bad_eligible,global_bad_flagged,global_bad_capture_all,global_bad_recall_eligible,global_good_total,global_good_resolved_safe,global_good_eligible,global_good_flagged,global_good_sacrifice_all,global_good_fpr_eligible,global_flagged_n,global_flag_precision_bad,partition,threshold
CLOCK,04-08,SAFE,2,0,2,0,0.0,0.0,8,4,4,0,0.0,0.0,0,,2,0,2,0,0.0,0.0,8,4,4,1,0.125,0.25,1,0.0,reference_validation,0.843718723074864
CLOCK,08-12,SAFE,8,1,7,3,0.375,0.42857142857142855,26,12,14,2,0.07692307692307693,0.14285714285714285,5,0.6,8,1,7,5,0.625,0.7142857142857143,26,12,14,3,0.11538461538461539,0.21428571428571427,8,0.625,development,0.7365012286207966
CLOCK,08-12,SAFE,7,1,6,4,0.5714285714285714,0.6666666666666666,19,10,9,4,0.21052631578947367,0.4444444444444444,8,0.5,7,1,6,5,0.7142857142857143,0.8333333333333334,19,10,9,5,0.2631578947368421,0.5555555555555556,10,0.5,external,0.7365012286207966
CLOCK,08-12,SAFE,2,0,2,1,0.5,0.5,10,3,7,3,0.3,0.42857142857142855,4,0.25,2,0,2,1,0.5,0.5,10,3,7,3,0.3,0.42857142857142855,4,0.25,reference_validation,0.7365012286207966
CLOCK,12-16,SAFE,18,1,17,16,0.8888888888888888,0.9411764705882353,49,17,32,2,0.04081632653061224,0.0625,18,0.8888888888888888,18,1,17,16,0.8888888888888888,0.9411764705882353,49,17,32,2,0.04081632653061224,0.0625,18,0.8888888888888888,development,0.6079191233470334
CLOCK,12-16,SAFE,2,0,2,0,0.0,0.0,18,5,13,4,0.2222222222222222,0.3076923076923077,4,0.0,2,0,2,0,0.0,0.0,18,5,13,4,0.2222222222222222,0.3076923076923077,4,0.0,external,0.6079191233470334
CLOCK,12-16,SAFE,5,0,5,2,0.4,0.4,28,8,20,5,0.17857142857142858,0.25,7,0.2857142857142857,5,0,5,2,0.4,0.4,28,8,20,5,0.17857142857142858,0.25,7,0.2857142857142857,reference_validation,0.6079191233470334
CLOCK,16-20,SAFE,2,1,1,0,0.0,0.0,29,9,20,0,0.0,0.0,0,,2,1,1,0,0.0,0.0,29,9,20,1,0.034482758620689655,0.05,1,0.0,development,inf
CLOCK,16-20,SAFE,6,0,6,0,0.0,0.0,10,3,7,0,0.0,0.0,0,,6,0,6,1,0.16666666666666666,0.16666666666666666,10,3,7,0,0.0,0.0,1,1.0,external,inf
CLOCK,16-20,SAFE,0,0,0,0,,,11,4,7,0,0.0,0.0,0,,0,0,0,0,,,11,4,7,0,0.0,0.0,0,,reference_validation,inf
CLOCK,20-00,SAFE,2,0,2,0,0.0,0.0,15,6,9,0,0.0,0.0,0,,2,0,2,0,0.0,0.0,15,6,9,0,0.0,0.0,0,,development,inf
CLOCK,20-00,SAFE,4,0,4,0,0.0,0.0,10,5,5,0,0.0,0.0,0,,4,0,4,3,0.75,0.75,10,5,5,2,0.2,0.4,5,0.6,external,inf
CLOCK,20-00,SAFE,4,1,3,0,0.0,0.0,11,3,8,0,0.0,0.0,0,,4,1,3,3,0.75,1.0,11,3,8,1,0.09090909090909091,0.125,4,0.75,reference_validation,inf
POOL,development,AGGRESSIVE,38,3,35,31,0.8157894736842105,0.8857142857142857,159,62,97,10,0.06289308176100629,0.10309278350515463,41,0.7560975609756098,38,3,35,32,0.8421052631578947,0.9142857142857143,159,62,97,28,0.1761006289308176,0.28865979381443296,60,0.5333333333333333,,
POOL,external,AGGRESSIVE,23,1,22,8,0.34782608695652173,0.36363636363636365,98,42,56,15,0.15306122448979592,0.26785714285714285,23,0.34782608695652173,23,1,22,9,0.391304347826087,0.4090909090909091,98,42,56,22,0.22448979591836735,0.39285714285714285,31,0.2903225806451613,,
POOL,reference_validation,AGGRESSIVE,17,1,16,9,0.5294117647058824,0.5625,91,30,61,15,0.16483516483516483,0.2459016393442623,24,0.375,17,1,16,13,0.7647058823529411,0.8125,91,30,61,25,0.27472527472527475,0.4098360655737705,38,0.34210526315789475,,
POOL,POOLED_REUSED_EXTVAL,AGGRESSIVE,40,2,38,17,0.425,0.4473684210526316,189,72,117,30,0.15873015873015872,0.2564102564102564,47,0.3617021276595745,40,2,38,22,0.55,0.5789473684210527,189,72,117,47,0.24867724867724866,0.4017094017094017,69,0.3188405797101449,,
POOL,POOLED_MAJOR,AGGRESSIVE,78,5,73,48,0.6153846153846154,0.6575342465753424,348,134,214,40,0.11494252873563218,0.18691588785046728,88,0.5454545454545454,78,5,73,54,0.6923076923076923,0.7397260273972602,348,134,214,75,0.21551724137931033,0.35046728971962615,129,0.4186046511627907,,
CLOCK,00-04,AGGRESSIVE,7,0,7,7,1.0,1.0,30,15,15,3,0.1,0.2,10,0.7,7,0,7,7,1.0,1.0,30,15,15,5,0.16666666666666666,0.3333333333333333,12,0.5833333333333334,development,0.5332603845054695
CLOCK,00-04,AGGRESSIVE,2,0,2,0,0.0,0.0,23,10,13,2,0.08695652173913043,0.15384615384615385,2,0.0,2,0,2,0,0.0,0.0,23,10,13,6,0.2608695652173913,0.46153846153846156,6,0.0,external,0.5332603845054695
CLOCK,00-04,AGGRESSIVE,4,0,4,3,0.75,0.75,23,8,15,6,0.2608695652173913,0.4,9,0.3333333333333333,4,0,4,4,1.0,1.0,23,8,15,7,0.30434782608695654,0.4666666666666667,11,0.36363636363636365,reference_validation,0.5332603845054695
CLOCK,04-08,AGGRESSIVE,1,0,1,1,1.0,1.0,10,3,7,0,0.0,0.0,1,1.0,1,0,1,1,1.0,1.0,10,3,7,1,0.1,0.14285714285714285,2,0.5,development,0.843718723074864
CLOCK,04-08,AGGRESSIVE,2,0,2,0,0.0,0.0,18,9,9,0,0.0,0.0,0,,2,0,2,0,0.0,0.0,18,9,9,1,0.05555555555555555,0.1111111111111111,1,0.0,external,0.843718723074864
CLOCK,04-08,AGGRESSIVE,2,0,2,0,0.0,0.0,8,4,4,0,0.0,0.0,0,,2,0,2,1,0.5,0.5,8,4,4,1,0.125,0.25,2,0.5,reference_validation,0.843718723074864
CLOCK,08-12,AGGRESSIVE,8,1,7,5,0.625,0.7142857142857143,26,12,14,3,0.11538461538461539,0.21428571428571427,8,0.625,8,1,7,6,0.75,0.8571428571428571,26,12,14,6,0.23076923076923078,0.42857142857142855,12,0.5,development,0.6534644184854693
CLOCK,08-12,AGGRESSIVE,7,1,6,5,0.7142857142857143,0.8333333333333334,19,10,9,5,0.2631578947368421,0.5555555555555556,10,0.5,7,1,6,5,0.7142857142857143,0.8333333333333334,19,10,9,5,0.2631578947368421,0.5555555555555556,10,0.5,external,0.6534644184854693
CLOCK,08-12,AGGRESSIVE,2,0,2,1,0.5,0.5,10,3,7,3,0.3,0.42857142857142855,4,0.25,2,0,2,2,1.0,1.0,10,3,7,6,0.6,0.8571428571428571,8,0.25,reference_validation,0.6534644184854693
CLOCK,12-16,AGGRESSIVE,18,1,17,16,0.8888888888888888,0.9411764705882353,49,17,32,2,0.04081632653061224,0.0625,18,0.8888888888888888,18,1,17,16,0.8888888888888888,0.9411764705882353,49,17,32,12,0.24489795918367346,0.375,28,0.5714285714285714,development,0.6079191233470334
CLOCK,12-16,AGGRESSIVE,2,0,2,0,0.0,0.0,18,5,13,4,0.2222222222222222,0.3076923076923077,4,0.0,2,0,2,0,0.0,0.0,18,5,13,5,0.2777777777777778,0.38461538461538464,5,0.0,external,0.6079191233470334
CLOCK,12-16,AGGRESSIVE,5,0,5,2,0.4,0.4,28,8,20,5,0.17857142857142858,0.25,7,0.2857142857142857,5,0,5,3,0.6,0.6,28,8,20,10,0.35714285714285715,0.5,13,0.23076923076923078,reference_validation,0.6079191233470334
CLOCK,16-20,AGGRESSIVE,2,1,1,0,0.0,0.0,29,9,20,0,0.0,0.0,0,,2,1,1,0,0.0,0.0,29,9,20,2,0.06896551724137931,0.1,2,0.0,development,inf
CLOCK,16-20,AGGRESSIVE,6,0,6,0,0.0,0.0,10,3,7,0,0.0,0.0,0,,6,0,6,1,0.16666666666666666,0.16666666666666666,10,3,7,1,0.1,0.14285714285714285,2,0.5,external,inf
CLOCK,16-20,AGGRESSIVE,0,0,0,0,,,11,4,7,0,0.0,0.0,0,,0,0,0,0,,,11,4,7,0,0.0,0.0,0,,reference_validation,inf
CLOCK,20-00,AGGRESSIVE,2,0,2,2,1.0,1.0,15,6,9,2,0.13333333333333333,0.2222222222222222,4,0.5,2,0,2,2,1.0,1.0,15,6,9,2,0.13333333333333333,0.2222222222222222,4,0.5,development,0.41019885443537574
CLOCK,20-00,AGGRESSIVE,4,0,4,3,0.75,0.75,10,5,5,4,0.4,0.8,7,0.42857142857142855,4,0,4,3,0.75,0.75,10,5,5,4,0.4,0.8,7,0.42857142857142855,external,0.41019885443537574
CLOCK,20-00,AGGRESSIVE,4,1,3,3,0.75,1.0,11,3,8,1,0.09090909090909091,0.125,4,0.75,4,1,3,3,0.75,1.0,11,3,8,1,0.09090909090909091,0.125,4,0.75,reference_validation,0.41019885443537574
