structure_id,raid_i_h1,raid_time,reclaim_i_h1,reclaim_time,reclaim_close_time,year,liquidity_high,liquidity_pivot_i,liquidity_confirm_i,significant_low,significant_low_pivot_i,significant_low_confirm_i,raid_extreme,raid_depth_pct,reclaim_delay_h1_bars,reclaim_close,median_prior_h1_range,bos_i_h1,bos_time,bos_close_time,bos_close,bos_low,bars_reclaim_to_bos,displacement_range_units,bear_path_efficiency,bos_extension_range_units,origin_i_h1,origin_time,origin_open,origin_high,origin_low,origin_close,zone_low,zone_high,zone_width_range_units,first_return_i_5m,first_return_time,bos_to_return_min,return_open,return_high,return_low,return_close,return_penetration_zone_width,pre_return_structural_low,outcome,resolution_i_5m,resolution_time,return_to_resolution_min,max_above_zone_width,max_new_low_extension_pct,retrace_fraction_of_raid_leg,origin_distance_from_pre_return_low_fraction
2021-05-12 23:00:00+00:00__H5681__L5772,5776,2021-05-12 23:00:00+00:00,5776,2021-05-12 23:00:00+00:00,2021-05-13 00:00:00+00:00,2021,47.1986,5681,5683,42.689,5772,5774,48.602,2.9733932786141892,0,43.484,1.5680000000000014,5780,2021-05-13 03:00:00+00:00,2021-05-13 04:00:00+00:00,42.66,42.05,4,3.7895408163265274,0.2699868938401066,0.01849489795918587,5777,2021-05-13 00:00:00+00:00,43.564,45.49,39.368,44.598,39.368,45.49,3.904336734693874,69372,2021-05-13 04:00:00+00:00,0.0,42.665,42.75,42.566,42.708,0.5524338451486439,42.05,CONTINUATION,69440,2021-05-13 09:40:00+00:00,340.0,-0.08020254818686698,10.984542211652794,0.10683760683760728,-0.4093406593406586
2021-07-01 22:00:00+00:00__H6971__L6972,6975,2021-07-01 22:00:00+00:00,6975,2021-07-01 22:00:00+00:00,2021-07-01 23:00:00+00:00,2021,34.209,6971,6973,33.055,6972,6974,34.284,0.21924055073225812,0,33.84,0.8079999999999998,6979,2021-07-02 02:00:00+00:00,2021-07-02 03:00:00+00:00,32.996,32.626,4,1.5940594059405904,0.37444543034605,0.07301980198019493,6977,2021-07-02 00:00:00+00:00,33.26,33.98,32.969,33.959,32.969,33.98,1.2512376237623712,83760,2021-07-02 03:00:00+00:00,0.0,32.989,33.015,32.843,32.905,0.045499505440157836,32.626,CONTINUATION,83762,2021-07-02 03:10:00+00:00,10.0,0.31552917903066663,3.917121314289213,0.23462002412545394,0.20687575392038798
2021-07-23 02:00:00+00:00__H7474__L7479,7483,2021-07-23 02:00:00+00:00,7485,2021-07-23 04:00:00+00:00,2021-07-23 05:00:00+00:00,2021,28.172,7474,7476,27.261,7479,7481,28.7,1.8742013346585207,2,28.164,0.4775000000000009,7490,2021-07-23 09:00:00+00:00,2021-07-23 10:00:00+00:00,27.205,27.055,5,3.130890052356017,0.7248677248677271,0.1172774869109965,7486,2021-07-23 05:00:00+00:00,28.166,28.598,28.133,28.346,28.133,28.598,0.9738219895287936,90054,2021-07-23 23:30:00+00:00,810.0,27.856,28.166,27.779,28.13,0.07096774193548658,26.381,INVALIDATED,90068,2021-07-24 00:40:00+00:00,70.0,1.9311827956989247,-5.2992684128729,0.7697283311772319,0.7554980595084086
2021-07-24 06:00:00+00:00__H7505__L7508,7511,2021-07-24 06:00:00+00:00,7512,2021-07-24 07:00:00+00:00,2021-07-24 08:00:00+00:00,2021,28.987,7505,7507,28.403,7508,7510,29.496,1.7559595680822548,1,28.74,0.3755000000000006,7520,2021-07-24 15:00:00+00:00,2021-07-24 16:00:00+00:00,28.402,28.362,8,2.9134487350199625,0.16344294003868448,0.00266311584553307,7519,2021-07-24 14:00:00+00:00,28.56,28.739,28.264,28.586,28.264,28.739,1.2649800266311602,90252,2021-07-24 16:00:00+00:00,0.0,28.399,28.56,28.38,28.56,0.6231578947368389,28.362,CONTINUATION,90253,2021-07-24 16:05:00+00:00,5.0,1.5894736842105195,6.473450391368727,0.1746031746031749,-0.08641975308641882
2021-08-11 13:00:00+00:00__H7944__L7947,7950,2021-08-11 13:00:00+00:00,7952,2021-08-11 15:00:00+00:00,2021-08-11 16:00:00+00:00,2021,43.059,7944,7946,41.942,7947,7949,43.483,0.9846954179149492,2,42.636,0.7035000000000018,7959,2021-08-11 22:00:00+00:00,2021-08-11 23:00:00+00:00,41.81,41.45,7,2.3781094527363047,0.3201550387596894,0.18763326226012447,7956,2021-08-11 19:00:00+00:00,42.913,43.476,42.799,43.438,42.799,43.476,0.9623312011371683,95550,2021-08-12 01:30:00+00:00,150.0,42.691,43.011,42.65,42.944,0.3131462333825752,41.45,CONTINUATION,95596,2021-08-12 05:20:00+00:00,230.0,0.008862629246676855,5.034981905910743,0.767830791933106,0.6635514018691592
2021-10-14 14:00:00+00:00__H9479__L9483,9487,2021-10-14 14:00:00+00:00,9489,2021-10-14 16:00:00+00:00,2021-10-14 17:00:00+00:00,2021,152.549,9479,9481,150.0,9483,9485,155.929,2.215681518725132,2,151.211,1.789999999999992,9493,2021-10-14 20:00:00+00:00,2021-10-14 21:00:00+00:00,149.98,149.005,4,3.3234636871508596,0.47327950788159817,0.011173184357547666,9490,2021-10-14 17:00:00+00:00,151.21,152.418,150.909,151.896,150.909,152.418,0.8430167597765482,113928,2021-10-14 21:00:00+00:00,0.0,149.986,151.1,149.979,150.648,0.12657388999337355,149.005,CONTINUATION,113968,2021-10-15 00:20:00+00:00,200.0,8.603048376408134,1.5744438106103846,0.3025707683419984,0.27498555748122394
2021-10-16 10:00:00+00:00__H9520__L9528,9531,2021-10-16 10:00:00+00:00,9531,2021-10-16 10:00:00+00:00,2021-10-16 11:00:00+00:00,2021,164.443,9520,9522,157.701,9528,9530,164.989,0.33202994350625126,0,162.758,2.6995000000000005,9542,2021-10-16 21:00:00+00:00,2021-10-16 22:00:00+00:00,157.164,156.238,11,2.898684941655868,0.5967569874119933,0.19892572698648123,9541,2021-10-16 20:00:00+00:00,158.347,159.025,158.156,158.936,158.156,159.025,0.32191146508612695,114525,2021-10-16 22:45:00+00:00,45.0,157.855,158.18,157.807,158.122,0.027617951668585633,156.238,INVALIDATED,114550,2021-10-17 00:50:00+00:00,125.0,10.001150747986197,2.072479166399979,0.22191749514341289,0.2191749514341224
2021-10-16 11:00:00+00:00__H9511__L9528,9532,2021-10-16 11:00:00+00:00,9532,2021-10-16 11:00:00+00:00,2021-10-16 12:00:00+00:00,2021,163.227,9511,9513,157.701,9528,9530,163.431,0.12497932327373285,0,162.328,2.6995000000000005,9542,2021-10-16 21:00:00+00:00,2021-10-16 22:00:00+00:00,157.164,156.238,10,2.321541026115956,0.5773703041144926,0.19892572698648123,9541,2021-10-16 20:00:00+00:00,158.347,159.025,158.156,158.936,158.156,159.025,0.32191146508612695,114525,2021-10-16 22:45:00+00:00,45.0,157.855,158.18,157.807,158.122,0.027617951668585633,156.238,INVALIDATED,114550,2021-10-17 00:50:00+00:00,125.0,10.001150747986197,2.072479166399979,0.26998470735437285,0.26664813012651234
2021-10-19 04:00:00+00:00__H9592__L9594,9597,2021-10-19 04:00:00+00:00,9597,2021-10-19 04:00:00+00:00,2021-10-19 05:00:00+00:00,2021,158.396,9592,9594,156.229,9594,9596,159.639,0.7847420389403892,0,158.198,1.6340000000000146,9607,2021-10-19 14:00:00+00:00,2021-10-19 15:00:00+00:00,156.212,154.8,10,2.0973072215422217,0.40153659522846674,0.010403916768680648,9605,2021-10-19 12:00:00+00:00,157.146,158.1,156.8,157.407,156.8,158.1,0.7955936352509004,115387,2021-10-19 22:35:00+00:00,455.0,156.399,157.161,156.246,157.053,0.27769230769230363,153.231,INVALIDATED,115525,2021-10-20 10:05:00+00:00,690.0,13.114615384615561,-1.2804197584039898,0.6132958801498123,0.5569600499375793
2021-11-18 00:00:00+00:00__H10301__L10309,10313,2021-11-18 00:00:00+00:00,10313,2021-11-18 00:00:00+00:00,2021-11-18 01:00:00+00:00,2021,222.33,10301,10303,212.786,10309,10311,222.805,0.21364638150496162,0,222.225,3.7830000000000155,10320,2021-11-18 07:00:00+00:00,2021-11-18 08:00:00+00:00,212.7,211.43,7,2.6711604546656034,0.7580580978909659,0.022733280465242502,10318,2021-11-18 05:00:00+00:00,213.21,214.372,212.58,213.51,212.58,214.372,0.47369812318265775,123852,2021-11-18 08:00:00+00:00,0.0,212.708,213.398,212.236,212.309,0.45647321428570475,211.43,CONTINUATION,123855,2021-11-18 08:15:00+00:00,15.0,-0.5435267857142952,11.844109161424585,0.17301098901098808,0.1010989010989016
2021-12-27 04:00:00+00:00__H11247__L11250,11253,2021-12-27 04:00:00+00:00,11254,2021-12-27 05:00:00+00:00,2021-12-27 06:00:00+00:00,2021,199.64,11247,11249,196.63,11250,11252,201.77,1.0669204568222845,1,198.74,2.030000000000001,11257,2021-12-27 08:00:00+00:00,2021-12-27 09:00:00+00:00,196.45,196.0,3,2.620689655172423,0.8980392156862785,0.08866995073891956,11255,2021-12-27 06:00:00+00:00,198.73,199.5,198.46,198.87,198.46,199.5,0.5123152709359564,135108,2021-12-27 10:00:00+00:00,60.0,197.81,199.7,197.78,199.41,1.0,194.66,INVALIDATED,135116,2021-12-27 10:40:00+00:00,40.0,5.105769230769272,4.469331141477443,0.7088607594936684,0.5344585091420541
2021-12-30 13:00:00+00:00__H11328__L11331,11334,2021-12-30 13:00:00+00:00,11334,2021-12-30 13:00:00+00:00,2021-12-30 14:00:00+00:00,2021,174.81,11328,11330,171.79,11331,11333,175.49,0.3889937646587738,0,174.34,2.3299999999999983,11343,2021-12-30 22:00:00+00:00,2021-12-30 23:00:00+00:00,171.71,170.83,9,1.6223175965665253,0.4573913043478253,0.03433476394849105,11339,2021-12-30 18:00:00+00:00,174.64,174.97,173.7,174.85,173.7,174.97,0.5450643776824082,136143,2021-12-31 00:15:00+00:00,75.0,173.15,173.82,173.11,173.45,0.09448818897638077,170.83,CONTINUATION,136171,2021-12-31 02:35:00+00:00,140.0,2.141732283464549,1.90832991863257,0.64163090128755,0.6158798283261756
2022-04-07 12:00:00+00:00__H13561__L13562,13565,2022-04-07 12:00:00+00:00,13565,2022-04-07 12:00:00+00:00,2022-04-07 13:00:00+00:00,2022,116.8,13561,13563,113.65,13562,13564,118.49,1.4469178082191725,0,116.49,2.405000000000001,13568,2022-04-07 15:00:00+00:00,2022-04-07 16:00:00+00:00,113.16,111.66,3,2.2162162162162145,0.762013729977113,0.20374220374220742,13566,2022-04-07 13:00:00+00:00,116.48,117.25,114.63,117.01,114.63,117.25,1.0893970893970908,162835,2022-04-07 16:35:00+00:00,35.0,114.2,114.65,113.92,114.41,0.007633587786263434,111.66,INVALIDATED,162859,2022-04-07 18:35:00+00:00,120.0,1.9427480916030513,-1.012000716460693,0.43777452415812734,0.4348462664714494
2022-04-14 01:00:00+00:00__H13716__L13717,13722,2022-04-14 01:00:00+00:00,13724,2022-04-14 03:00:00+00:00,2022-04-14 04:00:00+00:00,2022,105.73,13716,13718,103.64,13717,13719,107.31,1.4943724581481188,2,105.6,1.5350000000000037,13732,2022-04-14 11:00:00+00:00,2022-04-14 12:00:00+00:00,103.62,103.09,8,2.4039087947882662,0.44999999999999707,0.013029315960909428,13728,2022-04-14 07:00:00+00:00,106.21,107.07,105.48,106.36,105.48,107.07,1.0358306188924986,164809,2022-04-14 13:05:00+00:00,65.0,105.25,105.75,105.15,105.55,0.16981132075471564,103.09,CONTINUATION,164818,2022-04-14 13:50:00+00:00,45.0,-0.8301886792452844,4.248714715297322,0.6303317535545018,0.5663507109004742
2022-04-14 02:00:00+00:00__H13712__L13717,13723,2022-04-14 02:00:00+00:00,13724,2022-04-14 03:00:00+00:00,2022-04-14 04:00:00+00:00,2022,105.97,13712,13714,103.64,13717,13719,107.13,1.094649429083705,1,105.6,1.625,13732,2022-04-14 11:00:00+00:00,2022-04-14 12:00:00+00:00,103.62,103.09,8,2.1599999999999944,0.44999999999999707,0.012307692307689858,13728,2022-04-14 07:00:00+00:00,106.21,107.07,105.48,106.36,105.48,107.07,0.9784615384615318,164809,2022-04-14 13:05:00+00:00,65.0,105.25,105.75,105.15,105.55,0.16981132075471564,103.09,CONTINUATION,164818,2022-04-14 13:50:00+00:00,45.0,-0.8301886792452844,4.248714715297322,0.6584158415841589,0.5915841584158429
2022-04-28 09:00:00+00:00__H14058__L14063,14066,2022-04-28 09:00:00+00:00,14068,2022-04-28 11:00:00+00:00,2022-04-28 12:00:00+00:00,2022,99.89,14058,14060,98.51,14063,14065,100.5,0.6106717389128047,2,99.81,1.0800000000000054,14069,2022-04-28 12:00:00+00:00,2022-04-28 13:00:00+00:00,98.41,98.05,1,1.9351851851851787,1.0,0.09259259259260003,14066,2022-04-28 09:00:00+00:00,99.82,100.5,99.82,100.39,99.82,100.5,0.6296296296296328,168898,2022-04-28 17:50:00+00:00,290.0,99.57,99.86,99.52,99.7,0.05882352941177331,96.23,CONTINUATION,169090,2022-04-29 09:50:00+00:00,960.0,-0.4411764705882267,2.255014028889122,0.8501170960187351,0.8407494145199046
2022-05-03 04:00:00+00:00__H14175__L14178,14181,2022-05-03 04:00:00+00:00,14181,2022-05-03 04:00:00+00:00,2022-05-03 05:00:00+00:00,2022,88.5,14175,14177,86.67,14178,14180,88.79,0.3276836158192076,0,88.33,1.4499999999999957,14193,2022-05-03 16:00:00+00:00,2022-05-03 17:00:00+00:00,86.39,86.28,12,1.6551724137931123,0.39112903225806345,0.19310344827586343,14192,2022-05-03 15:00:00+00:00,87.0,87.43,86.66,87.16,86.66,87.43,0.5310344827586293,170331,2022-05-03 17:15:00+00:00,15.0,86.59,87.12,86.58,86.97,0.5974025974025998,86.09,CONTINUATION,170340,2022-05-03 18:00:00+00:00,45.0,1.6493506493506223,1.7539783947032235,0.3814814814814815,0.21111111111110836
2022-05-30 07:00:00+00:00__H14827__L14829,14832,2022-05-30 07:00:00+00:00,14834,2022-05-30 09:00:00+00:00,2022-05-30 10:00:00+00:00,2022,46.74,14827,14829,45.51,14829,14831,47.39,1.3906718014548458,2,46.52,0.7699999999999996,14837,2022-05-30 12:00:00+00:00,2022-05-30 13:00:00+00:00,45.5,45.12,3,2.454545454545457,0.9272727272727289,0.01298701298701041,14836,2022-05-30 11:00:00+00:00,46.01,46.31,45.83,46.06,45.83,46.31,0.6233766233766289,178069,2022-05-30 14:05:00+00:00,65.0,45.47,46.0,45.47,45.98,0.3541666666666673,44.92,INVALIDATED,178144,2022-05-30 20:20:00+00:00,375.0,4.729166666666619,0.6901157613535224,0.43724696356275256,0.36842105263157776
2022-07-17 06:00:00+00:00__H15977__L15978,15983,2022-07-17 06:00:00+00:00,15984,2022-07-17 07:00:00+00:00,2022-07-17 08:00:00+00:00,2022,40.5,15977,15979,39.25,15978,15980,41.09,1.4567901234568081,1,40.33,0.6099999999999994,15990,2022-07-17 13:00:00+00:00,2022-07-17 14:00:00+00:00,39.2,39.01,6,3.0983606557377086,0.7793103448275892,0.08196721311474951,15988,2022-07-17 11:00:00+00:00,39.64,39.96,39.42,39.76,39.42,39.96,0.8852459016393437,191896,2022-07-17 14:20:00+00:00,20.0,39.39,39.44,39.29,39.31,0.03703703703702973,39.01,CONTINUATION,191919,2022-07-17 16:15:00+00:00,115.0,5.111111111111115,1.9225839528326072,0.20673076923076855,0.19711538461538589
2022-08-14 07:00:00+00:00__H16649__L16650,16656,2022-08-14 07:00:00+00:00,16657,2022-08-14 08:00:00+00:00,2022-08-14 09:00:00+00:00,2022,47.68,16649,16651,46.04,16650,16652,48.05,0.7760067114093827,1,47.12,0.629999999999999,16662,2022-08-14 13:00:00+00:00,2022-08-14 14:00:00+00:00,46.01,45.72,5,3.2380952380952417,0.698113207547168,0.0476190476190495,16658,2022-08-14 09:00:00+00:00,47.12,47.41,46.94,47.36,46.94,47.41,0.7460317460317454,200112,2022-08-15 03:00:00+00:00,780.0,46.81,47.05,46.76,46.9,0.23404255319148873,44.34,CONTINUATION,200157,2022-08-15 06:45:00+00:00,225.0,-0.36170212765956383,3.6761389264772273,0.7304582210242583,0.7008086253369269
2022-08-14 08:00:00+00:00__H16646__L16650,16657,2022-08-14 08:00:00+00:00,16657,2022-08-14 08:00:00+00:00,2022-08-14 09:00:00+00:00,2022,47.44,16646,16648,46.04,16650,16652,47.75,0.6534569983136729,0,47.12,0.629999999999999,16662,2022-08-14 13:00:00+00:00,2022-08-14 14:00:00+00:00,46.01,45.72,5,2.7619047619047694,0.698113207547168,0.0476190476190495,16658,2022-08-14 09:00:00+00:00,47.12,47.41,46.94,47.36,46.94,47.41,0.7460317460317454,200112,2022-08-15 03:00:00+00:00,780.0,46.81,47.05,46.76,46.9,0.23404255319148873,44.34,CONTINUATION,200157,2022-08-15 06:45:00+00:00,225.0,-0.36170212765956383,3.6761389264772273,0.7947214076246324,0.7624633431085035
2022-08-27 08:00:00+00:00__H16965__L16966,16969,2022-08-27 08:00:00+00:00,16970,2022-08-27 09:00:00+00:00,2022-08-27 10:00:00+00:00,2022,31.97,16965,16967,31.1,16966,16968,32.22,0.781983109164841,1,31.83,0.6100000000000012,16979,2022-08-27 18:00:00+00:00,2022-08-27 19:00:00+00:00,31.05,31.0,9,1.9180327868852391,0.7499999999999958,0.0819672131147551,16972,2022-08-27 11:00:00+00:00,31.89,32.04,31.82,31.96,31.82,32.04,0.36065573770491544,203913,2022-08-28 07:45:00+00:00,765.0,31.75,31.84,31.71,31.75,0.09090909090908944,30.99,CONTINUATION,204100,2022-08-28 23:20:00+00:00,935.0,0.6363636363636422,3.5172636334301384,0.6910569105691066,0.6747967479674809
2022-10-04 20:00:00+00:00__H17887__L17890,17893,2022-10-04 20:00:00+00:00,17893,2022-10-04 20:00:00+00:00,2022-10-04 21:00:00+00:00,2022,34.37,17887,17889,33.77,17890,17892,34.38,0.029095141111445955,0,34.15,0.25,17905,2022-10-05 08:00:00+00:00,2022-10-05 09:00:00+00:00,33.72,33.45,12,2.640000000000015,0.3233082706766902,0.20000000000001705,17903,2022-10-05 06:00:00+00:00,34.09,34.27,34.04,34.13,34.04,34.27,0.9200000000000159,214972,2022-10-05 17:20:00+00:00,500.0,34.0,34.04,33.95,33.96,0.0,33.15,INVALIDATED,215055,2022-10-06 00:15:00+00:00,415.0,0.9130434782608265,-1.2066365007541435,0.7235772357723559,0.7235772357723559
2022-10-31 11:00:00+00:00__H18504__L18523,18532,2022-10-31 11:00:00+00:00,18534,2022-10-31 13:00:00+00:00,2022-10-31 14:00:00+00:00,2022,33.54,18504,18506,32.4,18523,18525,34.39,2.534287418008363,2,32.73,0.39000000000000057,18542,2022-10-31 21:00:00+00:00,2022-10-31 22:00:00+00:00,32.33,32.17,8,5.28205128205128,0.32258064516128865,0.17948717948717996,18539,2022-10-31 18:00:00+00:00,32.68,32.93,32.62,32.84,32.62,32.93,0.7948717948717996,222520,2022-10-31 22:20:00+00:00,20.0,32.54,32.63,32.52,32.62,0.032258064516145296,32.17,INVALIDATED,222573,2022-11-01 02:45:00+00:00,265.0,1.451612903225805,0.12433944668945958,0.2072072072072077,0.20270270270270088
