family,feature,b1_gap,b1_effect_IQR,b2_gap,b2_effect_IQR,b3_gap,b3_effect_IQR,b4_gap,b4_effect_IQR,b5_gap,b5_effect_IQR,b6_gap,b6_effect_IQR,dev_win_n,dev_fail_n,dev_win_median,dev_fail_median,dev_gap,dev_effect_IQR,adequate_dev_blocks,same_sign_dev_blocks,external_gap,external_effect_IQR,reference_gap,reference_effect_IQR,replicated_directional,strong_replicated
LATE,eth_last60_return_pct,-0.0005967492988107059,0.06225780982323393,0.0016789223834567935,0.18155234817778212,-0.00022242953437556778,0.03722059046818565,0.0013311290899029604,0.27147038698394477,-0.0015108691853885081,0.2103450946786445,-0.0002989454692166049,0.03279401560110474,242,359,0.0011898840140965872,0.0008233602891107861,0.0003665237249858011,0.049188183921011215,6,2,-0.0010360901319134141,0.09165783495664379,0.0005369572588700411,0.06008297604514035,False,False
REF6,market_ref6_mean_return_pct,-0.0026747782130619457,0.1602942038967211,0.00026271334790753387,0.01700680050025986,0.0006186238492818241,0.07371633504968549,0.0009011383352751645,0.12915799777167125,0.00144148303225905,0.11391229651208419,-0.0008325067329584823,0.05175504151650551,242,359,0.002159589640404136,0.0017800689914881929,0.00037952064891594306,0.03103058911174275,6,4,-0.0021397017119853257,0.09720448036708992,-0.0006463369662513263,0.052255703291807176,False,False
LATE,market_last60_mean_return_pct,-0.002084553195212835,0.22321468478434445,0.0015384284999801212,0.2234545349702017,-0.0002820951692723006,0.051682804580044685,0.0017463537276254382,0.4044259757432249,-0.001230680211677243,0.18281510722868063,-5.783529387914932e-05,0.006099381462981629,242,359,0.0010625734836810508,0.0008543287185964754,0.00020824476508457535,0.030969460405512565,6,2,-0.0008278733470962474,0.0850436360014831,7.218169482042791e-05,0.009433728581029777,False,False
PREFILL,eth_prefill_return_pct,0.0005653069843389869,0.07111084952688228,0.00015649467945377804,0.013689089049853978,0.0006748112908626647,0.06972634904054034,-0.0007926912771385464,0.11499218521967423,-0.00025817966678420845,0.033515518140306136,-0.0018328206752498133,0.20263696070605317,203,314,0.0040885288542584775,0.0038839341675295236,0.00020459468672895387,0.02437662053662479,6,3,0.0006645422566124992,0.04267893733938556,-0.000569896575190687,0.0663625989550422,False,False
LATE,market_last120_mean_return_pct,-0.004959495930088154,0.3791915392176987,0.002585408546997847,0.28327342617550055,0.0013512208300467399,0.20781320924755847,0.0007231251945130079,0.12362778331655473,-0.0010361343868173778,0.14069211018142067,-0.0007652961240201539,0.06892690460566203,242,359,0.0013259215750079378,0.0015079731701135302,-0.00018205159510559232,0.02182587122623274,6,3,-0.00246729499936138,0.18005930608371326,0.0004577107833928229,0.04826489127813972,False,False
LATE,btc_last120_return_pct,-0.003328771622886695,0.28078950828218163,0.0019085139709152377,0.2764619413566036,0.0013014339093889715,0.21569394915606058,-9.389072197019122e-05,0.017899695578371427,-0.0015108302158686193,0.19708293997348453,-0.0014707588527440585,0.1377261885200051,242,359,0.0010795051380514398,0.0012009678128894752,-0.00012146267483803541,0.0157733301207131,6,4,-0.0012008407305048596,0.10040550967770306,-0.0006196683301219474,0.08423472558437653,False,False
REF6,btc_ref6_return_pct,-0.0028220321060821174,0.22341118373416466,0.0005661939611882882,0.046949364427734584,5.32644738704402e-05,0.006911804399635948,0.0004799393415315656,0.05531626720299518,0.001573149994677947,0.1444336971063111,0.00033639680363495295,0.02409010136214232,242,359,0.0016707914498099719,0.0017449997879339652,-7.42083381239933e-05,0.006867329500922483,6,1,-0.0015074758374190589,0.07888117975797009,-0.00029559481304664015,0.02980276917540857,False,False
PREFILL,eth_prefill_close_vs_refH_pct,-0.0038934426378255393,0.34932080801742854,0.0010749855121121032,0.11859422981812912,0.0011499486829367744,0.1892211543047907,-0.0011680285417823288,0.17188156151544795,-0.0001939960859771439,0.020939953818427146,-0.0015678881274158174,0.14195757903126127,203,314,-0.003829922764551408,-0.0037793538473206434,-5.05689172307644e-05,0.0054545836388444945,6,4,-0.0022956748004518412,0.14357174525725355,-0.0005947509300722742,0.0761349350398335,False,False
REF6,eth_ref6_return_pct,-0.002402423898273054,0.12914738618310748,0.002468013947069969,0.13480734760726817,0.0003186990481517382,0.03870444397993802,0.00035498655904386833,0.04454226714872768,0.001234260407727894,0.0971371666543029,-0.0012408274307257328,0.07178894746971771,242,359,0.0018421697905559586,0.0019098486687707528,-6.767887821479412e-05,0.005270137217845749,6,2,-0.0025448537128826,0.09484539415125129,0.0005989809665869483,0.038113737716066104,False,False
REF6,market_ref6_breadth,-1.0,0.6666666666666666,0.0,0.0,0.5,0.25,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,242,359,2.0,2.0,0.0,0.0,6,0,0.0,0.0,-1.0,0.5,False,False
LATE,market_last60_breadth,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.6153846153846154,-1.0,0.5,0.0,0.0,242,359,2.0,2.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,False,False
PREFILL,market_prefill_breadth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203,314,2.0,2.0,0.0,0.0,6,0,0.0,0.0,0.0,0.0,False,False
