feature,lag_min,partition,bucket,n,long_rate,short_rate,D,none_rate,ambiguous_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
impulse5m_prev,30,validation_2026,UP_IMPULSE,295,0.4406779661016949,0.46440677966101696,-0.02372881355932205,0.09152542372881356,0.003389830508474576,0.00012374706100715116,0.011466794075489561,-0.012449977767896692
impulse5m_prev,60,development,DOWN_IMPULSE,1980,0.4797979797979798,0.4762626262626263,0.0035353535353535026,0.04242424242424243,0.0015151515151515152,0.002258508910855106,0.016318556811680596,-0.015008983119221997
impulse5m_prev,60,development,UP_IMPULSE,2180,0.4834862385321101,0.4779816513761468,0.005504587155963303,0.037155963302752296,0.0013761467889908258,0.0004978983511559898,0.015898242644367122,-0.014747061911122683
impulse5m_prev,60,validation_2025,DOWN_IMPULSE,768,0.4544270833333333,0.4921875,-0.037760416666666685,0.052083333333333336,0.0013020833333333333,0.0008458628400140888,0.014631109386017305,-0.014629244401071773
impulse5m_prev,60,validation_2025,UP_IMPULSE,780,0.48333333333333334,0.46794871794871795,0.015384615384615385,0.04230769230769231,0.00641025641025641,0.0013772369978255483,0.014618864443702972,-0.014370399802405787
impulse5m_prev,60,validation_2026,DOWN_IMPULSE,263,0.4220532319391635,0.4714828897338403,-0.049429657794676785,0.10646387832699619,0.0,-0.0001314233144960042,0.012147195426938096,-0.012886881815177942
impulse5m_prev,60,validation_2026,UP_IMPULSE,295,0.42033898305084744,0.4576271186440678,-0.03728813559322036,0.11864406779661017,0.003389830508474576,-0.00046419867703384465,0.010257421836473046,-0.011317591169484276
breakout_up_24h,15,development,ZERO,68910,0.41121753011173995,0.4250471629661878,-0.013829632854447826,0.16311130460020315,0.0006240023218691046,0.000260108959967309,0.009954435659779604,-0.010189786413443758
breakout_up_24h,15,development,POSITIVE,1265,0.4316205533596838,0.4608695652173913,-0.029249011857707508,0.1067193675889328,0.0007905138339920949,-0.0008448601068845596,0.011577887607541637,-0.011930223887918756
breakout_up_24h,15,validation_2025,ZERO,34335,0.3948740352410077,0.41164991990680067,-0.01677588466579294,0.1926023008591816,0.0008737439930100481,0.0001592610288261298,0.009085009733938998,-0.009395632300660206
breakout_up_24h,15,validation_2025,POSITIVE,705,0.4226950354609929,0.4397163120567376,-0.017021276595744705,0.13617021276595745,0.0014184397163120568,4.727238347368434e-05,0.010063490692350907,-0.010208840752448545
breakout_up_24h,15,validation_2026,ZERO,25194,0.2963007065174248,0.3161070096054616,-0.019806303088036825,0.38711597999523695,0.0004763038818766373,0.0,0.006471844697842344,-0.006862078294955554
breakout_up_24h,15,validation_2026,POSITIVE,423,0.37825059101654845,0.39243498817966904,-0.014184397163120588,0.2293144208037825,0.0,-0.0018192844147969511,0.007914659325533258,-0.009209424709962888
breakout_up_24h,30,development,ZERO,68909,0.41099130737639494,0.4252855214848568,-0.014294214108461878,0.1630991597614245,0.0006240113773237168,0.00025300442757747454,0.009946979999083227,-0.010194512100501485
breakout_up_24h,30,development,POSITIVE,1265,0.4434782608695652,0.4482213438735178,-0.004743083003952597,0.1075098814229249,0.0007905138339920949,-0.00020081329384002977,0.011720859529698924,-0.011324207877378312
breakout_up_24h,30,validation_2025,ZERO,34335,0.39496140964030874,0.41182466870540263,-0.016863259065093894,0.19242755206057957,0.0007863695937090433,0.00016496205872629233,0.009086879432623984,-0.009402615765288003
breakout_up_24h,30,validation_2025,POSITIVE,705,0.41843971631205673,0.43120567375886526,-0.012765957446808529,0.14468085106382977,0.005673758865248227,-0.0002393489707993579,0.00977146087377867,-0.009993186463774673
breakout_up_24h,30,validation_2026,ZERO,25194,0.29669762641898867,0.3165039295070255,-0.019806303088036825,0.3863618321822656,0.00043661189172025086,0.0,0.006481084647248503,-0.006863870096337932
breakout_up_24h,30,validation_2026,POSITIVE,423,0.3546099290780142,0.36879432624113473,-0.014184397163120532,0.27423167848699764,0.002364066193853428,-0.001730794834243099,0.007373929590865913,-0.008273787138021738
breakout_up_24h,60,development,ZERO,68907,0.41095969930486015,0.42558811151261844,-0.01462841220775829,0.16282815969349992,0.0006240294890214347,0.0002475043313256986,0.00995024875621886,-0.010207905584790677
breakout_up_24h,60,development,POSITIVE,1265,0.4450592885375494,0.4316205533596838,0.01343873517786559,0.1225296442687747,0.0007905138339920949,0.00016038492381720282,0.011548244374494532,-0.010962058264090468
breakout_up_24h,60,validation_2025,ZERO,34335,0.39510703363914373,0.41147517110819865,-0.01636813746905491,0.1925440512596476,0.0008737439930100481,0.0001629903292403867,0.009087285771223641,-0.009405670665212584
breakout_up_24h,60,validation_2025,POSITIVE,705,0.41134751773049644,0.4482269503546099,-0.03687943262411347,0.13900709219858157,0.0014184397163120568,-0.0002430133657350675,0.009614942264341897,-0.009853852967227517
breakout_up_24h,60,validation_2026,ZERO,25194,0.29721362229102166,0.3165039295070255,-0.019290307216003832,0.3858061443200762,0.0004763038818766373,0.0,0.006486352319356792,-0.006864682392837551
breakout_up_24h,60,validation_2026,POSITIVE,423,0.32387706855791965,0.36879432624113473,-0.044917257683215084,0.3073286052009456,0.0,-0.0012979989183342644,0.007049826741546195,-0.008008479566599891
breakout_down_24h,15,development,ZERO,69303,0.4108047270680923,0.4253784107470095,-0.014573683678917204,0.16328297476299727,0.0005338874219009279,0.00020814903470900425,0.00993205855571877,-0.01019878052114942
breakout_down_24h,15,development,POSITIVE,872,0.4736238532110092,0.4506880733944954,0.02293577981651379,0.0676605504587156,0.008027522935779817,0.003740174478296332,0.012884287798496152,-0.011988315172333008
breakout_down_24h,15,validation_2025,ZERO,34407,0.3953846600982358,0.4109919493126399,-0.015607289214404074,0.19278053884383992,0.0008428517452843898,0.00015070832914698684,0.009076310828737055,-0.009377873122893066
