partition,k,entry_fraction,ttl,exit_reason,n
development,1,F50,FULL,TIME_EXIT_SESSION_END,10
development,1,F50,FULL,TP_RANGE_EDGE,20
development,1,F50,T15,RANGE_BROKE_BEFORE_FILL,57
development,1,F50,T15,SL_RANGE_EDGE,17
development,1,F50,T15,TIME_EXIT_SESSION_END,1
development,1,F50,T15,TP_RANGE_EDGE,14
development,1,F50,T15,TTL_EXPIRED,75
development,1,F50,T30,RANGE_BROKE_BEFORE_FILL,78
development,1,F50,T30,SL_RANGE_EDGE,22
development,1,F50,T30,TIME_EXIT_SESSION_END,2
development,1,F50,T30,TP_RANGE_EDGE,19
development,1,F50,T30,TTL_EXPIRED,43
development,1,F50,T45,RANGE_BROKE_BEFORE_FILL,82
development,1,F50,T45,SL_RANGE_EDGE,26
development,1,F50,T45,TIME_EXIT_SESSION_END,2
development,1,F50,T45,TP_RANGE_EDGE,19
development,1,F50,T45,TTL_EXPIRED,35
development,1,F50,T60,RANGE_BROKE_BEFORE_FILL,89
development,1,F50,T60,SL_RANGE_EDGE,27
development,1,F50,T60,SL_SAME_5M_CONSERVATIVE,1
development,1,F50,T60,TIME_EXIT_SESSION_END,4
development,1,F50,T60,TP_RANGE_EDGE,19
development,1,F50,T60,TTL_EXPIRED,24
development,1,F50,T90,RANGE_BROKE_BEFORE_FILL,92
development,1,F50,T90,SL_RANGE_EDGE,29
development,1,F50,T90,SL_SAME_5M_CONSERVATIVE,1
development,1,F50,T90,TIME_EXIT_SESSION_END,5
development,1,F50,T90,TP_RANGE_EDGE,19
development,1,F50,T90,TTL_EXPIRED,18
development,1,F60,FULL,NO_FILL,4
development,1,F60,FULL,RANGE_BROKE_BEFORE_FILL,85
development,1,F60,FULL,SL_RANGE_EDGE,30
development,1,F60,FULL,SL_SAME_5M_CONSERVATIVE,1
development,1,F60,FULL,TIME_EXIT_SESSION_END,10
development,1,F60,FULL,TP_RANGE_EDGE,34
development,1,F60,T15,RANGE_BROKE_BEFORE_FILL,55
development,1,F60,T15,SL_RANGE_EDGE,21
development,1,F60,T15,TIME_EXIT_SESSION_END,2
development,1,F60,T15,TP_RANGE_EDGE,24
development,1,F60,T15,TTL_EXPIRED,62
development,1,F60,T30,RANGE_BROKE_BEFORE_FILL,74
development,1,F60,T30,SL_RANGE_EDGE,23
development,1,F60,T30,TIME_EXIT_SESSION_END,3
development,1,F60,T30,TP_RANGE_EDGE,32
development,1,F60,T30,TTL_EXPIRED,32
development,1,F60,T45,RANGE_BROKE_BEFORE_FILL,77
development,1,F60,T45,SL_RANGE_EDGE,27
development,1,F60,T45,SL_SAME_5M_CONSERVATIVE,1
development,1,F60,T45,TIME_EXIT_SESSION_END,5
development,1,F60,T45,TP_RANGE_EDGE,33
development,1,F60,T45,TTL_EXPIRED,21
development,1,F60,T60,RANGE_BROKE_BEFORE_FILL,81
development,1,F60,T60,SL_RANGE_EDGE,27
development,1,F60,T60,SL_SAME_5M_CONSERVATIVE,1
development,1,F60,T60,TIME_EXIT_SESSION_END,5
development,1,F60,T60,TP_RANGE_EDGE,33
development,1,F60,T60,TTL_EXPIRED,17
development,1,F60,T90,RANGE_BROKE_BEFORE_FILL,82
development,1,F60,T90,SL_RANGE_EDGE,28
development,1,F60,T90,SL_SAME_5M_CONSERVATIVE,1
development,1,F60,T90,TIME_EXIT_SESSION_END,7
development,1,F60,T90,TP_RANGE_EDGE,34
development,1,F60,T90,TTL_EXPIRED,12
development,1,F65,FULL,NO_FILL,3
development,1,F65,FULL,RANGE_BROKE_BEFORE_FILL,79
development,1,F65,FULL,SL_RANGE_EDGE,29
development,1,F65,FULL,SL_SAME_5M_CONSERVATIVE,1
development,1,F65,FULL,TIME_EXIT_SESSION_END,10
development,1,F65,FULL,TP_RANGE_EDGE,42
development,1,F65,T15,RANGE_BROKE_BEFORE_FILL,55
development,1,F65,T15,SL_RANGE_EDGE,21
development,1,F65,T15,TIME_EXIT_SESSION_END,2
development,1,F65,T15,TP_RANGE_EDGE,28
development,1,F65,T15,TTL_EXPIRED,58
development,1,F65,T30,RANGE_BROKE_BEFORE_FILL,73
development,1,F65,T30,SL_RANGE_EDGE,26
development,1,F65,T30,TIME_EXIT_SESSION_END,3
development,1,F65,T30,TP_RANGE_EDGE,39
development,1,F65,T30,TTL_EXPIRED,23
development,1,F65,T45,RANGE_BROKE_BEFORE_FILL,74
development,1,F65,T45,SL_RANGE_EDGE,27
development,1,F65,T45,SL_SAME_5M_CONSERVATIVE,1
development,1,F65,T45,TIME_EXIT_SESSION_END,8
