clock_min,reference_start_utc,execution_start_utc,execution_end_utc,partition,days,k1_opp0,clean_windows,f85_touches,trades,wins,wr,pf,expectancy,total_net,tp_rate,time_exit_rate,dev_eligible,is_london_baseline
540,09:00,14:30,21:00,development,782,170,126,85,41,26,0.6341463414634146,0.8636882917393072,-0.26989906752048226,-11.065861768339772,0.6097560975609756,0.14634146341463414,False,False
1350,22:30,04:00+1d,10:30+1d,development,782,148,109,74,38,19,0.5,0.8527622374988654,-0.20826038573646613,-7.913894657985713,0.47368421052631576,0.39473684210526316,False,False
120,02:00,07:30,14:00,development,782,193,139,89,49,31,0.6326530612244898,0.8526418538262724,-0.22967922827183074,-11.254282185319706,0.6122448979591837,0.1836734693877551,False,False
60,01:00,06:30,13:00,development,782,186,137,87,29,15,0.5172413793103449,0.8071230981243367,-0.2639578317227448,-7.654777119959598,0.41379310344827586,0.3793103448275862,False,False
360,06:00,11:30,18:00,development,782,209,152,99,36,21,0.5833333333333334,0.7980675554368687,-0.26149556414460434,-9.413840309205757,0.5833333333333334,0.19444444444444445,False,False
180,03:00,08:30,15:00,development,782,201,142,93,30,20,0.6666666666666666,0.7302146160563356,-0.5021138907253009,-15.063416721759028,0.6333333333333333,0.1,False,False
1260,21:00,02:30+1d,09:00+1d,development,782,135,102,63,32,17,0.53125,0.6498294110283944,-0.5080746896673559,-16.25839006935539,0.5,0.375,False,False
870,14:30,20:00,02:30+1d,development,781,113,84,56,24,13,0.5416666666666666,0.6441233107772376,-0.6018959863967727,-14.445503673522543,0.4166666666666667,0.4583333333333333,False,False
30,00:30,06:00,12:30,development,782,160,114,75,32,15,0.46875,0.6322416462512755,-0.4623567201960672,-14.795415046274151,0.375,0.4375,False,False
930,15:30,21:00,03:30+1d,development,781,131,101,64,32,11,0.34375,0.6281748615576838,-0.5795951895414808,-18.547046065327386,0.3125,0.59375,False,False
1380,23:00,04:30+1d,11:00+1d,development,782,148,110,68,26,13,0.5,0.627041183318777,-0.5034602810306876,-13.089967306797877,0.38461538461538464,0.46153846153846156,False,False
1200,20:00,01:30+1d,08:00+1d,development,782,132,96,60,27,14,0.5185185185185185,0.6227635543668413,-0.5517653513062034,-14.89766448526749,0.4444444444444444,0.4074074074074074,False,False
1050,17:30,23:00,05:30+1d,development,781,136,98,65,30,13,0.43333333333333335,0.6001413522780968,-0.6472874525048778,-19.418623575146334,0.4,0.36666666666666664,False,False
900,15:00,20:30,03:00+1d,development,781,127,90,54,25,9,0.36,0.5942180680651264,-0.4879810253704893,-12.199525634262233,0.32,0.64,False,False
150,02:30,08:00,14:30,development,782,203,142,96,39,24,0.6153846153846154,0.5787725887242948,-0.7698904361807791,-30.025727011050385,0.6153846153846154,0.1282051282051282,False,False
990,16:30,22:00,04:30+1d,development,781,149,107,72,35,16,0.45714285714285713,0.5600097008296371,-0.7378296015772442,-25.824036055203546,0.4,0.3142857142857143,False,False
1110,18:30,00:00+1d,06:30+1d,development,782,126,94,55,27,13,0.48148148148148145,0.5525408990504198,-0.8966908289001536,-24.210652380304147,0.4074074074074074,0.37037037037037035,False,False
960,16:00,21:30,04:00+1d,development,781,133,97,61,25,10,0.4,0.5457484086359561,-0.765559755232403,-19.138993880810077,0.36,0.52,False,False
420,07:00,12:30,19:00,development,782,192,140,80,25,15,0.6,0.5283451192180157,-1.326005026876524,-33.1501256719131,0.56,0.08,False,False
840,14:00,19:30,02:00+1d,development,781,123,78,50,24,10,0.4166666666666667,0.49910215558907084,-1.1972864011161464,-28.73487362678751,0.4166666666666667,0.4166666666666667,False,False
450,07:30,13:00,19:30,development,782,176,122,74,24,12,0.5,0.43125242943836617,-2.036699869867926,-48.880796876830225,0.5,0.08333333333333333,False,False
1080,18:00,23:30,06:00+1d,development,781,148,110,70,30,14,0.4666666666666667,0.424337942840329,-1.2834988940278456,-38.504966820835364,0.36666666666666664,0.43333333333333335,False,False
1320,22:00,03:30+1d,10:00+1d,development,782,136,98,70,31,16,0.5161290322580645,0.4075917575452895,-1.2350669341746026,-38.28707495941268,0.3548387096774194,0.5483870967741935,False,False
1290,21:30,03:00+1d,09:30+1d,development,782,139,104,72,28,13,0.4642857142857143,0.40608215646963186,-1.1661589813790465,-32.6524514786133,0.4642857142857143,0.32142857142857145,False,False
1140,19:00,00:30+1d,07:00+1d,development,782,117,82,45,20,9,0.45,0.35517948994454623,-1.5315681561954781,-30.631363123909562,0.4,0.4,False,False
1230,20:30,02:00+1d,08:30+1d,development,782,134,100,63,27,11,0.4074074074074074,0.330522985994262,-1.3767732211269674,-37.17287697042812,0.4074074074074074,0.4074074074074074,False,False
1170,19:30,01:00+1d,07:30+1d,development,782,129,87,56,19,8,0.42105263157894735,0.2686616151402859,-1.7599292622783913,-33.438655983289436,0.42105263157894735,0.47368421052631576,False,False
