partition,target_name,stop_name,trades,tp_count,tp_rate,close_invalidation_count,time_exit_count,wins,losses,wr,pf,net_exp,total_net,median_win,median_loss,median_hold_minutes,h2_before_exit_rate,accept_close_before_exit_rate,median_nominal_rr,screen_pass
development,E10,D50,72,47,0.6527777777777778,23,2,49,23,0.6805555555555556,0.7427379559402822,-0.49208934625638356,-35.43043293045962,1.8503564386855413,-5.969753133453981,40.0,0.7222222222222222,0.19444444444444445,0.5,False
development,E10,D60,72,47,0.6527777777777778,20,5,49,23,0.6805555555555556,0.6606718259483221,-0.7296893338127857,-52.53763203452057,1.8503564386855413,-6.536305472446147,42.5,0.7222222222222222,0.19444444444444445,0.4166666666666667,False
development,E15,D30,72,40,0.5555555555555556,29,3,42,30,0.5833333333333334,1.0038931166709493,0.006080412192593994,0.4377896778667676,2.626744902771772,-3.7828828110260275,35.0,0.6666666666666666,0.3194444444444444,1.0,False
development,E15,D40,72,43,0.5972222222222222,26,3,45,27,0.625,0.9306518448070117,-0.12353639451560916,-8.89462040512386,2.6157865474579327,-4.411069798990241,42.5,0.6944444444444444,0.3194444444444444,0.7500000000000029,False
development,E15,D50,72,46,0.6388888888888888,23,3,48,24,0.6666666666666666,0.9003281124547768,-0.19210071289802164,-13.831251328657558,2.4509684213764986,-5.818898644281495,42.5,0.7222222222222222,0.3194444444444444,0.6000000000000031,False
development,E15,D60,72,46,0.6388888888888888,20,6,48,24,0.6666666666666666,0.801517593647572,-0.42970070045442355,-30.938450432718497,2.4509684213764986,-6.445020610741469,45.0,0.7222222222222222,0.3194444444444444,0.5,False
development,E20,D30,72,38,0.5277777777777778,30,4,40,32,0.5555555555555556,1.0907657018937837,0.14782089845229918,10.64310468856554,3.1228738850759945,-3.6544444569283234,40.0,0.6666666666666666,0.4027777777777778,1.1666666666666667,False
development,E20,D40,72,41,0.5694444444444444,27,4,43,29,0.5972222222222222,1.008535307242013,0.01594551234065146,1.148076888526905,3.1017606357187204,-4.411069798990241,45.0,0.6944444444444444,0.4027777777777778,0.8750000000000038,False
development,E20,D50,72,44,0.6111111111111112,23,5,46,26,0.6388888888888888,0.9816566946168945,-0.036945607708330996,-2.6600837549998317,2.736102503106808,-5.6455017685048015,47.5,0.7222222222222222,0.4027777777777778,0.7,False
development,E20,D60,72,44,0.6111111111111112,20,8,46,26,0.6388888888888888,0.8780729101426354,-0.2745455952647331,-19.76728285906078,2.736102503106808,-6.346119257191907,50.0,0.7222222222222222,0.4027777777777778,0.5833333333333341,False
reference_validation,E10,D30,31,19,0.6129032258064516,11,1,19,12,0.6129032258064516,0.7130062084838649,-0.33012381641697747,-10.233838308926302,1.3638756135239798,-2.8533778764940227,20.0,0.6451612903225806,0.16129032258064516,0.8333333333333334,False
reference_validation,E10,D40,31,21,0.6774193548387096,9,1,21,10,0.6774193548387096,0.7929489955528882,-0.2371093865919232,-7.35039098434962,1.3638756135239798,-3.688299145042972,25.0,0.7096774193548387,0.16129032258064516,0.6249999999999968,False
reference_validation,E10,D50,31,21,0.6774193548387096,9,1,21,10,0.6774193548387096,0.7116437931138678,-0.3679453314064521,-11.406305273600015,1.3638756135239798,-4.037741258408406,30.0,0.7096774193548387,0.16129032258064516,0.5,False
reference_validation,E10,D60,31,24,0.7741935483870968,5,2,24,7,0.7741935483870968,0.924842752192486,-0.08229463953516851,-2.551133825590224,1.2682820049793158,-3.8789373386062693,35.0,0.8064516129032258,0.22580645161290322,0.41666666666666347,False
reference_validation,E15,D30,31,19,0.6129032258064516,11,1,19,12,0.6129032258064516,0.8982337405260684,-0.11705990496357462,-3.628857053870813,1.716650736228687,-2.8533778764940227,25.0,0.6451612903225806,0.3225806451612903,1.0,False
reference_validation,E15,D40,31,21,0.6774193548387096,9,1,21,10,0.6774193548387096,0.9988622211603309,-0.0013029545230732562,-0.040391590215270945,1.716650736228687,-3.688299145042972,35.0,0.7096774193548387,0.3548387096774194,0.75,False
reference_validation,E15,D50,31,21,0.6774193548387096,9,1,21,10,0.6774193548387096,0.8964436601234962,-0.13213889933760217,-4.0963058794656675,1.716650736228687,-4.037741258408406,40.0,0.7096774193548387,0.3548387096774194,0.6,False
reference_validation,E15,D60,31,24,0.7741935483870968,5,2,24,7,0.7741935483870968,1.166375138813517,0.18217513913412914,5.647429313158003,1.601938405975179,-3.8789373386062693,40.0,0.8064516129032258,0.41935483870967744,0.5,False
reference_validation,E20,D30,31,18,0.5806451612903226,12,1,18,13,0.5806451612903226,0.8501358114683651,-0.1991997399684991,-6.175191939023472,1.934219943630589,-2.933344690226036,40.0,0.6451612903225806,0.45161290322580644,1.1666666666666667,False
reference_validation,E20,D40,31,20,0.6451612903225806,10,1,20,11,0.6451612903225806,0.9541571114655686,-0.06070026891253979,-1.8817083362887335,1.934219943630589,-3.752020444323811,40.0,0.7096774193548387,0.4838709677419355,0.8749999999999943,False
reference_validation,E20,D50,31,21,0.6774193548387096,9,1,21,10,0.6774193548387096,1.0812435271331384,0.10366753273126564,3.213693514669235,2.069425858933394,-4.037741258408406,45.0,0.7096774193548387,0.4838709677419355,0.7,False
reference_validation,E20,D60,31,24,0.7741935483870968,5,2,24,7,0.7741935483870968,1.4079075254345612,0.4466449178034412,13.845992451906676,1.935594806971042,-3.8789373386062693,45.0,0.8064516129032258,0.5806451612903226,0.5833333333333319,False
august,E10,D30,3,3,1.0,0,0,3,0,1.0,inf,1.8902491116603881,5.670747334981164,0.7836626020090834,,15.0,1.0,0.0,0.8333333333333267,False
august,E10,D40,3,3,1.0,0,0,3,0,1.0,inf,1.8902491116603881,5.670747334981164,0.7836626020090834,,15.0,1.0,0.0,0.6249999999999888,False
august,E10,D50,3,3,1.0,0,0,3,0,1.0,inf,1.8902491116603881,5.670747334981164,0.7836626020090834,,15.0,1.0,0.0,0.5,False
august,E10,D60,3,3,1.0,0,0,3,0,1.0,inf,1.8902491116603881,5.670747334981164,0.7836626020090834,,15.0,1.0,0.0,0.41666666666666335,False
august,E15,D30,3,3,1.0,0,0,3,0,1.0,inf,2.3482989339923472,7.044896801977042,1.020395122410767,,65.0,1.0,0.3333333333333333,0.9999999999999599,False
august,E15,D40,3,3,1.0,0,0,3,0,1.0,inf,2.3482989339923472,7.044896801977042,1.020395122410767,,65.0,1.0,0.3333333333333333,0.7499999999999625,False
august,E15,D50,3,3,1.0,0,0,3,0,1.0,inf,2.3482989339923472,7.044896801977042,1.020395122410767,,65.0,1.0,0.3333333333333333,0.5999999999999808,False
august,E15,D60,3,3,1.0,0,0,3,0,1.0,inf,2.3482989339923472,7.044896801977042,1.020395122410767,,65.0,1.0,0.3333333333333333,0.49999999999997996,False
august,E20,D30,3,2,0.6666666666666666,0,1,3,0,1.0,inf,1.9257548932942299,5.777264679882689,1.2571276428126725,,65.0,1.0,0.3333333333333333,1.1666666666666332,False
august,E20,D40,3,2,0.6666666666666666,0,1,3,0,1.0,inf,1.9257548932942299,5.777264679882689,1.2571276428126725,,65.0,1.0,0.3333333333333333,0.8749999999999662,False
august,E20,D50,3,2,0.6666666666666666,0,1,3,0,1.0,inf,1.9257548932942299,5.777264679882689,1.2571276428126725,,65.0,1.0,0.3333333333333333,0.6999999999999856,False
august,E20,D60,3,2,0.6666666666666666,0,1,3,0,1.0,inf,1.9257548932942299,5.777264679882689,1.2571276428126725,,65.0,1.0,0.3333333333333333,0.5833333333333166,False
