partition,regime,clock_block,obs_start,obs_end,reclaim_complete_ts,H,L,R4,entry_fraction,entry_px,filled,fill_ts,terminal_type,terminal_ts,minutes_reclaim_to_fill,minutes_fill_to_rebreak
development,BULL,08-12,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,2022-01-29 09:25:00+00:00,37939.0,37575.06,363.9400000000023,0.05,37593.257,True,2022-01-29 09:25:00+00:00,NO_BOUNDARY_AFTER_FILL,2022-01-29 12:00:00+00:00,0.0,
development,BULL,08-12,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,2022-01-29 09:25:00+00:00,37939.0,37575.06,363.9400000000023,0.1,37611.454,True,2022-01-29 09:25:00+00:00,NO_BOUNDARY_AFTER_FILL,2022-01-29 12:00:00+00:00,0.0,
development,BULL,08-12,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,2022-01-29 09:25:00+00:00,37939.0,37575.06,363.9400000000023,0.15,37629.651,True,2022-01-29 09:25:00+00:00,NO_BOUNDARY_AFTER_FILL,2022-01-29 12:00:00+00:00,0.0,
development,BULL,08-12,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,2022-01-29 09:25:00+00:00,37939.0,37575.06,363.9400000000023,0.25,37666.045,True,2022-01-29 09:30:00+00:00,NO_BOUNDARY_AFTER_FILL,2022-01-29 12:00:00+00:00,5.0,
development,BULL,08-12,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,2022-01-29 09:25:00+00:00,37939.0,37575.06,363.9400000000023,0.5,37757.03,True,2022-01-29 10:40:00+00:00,NO_BOUNDARY_AFTER_FILL,2022-01-29 12:00:00+00:00,75.0,
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 08:45:00+00:00,41752.46,41352.85,399.6100000000006,0.05,41372.8305,True,2022-02-05 08:45:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-05 09:50:00+00:00,0.0,65.0
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 08:45:00+00:00,41752.46,41352.85,399.6100000000006,0.1,41392.811,True,2022-02-05 08:45:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-05 09:50:00+00:00,0.0,65.0
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 08:45:00+00:00,41752.46,41352.85,399.6100000000006,0.15,41412.7915,True,2022-02-05 08:45:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-05 09:50:00+00:00,0.0,65.0
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 08:45:00+00:00,41752.46,41352.85,399.6100000000006,0.25,41452.7525,True,2022-02-05 08:45:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-05 09:50:00+00:00,0.0,65.0
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 08:45:00+00:00,41752.46,41352.85,399.6100000000006,0.5,41552.655,False,,LOW_BREAK_BEFORE_FILL,2022-02-05 09:50:00+00:00,,
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:40:00+00:00,45600.0,44063.38,1536.6200000000026,0.05,44140.210999999996,True,2022-02-08 08:40:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-08 08:55:00+00:00,0.0,15.0
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:40:00+00:00,45600.0,44063.38,1536.6200000000026,0.1,44217.042,True,2022-02-08 08:45:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-08 08:55:00+00:00,5.0,10.0
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:40:00+00:00,45600.0,44063.38,1536.6200000000026,0.15,44293.873,False,,LOW_BREAK_BEFORE_FILL,2022-02-08 08:55:00+00:00,,
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:40:00+00:00,45600.0,44063.38,1536.6200000000026,0.25,44447.534999999996,False,,LOW_BREAK_BEFORE_FILL,2022-02-08 08:55:00+00:00,,
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:40:00+00:00,45600.0,44063.38,1536.6200000000026,0.5,44831.69,False,,LOW_BREAK_BEFORE_FILL,2022-02-08 08:55:00+00:00,,
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 17:40:00+00:00,43978.64,42822.0,1156.6399999999994,0.05,42879.832,True,2022-02-08 17:40:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-08 19:30:00+00:00,0.0,110.0
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 17:40:00+00:00,43978.64,42822.0,1156.6399999999994,0.1,42937.664,True,2022-02-08 17:40:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-08 19:30:00+00:00,0.0,110.0
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 17:40:00+00:00,43978.64,42822.0,1156.6399999999994,0.15,42995.496,True,2022-02-08 17:40:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-08 19:30:00+00:00,0.0,110.0
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 17:40:00+00:00,43978.64,42822.0,1156.6399999999994,0.25,43111.16,True,2022-02-08 18:10:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-08 19:30:00+00:00,30.0,80.0
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 17:40:00+00:00,43978.64,42822.0,1156.6399999999994,0.5,43400.32,False,,LOW_BREAK_BEFORE_FILL,2022-02-08 19:30:00+00:00,,
development,BEAR,20-00,2022-02-11 20:00:00+00:00,2022-02-12 00:00:00+00:00,2022-02-11 23:15:00+00:00,43746.52,42046.11,1700.4099999999962,0.05,42131.1305,True,2022-02-11 23:15:00+00:00,NO_BOUNDARY_AFTER_FILL,2022-02-12 00:00:00+00:00,0.0,
development,BEAR,20-00,2022-02-11 20:00:00+00:00,2022-02-12 00:00:00+00:00,2022-02-11 23:15:00+00:00,43746.52,42046.11,1700.4099999999962,0.1,42216.151,True,2022-02-11 23:15:00+00:00,NO_BOUNDARY_AFTER_FILL,2022-02-12 00:00:00+00:00,0.0,
development,BEAR,20-00,2022-02-11 20:00:00+00:00,2022-02-12 00:00:00+00:00,2022-02-11 23:15:00+00:00,43746.52,42046.11,1700.4099999999962,0.15,42301.1715,True,2022-02-11 23:15:00+00:00,NO_BOUNDARY_AFTER_FILL,2022-02-12 00:00:00+00:00,0.0,
development,BEAR,20-00,2022-02-11 20:00:00+00:00,2022-02-12 00:00:00+00:00,2022-02-11 23:15:00+00:00,43746.52,42046.11,1700.4099999999962,0.25,42471.2125,False,,NO_FILL_BEFORE_BLOCK_END,2022-02-12 00:00:00+00:00,,
development,BEAR,20-00,2022-02-11 20:00:00+00:00,2022-02-12 00:00:00+00:00,2022-02-11 23:15:00+00:00,43746.52,42046.11,1700.4099999999962,0.5,42896.315,False,,NO_FILL_BEFORE_BLOCK_END,2022-02-12 00:00:00+00:00,,
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 17:20:00+00:00,42755.97,42158.01,597.9599999999991,0.05,42187.908,True,2022-02-13 17:20:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-13 18:40:00+00:00,0.0,80.0
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 17:20:00+00:00,42755.97,42158.01,597.9599999999991,0.1,42217.806000000004,True,2022-02-13 17:20:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-13 18:40:00+00:00,0.0,80.0
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 17:20:00+00:00,42755.97,42158.01,597.9599999999991,0.15,42247.704000000005,True,2022-02-13 17:30:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-13 18:40:00+00:00,10.0,70.0
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 17:20:00+00:00,42755.97,42158.01,597.9599999999991,0.25,42307.5,True,2022-02-13 18:00:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-13 18:40:00+00:00,40.0,40.0
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 17:20:00+00:00,42755.97,42158.01,597.9599999999991,0.5,42456.990000000005,False,,LOW_BREAK_BEFORE_FILL,2022-02-13 18:40:00+00:00,,
development,BULL,00-04,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,2022-02-16 02:40:00+00:00,44777.0,43939.2,837.8000000000029,0.05,43981.09,True,2022-02-16 02:40:00+00:00,NO_BOUNDARY_AFTER_FILL,2022-02-16 04:00:00+00:00,0.0,
development,BULL,00-04,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,2022-02-16 02:40:00+00:00,44777.0,43939.2,837.8000000000029,0.1,44022.979999999996,True,2022-02-16 02:45:00+00:00,NO_BOUNDARY_AFTER_FILL,2022-02-16 04:00:00+00:00,5.0,
development,BULL,00-04,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,2022-02-16 02:40:00+00:00,44777.0,43939.2,837.8000000000029,0.15,44064.869999999995,True,2022-02-16 02:55:00+00:00,NO_BOUNDARY_AFTER_FILL,2022-02-16 04:00:00+00:00,15.0,
development,BULL,00-04,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,2022-02-16 02:40:00+00:00,44777.0,43939.2,837.8000000000029,0.25,44148.649999999994,False,,NO_FILL_BEFORE_BLOCK_END,2022-02-16 04:00:00+00:00,,
development,BULL,00-04,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,2022-02-16 02:40:00+00:00,44777.0,43939.2,837.8000000000029,0.5,44358.1,False,,NO_FILL_BEFORE_BLOCK_END,2022-02-16 04:00:00+00:00,,
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 14:55:00+00:00,40938.0,40073.1,864.9000000000015,0.05,40116.345,True,2022-02-18 14:55:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-18 15:35:00+00:00,0.0,40.0
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 14:55:00+00:00,40938.0,40073.1,864.9000000000015,0.1,40159.59,True,2022-02-18 14:55:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-18 15:35:00+00:00,0.0,40.0
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 14:55:00+00:00,40938.0,40073.1,864.9000000000015,0.15,40202.835,True,2022-02-18 14:55:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-18 15:35:00+00:00,0.0,40.0
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 14:55:00+00:00,40938.0,40073.1,864.9000000000015,0.25,40289.325,True,2022-02-18 14:55:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-18 15:35:00+00:00,0.0,40.0
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 14:55:00+00:00,40938.0,40073.1,864.9000000000015,0.5,40505.55,True,2022-02-18 14:55:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-18 15:35:00+00:00,0.0,40.0
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:40:00+00:00,40119.0,39777.0,342.0,0.05,39794.1,True,2022-02-20 03:40:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-20 03:45:00+00:00,0.0,5.0
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:40:00+00:00,40119.0,39777.0,342.0,0.1,39811.2,True,2022-02-20 03:40:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-20 03:45:00+00:00,0.0,5.0
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:40:00+00:00,40119.0,39777.0,342.0,0.15,39828.3,True,2022-02-20 03:40:00+00:00,REBREAK_LOW_AFTER_FILL,2022-02-20 03:45:00+00:00,0.0,5.0
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:40:00+00:00,40119.0,39777.0,342.0,0.25,39862.5,False,,LOW_BREAK_BEFORE_FILL,2022-02-20 03:45:00+00:00,,
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:40:00+00:00,40119.0,39777.0,342.0,0.5,39948.0,False,,LOW_BREAK_BEFORE_FILL,2022-02-20 03:45:00+00:00,,
development,BULL,16-20,2022-03-01 16:00:00+00:00,2022-03-01 20:00:00+00:00,2022-03-01 17:10:00+00:00,44935.0,43324.8,1610.199999999997,0.05,43405.310000000005,True,2022-03-01 17:10:00+00:00,NO_BOUNDARY_AFTER_FILL,2022-03-01 20:00:00+00:00,0.0,
development,BULL,16-20,2022-03-01 16:00:00+00:00,2022-03-01 20:00:00+00:00,2022-03-01 17:10:00+00:00,44935.0,43324.8,1610.199999999997,0.1,43485.82,True,2022-03-01 17:10:00+00:00,NO_BOUNDARY_AFTER_FILL,2022-03-01 20:00:00+00:00,0.0,
development,BULL,16-20,2022-03-01 16:00:00+00:00,2022-03-01 20:00:00+00:00,2022-03-01 17:10:00+00:00,44935.0,43324.8,1610.199999999997,0.15,43566.33,True,2022-03-01 17:15:00+00:00,NO_BOUNDARY_AFTER_FILL,2022-03-01 20:00:00+00:00,5.0,
development,BULL,16-20,2022-03-01 16:00:00+00:00,2022-03-01 20:00:00+00:00,2022-03-01 17:10:00+00:00,44935.0,43324.8,1610.199999999997,0.25,43727.350000000006,True,2022-03-01 17:45:00+00:00,NO_BOUNDARY_AFTER_FILL,2022-03-01 20:00:00+00:00,35.0,
development,BULL,16-20,2022-03-01 16:00:00+00:00,2022-03-01 20:00:00+00:00,2022-03-01 17:10:00+00:00,44935.0,43324.8,1610.199999999997,0.5,44129.9,False,,NO_FILL_BEFORE_BLOCK_END,2022-03-01 20:00:00+00:00,,
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:15:00+00:00,44345.0,43661.8,683.1999999999971,0.05,43695.96000000001,True,2022-03-03 02:15:00+00:00,REBREAK_LOW_AFTER_FILL,2022-03-03 02:35:00+00:00,0.0,20.0
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:15:00+00:00,44345.0,43661.8,683.1999999999971,0.1,43730.12,True,2022-03-03 02:15:00+00:00,REBREAK_LOW_AFTER_FILL,2022-03-03 02:35:00+00:00,0.0,20.0
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:15:00+00:00,44345.0,43661.8,683.1999999999971,0.15,43764.28,True,2022-03-03 02:20:00+00:00,REBREAK_LOW_AFTER_FILL,2022-03-03 02:35:00+00:00,5.0,15.0
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:15:00+00:00,44345.0,43661.8,683.1999999999971,0.25,43832.600000000006,False,,LOW_BREAK_BEFORE_FILL,2022-03-03 02:35:00+00:00,,
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:15:00+00:00,44345.0,43661.8,683.1999999999971,0.5,44003.4,False,,LOW_BREAK_BEFORE_FILL,2022-03-03 02:35:00+00:00,,
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,2022-03-13 08:20:00+00:00,39300.0,39051.6,248.40000000000146,0.05,39064.02,True,2022-03-13 08:20:00+00:00,REBREAK_LOW_AFTER_FILL,2022-03-13 08:25:00+00:00,0.0,5.0
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,2022-03-13 08:20:00+00:00,39300.0,39051.6,248.40000000000146,0.1,39076.44,False,,LOW_BREAK_BEFORE_FILL,2022-03-13 08:25:00+00:00,,
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,2022-03-13 08:20:00+00:00,39300.0,39051.6,248.40000000000146,0.15,39088.86,False,,LOW_BREAK_BEFORE_FILL,2022-03-13 08:25:00+00:00,,
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,2022-03-13 08:20:00+00:00,39300.0,39051.6,248.40000000000146,0.25,39113.7,False,,LOW_BREAK_BEFORE_FILL,2022-03-13 08:25:00+00:00,,
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,2022-03-13 08:20:00+00:00,39300.0,39051.6,248.40000000000146,0.5,39175.8,False,,LOW_BREAK_BEFORE_FILL,2022-03-13 08:25:00+00:00,,
development,BULL,16-20,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,2022-03-16 16:35:00+00:00,41188.0,40232.3,955.6999999999971,0.05,40280.08500000001,True,2022-03-16 16:35:00+00:00,REBREAK_LOW_AFTER_FILL,2022-03-16 17:05:00+00:00,0.0,30.0
development,BULL,16-20,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,2022-03-16 16:35:00+00:00,41188.0,40232.3,955.6999999999971,0.1,40327.87,True,2022-03-16 16:40:00+00:00,REBREAK_LOW_AFTER_FILL,2022-03-16 17:05:00+00:00,5.0,25.0
development,BULL,16-20,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,2022-03-16 16:35:00+00:00,41188.0,40232.3,955.6999999999971,0.15,40375.655,True,2022-03-16 16:40:00+00:00,REBREAK_LOW_AFTER_FILL,2022-03-16 17:05:00+00:00,5.0,25.0
development,BULL,16-20,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,2022-03-16 16:35:00+00:00,41188.0,40232.3,955.6999999999971,0.25,40471.225000000006,False,,LOW_BREAK_BEFORE_FILL,2022-03-16 17:05:00+00:00,,
development,BULL,16-20,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,2022-03-16 16:35:00+00:00,41188.0,40232.3,955.6999999999971,0.5,40710.15,False,,LOW_BREAK_BEFORE_FILL,2022-03-16 17:05:00+00:00,,
development,BULL,08-12,2022-03-20 08:00:00+00:00,2022-03-20 12:00:00+00:00,2022-03-20 09:45:00+00:00,41998.0,41728.8,269.1999999999971,0.05,41742.26,False,,LOW_BREAK_BEFORE_FILL,2022-03-20 09:50:00+00:00,,
development,BULL,08-12,2022-03-20 08:00:00+00:00,2022-03-20 12:00:00+00:00,2022-03-20 09:45:00+00:00,41998.0,41728.8,269.1999999999971,0.1,41755.72,False,,LOW_BREAK_BEFORE_FILL,2022-03-20 09:50:00+00:00,,
development,BULL,08-12,2022-03-20 08:00:00+00:00,2022-03-20 12:00:00+00:00,2022-03-20 09:45:00+00:00,41998.0,41728.8,269.1999999999971,0.15,41769.18,False,,LOW_BREAK_BEFORE_FILL,2022-03-20 09:50:00+00:00,,
development,BULL,08-12,2022-03-20 08:00:00+00:00,2022-03-20 12:00:00+00:00,2022-03-20 09:45:00+00:00,41998.0,41728.8,269.1999999999971,0.25,41796.100000000006,False,,LOW_BREAK_BEFORE_FILL,2022-03-20 09:50:00+00:00,,
development,BULL,08-12,2022-03-20 08:00:00+00:00,2022-03-20 12:00:00+00:00,2022-03-20 09:45:00+00:00,41998.0,41728.8,269.1999999999971,0.5,41863.4,False,,LOW_BREAK_BEFORE_FILL,2022-03-20 09:50:00+00:00,,
development,BEAR,12-16,2022-03-21 12:00:00+00:00,2022-03-21 16:00:00+00:00,2022-03-21 12:55:00+00:00,41481.1,41055.8,425.29999999999563,0.05,41077.065,True,2022-03-21 12:55:00+00:00,REBREAK_LOW_AFTER_FILL,2022-03-21 14:10:00+00:00,0.0,75.0
development,BEAR,12-16,2022-03-21 12:00:00+00:00,2022-03-21 16:00:00+00:00,2022-03-21 12:55:00+00:00,41481.1,41055.8,425.29999999999563,0.1,41098.33,True,2022-03-21 12:55:00+00:00,REBREAK_LOW_AFTER_FILL,2022-03-21 14:10:00+00:00,0.0,75.0
development,BEAR,12-16,2022-03-21 12:00:00+00:00,2022-03-21 16:00:00+00:00,2022-03-21 12:55:00+00:00,41481.1,41055.8,425.29999999999563,0.15,41119.595,True,2022-03-21 12:55:00+00:00,REBREAK_LOW_AFTER_FILL,2022-03-21 14:10:00+00:00,0.0,75.0
development,BEAR,12-16,2022-03-21 12:00:00+00:00,2022-03-21 16:00:00+00:00,2022-03-21 12:55:00+00:00,41481.1,41055.8,425.29999999999563,0.25,41162.125,True,2022-03-21 12:55:00+00:00,REBREAK_LOW_AFTER_FILL,2022-03-21 14:10:00+00:00,0.0,75.0
development,BEAR,12-16,2022-03-21 12:00:00+00:00,2022-03-21 16:00:00+00:00,2022-03-21 12:55:00+00:00,41481.1,41055.8,425.29999999999563,0.5,41268.45,True,2022-03-21 12:55:00+00:00,REBREAK_LOW_AFTER_FILL,2022-03-21 14:10:00+00:00,0.0,75.0
development,BULL,04-08,2022-03-23 04:00:00+00:00,2022-03-23 08:00:00+00:00,2022-03-23 04:35:00+00:00,42518.0,41842.4,675.5999999999985,0.05,41876.18,True,2022-03-23 04:35:00+00:00,REBREAK_LOW_AFTER_FILL,2022-03-23 05:10:00+00:00,0.0,35.0
