track,anchor_hour,or_min,trigger,geom,entry_ts,side,net_ret,reason,ref_t,trigger_ts,body_ratio,extension,ref_hour
H4,20,240,CLASSIC,,2023-05-30 04:00:00+00:00,LONG,0.0033481035412546447,TP,2023-05-29 20:00:00+00:00,2023-05-30 00:00:00+00:00,0.25543029969755643,0.04263997033741183,20
H4,20,240,CLASSIC,,2023-06-01 04:00:00+00:00,SHORT,-0.005818492562181086,TIME,2023-05-31 20:00:00+00:00,2023-06-01 00:00:00+00:00,0.5782858670945302,0.7496644295302062,20
H4,20,240,CLASSIC,,2023-06-02 04:00:00+00:00,LONG,0.002889443102144952,TP,2023-06-01 20:00:00+00:00,2023-06-02 00:00:00+00:00,0.3342628741401725,0.21570282819754424,20
H4,20,240,CLASSIC,,2023-06-03 04:00:00+00:00,SHORT,-0.007323618088599991,SL,2023-06-02 20:00:00+00:00,2023-06-03 00:00:00+00:00,0.631681877444569,0.006962025316446486,20
H4,20,240,CLASSIC,,2023-06-05 04:00:00+00:00,SHORT,0.006586213192824543,TP,2023-06-04 20:00:00+00:00,2023-06-05 00:00:00+00:00,0.7202702702702702,0.43801843317972017,20
H4,20,240,CLASSIC,,2023-06-09 04:00:00+00:00,SHORT,-0.008058467071659635,SL,2023-06-08 20:00:00+00:00,2023-06-09 00:00:00+00:00,0.046623339926532725,0.014976958525337052,20
H4,20,240,CLASSIC,,2023-06-10 04:00:00+00:00,SHORT,0.000495241823309013,TP,2023-06-09 20:00:00+00:00,2023-06-10 00:00:00+00:00,0.5658181818181898,0.6895238095238234,20
H4,20,240,CLASSIC,,2023-06-13 04:00:00+00:00,LONG,0.0016836866285162024,TP,2023-06-12 20:00:00+00:00,2023-06-13 00:00:00+00:00,0.4572246065808277,0.5641952983724998,20
H4,20,240,CLASSIC,,2023-06-14 04:00:00+00:00,LONG,0.0015630672257583313,TP,2023-06-13 20:00:00+00:00,2023-06-14 00:00:00+00:00,0.3556005398110693,0.1319924575738511,20
H4,20,240,CLASSIC,,2023-06-17 04:00:00+00:00,SHORT,-0.008215320682273429,SL,2023-06-16 20:00:00+00:00,2023-06-17 00:00:00+00:00,0.4310344827586174,0.11514463981848756,20
H4,20,240,CLASSIC,,2023-06-20 04:00:00+00:00,LONG,0.002478691031111481,TP,2023-06-19 20:00:00+00:00,2023-06-20 00:00:00+00:00,0.13199898657208534,0.13043478260870378,20
H4,20,240,CLASSIC,,2023-06-21 04:00:00+00:00,LONG,0.007944479282066265,TP,2023-06-20 20:00:00+00:00,2023-06-21 00:00:00+00:00,0.48682662902846296,0.5658428624123919,20
H4,20,240,CLASSIC,,2023-06-22 04:00:00+00:00,LONG,-0.015692453366002168,SL,2023-06-21 20:00:00+00:00,2023-06-22 00:00:00+00:00,0.48552631578947486,0.20451372731503398,20
H4,20,240,CLASSIC,,2023-06-25 04:00:00+00:00,LONG,0.0021968967536270547,TP,2023-06-24 20:00:00+00:00,2023-06-25 00:00:00+00:00,0.6740947075208922,0.5266168059832869,20
H4,20,240,CLASSIC,,2023-06-27 04:00:00+00:00,LONG,0.001755928853754808,TP,2023-06-26 20:00:00+00:00,2023-06-27 00:00:00+00:00,0.3632727272727326,0.3854324734446153,20
H4,20,240,CLASSIC,,2023-06-28 04:00:00+00:00,SHORT,0.0018785781392691172,TP,2023-06-27 20:00:00+00:00,2023-06-28 00:00:00+00:00,0.6105209914011198,0.44385026737967403,20
H4,20,240,CLASSIC,,2023-06-30 04:00:00+00:00,LONG,0.005137513665469275,TP,2023-06-29 20:00:00+00:00,2023-06-30 00:00:00+00:00,0.5461966604823707,0.255637254901959,20
H4,20,240,CLASSIC,,2023-07-02 04:00:00+00:00,SHORT,-0.00033954591497226,TP,2023-07-01 20:00:00+00:00,2023-07-02 00:00:00+00:00,0.35624999999998863,0.41101694915252607,20
H4,20,240,CLASSIC,,2023-07-05 04:00:00+00:00,LONG,-0.0074726547688877525,SL,2023-07-04 20:00:00+00:00,2023-07-05 00:00:00+00:00,0.7365356622998519,0.0938686923494267,20
H4,20,240,CLASSIC,,2023-07-16 04:00:00+00:00,SHORT,-0.003448691096006261,SL,2023-07-15 20:00:00+00:00,2023-07-16 00:00:00+00:00,0.37236363636364167,1.3078231292517417,20
H4,20,240,CLASSIC,,2023-07-19 04:00:00+00:00,LONG,0.001511847710330029,TP,2023-07-18 20:00:00+00:00,2023-07-19 00:00:00+00:00,0.8394190871369265,1.0441988950276244,20
H4,20,240,CLASSIC,,2023-07-21 04:00:00+00:00,LONG,-0.0025808350873200423,TIME,2023-07-20 20:00:00+00:00,2023-07-21 00:00:00+00:00,0.38300492610837367,0.018021978021971627,20
H4,20,240,CLASSIC,,2023-07-23 04:00:00+00:00,LONG,0.0023397720606719865,TP,2023-07-22 20:00:00+00:00,2023-07-23 00:00:00+00:00,0.29678982434888207,0.0052378873854244225,20
H4,20,240,CLASSIC,,2023-07-24 04:00:00+00:00,SHORT,0.0023039837472270132,TP,2023-07-23 20:00:00+00:00,2023-07-24 00:00:00+00:00,0.8274065685164279,0.9000000000000065,20
