partition,date_utc,signal_ts,entry_ts,entry_px,H,L,range,b27w_target_hit,h2_bar_start,session_end,has_h2,first_close_break_bar_start,first_close_break_ts,max_high_extension,max_close_extension,E05_price,E05_high_reach,E05_high_reach_bar_start,E05_minutes_from_h2,E05_close_reach,E05_close_reach_ts,E10_price,E10_high_reach,E10_high_reach_bar_start,E10_minutes_from_h2,E10_close_reach,E10_close_reach_ts,E15_price,E15_high_reach,E15_high_reach_bar_start,E15_minutes_from_h2,E15_close_reach,E15_close_reach_ts,E20_price,E20_high_reach,E20_high_reach_bar_start,E20_minutes_from_h2,E20_close_reach,E20_close_reach_ts,E25_price,E25_high_reach,E25_high_reach_bar_start,E25_minutes_from_h2,E25_close_reach,E25_close_reach_ts,E30_price,E30_high_reach,E30_high_reach_bar_start,E30_minutes_from_h2,E30_close_reach,E30_close_reach_ts,E40_price,E40_high_reach,E40_high_reach_bar_start,E40_minutes_from_h2,E40_close_reach,E40_close_reach_ts,E50_price,E50_high_reach,E50_high_reach_bar_start,E50_minutes_from_h2,E50_close_reach,E50_close_reach_ts
development,2024-01-08,2024-01-08 15:45:00+00:00,2024-01-08 15:50:00+00:00,44947.455,45180.0,43629.7,1550.300000000003,True,2024-01-08 17:15:00+00:00,2024-01-08 20:00:00+00:00,True,2024-01-08 17:20:00+00:00,2024-01-08 17:25:00+00:00,1.375217699800036,1.2595626652905847,45257.515,True,2024-01-08 17:20:00+00:00,5.0,True,2024-01-08 17:25:00+00:00,45335.03,True,2024-01-08 17:25:00+00:00,10.0,True,2024-01-08 17:40:00+00:00,45412.545,True,2024-01-08 17:35:00+00:00,20.0,True,2024-01-08 17:50:00+00:00,45490.06,True,2024-01-08 17:45:00+00:00,30.0,True,2024-01-08 18:00:00+00:00,45567.575,True,2024-01-08 17:50:00+00:00,35.0,True,2024-01-08 18:00:00+00:00,45645.090000000004,True,2024-01-08 17:55:00+00:00,40.0,True,2024-01-08 18:05:00+00:00,45800.12,True,2024-01-08 18:00:00+00:00,45.0,True,2024-01-08 18:05:00+00:00,45955.15,True,2024-01-08 18:00:00+00:00,45.0,True,2024-01-08 18:05:00+00:00
development,2024-01-09,2024-01-09 13:55:00+00:00,2024-01-09 14:00:00+00:00,46828.0,47080.0,45400.0,1680.0,False,,2024-01-09 20:00:00+00:00,False,,,,,47164.0,False,,,False,,47248.0,False,,,False,,47332.0,False,,,False,,47416.0,False,,,False,,47500.0,False,,,False,,47584.0,False,,,False,,47752.0,False,,,False,,47920.0,False,,,False,
development,2024-02-07,2024-02-07 14:20:00+00:00,2024-02-07 14:30:00+00:00,43134.56,43191.2,42813.6,377.59999999999854,True,2024-02-07 14:45:00+00:00,2024-02-07 20:00:00+00:00,True,2024-02-07 14:45:00+00:00,2024-02-07 14:50:00+00:00,1.3691737288135646,1.2884004237288185,43210.079999999994,True,2024-02-07 14:45:00+00:00,0.0,True,2024-02-07 14:50:00+00:00,43228.96,True,2024-02-07 14:45:00+00:00,0.0,True,2024-02-07 14:50:00+00:00,43247.84,True,2024-02-07 14:45:00+00:00,0.0,True,2024-02-07 14:50:00+00:00,43266.719999999994,True,2024-02-07 14:45:00+00:00,0.0,True,2024-02-07 17:20:00+00:00,43285.6,True,2024-02-07 14:50:00+00:00,5.0,True,2024-02-07 17:20:00+00:00,43304.479999999996,True,2024-02-07 14:50:00+00:00,5.0,True,2024-02-07 17:20:00+00:00,43342.24,True,2024-02-07 17:15:00+00:00,150.0,True,2024-02-07 17:20:00+00:00,43380.0,True,2024-02-07 17:15:00+00:00,150.0,True,2024-02-07 17:25:00+00:00
development,2024-02-09,2024-02-09 14:15:00+00:00,2024-02-09 16:10:00+00:00,47462.565,47688.3,46183.4,1504.9000000000015,True,2024-02-09 18:00:00+00:00,2024-02-09 20:00:00+00:00,True,2024-02-09 18:00:00+00:00,2024-02-09 18:05:00+00:00,0.3601568210512323,0.29271047910160114,47763.545000000006,True,2024-02-09 18:00:00+00:00,0.0,True,2024-02-09 18:10:00+00:00,47838.79,True,2024-02-09 18:00:00+00:00,0.0,True,2024-02-09 18:25:00+00:00,47914.035,True,2024-02-09 18:10:00+00:00,10.0,True,2024-02-09 18:25:00+00:00,47989.280000000006,True,2024-02-09 18:20:00+00:00,20.0,True,2024-02-09 18:25:00+00:00,48064.525,True,2024-02-09 18:20:00+00:00,20.0,True,2024-02-09 18:25:00+00:00,48139.770000000004,True,2024-02-09 18:20:00+00:00,20.0,False,,48290.26,False,,,False,,48440.75,False,,,False,
development,2024-02-28,2024-02-28 15:00:00+00:00,2024-02-28 15:05:00+00:00,60691.985,61127.0,58226.9,2900.0999999999985,True,2024-02-28 15:10:00+00:00,2024-02-28 20:00:00+00:00,True,2024-02-28 15:10:00+00:00,2024-02-28 15:15:00+00:00,1.0941002034412612,0.9809316920106218,61272.005,True,2024-02-28 15:10:00+00:00,0.0,True,2024-02-28 15:15:00+00:00,61417.01,True,2024-02-28 15:10:00+00:00,0.0,True,2024-02-28 16:30:00+00:00,61562.015,True,2024-02-28 16:25:00+00:00,75.0,True,2024-02-28 16:35:00+00:00,61707.02,True,2024-02-28 16:30:00+00:00,80.0,True,2024-02-28 16:35:00+00:00,61852.025,True,2024-02-28 16:35:00+00:00,85.0,True,2024-02-28 16:55:00+00:00,61997.03,True,2024-02-28 16:50:00+00:00,100.0,True,2024-02-28 16:55:00+00:00,62287.04,True,2024-02-28 16:55:00+00:00,105.0,True,2024-02-28 17:00:00+00:00,62577.05,True,2024-02-28 16:55:00+00:00,105.0,True,2024-02-28 17:05:00+00:00
development,2024-02-29,2024-02-29 14:35:00+00:00,2024-02-29 15:25:00+00:00,63249.18,63460.8,62050.0,1410.800000000003,False,,2024-02-29 20:00:00+00:00,False,,,,,63531.340000000004,False,,,False,,63601.880000000005,False,,,False,,63672.420000000006,False,,,False,,63742.96000000001,False,,,False,,63813.5,False,,,False,,63884.04,False,,,False,,64025.12,False,,,False,,64166.200000000004,False,,,False,
development,2024-03-04,2024-03-04 13:45:00+00:00,2024-03-04 13:50:00+00:00,65471.52,65717.4,64078.2,1639.199999999997,True,2024-03-04 14:35:00+00:00,2024-03-04 20:00:00+00:00,True,2024-03-04 14:35:00+00:00,2024-03-04 14:40:00+00:00,1.1781356759394919,1.0772327964860944,65799.36,True,2024-03-04 14:35:00+00:00,0.0,True,2024-03-04 14:40:00+00:00,65881.31999999999,True,2024-03-04 14:35:00+00:00,0.0,True,2024-03-04 14:40:00+00:00,65963.28,True,2024-03-04 14:35:00+00:00,0.0,True,2024-03-04 14:40:00+00:00,66045.23999999999,True,2024-03-04 14:35:00+00:00,0.0,True,2024-03-04 14:45:00+00:00,66127.2,True,2024-03-04 14:35:00+00:00,0.0,True,2024-03-04 14:45:00+00:00,66209.15999999999,True,2024-03-04 14:40:00+00:00,5.0,True,2024-03-04 14:55:00+00:00,66373.07999999999,True,2024-03-04 14:40:00+00:00,5.0,True,2024-03-04 15:15:00+00:00,66537.0,True,2024-03-04 15:40:00+00:00,65.0,True,2024-03-04 16:10:00+00:00
development,2024-03-15,2024-03-15 14:00:00+00:00,2024-03-15 14:05:00+00:00,68202.675,68665.5,65580.0,3085.5,True,2024-03-15 14:55:00+00:00,2024-03-15 20:00:00+00:00,True,2024-03-15 18:35:00+00:00,2024-03-15 18:40:00+00:00,0.6645276292335097,0.601523253929671,68819.775,True,2024-03-15 18:40:00+00:00,225.0,True,2024-03-15 18:45:00+00:00,68974.05,True,2024-03-15 18:40:00+00:00,225.0,True,2024-03-15 18:45:00+00:00,69128.325,True,2024-03-15 18:40:00+00:00,225.0,True,2024-03-15 18:45:00+00:00,69282.6,True,2024-03-15 18:40:00+00:00,225.0,True,2024-03-15 18:45:00+00:00,69436.875,True,2024-03-15 18:45:00+00:00,230.0,True,2024-03-15 18:50:00+00:00,69591.15,True,2024-03-15 18:45:00+00:00,230.0,True,2024-03-15 18:50:00+00:00,69899.7,True,2024-03-15 18:50:00+00:00,235.0,True,2024-03-15 18:55:00+00:00,70208.25,True,2024-03-15 18:50:00+00:00,235.0,True,2024-03-15 18:55:00+00:00
development,2024-03-20,2024-03-20 15:05:00+00:00,2024-03-20 15:10:00+00:00,64124.49,64380.0,62676.6,1703.4000000000015,False,,2024-03-20 20:00:00+00:00,False,,,,,64465.17,False,,,False,,64550.34,False,,,False,,64635.51,False,,,False,,64720.68,False,,,False,,64805.85,False,,,False,,64891.020000000004,False,,,False,,65061.36,False,,,False,,65231.7,False,,,False,
development,2024-04-01,2024-04-01 13:35:00+00:00,2024-04-01 13:55:00+00:00,69967.11,70098.6,69222.0,876.6000000000058,False,,2024-04-01 20:00:00+00:00,False,,,,,70142.43000000001,False,,,False,,70186.26000000001,False,,,False,,70230.09000000001,False,,,False,,70273.92000000001,False,,,False,,70317.75,False,,,False,,70361.58,False,,,False,,70449.24,False,,,False,,70536.90000000001,False,,,False,
development,2024-04-04,2024-04-04 13:55:00+00:00,2024-04-04 14:00:00+00:00,67263.485,67480.1,66036.0,1444.1000000000058,True,2024-04-04 14:05:00+00:00,2024-04-04 20:00:00+00:00,True,2024-04-04 14:05:00+00:00,2024-04-04 14:10:00+00:00,1.2807977286891377,1.0947995291184778,67552.30500000001,True,2024-04-04 14:05:00+00:00,0.0,True,2024-04-04 14:10:00+00:00,67624.51000000001,True,2024-04-04 14:05:00+00:00,0.0,True,2024-04-04 14:35:00+00:00,67696.71500000001,True,2024-04-04 14:10:00+00:00,5.0,True,2024-04-04 14:40:00+00:00,67768.92000000001,True,2024-04-04 14:40:00+00:00,35.0,True,2024-04-04 14:45:00+00:00,67841.125,True,2024-04-04 14:40:00+00:00,35.0,True,2024-04-04 14:45:00+00:00,67913.33,True,2024-04-04 14:45:00+00:00,40.0,True,2024-04-04 16:25:00+00:00,68057.74,True,2024-04-04 16:20:00+00:00,135.0,True,2024-04-04 17:40:00+00:00,68202.15000000001,True,2024-04-04 17:35:00+00:00,210.0,True,2024-04-04 17:50:00+00:00
development,2024-05-14,2024-05-14 14:35:00+00:00,2024-05-14 15:15:00+00:00,61916.28,62086.8,60950.0,1136.800000000003,False,,2024-05-14 20:00:00+00:00,False,,,,,62143.64,False,,,False,,62200.48,False,,,False,,62257.32000000001,False,,,False,,62314.16,False,,,False,,62371.0,False,,,False,,62427.840000000004,False,,,False,,62541.520000000004,False,,,False,,62655.200000000004,False,,,False,
development,2024-06-27,2024-06-27 13:35:00+00:00,2024-06-27 13:40:00+00:00,61665.0,61830.0,60730.0,1100.0,True,2024-06-27 13:55:00+00:00,2024-06-27 20:00:00+00:00,True,2024-06-27 13:55:00+00:00,2024-06-27 14:00:00+00:00,0.4997272727272701,0.4709090909090909,61885.0,True,2024-06-27 13:55:00+00:00,0.0,True,2024-06-27 14:00:00+00:00,61940.0,True,2024-06-27 13:55:00+00:00,0.0,True,2024-06-27 14:00:00+00:00,61995.0,True,2024-06-27 13:55:00+00:00,0.0,True,2024-06-27 14:05:00+00:00,62050.0,True,2024-06-27 14:00:00+00:00,5.0,True,2024-06-27 14:05:00+00:00,62105.0,True,2024-06-27 14:00:00+00:00,5.0,True,2024-06-27 14:05:00+00:00,62160.0,True,2024-06-27 14:00:00+00:00,5.0,True,2024-06-27 14:05:00+00:00,62270.0,True,2024-06-27 14:05:00+00:00,10.0,True,2024-06-27 14:10:00+00:00,62380.0,False,,,False,
development,2024-07-15,2024-07-15 15:05:00+00:00,2024-07-15 15:25:00+00:00,63093.22,63239.2,62266.0,973.1999999999971,True,2024-07-15 16:25:00+00:00,2024-07-15 20:00:00+00:00,True,2024-07-15 16:35:00+00:00,2024-07-15 16:40:00+00:00,0.5526099465680276,0.491574188244968,63287.86,True,2024-07-15 16:35:00+00:00,10.0,True,2024-07-15 16:45:00+00:00,63336.52,True,2024-07-15 16:35:00+00:00,10.0,True,2024-07-15 16:45:00+00:00,63385.17999999999,True,2024-07-15 16:35:00+00:00,10.0,True,2024-07-15 16:45:00+00:00,63433.84,True,2024-07-15 16:40:00+00:00,15.0,True,2024-07-15 16:55:00+00:00,63482.5,True,2024-07-15 16:40:00+00:00,15.0,True,2024-07-15 16:55:00+00:00,63531.159999999996,True,2024-07-15 16:50:00+00:00,25.0,True,2024-07-15 16:55:00+00:00,63628.479999999996,True,2024-07-15 17:05:00+00:00,40.0,True,2024-07-15 19:25:00+00:00,63725.799999999996,True,2024-07-15 19:20:00+00:00,175.0,False,
development,2024-08-16,2024-08-16 17:35:00+00:00,2024-08-16 17:40:00+00:00,58697.225,58908.5,57500.0,1408.5,True,2024-08-16 17:45:00+00:00,2024-08-16 20:00:00+00:00,True,2024-08-16 17:55:00+00:00,2024-08-16 18:00:00+00:00,0.6188853390131325,0.610223642172524,58978.925,True,2024-08-16 17:55:00+00:00,10.0,True,2024-08-16 18:00:00+00:00,59049.35,True,2024-08-16 17:55:00+00:00,10.0,True,2024-08-16 18:00:00+00:00,59119.775,True,2024-08-16 17:55:00+00:00,10.0,True,2024-08-16 18:00:00+00:00,59190.2,True,2024-08-16 17:55:00+00:00,10.0,True,2024-08-16 18:05:00+00:00,59260.625,True,2024-08-16 17:55:00+00:00,10.0,True,2024-08-16 18:05:00+00:00,59331.05,True,2024-08-16 17:55:00+00:00,10.0,True,2024-08-16 18:35:00+00:00,59471.9,True,2024-08-16 18:35:00+00:00,50.0,True,2024-08-16 19:05:00+00:00,59612.75,True,2024-08-16 19:15:00+00:00,90.0,True,2024-08-16 19:20:00+00:00
development,2024-08-19,2024-08-19 13:35:00+00:00,2024-08-19 17:20:00+00:00,58761.5,58940.0,57750.0,1190.0,True,2024-08-19 17:30:00+00:00,2024-08-19 20:00:00+00:00,True,2024-08-19 17:30:00+00:00,2024-08-19 17:35:00+00:00,0.2713445378151273,0.23714285714285468,58999.5,True,2024-08-19 17:30:00+00:00,0.0,True,2024-08-19 17:35:00+00:00,59059.0,True,2024-08-19 17:30:00+00:00,0.0,True,2024-08-19 17:35:00+00:00,59118.5,True,2024-08-19 17:30:00+00:00,0.0,True,2024-08-19 17:35:00+00:00,59178.0,True,2024-08-19 17:30:00+00:00,0.0,True,2024-08-19 17:35:00+00:00,59237.5,True,2024-08-19 17:30:00+00:00,0.0,False,,59297.0,False,,,False,,59416.0,False,,,False,,59535.0,False,,,False,
development,2024-09-13,2024-09-13 14:10:00+00:00,2024-09-13 14:15:00+00:00,58212.715,58321.9,57594.0,727.9000000000015,True,2024-09-13 14:55:00+00:00,2024-09-13 20:00:00+00:00,True,2024-09-13 14:55:00+00:00,2024-09-13 15:00:00+00:00,2.2768237395246493,2.2257178183816393,58358.295,True,2024-09-13 14:55:00+00:00,0.0,True,2024-09-13 15:00:00+00:00,58394.69,True,2024-09-13 14:55:00+00:00,0.0,True,2024-09-13 15:00:00+00:00,58431.085,True,2024-09-13 14:55:00+00:00,0.0,True,2024-09-13 15:10:00+00:00,58467.48,True,2024-09-13 14:55:00+00:00,0.0,True,2024-09-13 15:25:00+00:00,58503.875,True,2024-09-13 14:55:00+00:00,0.0,True,2024-09-13 15:25:00+00:00,58540.270000000004,True,2024-09-13 14:55:00+00:00,0.0,True,2024-09-13 15:25:00+00:00,58613.060000000005,True,2024-09-13 15:20:00+00:00,25.0,True,2024-09-13 15:25:00+00:00,58685.850000000006,True,2024-09-13 15:20:00+00:00,25.0,True,2024-09-13 15:25:00+00:00
development,2024-09-19,2024-09-19 14:15:00+00:00,2024-09-19 14:20:00+00:00,63141.855,63369.6,61851.3,1518.2999999999956,True,2024-09-19 14:30:00+00:00,2024-09-19 20:00:00+00:00,True,2024-09-19 14:30:00+00:00,2024-09-19 14:35:00+00:00,0.3032997431337689,0.2756372258446955,63445.515,True,2024-09-19 14:30:00+00:00,0.0,True,2024-09-19 16:50:00+00:00,63521.43,True,2024-09-19 16:50:00+00:00,140.0,True,2024-09-19 16:55:00+00:00,63597.345,True,2024-09-19 16:50:00+00:00,140.0,True,2024-09-19 16:55:00+00:00,63673.259999999995,True,2024-09-19 17:00:00+00:00,150.0,True,2024-09-19 17:05:00+00:00,63749.174999999996,True,2024-09-19 17:05:00+00:00,155.0,True,2024-09-19 17:45:00+00:00,63825.09,True,2024-09-19 17:45:00+00:00,195.0,False,,63976.92,False,,,False,,64128.75,False,,,False,
development,2024-12-10,2024-12-10 13:50:00+00:00,2024-12-10 13:55:00+00:00,97787.935,97948.0,96880.9,1067.1000000000058,True,2024-12-10 14:05:00+00:00,2024-12-10 20:00:00+00:00,True,2024-12-10 14:15:00+00:00,2024-12-10 14:20:00+00:00,0.3491706494236752,0.20438571830194419,98001.355,True,2024-12-10 14:05:00+00:00,0.0,True,2024-12-10 14:30:00+00:00,98054.71,True,2024-12-10 14:05:00+00:00,0.0,True,2024-12-10 14:50:00+00:00,98108.065,True,2024-12-10 14:30:00+00:00,25.0,True,2024-12-10 14:50:00+00:00,98161.42,True,2024-12-10 14:30:00+00:00,25.0,True,2024-12-10 14:50:00+00:00,98214.775,True,2024-12-10 14:30:00+00:00,25.0,False,,98268.13,True,2024-12-10 14:45:00+00:00,40.0,False,,98374.84,False,,,False,,98481.55,False,,,False,
