partition,feature,winner_mean,loser_mean,winner_median,loser_median,smd,abs_smd,auc_oriented,n
development,ema21_dist_aligned,0.08351227875495672,-0.05732073770098598,0.07417730196023122,-0.05022956024485897,0.10585507273596903,0.10585507273596903,0.5290958770005536,40836
development,ema55_dist_aligned,0.11445247201427537,-0.0759738513869984,0.11536238088422399,-0.07219604360586412,0.0860479729623149,0.0860479729623149,0.524630246643067,40836
development,ema8_slope3_aligned,0.00025225410895079504,-0.0001738604629836565,0.00017101213138442928,-0.00012308392116805456,0.07232166811008005,0.07232166811008005,0.5237299520374282,40836
development,ema21_slope3_aligned,0.00016559255625764113,-0.00011371846480133582,0.00012898994840793154,-8.09290388482653e-05,0.0713733183768863,0.0713733183768863,0.5226720851692864,40836
development,atr_pct,0.008500252095796607,0.008541195984643974,0.007691891717718996,0.00765591739586581,-0.0093947754680897,0.0093947754680897,0.5005047395695331,40836
development,tr_atr,1.0033677553576805,1.0030542551680635,0.830586802726782,0.8310374463181782,0.0004999592504462978,0.0004999592504462978,0.5003283052159198,40836
development,trmean3_over24,1.0016381111209332,0.9984922350071688,0.8915653265113938,0.8881705740609055,0.006743539178404077,0.006743539178404077,0.5019014268552584,40836
development,trmean6_over24,1.001434986695279,1.000615223707613,0.9453198745818698,0.945196912771056,0.0023475213362395358,0.0023475213362395358,0.5008210659112323,40836
development,range3_atr,1.766605779458067,1.7628125715406515,1.5407705169753103,1.532832349928964,0.004086842793936406,0.004086842793936406,0.5010005858448306,40836
development,range6_atr,2.5298795542768255,2.5357359560682178,2.290981295494508,2.3040644450099337,-0.005378170700745667,0.005378170700745667,0.501591944171731,40836
development,range12_atr,3.6474447405697736,3.6647435155725097,3.4306653199730794,3.440650065255239,-0.01578496120032903,0.01578496120032903,0.5039500665338075,40836
development,range24_atr,5.4840571412936425,5.507342633394267,5.107127005986292,5.140764047581488,-0.012656499872985325,0.012656499872985325,0.5039824873754286,40836
development,range_vs_med12,1.2334723871881088,1.2346910767314214,0.955612071457093,0.9582639455733057,-0.0012199872994939878,0.0012199872994939878,0.5001285114394713,40836
development,body_aligned,0.003290380483427896,-0.002089127564037068,0.002087961169948991,-0.0002277904328067945,0.01112041679725541,0.01112041679725541,0.5028304596331372,40836
development,supportive_wick,0.28179495453047015,0.2971324362256049,0.24776119402984714,0.2632639896790664,-0.07482276826392989,0.07482276826392989,0.5209037276595109,40836
development,opposing_wick,0.2976122050531503,0.2860547551839898,0.26449494612187285,0.25224127796573914,0.05636343426885836,0.05636343426885836,0.5165870630709956,40836
development,close_loc_aligned,0.4937365649803739,0.504494276738789,0.4913979797348244,0.5067635999424708,-0.038586748713635016,0.038586748713635016,0.5111207714598726,40836
development,sweep_reclaim3,0.14533506985555292,0.1519796191112596,0.0,0.0,-0.018648236475751187,0.018648236475751187,0.5033222746278534,40836
development,sweep_reclaim6,0.09673218091404215,0.10357500835282325,0.0,0.0,-0.02273526728942639,0.02273526728942639,0.5034214137193905,40836
development,breakout3,0.11964243428842056,0.11835950551286335,0.0,0.0,0.003963735824152287,0.003963735824152287,0.5006414643877787,40836
development,breakout6,0.07766990291262135,0.07672068159037755,0.0,0.0,0.0035581036695663286,0.0035581036695663286,0.5004746106611219,40836
development,pos12_aligned,0.512353132003376,0.49122325536712697,0.5196310262775399,0.4859011076673611,0.08277755592748955,0.08277755592748955,0.5241223831710411,40836
development,pos24_aligned,0.5142298624627485,0.4901655196640179,0.5235579436801405,0.4842180841208106,0.09229108606802296,0.09229108606802296,0.5268205324915923,40836
development,pos48_aligned,0.5114743085509255,0.4921788713458846,0.5180935249038586,0.4880279118960524,0.07270846933304298,0.07270846933304298,0.521143690841421,40836
development,forward12_atr,1.7614405089892402,1.8764104189468054,1.5394146640882775,1.613201866239315,-0.09696185262806961,0.09696185262806961,0.5226001661841954,40836
development,forward24_atr,2.6532686147373012,2.8152509946327853,2.2545483335069356,2.4283246263210825,-0.08825457398997649,0.08825457398997649,0.5255006534012309,40836
development,forward48_atr,3.739568283719404,3.9282908804358105,3.1776255394354904,3.423553037956813,-0.07065012485667234,0.07065012485667234,0.5209817819544839,40836
development,adverse12_atr,1.8860042315805334,1.788333096625704,1.630667695183654,1.5474274775503916,0.08231413724709084,0.08231413724709084,0.5218401492641407,40836
development,adverse24_atr,2.8307885265563417,2.6920916387614815,2.465041706752893,2.2836257823125825,0.07558538107731484,0.07558538107731484,0.5240094195438579,40836
development,adverse48_atr,3.9357328279030206,3.7948255489008558,3.4230944386562117,3.258592189171141,0.052735636597057975,0.052735636597057975,0.5158489456098487,40836
development,prevday_forward_atr,2.6244407278661934,2.844554118764038,2.491795959483281,2.668702494399531,-0.07809401124619117,0.07809401124619117,0.5205612097380272,40836
development,prevday_adverse_atr,2.868661765724582,2.6743019799814634,2.7018100833483873,2.523328311063684,0.06901183973719358,0.06901183973719358,0.51830606860795,40836
development,prevweek_forward_atr,7.219836014552451,7.659104375535988,6.80265466486922,7.011994315251222,-0.05125715220761228,0.05125715220761228,0.509808596429794,40836
development,prevweek_adverse_atr,7.6922140287873395,7.365033157950138,7.0245548152334365,6.8784954712436885,0.03816923136156339,0.03816923136156339,0.5070169105211078,40836
development,week_pos_aligned,0.5118416258847647,0.49222580489139234,0.517635356764845,0.4881036225661155,0.07297023855986007,0.07297023855986007,0.5215310856557795,40836
