feature,development_smd,development_auc,development_winner_median,development_loser_median,external_smd,external_auc,external_winner_median,external_loser_median,reference_validation_smd,reference_validation_auc,reference_validation_winner_median,reference_validation_loser_median,stable,dev_abs_smd
premium_z7d,0.07450860813866958,0.5714285714285714,0.5140016409001519,-0.10062091704447036,-0.44040695817221637,0.6130952380952381,0.4050624499896379,0.797873764700984,0.03145742767497625,0.5108695652173914,0.04960090988955804,0.2649037766905097,False,0.07450860813866958
f_qvol_rate_1h,-0.05855791785705505,0.6110080395794681,2.084724103443204,1.523958431205803,-0.0621416230716336,0.5148809523809523,1.7550148569691628,1.780583183442455,0.09608210189785157,0.5054347826086957,2.0893915135921635,1.7653338904708564,False,0.05855791785705505
break_body_frac,-0.058058561325464206,0.5176252319109462,0.6832208826457269,0.7197919853166052,-0.037186830303933965,0.5009920634920635,0.725704500841085,0.691451216317005,-0.08841773609533281,0.5018115942028986,0.6818406561296552,0.6710721956054768,False,0.058058561325464206
premium_change_1h,-0.051261202458384406,0.5776128633271491,6.477999999999996e-05,-3.421000000000001e-05,-0.37029612116854427,0.5753968253968254,4.5605000000000015e-05,0.000210055,-0.05615991198065881,0.5289855072463767,3.4205000000000016e-05,3.610000000000001e-05,False,0.051261202458384406
premium_change_6h,-0.045917473279671196,0.5621521335807049,7.466999999999999e-05,-8.540000000000023e-06,-0.42337961003692987,0.6527777777777778,4.0704999999999984e-05,0.000339405,-0.023727726156024174,0.5072463768115942,-3.3359999999999965e-05,-2.5569999999999987e-05,False,0.045917473279671196
spot_minus_fut_flow_1h,-0.03684441845011819,0.505256648113791,-0.008589466396004442,-0.010450008988823756,-0.5556429590377032,0.6329365079365079,-0.01276877733496129,0.03966805463494927,0.1337730523701577,0.5307971014492754,0.03398965162486145,0.06342907648925489,False,0.03684441845011819
global_chg15,-0.03536147202930423,0.5563636363636364,-0.008971130900528118,-0.002747397706530319,-0.37876699682904336,0.5532407407407407,-0.006208362039224535,-0.0016259638712310953,-0.174565900127918,0.5235507246376812,-0.005629425366516949,-0.009465977134985981,False,0.03536147202930423
basis_change_6h,-0.03148227204584866,0.5751391465677179,4.3736633175250894e-05,6.61047229488787e-06,-0.37285220219498033,0.6071428571428571,6.540160854762167e-05,0.0001609195717673373,0.23017003707733688,0.5597826086956521,-2.6966994806920663e-05,-3.660908714298028e-05,False,0.03148227204584866
break_ret,0.030046938053572884,0.5510204081632653,0.009902931659966585,0.007801723498613189,-0.4774435188361952,0.5496031746031746,0.012344038513725342,0.01295246644430137,0.08986626238521082,0.5797101449275363,0.005495085220591278,0.006769580319189172,False,0.030046938053572884
spot_ret_1h,0.02982263534010046,0.5497835497835497,0.009713114317093874,0.00785107855970657,-0.4735451975031915,0.5396825396825397,0.012594753834600625,0.012461890689853705,0.08878405208516828,0.5742753623188406,0.005444397133954726,0.00686799536130267,False,0.02982263534010046
basis_change_1h,0.024319061642319832,0.6029684601113172,5.878809238391014e-05,-6.0704050861226655e-05,-0.3575280084970185,0.5823412698412698,1.9412236177407394e-05,0.00013975071412558604,0.09648606257185487,0.5108695652173912,2.5826283222007973e-05,2.6599741761446083e-05,False,0.024319061642319832
week_hours,0.02095454432622267,0.5126777983920842,17.0,23.0,-0.10772822420929087,0.5034722222222222,25.0,18.0,-0.18390506573603116,0.5742753623188406,36.0,39.0,False,0.02095454432622267
spot_minus_fut_flow_3h,-0.01875329396529471,0.5034013605442177,-0.007425440012791551,-0.012722783898520551,-0.46783793296856263,0.6071428571428571,-0.006120336640375368,0.017886464019658654,-0.030794721722958274,0.5489130434782609,0.005827787357790104,0.037799126200870226,False,0.01875329396529471
spot_minus_fut_ret_1h,-0.01573501114753194,0.5998763141620285,-6.233825756196687e-05,2.0989798382720082e-05,0.36909712048476384,0.5902777777777778,-2.9693534731811688e-05,-0.00013759335914365067,-0.10470449239063248,0.5108695652173912,-2.6427745714485695e-05,-2.5379664334579388e-05,False,0.01573501114753194
