local_date,partition,duration_regime,H,L,R,leave_ts,terminal,terminal_start,measurement_end_exclusive,preterminal_bars,preterminal_low,preterminal_low_bar_start,depth_from_H_R,lowest_level_fraction,h2,F95_reached_preterminal,F95_first_touch_bar_start,F95_first_touch_signal_ts,F95_minutes_leave_to_touch,F90_reached_preterminal,F90_first_touch_bar_start,F90_first_touch_signal_ts,F90_minutes_leave_to_touch,F85_reached_preterminal,F85_first_touch_bar_start,F85_first_touch_signal_ts,F85_minutes_leave_to_touch,F80_reached_preterminal,F80_first_touch_bar_start,F80_first_touch_signal_ts,F80_minutes_leave_to_touch,F75_reached_preterminal,F75_first_touch_bar_start,F75_first_touch_signal_ts,F75_minutes_leave_to_touch,F70_reached_preterminal,F70_first_touch_bar_start,F70_first_touch_signal_ts,F70_minutes_leave_to_touch,F65_reached_preterminal,F65_first_touch_bar_start,F65_first_touch_signal_ts,F65_minutes_leave_to_touch,F60_reached_preterminal,F60_first_touch_bar_start,F60_first_touch_signal_ts,F60_minutes_leave_to_touch,F55_reached_preterminal,F55_first_touch_bar_start,F55_first_touch_signal_ts,F55_minutes_leave_to_touch,F50_reached_preterminal,F50_first_touch_bar_start,F50_first_touch_signal_ts,F50_minutes_leave_to_touch,F45_reached_preterminal,F45_first_touch_bar_start,F45_first_touch_signal_ts,F45_minutes_leave_to_touch,F40_reached_preterminal,F40_first_touch_bar_start,F40_first_touch_signal_ts,F40_minutes_leave_to_touch,F35_reached_preterminal,F35_first_touch_bar_start,F35_first_touch_signal_ts,F35_minutes_leave_to_touch
2022-07-08,development,NORMAL_6H30,242.28,236.8,5.47999999999999,2022-07-08 14:55:00+00:00,H2_ARRIVAL,2022-07-08 15:10:00+00:00,2022-07-08 15:10:00+00:00,3,240.72,2022-07-08 15:05:00+00:00,0.28467153284671626,0.7153284671532837,True,True,2022-07-08 14:55:00+00:00,2022-07-08 15:00:00+00:00,5.0,True,2022-07-08 14:55:00+00:00,2022-07-08 15:00:00+00:00,5.0,True,2022-07-08 14:55:00+00:00,2022-07-08 15:00:00+00:00,5.0,True,2022-07-08 15:00:00+00:00,2022-07-08 15:05:00+00:00,10.0,True,2022-07-08 15:05:00+00:00,2022-07-08 15:10:00+00:00,15.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-07-11,development,NORMAL_6H30,233.37,227.79,5.5800000000000125,2022-07-11 13:40:00+00:00,H2_ARRIVAL,2022-07-11 18:40:00+00:00,2022-07-11 18:40:00+00:00,60,229.3,2022-07-11 14:00:00+00:00,0.7293906810035814,0.2706093189964186,True,True,2022-07-11 13:40:00+00:00,2022-07-11 13:45:00+00:00,5.0,True,2022-07-11 13:40:00+00:00,2022-07-11 13:45:00+00:00,5.0,True,2022-07-11 13:40:00+00:00,2022-07-11 13:45:00+00:00,5.0,True,2022-07-11 13:40:00+00:00,2022-07-11 13:45:00+00:00,5.0,True,2022-07-11 13:40:00+00:00,2022-07-11 13:45:00+00:00,5.0,True,2022-07-11 13:40:00+00:00,2022-07-11 13:45:00+00:00,5.0,True,2022-07-11 13:45:00+00:00,2022-07-11 13:50:00+00:00,10.0,True,2022-07-11 13:45:00+00:00,2022-07-11 13:50:00+00:00,10.0,True,2022-07-11 13:45:00+00:00,2022-07-11 13:50:00+00:00,10.0,True,2022-07-11 13:45:00+00:00,2022-07-11 13:50:00+00:00,10.0,True,2022-07-11 13:45:00+00:00,2022-07-11 13:50:00+00:00,10.0,True,2022-07-11 13:50:00+00:00,2022-07-11 13:55:00+00:00,15.0,True,2022-07-11 13:50:00+00:00,2022-07-11 13:55:00+00:00,15.0
2022-07-19,development,NORMAL_6H30,264.71,257.09,7.6200000000000045,2022-07-19 13:40:00+00:00,H2_ARRIVAL,2022-07-19 15:05:00+00:00,2022-07-19 15:05:00+00:00,17,261.5,2022-07-19 13:45:00+00:00,0.4212598425196821,0.5787401574803179,True,True,2022-07-19 13:40:00+00:00,2022-07-19 13:45:00+00:00,5.0,True,2022-07-19 13:40:00+00:00,2022-07-19 13:45:00+00:00,5.0,True,2022-07-19 13:40:00+00:00,2022-07-19 13:45:00+00:00,5.0,True,2022-07-19 13:40:00+00:00,2022-07-19 13:45:00+00:00,5.0,True,2022-07-19 13:45:00+00:00,2022-07-19 13:50:00+00:00,10.0,True,2022-07-19 13:45:00+00:00,2022-07-19 13:50:00+00:00,10.0,True,2022-07-19 13:45:00+00:00,2022-07-19 13:50:00+00:00,10.0,True,2022-07-19 13:45:00+00:00,2022-07-19 13:50:00+00:00,10.0,False,,,,False,,,,False,,,,False,,,,False,,,
2022-07-20,development,NORMAL_6H30,270.92,263.51,7.410000000000025,2022-07-20 13:50:00+00:00,H2_ARRIVAL,2022-07-20 14:45:00+00:00,2022-07-20 14:45:00+00:00,11,267.24,2022-07-20 14:05:00+00:00,0.4966261808367064,0.5033738191632936,True,True,2022-07-20 13:50:00+00:00,2022-07-20 13:55:00+00:00,5.0,True,2022-07-20 13:50:00+00:00,2022-07-20 13:55:00+00:00,5.0,True,2022-07-20 13:50:00+00:00,2022-07-20 13:55:00+00:00,5.0,True,2022-07-20 13:50:00+00:00,2022-07-20 13:55:00+00:00,5.0,True,2022-07-20 13:50:00+00:00,2022-07-20 13:55:00+00:00,5.0,True,2022-07-20 13:50:00+00:00,2022-07-20 13:55:00+00:00,5.0,True,2022-07-20 13:55:00+00:00,2022-07-20 14:00:00+00:00,10.0,True,2022-07-20 13:55:00+00:00,2022-07-20 14:00:00+00:00,10.0,True,2022-07-20 14:05:00+00:00,2022-07-20 14:10:00+00:00,20.0,False,,,,False,,,,False,,,,False,,,
2022-07-28,development,NORMAL_6H30,269.97,263.6,6.3700000000000045,2022-07-28 13:45:00+00:00,H2_ARRIVAL,2022-07-28 15:10:00+00:00,2022-07-28 15:10:00+00:00,17,264.61,2022-07-28 13:50:00+00:00,0.8414442700157001,0.15855572998429987,True,True,2022-07-28 13:45:00+00:00,2022-07-28 13:50:00+00:00,5.0,True,2022-07-28 13:45:00+00:00,2022-07-28 13:50:00+00:00,5.0,True,2022-07-28 13:45:00+00:00,2022-07-28 13:50:00+00:00,5.0,True,2022-07-28 13:45:00+00:00,2022-07-28 13:50:00+00:00,5.0,True,2022-07-28 13:45:00+00:00,2022-07-28 13:50:00+00:00,5.0,True,2022-07-28 13:45:00+00:00,2022-07-28 13:50:00+00:00,5.0,True,2022-07-28 13:45:00+00:00,2022-07-28 13:50:00+00:00,5.0,True,2022-07-28 13:45:00+00:00,2022-07-28 13:50:00+00:00,5.0,True,2022-07-28 13:45:00+00:00,2022-07-28 13:50:00+00:00,5.0,True,2022-07-28 13:45:00+00:00,2022-07-28 13:50:00+00:00,5.0,True,2022-07-28 13:45:00+00:00,2022-07-28 13:50:00+00:00,5.0,True,2022-07-28 13:45:00+00:00,2022-07-28 13:50:00+00:00,5.0,True,2022-07-28 13:45:00+00:00,2022-07-28 13:50:00+00:00,5.0
2022-08-10,development,NORMAL_6H30,335.0,315.08,19.920000000000016,2022-08-10 14:35:00+00:00,H2_ARRIVAL,2022-08-10 14:40:00+00:00,2022-08-10 14:40:00+00:00,1,333.74,2022-08-10 14:35:00+00:00,0.06325301204819227,0.9367469879518078,True,True,2022-08-10 14:35:00+00:00,2022-08-10 14:40:00+00:00,5.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-08-19,development,NORMAL_6H30,285.33,278.11,7.21999999999997,2022-08-19 16:20:00+00:00,H2_ARRIVAL,2022-08-19 16:20:00+00:00,2022-08-19 16:20:00+00:00,0,285.33,,0.0,1.0,True,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-08-24,development,NORMAL_6H30,298.5,294.01,4.490000000000009,2022-08-24 16:05:00+00:00,H2_ARRIVAL,2022-08-24 16:05:00+00:00,2022-08-24 16:05:00+00:00,0,298.5,,0.0,1.0,True,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-09-07,development,NORMAL_6H30,266.93,261.92,5.009999999999991,2022-09-07 13:50:00+00:00,H2_ARRIVAL,2022-09-07 14:25:00+00:00,2022-09-07 14:25:00+00:00,7,265.1,2022-09-07 14:00:00+00:00,0.3652694610778418,0.6347305389221582,True,True,2022-09-07 13:50:00+00:00,2022-09-07 13:55:00+00:00,5.0,True,2022-09-07 13:50:00+00:00,2022-09-07 13:55:00+00:00,5.0,True,2022-09-07 13:50:00+00:00,2022-09-07 13:55:00+00:00,5.0,True,2022-09-07 13:50:00+00:00,2022-09-07 13:55:00+00:00,5.0,True,2022-09-07 13:50:00+00:00,2022-09-07 13:55:00+00:00,5.0,True,2022-09-07 13:55:00+00:00,2022-09-07 14:00:00+00:00,10.0,True,2022-09-07 14:00:00+00:00,2022-09-07 14:05:00+00:00,15.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-09-22,development,NORMAL_6H30,271.19,265.1,6.089999999999975,2022-09-22 18:10:00+00:00,H2_ARRIVAL,2022-09-22 18:35:00+00:00,2022-09-22 18:35:00+00:00,5,270.03,2022-09-22 18:15:00+00:00,0.19047619047619538,0.8095238095238046,True,True,2022-09-22 18:10:00+00:00,2022-09-22 18:15:00+00:00,5.0,True,2022-09-22 18:10:00+00:00,2022-09-22 18:15:00+00:00,5.0,True,2022-09-22 18:10:00+00:00,2022-09-22 18:15:00+00:00,5.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-09-28,development,NORMAL_6H30,274.23,267.52,6.710000000000036,2022-09-28 14:10:00+00:00,H2_ARRIVAL,2022-09-28 14:20:00+00:00,2022-09-28 14:20:00+00:00,2,273.07,2022-09-28 14:10:00+00:00,0.1728763040238478,0.8271236959761522,True,True,2022-09-28 14:10:00+00:00,2022-09-28 14:15:00+00:00,5.0,True,2022-09-28 14:10:00+00:00,2022-09-28 14:15:00+00:00,5.0,True,2022-09-28 14:10:00+00:00,2022-09-28 14:15:00+00:00,5.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-10-13,development,NORMAL_6H30,266.17,255.0,11.170000000000016,2022-10-13 15:30:00+00:00,H2_ARRIVAL,2022-10-13 15:35:00+00:00,2022-10-13 15:35:00+00:00,1,265.31,2022-10-13 15:30:00+00:00,0.07699194270367166,0.9230080572963283,True,True,2022-10-13 15:30:00+00:00,2022-10-13 15:35:00+00:00,5.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-10-19,development,NORMAL_6H30,272.03,270.2,1.829999999999984,2022-10-19 13:50:00+00:00,H2_ARRIVAL,2022-10-19 14:10:00+00:00,2022-10-19 14:10:00+00:00,4,270.49,2022-10-19 13:50:00+00:00,0.8415300546447961,0.1584699453552038,True,True,2022-10-19 13:50:00+00:00,2022-10-19 13:55:00+00:00,5.0,True,2022-10-19 13:50:00+00:00,2022-10-19 13:55:00+00:00,5.0,True,2022-10-19 13:50:00+00:00,2022-10-19 13:55:00+00:00,5.0,True,2022-10-19 13:50:00+00:00,2022-10-19 13:55:00+00:00,5.0,True,2022-10-19 13:50:00+00:00,2022-10-19 13:55:00+00:00,5.0,True,2022-10-19 13:50:00+00:00,2022-10-19 13:55:00+00:00,5.0,True,2022-10-19 13:50:00+00:00,2022-10-19 13:55:00+00:00,5.0,True,2022-10-19 13:50:00+00:00,2022-10-19 13:55:00+00:00,5.0,True,2022-10-19 13:50:00+00:00,2022-10-19 13:55:00+00:00,5.0,True,2022-10-19 13:50:00+00:00,2022-10-19 13:55:00+00:00,5.0,True,2022-10-19 13:50:00+00:00,2022-10-19 13:55:00+00:00,5.0,True,2022-10-19 13:50:00+00:00,2022-10-19 13:55:00+00:00,5.0,True,2022-10-19 13:50:00+00:00,2022-10-19 13:55:00+00:00,5.0
2022-11-10,development,NORMAL_6H30,303.88,270.9,32.98000000000002,2022-11-10 14:40:00+00:00,H2_ARRIVAL,2022-11-10 14:50:00+00:00,2022-11-10 14:50:00+00:00,2,299.45,2022-11-10 14:40:00+00:00,0.13432383262583397,0.8656761673741661,True,True,2022-11-10 14:40:00+00:00,2022-11-10 14:45:00+00:00,5.0,True,2022-11-10 14:40:00+00:00,2022-11-10 14:45:00+00:00,5.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-11-21,development,NORMAL_6H30,262.21,255.34,6.869999999999976,2022-11-21 14:40:00+00:00,H2_ARRIVAL,2022-11-21 14:45:00+00:00,2022-11-21 14:45:00+00:00,1,261.24,2022-11-21 14:40:00+00:00,0.14119359534206313,0.8588064046579369,True,True,2022-11-21 14:40:00+00:00,2022-11-21 14:45:00+00:00,5.0,True,2022-11-21 14:40:00+00:00,2022-11-21 14:45:00+00:00,5.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-11-23,development,NORMAL_6H30,300.95,275.35,25.599999999999966,2022-11-23 19:15:00+00:00,NO_H2_BY_END,,2022-11-23 21:00:00+00:00,21,294.54,2022-11-23 20:00:00+00:00,0.2503906249999991,0.7496093750000009,False,True,2022-11-23 19:15:00+00:00,2022-11-23 19:20:00+00:00,5.0,True,2022-11-23 19:15:00+00:00,2022-11-23 19:20:00+00:00,5.0,True,2022-11-23 19:15:00+00:00,2022-11-23 19:20:00+00:00,5.0,True,2022-11-23 19:25:00+00:00,2022-11-23 19:30:00+00:00,15.0,True,2022-11-23 20:00:00+00:00,2022-11-23 20:05:00+00:00,50.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
2022-12-20,development,NORMAL_6H30,250.12,246.77,3.3499999999999943,2022-12-20 14:50:00+00:00,H2_ARRIVAL,2022-12-20 14:55:00+00:00,2022-12-20 14:55:00+00:00,1,247.44,2022-12-20 14:50:00+00:00,0.8000000000000034,0.1999999999999966,True,True,2022-12-20 14:50:00+00:00,2022-12-20 14:55:00+00:00,5.0,True,2022-12-20 14:50:00+00:00,2022-12-20 14:55:00+00:00,5.0,True,2022-12-20 14:50:00+00:00,2022-12-20 14:55:00+00:00,5.0,True,2022-12-20 14:50:00+00:00,2022-12-20 14:55:00+00:00,5.0,True,2022-12-20 14:50:00+00:00,2022-12-20 14:55:00+00:00,5.0,True,2022-12-20 14:50:00+00:00,2022-12-20 14:55:00+00:00,5.0,True,2022-12-20 14:50:00+00:00,2022-12-20 14:55:00+00:00,5.0,True,2022-12-20 14:50:00+00:00,2022-12-20 14:55:00+00:00,5.0,True,2022-12-20 14:50:00+00:00,2022-12-20 14:55:00+00:00,5.0,True,2022-12-20 14:50:00+00:00,2022-12-20 14:55:00+00:00,5.0,True,2022-12-20 14:50:00+00:00,2022-12-20 14:55:00+00:00,5.0,True,2022-12-20 14:50:00+00:00,2022-12-20 14:55:00+00:00,5.0,True,2022-12-20 14:50:00+00:00,2022-12-20 14:55:00+00:00,5.0
