partition,side,swing_level_ts,swing_level,retest_ts,entry_ts,entry_px,stop_px,target_px,risk_pct,resolved,exit_ts,exit_px,gross_return,net_pnl_usd,exit_reason,hold_minutes
external,LONG,2020-12-17 08:00:00+00:00,23888.04,2020-12-19 16:00:00+00:00,2020-12-19 20:00:00+00:00,23825.05,23474.67,24525.81,0.014706369976138603,True,2020-12-20 00:20:00+00:00,23474.67,-0.014706369976138611,-7.753184988069306,SL,260.0
external,LONG,2020-12-26 00:00:00+00:00,25071.0,2020-12-26 08:00:00+00:00,2020-12-26 12:00:00+00:00,24843.81,24552.0,25427.430000000004,0.011745782953580844,True,2020-12-26 14:50:00+00:00,25427.430000000004,0.023491565907161727,11.345782953580864,TP_2R,170.0
external,LONG,2020-12-27 08:00:00+00:00,28459.84,2020-12-30 04:00:00+00:00,2020-12-30 08:00:00+00:00,28437.38,27758.33,29795.48,0.023878782081893594,True,2020-12-30 08:25:00+00:00,27758.33,-0.023878782081893646,-12.339391040946824,SL,25.0
external,LONG,2020-12-31 00:00:00+00:00,29376.7,2021-01-01 00:00:00+00:00,2021-01-01 04:00:00+00:00,29302.11,28706.0,30494.33,0.02034358617860627,True,2021-01-01 18:45:00+00:00,28706.0,-0.02034358617860632,-10.571793089303162,SL,885.0
external,LONG,2021-01-03 04:00:00+00:00,34832.25,2021-01-06 04:00:00+00:00,2021-01-06 08:00:00+00:00,34716.88,34173.2,35804.24,0.01566039344549396,True,2021-01-06 08:30:00+00:00,34173.2,-0.01566039344549397,-8.230196722746985,SL,30.0
external,LONG,2021-02-09 04:00:00+00:00,48266.36,2021-02-11 12:00:00+00:00,2021-02-11 16:00:00+00:00,48069.65,46135.7,51937.55000000001,0.04023224633422553,True,2021-02-12 14:45:00+00:00,46135.7,-0.04023224633422551,-20.516123167112752,SL,1365.0
external,LONG,2021-02-14 04:00:00+00:00,49545.64,2021-02-14 12:00:00+00:00,2021-02-14 16:00:00+00:00,48630.08,48200.0,49490.240000000005,0.008843908955115882,True,2021-02-15 01:20:00+00:00,48200.0,-0.008843908955115887,-4.821954477557943,SL,560.0
external,LONG,2021-02-16 04:00:00+00:00,50298.0,2021-02-16 12:00:00+00:00,2021-02-16 16:00:00+00:00,49036.02,48331.82,50444.41999999999,0.014360871865212493,True,2021-02-16 16:55:00+00:00,48331.82,-0.01436087186521251,-7.580435932606255,SL,55.0
external,LONG,2021-02-20 00:00:00+00:00,56766.66,2021-02-20 12:00:00+00:00,2021-02-20 16:00:00+00:00,56231.96,55824.39,57047.1,0.007248013407322095,True,2021-02-20 16:40:00+00:00,57047.1,0.014496026814644125,6.848013407322062,TP_2R,40.0
external,LONG,2021-02-20 12:00:00+00:00,57699.0,2021-02-21 08:00:00+00:00,2021-02-21 12:00:00+00:00,57414.45,55917.51,60408.32999999999,0.026072530521497553,True,2021-02-22 03:50:00+00:00,55917.51,-0.026072530521497606,-13.436265260748803,SL,950.0
