partition,transition,date_utc,previous_session_start,previous_session_end,active_session_start,active_session_end,previous_session_high,previous_session_low,breakout_side,breakout_bar_start,breakout_ts,level,visit_no,visit_bar_start,visit_ts,same_visits_at_event,opp_visits_at_event
external,LONDON_TO_NEWYORK,2020-01-23,2020-01-23 08:00:00+00:00,2020-01-23 13:30:00+00:00,2020-01-23 13:30:00+00:00,2020-01-23 20:00:00+00:00,8625.0,8374.0,LOW,2020-01-23 13:50:00+00:00,2020-01-23 13:55:00+00:00,LOW,1,2020-01-23 13:35:00+00:00,2020-01-23 13:40:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-01-23,2020-01-23 08:00:00+00:00,2020-01-23 13:30:00+00:00,2020-01-23 13:30:00+00:00,2020-01-23 20:00:00+00:00,8625.0,8374.0,LOW,2020-01-23 13:50:00+00:00,2020-01-23 13:55:00+00:00,LOW,2,2020-01-23 13:45:00+00:00,2020-01-23 13:50:00+00:00,2,0
external,LONDON_TO_NEWYORK,2020-01-27,2020-01-27 08:00:00+00:00,2020-01-27 13:30:00+00:00,2020-01-27 13:30:00+00:00,2020-01-27 20:00:00+00:00,8764.0,8565.0,HIGH,2020-01-27 13:35:00+00:00,2020-01-27 13:40:00+00:00,HIGH,1,2020-01-27 13:30:00+00:00,2020-01-27 13:35:00+00:00,1,0
external,ASIA_TO_LONDON,2020-01-29,2020-01-29 00:00:00+00:00,2020-01-29 08:00:00+00:00,2020-01-29 08:00:00+00:00,2020-01-29 13:30:00+00:00,9450.0,9291.5,LOW,2020-01-29 11:25:00+00:00,2020-01-29 11:30:00+00:00,LOW,1,2020-01-29 10:00:00+00:00,2020-01-29 10:05:00+00:00,1,0
external,ASIA_TO_LONDON,2020-01-29,2020-01-29 00:00:00+00:00,2020-01-29 08:00:00+00:00,2020-01-29 08:00:00+00:00,2020-01-29 13:30:00+00:00,9450.0,9291.5,LOW,2020-01-29 11:25:00+00:00,2020-01-29 11:30:00+00:00,LOW,2,2020-01-29 11:05:00+00:00,2020-01-29 11:10:00+00:00,2,0
external,ASIA_TO_LONDON,2020-01-29,2020-01-29 00:00:00+00:00,2020-01-29 08:00:00+00:00,2020-01-29 08:00:00+00:00,2020-01-29 13:30:00+00:00,9450.0,9291.5,LOW,2020-01-29 11:25:00+00:00,2020-01-29 11:30:00+00:00,LOW,3,2020-01-29 11:20:00+00:00,2020-01-29 11:25:00+00:00,3,0
external,ASIA_TO_LONDON,2020-01-30,2020-01-30 00:00:00+00:00,2020-01-30 08:00:00+00:00,2020-01-30 08:00:00+00:00,2020-01-30 13:30:00+00:00,9406.0,9210.42,,,,HIGH,1,2020-01-30 08:10:00+00:00,2020-01-30 08:15:00+00:00,1,0
external,ASIA_TO_LONDON,2020-01-30,2020-01-30 00:00:00+00:00,2020-01-30 08:00:00+00:00,2020-01-30 08:00:00+00:00,2020-01-30 13:30:00+00:00,9406.0,9210.42,,,,HIGH,2,2020-01-30 12:40:00+00:00,2020-01-30 12:45:00+00:00,2,0
external,LONDON_TO_NEWYORK,2020-01-30,2020-01-30 08:00:00+00:00,2020-01-30 13:30:00+00:00,2020-01-30 13:30:00+00:00,2020-01-30 20:00:00+00:00,9415.2,9322.12,HIGH,2020-01-30 16:20:00+00:00,2020-01-30 16:25:00+00:00,HIGH,1,2020-01-30 14:00:00+00:00,2020-01-30 14:05:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-01-30,2020-01-30 08:00:00+00:00,2020-01-30 13:30:00+00:00,2020-01-30 13:30:00+00:00,2020-01-30 20:00:00+00:00,9415.2,9322.12,HIGH,2020-01-30 16:20:00+00:00,2020-01-30 16:25:00+00:00,LOW,1,2020-01-30 14:05:00+00:00,2020-01-30 14:10:00+00:00,1,1
external,LONDON_TO_NEWYORK,2020-01-30,2020-01-30 08:00:00+00:00,2020-01-30 13:30:00+00:00,2020-01-30 13:30:00+00:00,2020-01-30 20:00:00+00:00,9415.2,9322.12,HIGH,2020-01-30 16:20:00+00:00,2020-01-30 16:25:00+00:00,HIGH,2,2020-01-30 16:15:00+00:00,2020-01-30 16:20:00+00:00,2,1
external,ASIA_TO_LONDON,2020-01-31,2020-01-31 00:00:00+00:00,2020-01-31 08:00:00+00:00,2020-01-31 08:00:00+00:00,2020-01-31 13:30:00+00:00,9550.72,9328.22,LOW,2020-01-31 11:00:00+00:00,2020-01-31 11:05:00+00:00,LOW,1,2020-01-31 10:45:00+00:00,2020-01-31 10:50:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-02-03,2020-02-03 08:00:00+00:00,2020-02-03 13:30:00+00:00,2020-02-03 13:30:00+00:00,2020-02-03 20:00:00+00:00,9407.0,9304.0,LOW,2020-02-03 15:50:00+00:00,2020-02-03 15:55:00+00:00,LOW,1,2020-02-03 15:25:00+00:00,2020-02-03 15:30:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-02-03,2020-02-03 08:00:00+00:00,2020-02-03 13:30:00+00:00,2020-02-03 13:30:00+00:00,2020-02-03 20:00:00+00:00,9407.0,9304.0,LOW,2020-02-03 15:50:00+00:00,2020-02-03 15:55:00+00:00,LOW,2,2020-02-03 15:45:00+00:00,2020-02-03 15:50:00+00:00,2,0
external,ASIA_TO_LONDON,2020-02-04,2020-02-04 00:00:00+00:00,2020-02-04 08:00:00+00:00,2020-02-04 08:00:00+00:00,2020-02-04 13:30:00+00:00,9368.0,9226.4,LOW,2020-02-04 09:20:00+00:00,2020-02-04 09:25:00+00:00,LOW,1,2020-02-04 09:15:00+00:00,2020-02-04 09:20:00+00:00,1,0
external,ASIA_TO_LONDON,2020-02-06,2020-02-06 00:00:00+00:00,2020-02-06 08:00:00+00:00,2020-02-06 08:00:00+00:00,2020-02-06 13:30:00+00:00,9705.0,9550.0,HIGH,2020-02-06 11:50:00+00:00,2020-02-06 11:55:00+00:00,HIGH,1,2020-02-06 10:45:00+00:00,2020-02-06 10:50:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-02-12,2020-02-12 08:00:00+00:00,2020-02-12 13:30:00+00:00,2020-02-12 13:30:00+00:00,2020-02-12 20:00:00+00:00,10395.0,10235.52,HIGH,2020-02-12 14:00:00+00:00,2020-02-12 14:05:00+00:00,HIGH,1,2020-02-12 13:30:00+00:00,2020-02-12 13:35:00+00:00,1,0
external,ASIA_TO_LONDON,2020-02-17,2020-02-17 00:00:00+00:00,2020-02-17 08:00:00+00:00,2020-02-17 08:00:00+00:00,2020-02-17 13:30:00+00:00,9971.0,9720.23,LOW,2020-02-17 10:45:00+00:00,2020-02-17 10:50:00+00:00,LOW,1,2020-02-17 10:25:00+00:00,2020-02-17 10:30:00+00:00,1,0
external,ASIA_TO_LONDON,2020-02-19,2020-02-19 00:00:00+00:00,2020-02-19 08:00:00+00:00,2020-02-19 08:00:00+00:00,2020-02-19 13:30:00+00:00,10198.88,10037.26,HIGH,2020-02-19 11:55:00+00:00,2020-02-19 12:00:00+00:00,LOW,1,2020-02-19 08:05:00+00:00,2020-02-19 08:10:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-02-24,2020-02-24 08:00:00+00:00,2020-02-24 13:30:00+00:00,2020-02-24 13:30:00+00:00,2020-02-24 20:00:00+00:00,9848.2,9702.0,LOW,2020-02-24 16:45:00+00:00,2020-02-24 16:50:00+00:00,LOW,1,2020-02-24 15:45:00+00:00,2020-02-24 15:50:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-02-24,2020-02-24 08:00:00+00:00,2020-02-24 13:30:00+00:00,2020-02-24 13:30:00+00:00,2020-02-24 20:00:00+00:00,9848.2,9702.0,LOW,2020-02-24 16:45:00+00:00,2020-02-24 16:50:00+00:00,LOW,2,2020-02-24 16:15:00+00:00,2020-02-24 16:20:00+00:00,2,0
external,ASIA_TO_LONDON,2020-02-25,2020-02-25 00:00:00+00:00,2020-02-25 08:00:00+00:00,2020-02-25 08:00:00+00:00,2020-02-25 13:30:00+00:00,9680.0,9497.5,,,,HIGH,1,2020-02-25 12:00:00+00:00,2020-02-25 12:05:00+00:00,1,0
external,ASIA_TO_LONDON,2020-02-26,2020-02-26 00:00:00+00:00,2020-02-26 08:00:00+00:00,2020-02-26 08:00:00+00:00,2020-02-26 13:30:00+00:00,9384.0,9117.71,,,,LOW,1,2020-02-26 08:30:00+00:00,2020-02-26 08:35:00+00:00,1,0
external,ASIA_TO_LONDON,2020-02-26,2020-02-26 00:00:00+00:00,2020-02-26 08:00:00+00:00,2020-02-26 08:00:00+00:00,2020-02-26 13:30:00+00:00,9384.0,9117.71,,,,LOW,2,2020-02-26 12:05:00+00:00,2020-02-26 12:10:00+00:00,2,0
external,LONDON_TO_NEWYORK,2020-02-26,2020-02-26 08:00:00+00:00,2020-02-26 13:30:00+00:00,2020-02-26 13:30:00+00:00,2020-02-26 20:00:00+00:00,9300.0,9016.66,LOW,2020-02-26 14:20:00+00:00,2020-02-26 14:25:00+00:00,LOW,1,2020-02-26 14:00:00+00:00,2020-02-26 14:05:00+00:00,1,0
external,ASIA_TO_LONDON,2020-02-27,2020-02-27 00:00:00+00:00,2020-02-27 08:00:00+00:00,2020-02-27 08:00:00+00:00,2020-02-27 13:30:00+00:00,8836.56,8533.9,HIGH,2020-02-27 08:20:00+00:00,2020-02-27 08:25:00+00:00,HIGH,1,2020-02-27 08:15:00+00:00,2020-02-27 08:20:00+00:00,1,0
external,ASIA_TO_LONDON,2020-03-02,2020-03-02 00:00:00+00:00,2020-03-02 08:00:00+00:00,2020-03-02 08:00:00+00:00,2020-03-02 13:30:00+00:00,8704.35,8504.95,HIGH,2020-03-02 09:40:00+00:00,2020-03-02 09:45:00+00:00,HIGH,1,2020-03-02 09:35:00+00:00,2020-03-02 09:40:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-03-03,2020-03-03 08:00:00+00:00,2020-03-03 13:30:00+00:00,2020-03-03 13:30:00+00:00,2020-03-03 20:00:00+00:00,8907.0,8737.07,LOW,2020-03-03 14:30:00+00:00,2020-03-03 14:35:00+00:00,LOW,1,2020-03-03 14:05:00+00:00,2020-03-03 14:10:00+00:00,1,0
external,ASIA_TO_LONDON,2020-03-04,2020-03-04 00:00:00+00:00,2020-03-04 08:00:00+00:00,2020-03-04 08:00:00+00:00,2020-03-04 13:30:00+00:00,8853.88,8731.08,LOW,2020-03-04 11:10:00+00:00,2020-03-04 11:15:00+00:00,LOW,1,2020-03-04 10:00:00+00:00,2020-03-04 10:05:00+00:00,1,0
external,ASIA_TO_LONDON,2020-03-06,2020-03-06 00:00:00+00:00,2020-03-06 08:00:00+00:00,2020-03-06 08:00:00+00:00,2020-03-06 13:30:00+00:00,9145.6,8994.14,HIGH,2020-03-06 10:55:00+00:00,2020-03-06 11:00:00+00:00,HIGH,1,2020-03-06 10:40:00+00:00,2020-03-06 10:45:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-03-09,2020-03-09 08:00:00+00:00,2020-03-09 13:30:00+00:00,2020-03-09 13:30:00+00:00,2020-03-09 20:00:00+00:00,7996.28,7762.06,LOW,2020-03-09 13:45:00+00:00,2020-03-09 13:50:00+00:00,LOW,1,2020-03-09 13:35:00+00:00,2020-03-09 13:40:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-03-11,2020-03-11 08:00:00+00:00,2020-03-11 13:30:00+00:00,2020-03-11 13:30:00+00:00,2020-03-11 20:00:00+00:00,7930.0,7758.18,LOW,2020-03-11 15:45:00+00:00,2020-03-11 15:50:00+00:00,LOW,1,2020-03-11 15:35:00+00:00,2020-03-11 15:40:00+00:00,1,0
external,ASIA_TO_LONDON,2020-03-12,2020-03-12 00:00:00+00:00,2020-03-12 08:00:00+00:00,2020-03-12 08:00:00+00:00,2020-03-12 13:30:00+00:00,7969.0,7340.0,LOW,2020-03-12 10:10:00+00:00,2020-03-12 10:15:00+00:00,LOW,1,2020-03-12 08:05:00+00:00,2020-03-12 08:10:00+00:00,1,0
external,ASIA_TO_LONDON,2020-03-12,2020-03-12 00:00:00+00:00,2020-03-12 08:00:00+00:00,2020-03-12 08:00:00+00:00,2020-03-12 13:30:00+00:00,7969.0,7340.0,LOW,2020-03-12 10:10:00+00:00,2020-03-12 10:15:00+00:00,LOW,2,2020-03-12 08:15:00+00:00,2020-03-12 08:20:00+00:00,2,0
external,ASIA_TO_LONDON,2020-03-12,2020-03-12 00:00:00+00:00,2020-03-12 08:00:00+00:00,2020-03-12 08:00:00+00:00,2020-03-12 13:30:00+00:00,7969.0,7340.0,LOW,2020-03-12 10:10:00+00:00,2020-03-12 10:15:00+00:00,LOW,3,2020-03-12 09:15:00+00:00,2020-03-12 09:20:00+00:00,3,0
external,ASIA_TO_LONDON,2020-03-12,2020-03-12 00:00:00+00:00,2020-03-12 08:00:00+00:00,2020-03-12 08:00:00+00:00,2020-03-12 13:30:00+00:00,7969.0,7340.0,LOW,2020-03-12 10:10:00+00:00,2020-03-12 10:15:00+00:00,LOW,4,2020-03-12 10:00:00+00:00,2020-03-12 10:05:00+00:00,4,0
external,LONDON_TO_NEWYORK,2020-03-16,2020-03-16 08:00:00+00:00,2020-03-16 13:30:00+00:00,2020-03-16 13:30:00+00:00,2020-03-16 20:00:00+00:00,4949.0,4413.62,HIGH,2020-03-16 14:30:00+00:00,2020-03-16 14:35:00+00:00,HIGH,1,2020-03-16 14:25:00+00:00,2020-03-16 14:30:00+00:00,1,0
external,ASIA_TO_LONDON,2020-03-17,2020-03-17 00:00:00+00:00,2020-03-17 08:00:00+00:00,2020-03-17 08:00:00+00:00,2020-03-17 13:30:00+00:00,5416.08,4913.49,,,,HIGH,1,2020-03-17 08:15:00+00:00,2020-03-17 08:20:00+00:00,1,0
external,ASIA_TO_LONDON,2020-03-18,2020-03-18 00:00:00+00:00,2020-03-18 08:00:00+00:00,2020-03-18 08:00:00+00:00,2020-03-18 13:30:00+00:00,5435.0,5091.5,LOW,2020-03-18 10:05:00+00:00,2020-03-18 10:10:00+00:00,LOW,1,2020-03-18 08:05:00+00:00,2020-03-18 08:10:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-03-18,2020-03-18 08:00:00+00:00,2020-03-18 13:30:00+00:00,2020-03-18 13:30:00+00:00,2020-03-18 20:00:00+00:00,5249.18,4982.75,HIGH,2020-03-18 13:50:00+00:00,2020-03-18 13:55:00+00:00,HIGH,1,2020-03-18 13:30:00+00:00,2020-03-18 13:35:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-03-24,2020-03-24 08:00:00+00:00,2020-03-24 13:30:00+00:00,2020-03-24 13:30:00+00:00,2020-03-24 20:00:00+00:00,6840.0,6500.68,LOW,2020-03-24 15:15:00+00:00,2020-03-24 15:20:00+00:00,LOW,1,2020-03-24 15:05:00+00:00,2020-03-24 15:10:00+00:00,1,0
external,ASIA_TO_LONDON,2020-03-25,2020-03-25 00:00:00+00:00,2020-03-25 08:00:00+00:00,2020-03-25 08:00:00+00:00,2020-03-25 13:30:00+00:00,6740.98,6522.34,HIGH,2020-03-25 08:55:00+00:00,2020-03-25 09:00:00+00:00,HIGH,1,2020-03-25 08:25:00+00:00,2020-03-25 08:30:00+00:00,1,0
external,ASIA_TO_LONDON,2020-03-27,2020-03-27 00:00:00+00:00,2020-03-27 08:00:00+00:00,2020-03-27 08:00:00+00:00,2020-03-27 13:30:00+00:00,6840.0,6613.38,LOW,2020-03-27 13:05:00+00:00,2020-03-27 13:10:00+00:00,LOW,1,2020-03-27 10:05:00+00:00,2020-03-27 10:10:00+00:00,1,0
external,ASIA_TO_LONDON,2020-03-27,2020-03-27 00:00:00+00:00,2020-03-27 08:00:00+00:00,2020-03-27 08:00:00+00:00,2020-03-27 13:30:00+00:00,6840.0,6613.38,LOW,2020-03-27 13:05:00+00:00,2020-03-27 13:10:00+00:00,LOW,2,2020-03-27 12:00:00+00:00,2020-03-27 12:05:00+00:00,2,0
external,LONDON_TO_NEWYORK,2020-03-27,2020-03-27 08:00:00+00:00,2020-03-27 13:30:00+00:00,2020-03-27 13:30:00+00:00,2020-03-27 20:00:00+00:00,6699.0,6579.0,,,,LOW,1,2020-03-27 13:45:00+00:00,2020-03-27 13:50:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-03-27,2020-03-27 08:00:00+00:00,2020-03-27 13:30:00+00:00,2020-03-27 13:30:00+00:00,2020-03-27 20:00:00+00:00,6699.0,6579.0,,,,LOW,2,2020-03-27 14:00:00+00:00,2020-03-27 14:05:00+00:00,2,0
external,LONDON_TO_NEWYORK,2020-04-01,2020-04-01 08:00:00+00:00,2020-04-01 13:30:00+00:00,2020-04-01 13:30:00+00:00,2020-04-01 20:00:00+00:00,6337.0,6180.0,LOW,2020-04-01 16:35:00+00:00,2020-04-01 16:40:00+00:00,LOW,1,2020-04-01 13:35:00+00:00,2020-04-01 13:40:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-04-01,2020-04-01 08:00:00+00:00,2020-04-01 13:30:00+00:00,2020-04-01 13:30:00+00:00,2020-04-01 20:00:00+00:00,6337.0,6180.0,LOW,2020-04-01 16:35:00+00:00,2020-04-01 16:40:00+00:00,LOW,2,2020-04-01 16:00:00+00:00,2020-04-01 16:05:00+00:00,2,0
external,LONDON_TO_NEWYORK,2020-04-02,2020-04-02 08:00:00+00:00,2020-04-02 13:30:00+00:00,2020-04-02 13:30:00+00:00,2020-04-02 20:00:00+00:00,6728.2,6600.0,HIGH,2020-04-02 14:40:00+00:00,2020-04-02 14:45:00+00:00,HIGH,1,2020-04-02 14:35:00+00:00,2020-04-02 14:40:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-04-03,2020-04-03 08:00:00+00:00,2020-04-03 13:30:00+00:00,2020-04-03 13:30:00+00:00,2020-04-03 20:00:00+00:00,7049.11,6835.0,LOW,2020-04-03 14:00:00+00:00,2020-04-03 14:05:00+00:00,LOW,1,2020-04-03 13:55:00+00:00,2020-04-03 14:00:00+00:00,1,0
external,ASIA_TO_LONDON,2020-04-06,2020-04-06 00:00:00+00:00,2020-04-06 08:00:00+00:00,2020-04-06 08:00:00+00:00,2020-04-06 13:30:00+00:00,7100.0,6760.0,HIGH,2020-04-06 09:25:00+00:00,2020-04-06 09:30:00+00:00,HIGH,1,2020-04-06 09:15:00+00:00,2020-04-06 09:20:00+00:00,1,0
external,ASIA_TO_LONDON,2020-04-07,2020-04-07 00:00:00+00:00,2020-04-07 08:00:00+00:00,2020-04-07 08:00:00+00:00,2020-04-07 13:30:00+00:00,7450.0,7221.5,,,,HIGH,1,2020-04-07 12:25:00+00:00,2020-04-07 12:30:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-04-08,2020-04-08 08:00:00+00:00,2020-04-08 13:30:00+00:00,2020-04-08 13:30:00+00:00,2020-04-08 20:00:00+00:00,7343.46,7210.46,,,,LOW,1,2020-04-08 13:55:00+00:00,2020-04-08 14:00:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-04-08,2020-04-08 08:00:00+00:00,2020-04-08 13:30:00+00:00,2020-04-08 13:30:00+00:00,2020-04-08 20:00:00+00:00,7343.46,7210.46,,,,HIGH,1,2020-04-08 17:15:00+00:00,2020-04-08 17:20:00+00:00,1,1
external,LONDON_TO_NEWYORK,2020-04-09,2020-04-09 08:00:00+00:00,2020-04-09 13:30:00+00:00,2020-04-09 13:30:00+00:00,2020-04-09 20:00:00+00:00,7345.0,7105.98,,,,HIGH,1,2020-04-09 14:00:00+00:00,2020-04-09 14:05:00+00:00,1,0
external,ASIA_TO_LONDON,2020-04-10,2020-04-10 00:00:00+00:00,2020-04-10 08:00:00+00:00,2020-04-10 08:00:00+00:00,2020-04-10 13:30:00+00:00,7290.0,6860.0,,,,LOW,1,2020-04-10 09:45:00+00:00,2020-04-10 09:50:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-04-17,2020-04-17 08:00:00+00:00,2020-04-17 13:30:00+00:00,2020-04-17 13:30:00+00:00,2020-04-17 20:00:00+00:00,7122.64,7013.33,,,,LOW,1,2020-04-17 13:30:00+00:00,2020-04-17 13:35:00+00:00,1,0
external,LONDON_TO_NEWYORK,2020-04-17,2020-04-17 08:00:00+00:00,2020-04-17 13:30:00+00:00,2020-04-17 13:30:00+00:00,2020-04-17 20:00:00+00:00,7122.64,7013.33,,,,LOW,2,2020-04-17 14:35:00+00:00,2020-04-17 14:40:00+00:00,2,0
external,LONDON_TO_NEWYORK,2020-04-17,2020-04-17 08:00:00+00:00,2020-04-17 13:30:00+00:00,2020-04-17 13:30:00+00:00,2020-04-17 20:00:00+00:00,7122.64,7013.33,,,,LOW,3,2020-04-17 14:45:00+00:00,2020-04-17 14:50:00+00:00,3,0
external,LONDON_TO_NEWYORK,2020-04-17,2020-04-17 08:00:00+00:00,2020-04-17 13:30:00+00:00,2020-04-17 13:30:00+00:00,2020-04-17 20:00:00+00:00,7122.64,7013.33,,,,LOW,4,2020-04-17 15:00:00+00:00,2020-04-17 15:05:00+00:00,4,0
external,ASIA_TO_LONDON,2020-04-21,2020-04-21 00:00:00+00:00,2020-04-21 08:00:00+00:00,2020-04-21 08:00:00+00:00,2020-04-21 13:30:00+00:00,6912.0,6809.48,LOW,2020-04-21 09:35:00+00:00,2020-04-21 09:40:00+00:00,LOW,1,2020-04-21 09:25:00+00:00,2020-04-21 09:30:00+00:00,1,0
