hour_wib,character_rule,component_size,component_cells,positive_halo,positive_exp_cells,wr_min,wr_mean,exp_floor,exp_mean,pf_median,dd_max,ls_max
15,DRIVE_UP__STR_B20_40,2,LB120/H120;LB120/H240,0,2,0.550561797752809,0.5617977528089888,0.8630222207775768,1.071596697129911,1.5282414398742379,54.07279523270239,8
15,DRIVE_DOWN__EFF_MID,3,LB120/H240;LB180/H120;LB180/H240,0,3,0.5586206896551724,0.5611161524500907,0.7450787452948642,1.8771129373265822,1.6405281781736545,114.37154789811092,9
16,EFF_LOW__RV_LOW,3,LB60/H240;LB120/H240;LB180/H240,1,3,0.552,0.592526743474147,1.3987001737219107,1.4977127443547165,1.542732188870014,116.15571080078271,10
16,EFF_MID__RV_MID,2,LB120/H120;LB180/H120,0,2,0.5591397849462365,0.5912582041614299,0.9458204901164267,1.0999975044994372,1.6489891389934712,58.70140551174009,6
16,EFF_LOW__RANGE_LOW,3,LB60/H240;LB120/H240;LB180/H240,0,3,0.55,0.5766726958287719,0.9949616506791897,1.2777333129586492,1.530979150499718,116.15571080078274,10
16,EFF_MID__RANGE_LOW,2,LB240/H240;LB360/H240,0,2,0.5573770491803278,0.5703551912568305,1.8825177138720899,1.9954903011241416,1.9281022805760744,100.55462040824318,9
16,EFF_MID__RANGE_MID,2,LB180/H120;LB240/H120,0,2,0.5866666666666667,0.5954166666666667,0.5907957248269808,0.8535195562030785,1.4277440095499672,66.66382121737229,7
16,EFF_MID__EXT_MID,2,LB180/H120;LB180/H240,1,2,0.5614035087719298,0.5745614035087719,1.6668087513529108,3.281759854947199,2.314954178981842,80.42115339898413,5
16,RV_LOW__RANGE_MID,2,LB60/H120;LB120/H120,0,2,0.5625,0.5855978260869565,0.6987745214834937,1.0035804833106812,1.7487802924360865,51.06665036846648,5
16,DRIVE_UP__EXT_MID,2,LB360/H120;LB360/H240,0,2,0.5531914893617021,0.5567375886524824,1.1311909365401076,1.7402251522688448,1.7359925664393432,117.78534284651303,11
16,DRIVE_DOWN__RANGE_LOW,2,LB120/H240;LB180/H240,0,2,0.5974025974025974,0.6022727272727273,1.2536128234764947,1.4181201673269082,1.6473976964679293,92.88656336419275,11
16,DRIVE_DOWN__STR_B0_20,2,LB60/H240;LB120/H240,0,2,0.5862068965517241,0.5942398119122256,0.8705391082849958,1.1920869540046573,1.4119474934181468,75.1162830947037,5
16,DRIVE_DOWN__STR_B20_40,2,LB120/H240;LB180/H240,2,2,0.5569620253164557,0.5584810126582278,0.9136988029119106,1.173782344962238,1.4049854203400254,68.70287738427844,8
17,EFF_LOW__RANGE_HIGH,3,LB60/H120;LB120/H120;LB120/H240,1,3,0.5588235294117647,0.5693590869183495,7.309118550632627,7.950777211578527,3.218444329532411,124.85414720296168,8
17,EFF_LOW__EXT_MID,2,LB360/H120;LB360/H240,0,2,0.5625,0.578125,5.435508473322587,6.538672897687087,2.8478478422556384,78.23142704792662,6
18,EFF_LOW__RV_HIGH,3,LB240/H120;LB240/H240;LB360/H120,1,3,0.56,0.5700546448087432,1.6333813670163326,3.3423006759879237,1.9552759016931767,121.71108123207804,7
19,EFF_LOW__RV_HIGH,2,LB360/H120;LB360/H240,1,2,0.5522388059701493,0.5597014925373134,2.6691119125702625,3.9720442846077573,1.89680848753871,113.33382468737197,6
20,DRIVE_DOWN__STR_B80_100,4,LB60/H120;LB120/H120;LB180/H120;LB240/H120,1,4,0.56,0.5871832991569833,3.8714167084260716,4.906931165589546,2.0724865462922306,103.55167035270932,7
23,RV_MID__RANGE_LOW,2,LB360/H240;LB360/H360,1,2,0.6,0.60625,1.3485616473614637,1.480479283139565,1.4705759393067914,87.83311919023362,9
