source_tf,level_type,mode,partition,candidate_n,raw_wr,coverage,weekly_wr,long_n,short_n,median_hours
H1,POC,RECLAIM,external,8823,0.39759718916468323,1.0,0.46601941747572817,4528,4295,3.0
H1,POC,RECLAIM,reference_validation,6582,0.4155271953813431,1.0,0.5185185185185185,3343,3239,6.0
H1,POC,WICK,development,8581,0.3922619741288894,1.0,0.46794871794871795,4440,4141,4.0
H1,POC,WICK,external,5933,0.39372998483060845,1.0,0.39805825242718446,3165,2768,3.0
H1,POC,WICK,reference_validation,4162,0.407015857760692,1.0,0.4691358024691358,2120,2042,6.0
H1,VAH,BODY,development,10974,0.400492072170585,1.0,0.4807692307692308,5741,5233,5.0
H1,VAH,BODY,external,7379,0.3972082938067489,1.0,0.5145631067961165,3862,3517,3.0
H1,VAH,BODY,reference_validation,5465,0.4164684354986276,1.0,0.48148148148148145,2908,2557,6.0
H1,VAH,HOLD,development,13120,0.3965701219512195,1.0,0.47435897435897434,6467,6653,4.0
H1,VAH,HOLD,external,8962,0.3957821914751172,1.0,0.5242718446601942,4420,4542,3.0
H1,VAH,HOLD,reference_validation,6583,0.411362600638007,1.0,0.5679012345679012,3306,3277,6.0
H1,VAH,RECLAIM,development,13120,0.3965701219512195,1.0,0.47435897435897434,6467,6653,4.0
H1,VAH,RECLAIM,external,8961,0.3958263586653275,1.0,0.5242718446601942,4419,4542,3.0
H1,VAH,RECLAIM,reference_validation,6583,0.411362600638007,1.0,0.5679012345679012,3306,3277,6.0
H1,VAH,WICK,development,8451,0.38977635782747605,1.0,0.44871794871794873,3906,4545,4.0
H1,VAH,WICK,external,6003,0.39346993170081623,1.0,0.49514563106796117,2875,3128,3.0
H1,VAH,WICK,reference_validation,4142,0.40294543698696283,1.0,0.4691358024691358,1917,2225,6.0
H1,VAL,BODY,development,8699,0.3984366019082653,1.0,0.46794871794871795,4079,4620,5.0
H1,VAL,BODY,external,5720,0.3931818181818182,1.0,0.4077669902912621,2636,3084,3.0
H1,VAL,BODY,reference_validation,4496,0.4150355871886121,1.0,0.5308641975308642,1980,2516,6.0
H1,VAL,HOLD,development,10862,0.40011047689191676,1.0,0.46794871794871795,5930,4932,5.0
H1,VAL,HOLD,external,7150,0.3952447552447552,1.0,0.34951456310679613,3851,3299,3.0
H1,VAL,HOLD,reference_validation,5501,0.4142883112161425,1.0,0.49382716049382713,2821,2680,6.0
H1,VAL,RECLAIM,development,10862,0.40011047689191676,1.0,0.46794871794871795,5930,4932,5.0
H1,VAL,RECLAIM,external,7150,0.3952447552447552,1.0,0.34951456310679613,3851,3299,3.0
H1,VAL,RECLAIM,reference_validation,5501,0.4142883112161425,1.0,0.49382716049382713,2821,2680,6.0
H1,VAL,WICK,development,7041,0.38872319272830563,1.0,0.4166666666666667,4498,2543,5.0
H1,VAL,WICK,external,4775,0.4,1.0,0.39805825242718446,3045,1730,3.0
H1,VAL,WICK,reference_validation,3399,0.40541335686966756,1.0,0.43209876543209874,2038,1361,6.0
H1,VWAP,BODY,development,10999,0.39994544958632605,1.0,0.46794871794871795,5590,5409,5.0
H1,VWAP,BODY,external,7365,0.3953835709436524,1.0,0.47572815533980584,3771,3594,3.0
H1,VWAP,BODY,reference_validation,5493,0.4110686328053887,1.0,0.4691358024691358,2793,2700,6.0
H1,VWAP,HOLD,development,13416,0.39840488968395943,1.0,0.4551282051282051,6828,6588,4.0
H1,VWAP,HOLD,external,9104,0.3972978910369069,1.0,0.5145631067961165,4682,4422,3.0
H1,VWAP,HOLD,reference_validation,6708,0.40816935002981514,1.0,0.5432098765432098,3441,3267,6.0
H1,VWAP,RECLAIM,development,13416,0.39840488968395943,1.0,0.4551282051282051,6828,6588,4.0
H1,VWAP,RECLAIM,external,9104,0.3972978910369069,1.0,0.5145631067961165,4682,4422,3.0
H1,VWAP,RECLAIM,reference_validation,6708,0.40816935002981514,1.0,0.5432098765432098,3441,3267,6.0
H1,VWAP,WICK,development,8748,0.3867169638774577,1.0,0.4551282051282051,4522,4226,4.0
H1,VWAP,WICK,external,6140,0.39609120521172636,1.0,0.4854368932038835,3254,2886,3.0
H1,VWAP,WICK,reference_validation,4281,0.4027096472786732,1.0,0.41975308641975306,2221,2060,6.0
H4,POC,BODY,development,4268,0.40253045923149017,1.0,0.391025641025641,2164,2104,4.0
H4,POC,BODY,external,2782,0.40222861250898634,1.0,0.3883495145631068,1401,1381,3.0
H4,POC,BODY,reference_validation,2123,0.41592086669806877,1.0,0.4567901234567901,1052,1071,6.0
H4,POC,HOLD,development,4913,0.4019947079177692,1.0,0.4230769230769231,2492,2421,4.0
H4,POC,HOLD,external,3219,0.39577508543025786,1.0,0.4563106796116505,1628,1591,3.0
H4,POC,HOLD,reference_validation,2443,0.4228407695456406,1.0,0.5308641975308642,1243,1200,6.0
H4,POC,RECLAIM,development,4913,0.4019947079177692,1.0,0.4230769230769231,2492,2421,4.0
H4,POC,RECLAIM,external,3219,0.39577508543025786,1.0,0.4563106796116505,1628,1591,3.0
H4,POC,RECLAIM,reference_validation,2443,0.4228407695456406,1.0,0.5308641975308642,1243,1200,6.0
H4,POC,WICK,development,3255,0.38894009216589864,1.0,0.41025641025641024,1660,1595,4.0
H4,POC,WICK,external,2239,0.39928539526574364,1.0,0.44660194174757284,1168,1071,3.0
H4,POC,WICK,reference_validation,1563,0.4293026231605886,1.0,0.5185185185185185,784,779,6.0
H4,VAH,BODY,development,4120,0.39975728155339807,1.0,0.4230769230769231,2098,2022,4.0
H4,VAH,BODY,external,2740,0.3948905109489051,1.0,0.4077669902912621,1363,1377,3.0
H4,VAH,BODY,reference_validation,2090,0.41291866028708135,1.0,0.3950617283950617,1075,1015,6.0
H4,VAH,HOLD,development,4738,0.3957365977205572,1.0,0.48717948717948717,2277,2461,4.0
H4,VAH,HOLD,external,3196,0.3926783479349186,1.0,0.4368932038834951,1507,1689,3.0
H4,VAH,HOLD,reference_validation,2400,0.41583333333333333,1.0,0.48148148148148145,1181,1219,6.0
H4,VAH,RECLAIM,development,4738,0.3957365977205572,1.0,0.48717948717948717,2277,2461,4.0
H4,VAH,RECLAIM,external,3196,0.3926783479349186,1.0,0.4368932038834951,1507,1689,3.0
H4,VAH,RECLAIM,reference_validation,2400,0.41583333333333333,1.0,0.48148148148148145,1181,1219,6.0
H4,VAH,WICK,development,3126,0.38611644273832374,1.0,0.4807692307692308,1401,1725,4.0
H4,VAH,WICK,external,2217,0.38791159224176813,1.0,0.44660194174757284,1000,1217,3.0
H4,VAH,WICK,reference_validation,1517,0.41727092946605143,1.0,0.4444444444444444,705,812,6.0
H4,VAL,BODY,development,3031,0.4001979544704718,1.0,0.42948717948717946,1480,1551,4.0
H4,VAL,BODY,external,1999,0.4062031015507754,1.0,0.34951456310679613,974,1025,3.0
H4,VAL,BODY,reference_validation,1580,0.41455696202531644,1.0,0.48148148148148145,721,859,5.0
H4,VAL,HOLD,development,3659,0.39655643618474995,1.0,0.48717948717948717,2016,1643,4.0
H4,VAL,HOLD,external,2411,0.40398175031107425,1.0,0.30097087378640774,1324,1087,3.0
H4,VAL,HOLD,reference_validation,1879,0.41405002660989887,1.0,0.5308641975308642,970,909,5.0
H4,VAL,RECLAIM,development,3659,0.39655643618474995,1.0,0.48717948717948717,2016,1643,4.0
H4,VAL,RECLAIM,external,2411,0.40398175031107425,1.0,0.30097087378640774,1324,1087,3.0
H4,VAL,RECLAIM,reference_validation,1879,0.41405002660989887,1.0,0.5308641975308642,970,909,5.0
H4,VAL,WICK,development,2452,0.3878466557911909,1.0,0.3782051282051282,1562,890,5.0
H4,VAL,WICK,external,1629,0.4002455494168201,1.0,0.33980582524271846,1026,603,3.0
H4,VAL,WICK,reference_validation,1196,0.41387959866220736,1.0,0.6049382716049383,712,484,6.0
H4,VWAP,BODY,development,4394,0.4062357760582613,1.0,0.4358974358974359,2199,2195,5.0
H4,VWAP,BODY,external,2789,0.4048045894585873,1.0,0.4077669902912621,1425,1364,3.0
H4,VWAP,BODY,reference_validation,2135,0.4276346604215457,1.0,0.41975308641975306,1087,1048,5.0
H4,VWAP,HOLD,development,5132,0.4090023382696804,1.0,0.4807692307692308,2575,2557,5.0
H4,VWAP,HOLD,external,3303,0.40811383590675143,1.0,0.39805825242718446,1697,1606,3.0
H4,VWAP,HOLD,reference_validation,2505,0.43353293413173655,1.0,0.35802469135802467,1291,1214,5.0
H4,VWAP,RECLAIM,development,5132,0.4090023382696804,1.0,0.4807692307692308,2575,2557,5.0
H4,VWAP,RECLAIM,external,3303,0.40811383590675143,1.0,0.39805825242718446,1697,1606,3.0
H4,VWAP,RECLAIM,reference_validation,2505,0.43353293413173655,1.0,0.35802469135802467,1291,1214,5.0
H4,VWAP,WICK,development,3365,0.40148588410104014,1.0,0.44871794871794873,1706,1659,4.0
H4,VWAP,WICK,external,2237,0.41350022351363436,1.0,0.39805825242718446,1190,1047,3.0
H4,VWAP,WICK,reference_validation,1585,0.44227129337539434,1.0,0.3950617283950617,804,781,6.0
W1,POC,BODY,development,191,0.387434554973822,0.6666666666666666,0.41346153846153844,98,93,4.0
W1,POC,BODY,external,131,0.3969465648854962,0.6893203883495146,0.4084507042253521,64,67,3.0
W1,POC,BODY,reference_validation,93,0.40860215053763443,0.6296296296296297,0.4117647058823529,45,48,4.0
W1,POC,HOLD,development,198,0.3838383838383838,0.6923076923076923,0.4444444444444444,101,97,5.0
W1,POC,HOLD,external,135,0.3925925925925926,0.6990291262135923,0.4027777777777778,66,69,3.0
W1,POC,HOLD,reference_validation,99,0.45454545454545453,0.654320987654321,0.5094339622641509,50,49,4.0
W1,POC,RECLAIM,development,198,0.3838383838383838,0.6923076923076923,0.4444444444444444,101,97,5.0
W1,POC,RECLAIM,external,135,0.3925925925925926,0.6990291262135923,0.4027777777777778,66,69,3.0
W1,POC,RECLAIM,reference_validation,99,0.45454545454545453,0.654320987654321,0.5094339622641509,50,49,4.0
W1,POC,WICK,development,166,0.39759036144578314,0.6730769230769231,0.4095238095238095,82,84,5.0
W1,POC,WICK,external,119,0.31932773109243695,0.6504854368932039,0.31343283582089554,63,56,3.0
W1,POC,WICK,reference_validation,81,0.4691358024691358,0.6049382716049383,0.5102040816326531,42,39,5.0
W1,VAH,BODY,development,145,0.47586206896551725,0.5576923076923077,0.5977011494252874,71,74,3.0
W1,VAH,BODY,external,113,0.45132743362831856,0.6019417475728155,0.46774193548387094,56,57,2.0
W1,VAH,BODY,reference_validation,85,0.4588235294117647,0.5925925925925926,0.5416666666666666,43,42,4.0
W1,VAH,HOLD,development,158,0.4430379746835443,0.5769230769230769,0.4888888888888889,80,78,3.0
W1,VAH,HOLD,external,120,0.4666666666666667,0.6310679611650486,0.46153846153846156,58,62,2.0
W1,VAH,HOLD,reference_validation,90,0.5333333333333333,0.6172839506172839,0.58,44,46,4.0
W1,VAH,RECLAIM,development,158,0.4430379746835443,0.5769230769230769,0.4888888888888889,80,78,3.0
W1,VAH,RECLAIM,external,120,0.4666666666666667,0.6310679611650486,0.46153846153846156,58,62,2.0
W1,VAH,RECLAIM,reference_validation,90,0.5333333333333333,0.6172839506172839,0.58,44,46,4.0
W1,VAH,WICK,development,133,0.40601503759398494,0.532051282051282,0.39759036144578314,71,62,3.0
W1,VAH,WICK,external,105,0.41904761904761906,0.5825242718446602,0.4166666666666667,52,53,2.0
W1,VAH,WICK,reference_validation,75,0.4533333333333333,0.6049382716049383,0.5102040816326531,35,40,5.0
W1,VAL,BODY,development,159,0.3710691823899371,0.5641025641025641,0.38636363636363635,81,78,3.0
W1,VAL,BODY,external,89,0.42696629213483145,0.47572815533980584,0.5306122448979592,44,45,2.0
W1,VAL,BODY,reference_validation,78,0.4358974358974359,0.5432098765432098,0.4772727272727273,40,38,4.0
W1,VAL,HOLD,development,172,0.37790697674418605,0.6025641025641025,0.3404255319148936,90,82,3.0
W1,VAL,HOLD,external,92,0.391304347826087,0.4854368932038835,0.44,47,45,2.0
W1,VAL,HOLD,reference_validation,85,0.47058823529411764,0.5925925925925926,0.5,46,39,4.0
W1,VAL,RECLAIM,development,172,0.37790697674418605,0.6025641025641025,0.3404255319148936,90,82,3.0
W1,VAL,RECLAIM,external,92,0.391304347826087,0.4854368932038835,0.44,47,45,2.0
W1,VAL,RECLAIM,reference_validation,85,0.47058823529411764,0.5925925925925926,0.5,46,39,4.0
W1,VAL,WICK,development,144,0.4375,0.5641025641025641,0.4431818181818182,77,67,4.0
W1,VAL,WICK,external,81,0.3950617283950617,0.46601941747572817,0.375,43,38,2.0
W1,VAL,WICK,reference_validation,69,0.463768115942029,0.5555555555555556,0.4888888888888889,39,30,5.0
W1,VWAP,BODY,development,170,0.4176470588235294,0.6025641025641025,0.43617021276595747,84,86,5.5
W1,VWAP,BODY,external,102,0.35294117647058826,0.5436893203883495,0.35714285714285715,51,51,2.0
W1,VWAP,BODY,reference_validation,94,0.3617021276595745,0.6419753086419753,0.34615384615384615,45,49,5.0
W1,VWAP,HOLD,development,182,0.44505494505494503,0.6410256410256411,0.36,88,94,5.0
W1,VWAP,HOLD,external,108,0.32407407407407407,0.5825242718446602,0.3333333333333333,57,51,2.0
W1,VWAP,HOLD,reference_validation,98,0.3469387755102041,0.6419753086419753,0.28846153846153844,48,50,5.0
W1,VWAP,RECLAIM,development,182,0.44505494505494503,0.6410256410256411,0.36,88,94,5.0
W1,VWAP,RECLAIM,external,108,0.32407407407407407,0.5825242718446602,0.3333333333333333,57,51,2.0
W1,VWAP,RECLAIM,reference_validation,98,0.3469387755102041,0.6419753086419753,0.28846153846153844,48,50,5.0
W1,VWAP,WICK,development,157,0.4267515923566879,0.5833333333333334,0.42857142857142855,77,80,5.0
W1,VWAP,WICK,external,100,0.4,0.5728155339805825,0.4067796610169492,54,46,2.0
W1,VWAP,WICK,reference_validation,85,0.4823529411764706,0.6172839506172839,0.52,41,44,5.0
